"","OE.scores.O","OE.scores.E","OE.scores.OoverE","OE.scores.Onull","OE.scores.Enull","OE.scores.OoverE.null","OE.scores.BC","OE.scores.BC.null","Capture.Probs.Achnanthes","Capture.Probs.Achnanthidium","Capture.Probs.Adlafia","Capture.Probs.Amphipleura","Capture.Probs.Amphora","Capture.Probs.Anomoeoneis","Capture.Probs.Bacillaria","Capture.Probs.Biremis","Capture.Probs.Brachysira","Capture.Probs.Caloneis","Capture.Probs.Campylodiscus","Capture.Probs.Cavinula","Capture.Probs.Chamaepinnularia","Capture.Probs.Cocconeis","Capture.Probs.Craticula","Capture.Probs.Cymatopleura","Capture.Probs.Cymbella","Capture.Probs.Cymbopleura","Capture.Probs.Delicata","Capture.Probs.Denticula","Capture.Probs.Diadesmis","Capture.Probs.Diatomella","Capture.Probs.Didymosphenia","Capture.Probs.Diploneis","Capture.Probs.Encyonema","Capture.Probs.Encyonopsis","Capture.Probs.Entomoneis","Capture.Probs.Eolimna","Capture.Probs.Epithemia","Capture.Probs.Eucocconeis","Capture.Probs.Eunotia","Capture.Probs.Fallacia","Capture.Probs.Fistulifera","Capture.Probs.Frustulia","Capture.Probs.Geissleria","Capture.Probs.Gomphoneis","Capture.Probs.Gomphonema","Capture.Probs.Gomphosphenia","Capture.Probs.Gyrosigma","Capture.Probs.Halamphora","Capture.Probs.Hantzschia","Capture.Probs.Hippodonta","Capture.Probs.Karayevia","Capture.Probs.Kolbesia","Capture.Probs.Lemnicola","Capture.Probs.Luticola","Capture.Probs.Mastogloia","Capture.Probs.Mayamaea","Capture.Probs.Muelleria","Capture.Probs.Navicula","Capture.Probs.Neidium","Capture.Probs.Nitzschia","Capture.Probs.Nupela","Capture.Probs.Opephora","Capture.Probs.Parlibellus","Capture.Probs.Pinnularia","Capture.Probs.Placoneis","Capture.Probs.Planothidium","Capture.Probs.Platessa","Capture.Probs.Pleurosigma","Capture.Probs.Psammodictyon","Capture.Probs.Psammothidium","Capture.Probs.Pseudostaurosira","Capture.Probs.Reimeria","Capture.Probs.Rhoicosphenia","Capture.Probs.Rhopalodia","Capture.Probs.Rossthidium","Capture.Probs.Sellaphora","Capture.Probs.Seminavis","Capture.Probs.Simonsenia","Capture.Probs.Stauroforma","Capture.Probs.Stauroneis","Capture.Probs.Stenopterobia","Capture.Probs.Surirella","Capture.Probs.Synedra","Capture.Probs.Tryblionella","Capture.Probs.Ulnaria","Group.Occurrence.Probs.1","Group.Occurrence.Probs.2","Group.Occurrence.Probs.3","Group.Occurrence.Probs.4","Group.Occurrence.Probs.5","Group.Occurrence.Probs.6","Group.Occurrence.Probs.7","Group.Occurrence.Probs.8","Group.Occurrence.Probs.9","Group.Occurrence.Probs.10","Group.Occurrence.Probs.11","Group.Occurrence.Probs.12","Group.Occurrence.Probs.13","Group.Occurrence.Probs.14","Group.Occurrence.Probs.15","Group.Occurrence.Probs.16","Group.Occurrence.Probs.17","Group.Occurrence.Probs.18","Group.Occurrence.Probs.19","Group.Occurrence.Probs.20","Group.Occurrence.Probs.21","Group.Occurrence.Probs.22"
"000CAT148_8/10/10_1",8,6.66648586631234,1.2000325449464,8,7.43283582089552,1.07630522088353,0.0909225390351093,0.107930367504836,0.019970641025641,0.987876923076923,0.150200493177846,0.105382662468251,0.420664822029822,0.0152444444444444,0.0217809116809117,0.0155454545454545,0.0293309949309949,0.186025850630851,0,0.0250121212121212,0.0293052286602287,0.915662283141695,0.010384435009435,0.000171428571428571,0.357714821496586,0.0534321794871795,0.00136296296296296,0.0668037046287046,0.082059333999334,0.0318787878787879,0.0606958531664414,0.084519365764954,0.49447474025974,0.115319977691154,0,0.217390121251298,0.48568537617067,0.0331283605283605,0.269692617382617,0.0407354334554335,0.0330443121693122,0.146019300590477,0.349444806663924,0.4344796058299,0.978237275687276,0.17084316500493,0.0157982905982906,0.0302737845487845,0.0235089234295117,0.00900855614973262,0.329290030677384,0.0454533689839572,0.00379835164835165,0.0898172563384328,0.00019047619047619,0.110445229367582,0,0.865372868852281,0.0359734098689981,0.883738011988012,0.038941645021645,0.033709898989899,0.0349994301994302,0.254687149223326,0.0354231962481962,0.876242389092389,0.00674545454545455,0.00384065934065934,0,0.400985090225679,0.350121931053696,0.503699503568327,0.655656610905434,0.160473298868887,0.299189071005247,0.27504140744876,0.00385454545454545,0.00101904761904762,0.00385454545454545,0.077362195952196,0.00289090909090909,0.108846024531025,0,0.0289635031635032,8.33333333333333e-05,8e-04,8e-04,0.0012,0,0.2272,0.0232,0.0424,0.052,0.0368,0.171,4e-04,0.029,0,0.0636,0.147,0.0292,0.009,0.022,0,0.0072,0.1372,0
"000CAT228_8/10/10_1",7,5.83171278040043,1.20033346352825,8,7.43283582089552,1.07630522088353,0.16978090278658,0.107930367504836,0.016522905982906,0.986261538461538,0.0968176109620227,0.108898809752339,0.221132184112184,0.00304444444444444,0.0206573463573464,0.00136363636363636,0.221034868834869,0.0676707807660749,2.35294117647059e-05,0.00463863636363636,0.014321757458228,0.707066585375409,0.0445926602808956,0.000285714285714286,0.377808402033696,0.0657959806206865,0.000251851851851852,0.0450274150685915,0.0776865530547883,0.0154969696969697,0.0952759554171319,0.0471517830209007,0.468300738738386,0.297276807038278,0,0.178248921372745,0.320909245275422,0.01443885003885,0.604215707070707,0.0847430365712719,0.00698121693121693,0.255251378381967,0.301320559179383,0.262844014982838,0.975905082716847,0.186785594634124,0.0124136752136752,0.0217557997557998,0.00656974496092143,0.00403529411764706,0.326921287720994,0.0896612834224599,0.00375,0.0550137556561086,0.000252100840336134,0.107116111949053,0,0.759602703886527,0.0052372478284243,0.605742016317016,0.0266941125541126,0.0149480808080808,0.00725413105413105,0.227948910109498,0.0450310966810967,0.687772866294925,0.0385636363636364,0.00170879120879121,0,0.505146280277457,0.338983910675381,0.33249876832318,0.367538503718504,0.0640552114007996,0.237359776117129,0.203944827558063,0.0383636363636364,0.000904761904761905,0.0383636363636364,0.054414486994487,2e-04,0.0518183286647993,0,0.00808253968253968,3.33333333333333e-05,8e-04,0,0.002,4e-04,0.0786,0.0086,0.422,0.0326,0.0068,0.015,0,0.0046,0,0.0044,0.1272,0.1054,0.0042,0.0382,0,0.1218,0.0274,0
"102PS0139_8/9/10_1",8,7.05290754425313,1.13428397434737,8,7.43283582089552,1.07630522088353,0.129715550131017,0.107930367504836,0.0188767735042735,0.995938461538462,0.13729687283849,0.168320229133611,0.357127318884819,0.00657777777777778,0.00755510785510786,0.00174545454545455,0.0623983756983757,0.183002667925756,0.00104705882352941,0.00873712121212121,0.0303533420337832,0.905358282567106,0.0265867205506911,0.00231428571428571,0.338490664422723,0.037117095274007,0.00203703703703704,0.080548399068252,0.0198931205395911,0.00221847041847042,0.0481339196750961,0.0680547626393214,0.437972878575673,0.280347592908181,0,0.261485534530829,0.502751863713628,0.01321554001554,0.151941036186036,0.0345569000933707,0.0288662037037037,0.10689959662342,0.290625690567602,0.36677789080745,0.927672775046305,0.0881827918813213,0.0114700854700855,0.0336230588855589,0.0142830316742081,0.0193898395721925,0.232202435369641,0.0277894147355912,0.0021510989010989,0.0491170279393809,0.0234518207282913,0.122126047362224,0,0.86521956665339,0.0173366646153411,0.863944355644356,0.0130070418470418,0.0108832323232323,0.0172296296296296,0.148574499405823,0.0300666486291486,0.84585885280297,0.00843766233766234,0.0185392857142857,2.85714285714286e-05,0.134104320755497,0.226097273336685,0.508055437601614,0.638107948685302,0.244978558016058,0.112888255508108,0.216541321015586,0.00725454545454545,0.0123940476190476,0.00725454545454545,0.0357817195767196,0.00115454545454545,0.0671527720482132,2.85714285714286e-05,0.0300419358419358,0.00543333333333333,0.1298,0.0784,0.0162,0.0178,0.1678,0,0.0798,0.155,0.055,0.0192,2e-04,0.0578,0,0.0254,0.004,0.0256,0.0318,0.0132,0,0.0636,0.0592,2e-04
"102PS0177_8/28/12_1",6,4.54081594297859,1.32134842621792,6,7.43283582089552,0.807228915662651,0.1384317936026,0.232,0.00416598290598291,0.998953846153846,0.0447395806481101,0.0914811289364231,0.164660602730603,0.00104444444444444,0.00441990231990232,0.000509090909090909,0.294258585858586,0.0379626822850352,0.000188235294117647,0.00740075757575757,0.0109312757830405,0.580954606178136,0.060111528667411,0.000514285714285714,0.320742358425888,0.06329541295306,0.00182222222222222,0.0219969484763602,0.00979716192304428,0.0021979797979798,0.0696268568033274,0.0245216755466755,0.399814825436002,0.324462557083439,0,0.0781711804208863,0.296557351635293,0.00255353535353535,0.659242756687757,0.067752910618793,0.00617539682539683,0.316177412326236,0.151023515373515,0.119621340685458,0.981443005687123,0.101305204109616,0.00204444444444444,0.0054521534021534,0.00319755832402891,0.0043668449197861,0.221014355285238,0.0653008972073678,0.000368681318681319,0.0131410529339941,0.00149299719887955,0.0463735535053182,0,0.699130044628574,0.00533746286393345,0.434372052947053,0.0072579797979798,0.00281353535353535,0.00573333333333333,0.210690174008998,0.0599378066378066,0.621091683643154,0.0573454545454545,0.00136428571428571,0,0.442080704067175,0.282638377276319,0.167479818775995,0.269725466951349,0.0560661115028762,0.172439885767827,0.0590039919231096,0.0570727272727273,0.00152619047619048,0.0570727272727273,0.0119332467532468,0.000272727272727273,0.0163149410067057,0,0.00793715173715174,0.000283333333333333,0.0068,0.0144,0.0036,0.0032,0.1654,0,0.6278,0.0348,0.0492,0.0056,0,0.0266,0,0.006,0.0152,0.0126,0.003,0.0034,0,0.013,0.0094,0
"102PS0177_8/28/12_2",5,4.54081594297859,1.10112368851493,6,7.43283582089552,0.807228915662651,0.186322593478514,0.232,0.00416598290598291,0.998953846153846,0.0447395806481101,0.0914811289364231,0.164660602730603,0.00104444444444444,0.00441990231990232,0.000509090909090909,0.294258585858586,0.0379626822850352,0.000188235294117647,0.00740075757575757,0.0109312757830405,0.580954606178136,0.060111528667411,0.000514285714285714,0.320742358425888,0.06329541295306,0.00182222222222222,0.0219969484763602,0.00979716192304428,0.0021979797979798,0.0696268568033274,0.0245216755466755,0.399814825436002,0.324462557083439,0,0.0781711804208863,0.296557351635293,0.00255353535353535,0.659242756687757,0.067752910618793,0.00617539682539683,0.316177412326236,0.151023515373515,0.119621340685458,0.981443005687123,0.101305204109616,0.00204444444444444,0.0054521534021534,0.00319755832402891,0.0043668449197861,0.221014355285238,0.0653008972073678,0.000368681318681319,0.0131410529339941,0.00149299719887955,0.0463735535053182,0,0.699130044628574,0.00533746286393345,0.434372052947053,0.0072579797979798,0.00281353535353535,0.00573333333333333,0.210690174008998,0.0599378066378066,0.621091683643154,0.0573454545454545,0.00136428571428571,0,0.442080704067175,0.282638377276319,0.167479818775995,0.269725466951349,0.0560661115028762,0.172439885767827,0.0590039919231096,0.0570727272727273,0.00152619047619048,0.0570727272727273,0.0119332467532468,0.000272727272727273,0.0163149410067057,0,0.00793715173715174,0.000283333333333333,0.0068,0.0144,0.0036,0.0032,0.1654,0,0.6278,0.0348,0.0492,0.0056,0,0.0266,0,0.006,0.0152,0.0126,0.003,0.0034,0,0.013,0.0094,0
"103CDCHHR_9/14/10_1",13,10.9749879780894,1.18451154807215,8,7.43283582089552,1.07630522088353,0.131146538030158,0.107930367504836,0.00244273504273504,0.990566433566433,0.0997501171486466,0.0948863213583802,0.368718802493802,0,0.0856768601768602,0,0.0333048211048211,0.165248723934018,4.17112299465241e-05,0.00340833333333333,0.000247780324250912,0.978009917370211,0.00527736169059698,2.85714285714286e-05,0.230815009445892,0.0110073403720463,0.000162962962962963,0.174583872500049,0.174493348481584,0.0806888888888889,0.124157279321985,0.168616495759143,0.274612347129994,0.0959748683233977,0,0.11887655808244,0.559612325365267,0.0106923076923077,0.279668445443445,0.000442865631100925,0.000396224146224146,0.173077342319989,0.591809592858122,0.399089155234743,0.976054830191595,0.417742198161316,0.0107286713286713,0.0158729797979798,0.00289651231121819,0.00103208556149733,0.700944351128175,0.162223366013072,0.00238956043956044,0.164788673418085,0.000733053221288515,0.199351988099047,0,0.909613776474071,0.000706494921200804,0.947929553779554,0.0807174603174603,0,0.000398653198653199,0.170315535608183,0.000528030303030303,0.912011724658783,0.000236363636363636,0.000571753246753247,0,0.650135280949987,0.112295304967364,0.67370030688266,0.750708364511306,0.179520529089647,0.742907069836482,0.590984450516803,0.000218181818181818,0.000303571428571429,2e-04,0.0810593554593554,3.63636363636364e-05,0.081346373397844,0,0.00270940170940171,0.000175,0.0042,8e-04,2e-04,4e-04,0.0818,0,0.0022,0.008,0.0044,0,0,2e-04,0,8e-04,0.7262,0,0.001,0.0306,2e-04,0.139,0,0
"103CDCHHR_9/14/10_2",11,10.9749879780894,1.0022790022149,8,7.43283582089552,1.07630522088353,0.183929382127311,0.117988394584139,0.00244273504273504,0.990566433566433,0.0997501171486466,0.0948863213583802,0.368718802493802,0,0.0856768601768602,0,0.0333048211048211,0.165248723934018,4.17112299465241e-05,0.00340833333333333,0.000247780324250912,0.978009917370211,0.00527736169059698,2.85714285714286e-05,0.230815009445892,0.0110073403720463,0.000162962962962963,0.174583872500049,0.174493348481584,0.0806888888888889,0.124157279321985,0.168616495759143,0.274612347129994,0.0959748683233977,0,0.11887655808244,0.559612325365267,0.0106923076923077,0.279668445443445,0.000442865631100925,0.000396224146224146,0.173077342319989,0.591809592858122,0.399089155234743,0.976054830191595,0.417742198161316,0.0107286713286713,0.0158729797979798,0.00289651231121819,0.00103208556149733,0.700944351128175,0.162223366013072,0.00238956043956044,0.164788673418085,0.000733053221288515,0.199351988099047,0,0.909613776474071,0.000706494921200804,0.947929553779554,0.0807174603174603,0,0.000398653198653199,0.170315535608183,0.000528030303030303,0.912011724658783,0.000236363636363636,0.000571753246753247,0,0.650135280949987,0.112295304967364,0.67370030688266,0.750708364511306,0.179520529089647,0.742907069836482,0.590984450516803,0.000218181818181818,0.000303571428571429,2e-04,0.0810593554593554,3.63636363636364e-05,0.081346373397844,0,0.00270940170940171,0.000175,0.0042,8e-04,2e-04,4e-04,0.0818,0,0.0022,0.008,0.0044,0,0,2e-04,0,8e-04,0.7262,0,0.001,0.0306,2e-04,0.139,0,0
"103FC1106_7/15/14_1",7,5.8791602125761,1.19064623975144,7,7.43283582089552,0.941767068273092,0.0870273968895456,0.132988624612203,0.00809111111111111,0.975166433566434,0.0817375326851797,0.0710877564918741,0.283225595885596,8.88888888888889e-05,0.049459114959115,0,0.0765267584267584,0.0963528437140202,0.000712299465240642,0.0098,0.00327884690472926,0.929600052235346,0.0185704524233936,0.000771428571428571,0.351529601400778,0.025401591480415,0.000392592592592593,0.0989055088702148,0.0990934361063773,0.0352444444444444,0.11956318452789,0.0978246867511573,0.317230062290651,0.201818355544238,0,0.149292091307385,0.428173575988282,0.0203504273504274,0.228201333111333,0.00893801597095715,0.00441791726791727,0.115765342217695,0.327772119057413,0.305386768482063,0.952970432617491,0.218931894576012,0.0210483294483294,0.0379940947940948,0.00713487394957983,0.00269572192513369,0.414597737926561,0.0747800831847891,0.00650274725274725,0.0799164145658263,0.00108459383753501,0.160096078017843,0,0.784909596394891,0.00235993407463996,0.850072311022311,0.0354530158730159,0.000268888888888889,0.00277415177415177,0.10835673711909,0.00562474747474747,0.807615550353786,0.00322727272727273,0.00186653346653347,0,0.314026938921645,0.127913154449037,0.486105236462884,0.578825836385837,0.120187216269569,0.367242282771695,0.317804285257226,0.00354545454545455,0.0024047619047619,0.00312727272727273,0.0403453687053687,1e-04,0.0440426797385621,0,0.0122339882339882,0.000133333333333333,0.0032,0.0164,0.0054,0.005,0.2352,0.0018,0.0344,0.0114,0.0106,0,0,2e-04,0,0.0022,0.3172,0.0018,0.0102,0.078,0.0046,0.2616,8e-04,0
"103FCA168_7/24/13_1",9,10.2670908689894,0.876587157437507,8,7.43283582089552,1.07630522088353,0.217505179527478,0.107930367504836,0.00482820512820513,0.981317482517482,0.0945276983909337,0.0853877908039673,0.350583021608022,0,0.0767508306508306,3.63636363636364e-05,0.0410512080512081,0.140614677588207,0.000118716577540107,0.00554469696969697,0.000508861726508785,0.962707172729232,0.0111217718555954,2.85714285714286e-05,0.246697286972287,0.0130992732757439,0.00042962962962963,0.150187896907015,0.150333912492736,0.0668808080808081,0.115060839813781,0.146556748969984,0.285753327065092,0.113795239455534,0,0.131206260079789,0.522946323719853,0.0114825174825175,0.274201623376623,0.00209057804940158,0.000658850408850409,0.159155058394764,0.512080370773018,0.36638464634494,0.972013061829238,0.360534620118444,0.0115188811188811,0.0214124125874126,0.00590046130340248,0.00237005347593583,0.612091537928303,0.136477703505645,0.00469725274725275,0.140743424549307,0.00112521008403361,0.18777004194063,0,0.877184419556478,0.00168760009054127,0.91758677988678,0.0670093795093795,0.000136363636363636,0.0010047138047138,0.151888589678296,0.00168409090909091,0.892682840797547,0.00130909090909091,0.000839935064935065,0,0.551398825901767,0.123065833784951,0.605985294770589,0.716630815263168,0.163809742490625,0.633037695093577,0.509428248222366,0.00127272727272727,0.000386904761904762,0.00123636363636364,0.06790481000481,7.27272727272727e-05,0.0681534143960615,0,0.00519487179487179,0.000258333333333333,0.0062,6e-04,2e-04,0.0014,0.1322,0,0.0136,0.0186,0.0116,4e-04,0,2e-04,0,0.0016,0.6016,0.001,0.001,0.0606,4e-04,0.1488,0,0
"103KLCMSR_9/14/10_1",7,6.32713641123582,1.1063456744143,8,7.43283582089552,1.07630522088353,0.151005245733343,0.155899419729207,0.00173061965811966,0.996858741258741,0.056291040217952,0.0249961698595522,0.0742603488178488,0.000111111111111111,0.00799387279387279,0,0.0300124653124653,0.0267463469047293,8.87700534759358e-05,0.0312916666666667,0.00110279845971022,0.918558578349755,0.00425906781127369,0.000542857142857143,0.249599812246577,0.00997509609671374,0.000488888888888889,0.0277594083204377,0.0205657675004734,0.00557777777777778,0.0405816092404328,0.0485297533349004,0.185487839758281,0.119702862692863,0,0.0692690314260903,0.552539880381057,0.00818803418803419,0.0755689582639583,0.00231013313483902,0.00213861832611833,0.0850986157959687,0.1391384709245,0.216208785185403,0.976326109511404,0.129377725379196,0.00820901320901321,0.0119991827616828,0.00272820708703062,0.00361016042780749,0.241371284059078,0.0143844236482472,0.00087032967032967,0.0162431430007901,0.00188487394957983,0.103864701409701,0,0.669801959968136,0.00264954269586623,0.753050999000999,0.00569492063492064,0.000171111111111111,0.00128811188811189,0.084146921101774,0.00213569624819625,0.839190052431229,0.00120909090909091,0.00181680819180819,0,0.0562956574144809,0.066215598910893,0.248441490764138,0.620810090334502,0.123240854325413,0.152498856454004,0.0986625873309697,0.00103636363636364,0.00166547619047619,0.00101818181818182,0.00773164002664003,0.000190909090909091,0.00849874862066038,0,0.00296354756354756,0.000433333333333333,0.0098,0.007,0.0038,0.0012,0.751,2e-04,0.0112,0.0286,0.0132,0,2e-04,4e-04,0,0.0042,0.0502,6e-04,0.0024,0.01,2e-04,0.1048,0.001,0
