"","prop.spp.IndicatorClass_DOC_high","prop.spp.Trophic.I","prop.spp.ZHR","prop.spp.BCG3","hybri.pMMI"
"000CAT148_8/10/10_1",0.600060964423275,1,0.16392077838562,1,0.690995435702224
"000CAT228_8/10/10_1",0.603788051158823,0.915908030320995,0.158066464871848,1,0.669440636587917
"102PS0139_8/9/10_1",0.576343139742513,0.582850564749724,0,1,0.539798426123059
"102PS0177_8/28/12_1",0.538673653484833,0.754277201440816,0.260344765671279,1,0.638323905149232
"102PS0177_8/28/12_2",0.576343139742513,1,0.804702002983954,0.816707665211992,0.799438201984615
"103CDCHHR_9/14/10_1",0.45940395196867,0.836263853771345,0,1,0.573916951435004
"103CDCHHR_9/14/10_2",0.495702535827923,0.949830549962511,0,0.766003538778194,0.552884156142157
"103FC1106_7/15/14_1",0.600060964423275,0.712372912471884,0,0.905439886471132,0.554468440841573
"103FCA168_7/24/13_1",0.603788051158823,0.228977007580248,0,0.462231495590011,0.323749138582271
"103KLCMSR_9/14/10_1",0.52831454476397,0.80141952653087,0.276616313525734,1,0.651587596205144
"103PS0217_9/10/13_1",0.603788051158823,0.915908030320995,0,0.327775017457535,0.461867774734338
"103RDCBCC_7/21/11_1",0.43606914805915,0.305302676773665,0.210755286495797,0.686325625810802,0.409613184284853
"103STCNSR_8/9/11_1",0.704419393018627,0.712372912471884,0,0.626567191085257,0.510839874143942
"103WER026_8/15/12_1",0.552112497230816,0.693119590513184,0.717707191850553,0.909208436408778,0.718036929000833
"103WER026_8/15/12_2",0.579189278704205,0.712372912471884,0.98352467031372,0.793890808316784,0.767244417451648
"103WER030_8/10/11_1",0.487674964397511,1,0,0.948343378068961,0.609004585616618
"105BVCAGC_9/21/10_1",0.556120573435758,0.674879601289155,0.232940053495355,1,0.615985057055067
"105CLCATC_8/10/10_1",0.487674964397511,0.49318124709592,0.51067627112443,0.658744809783629,0.537569323100373
"105CR0901_7/23/14_1",0.704419393018627,0.874275847124583,0,0.98783409192605,0.641632333017315
"105CR0901_8/11/14_1",0.704419393018627,0.469123625286363,0,0.524540595212376,0.424520903379342
"105CR0906_8/12/14_1",0.704419393018627,0.267139842176957,0,0.888010343009517,0.464892394551275
"105CR0908_7/22/14_1",0.704419393018627,0.641135621224696,0,0.417412669545852,0.440741920947294
"105CR0913_8/12/14_1",0.704419393018627,0.40923550290938,0,1,0.528413723982002
"105CR1004_7/23/14_1",0.704419393018627,0.739771870643877,0,0.948343378068961,0.598133660432866
"105DLCDCC_10/20/09_1",0.43606914805915,0.915908030320995,0.632265859487393,1,0.746060759466884
"105DLCDCC_5/19/09_1",0.43606914805915,0.915908030320995,0,0.865600929987437,0.554394527091896
"105DLCDCC_6/23/09_1",0.52831454476397,0.601064644898152,0.276616313525734,1,0.601498875796964
"105DLCDCC_8/5/09_1",0.481971163644324,0.506159700966865,0,1,0.497032716152797
"105DLCDCC_9/15/09_1",0.448266886466399,0.874275847124583,0.402351001491977,0.816707665211992,0.635400350073738
"105FC1116_8/5/14_1",0.521453316909893,0.666114931142542,0.229914857995416,0.816707665211992,0.55854769281496
"105FC1120_7/30/14_1",0.704419393018627,0.502851467627212,0.173563177114186,1,0.595208509440006
"105FC1297_7/22/14_1",0.626150571572113,0.534279684353913,0.122940583789215,0.835721712624665,0.529773138084977
"105FCA116_7/16/13_1",0.538673653484833,0.377138600720409,0,0.0114068336164154,0.231804771955414
"105FS0416_9/24/13_1",0.552112497230816,0.693119590513184,0,0.705706739775843,0.487734706879961
"105FS0425_8/10/11_1",0.516574221546993,0.427423747483131,0.442586101641175,0.291919956622206,0.419626006823376
"105FS0428_8/3/11_1",0.556120573435758,0.337439800644577,0.232940053495355,0.97882743788847,0.52633196636604
"105NWC151_6/26/13_1",0.53048867869304,0.474915274981256,0.273201297309367,1,0.569651312745916
"105PS0028_8/12/08_1",0.581911672493649,0.418131926885671,0.288643109765983,1,0.572171677286326
"105PS0028_8/26/08_1",0.61049680728281,0.961703431837044,0.442586101641175,0.856637164778603,0.717855876384908
"105PS0043_9/17/08_1",0.547881750125599,0.356186456235942,0.122940583789215,0.835721712624665,0.465682625693855
"105PS0067_8/24/09_1",0.32872905007536,0.427423747483131,0,1,0.439038199389623
"105PS0067_8/24/09_2",0.32872905007536,0.427423747483131,0,1,0.439038199389623
"105PS0067_9/15/09_1",0.32872905007536,0.427423747483131,0,0.291919956622206,0.262018188545174
"105PS0069_8/18/09_1",0.503156709299019,0.915908030320995,0,0.327775017457535,0.436709939269387
"105PS0083_9/8/09_1",0.547881750125599,0.890466140589856,0.368821751367645,1,0.701792410520775
"105PS0090_8/25/09_1",0.320190633190286,1,0,0.98783409192605,0.577006181279084
"105PS0090_8/7/12_1",0.623914319530784,0.366363212128397,0,0.650470564975477,0.410187024158665
"105PS0092_8/11/08_1",0.596047178708069,0.6164765588699,0.170225423708144,1,0.595687290321528
"105PS0097_9/8/09_1",0.538673653484833,0.377138600720409,0.390517148506919,1,0.57658235067804
"105PS0097_9/8/09_2",0.516574221546993,0.427423747483131,0.295057401094116,0.919383521240426,0.539609722841167
"105PS0107_9/14/09_1",0.379302750086954,0.49318124709592,0,0.803544093926293,0.419007022777292
"105PS0129_8/11/10_1",0.626150571572113,0.534279684353913,0.614702918946076,1,0.693783293718025
"105PS0129_8/11/10_2",0.641804335861416,0.569898329977508,0.590114802188231,1,0.700454367006789
"105PS0149_8/29/12_1",0.487674964397511,0.49318124709592,0.340450847416288,0.803544093926293,0.531212788209003
"105PS0154_8/9/11_1",0.630269983227193,0.168719900322288,0.116470026747677,0.97882743788847,0.473571837046407
"105PS0154_8/9/11_2",0.62154652325173,0.188569300360205,0.260344765671279,1,0.517615147320803
"105PS0188_8/26/08_1",0.60890489905,0.543335272224319,0,0.683287061333231,0.458881808151887
"105PS0188_8/26/08_2",0.637331831778758,0.915908030320995,0,1,0.638309965524938
"105PS0193_8/29/12_1",0.543409246042941,0.732726424256794,0.379359515692435,1,0.663873796498042
"105PS0195_8/7/12_1",0.503156709299019,0.915908030320995,0.158066464871848,1,0.644282801122966
"105PS0211_8/20/13_1",0.600060964423275,0.712372912471884,0,0.766003538778194,0.519609353918338
"105PS0211_9/16/13_1",0.596047178708069,0.49318124709592,0.170225423708144,0.948343378068961,0.551949306895273
"105PS0231_8/29/13_1",0.641804335861416,0.569898329977508,0.098352467031372,0.710228999701018,0.505071033142829
"105PS0259_9/17/13_1",0.600060964423275,0.712372912471884,0.16392077838562,0.766003538778194,0.560589548514743
"105PS0267_7/21/14_1",0.619035224167884,0.777134086332963,0,0.93079194968803,0.581740315047219
"105PS0276_9/1/09_1",0.655838745224239,0.331621873047257,0.381539742794116,0.828509487743994,0.549377462202401
"105PS0276_9/22/09_1",0.656662146034313,0.543335272224319,0.300058373994016,1,0.625013948063162
"105PS0468_9/1/09_1",0.563535514414902,0.320567810612348,0.442586101641175,1,0.581672356667106
"105PS0540_8/5/10_1",0.632171250144922,0.657574996127896,0.453934463221719,1,0.685920177373634
"105PS0540_9/15/10_1",0.616366968891299,1,0,1,0.654091742222825
"105PS0660_8/3/10_1",0.591712290135647,0.256454248489878,0.35406888131294,1,0.550558854984616
"105PS0660_8/3/10_2",0.543409246042941,0.549544818192596,0.252906343794957,1,0.586465102007623
"105PS1404_8/28/13_1",0.566971706575968,0.469123625286363,0,0.891836340354747,0.48198291805427
"105PS1404_8/28/13_2",0.61049680728281,0.427423747483131,0,0.919383521240426,0.489326019001592
"105PS1492_8/6/14_1",0.672032294489035,0.663243746094513,0.101743931411764,1,0.609254992998828
"105TMCACC_8/10/10_1",0.563535514414902,0.641135621224696,0.221293050820587,1,0.606491046615046
"105WLC135_6/26/13_1",0.566971706575968,0.625498167048484,0.215895659337159,0.983660276640341,0.598006452400488
"105WLCABC_8/3/11_1",0.422651635811176,0.320567810612348,0.221293050820587,0.731144451854961,0.423914237274768
"106FC1183_7/24/14_1",0.616366968891299,1,0,1,0.654091742222825
"106FC1313_7/23/14_1",0.641804335861416,0.712372912471884,0.196704934062744,1,0.637720545599011
"106FCA036_7/15/13_1",0.581911672493649,0.557509235847561,0.192428739843989,1,0.5829624120463
"106FS0040_8/30/11_1",0.372927913951039,0.377138600720409,0,0.454322290993981,0.301097201416357
"106HLCACC_9/23/13_1",0.619035224167884,0.388567043166482,0.134117000497326,0.816707665211992,0.489606733260921
"106MNCAHC_10/1/08_1",0.503156709299019,0.457954015160497,0.158066464871848,0.596687973722484,0.428966290763462
"106MNCAHC_10/1/08_2",0.407821753852889,0.674879601289155,0.232940053495355,0.186241882581245,0.375470822804661
"106PS0022_9/30/08_1",0.52831454476397,0.400709763265435,0,0.495845615123129,0.356217480788133
"106PS0051_9/16/08_1",0.613526568112998,0.413635884661094,0.428309130620491,1,0.613867895848646
"106PS0051_9/16/08_2",0.587016160848856,1,0.553232627051468,1,0.785062196975081
"106PS0078_8/26/09_1",0.579189278704205,0.427423747483131,0.49176233515686,1,0.624593840336049
"106PS0106_9/8/09_1",0.503156709299019,0.686931022740745,0.158066464871848,1,0.587038549227903
"106PS0106_9/8/09_2",0.45940395196867,0.557509235847561,0.192428739843989,1,0.552335481915055
"106PS0115_9/21/10_1",0.587016160848856,1,0,0.574278560700405,0.540323680387315
"106PS0122_9/20/10_1",0.62154652325173,0.942846501801025,0.260344765671279,0.454322290993981,0.569765020429504
"106PS0124_8/16/10_1",0.596047178708069,0.739771870643877,0.170225423708144,1,0.626511118265023
"106PS0142_7/19/10_1",0.646915769098739,0.261688008663141,0.0903236942124845,1,0.499731867993591
"106PS0166_8/2/11_1",0.591712290135647,0.256454248489878,0,0.994679148994613,0.460711421905035
"106PS0173_8/4/11_1",0.632171250144922,0.328787498063947,0.453934463221719,1,0.603723302857647
"106PS0186_9/26/12_1",0.469612928679085,1,0,0.888010343009517,0.58940581792215
"106PS0206_10/3/12_1",0.630269983227193,0.506159700966865,0.582350133738387,1,0.679694954483111
"106PTCAHC_9/2/08_1",0.591712290135647,0.512908496979757,0.442586101641175,0.994679148994613,0.635471509437798
"106WE1079_8/8/12_1",0.570244270538889,0.305302676773665,0,1,0.468886736828138
"106WER011_9/11/13_1",0.61049680728281,0.854847494966259,0.590114802188231,1,0.763864776109325
"106WER016_10/20/09_1",0.516574221546993,0.854847494966259,0.590114802188231,1,0.740384129675371
