,Type,Score,prop.spp.Salinity.BF,prop.spp.HighMotility,prop.ind.most.tol,prop.spp.BCG3
000CAT148_8.10.10_1,ref,1.208669567,1.042214272,0.8339498,NA,1.749844629
000CAT228_8.10.10_1,ref,1.331435452,1.430311208,NA,1.445942049,1.118053099
102PS0177_8.28.12_1,ref,1.29480506,NA,1.749844629,0.901937182,1.232633369
102PS0177_8.28.12_2,ref,1.338236685,1.735930621,1.139397749,1.139381684,NA
103CDCHHR_9.14.10_1,ref,1.237051913,1.044899164,1.088857782,NA,1.577398792
103CDCHHR_9.14.10_2,ref,1.115225722,1.316958575,NA,1.252549498,0.776169093
103KLCMSR_9.14.10_1,ref,1.155552879,NA,1.300066413,1.139397749,1.027194474
103STCNSR_8.9.11_1,ref,1.437541525,1.73387057,1.139397749,1.439356257,NA
103WER026_8.15.12_1,ref,1.093115673,1.1298649,1.047622667,NA,1.101859451
103WER026_8.15.12_2,ref,1.263959975,1.432188151,NA,1.749844629,0.609847145
103WER029_7.16.14_1,ref,0.874922315,NA,1.749844629,NA,0
103WER030_8.10.11_1,ref,1.439070589,1.738743428,1.139397749,NA,NA
105BVCAGC_9.21.10_1,ref,1.213278632,1.130101888,1.439356257,NA,1.070377752
105CE0329_7.23.14_1,ref,0.715401622,1.430803245,NA,NA,0
105CLCATC_8.10.10_1,ref,1.033586223,NA,1.345044235,1.139397749,0.616316685
105DLCDCC_10.20.09_1,ref,1.16461441,1.742229067,0.612232479,1.139381684,NA
105DLCDCC_5.19.09_1,ref,1.153628525,1.129477443,0.725841504,NA,1.605566628
105DLCDCC_6.23.09_1,ref,1.236316614,1.315871176,NA,1.365967686,1.027110981
105DLCDCC_8.5.09_1,ref,1.077288313,NA,0.971382333,0.956735774,1.303746833
105DLCDCC_9.15.09_1,ref,1.321352441,1.737526571,0.974658602,1.251872149,NA
105FCA116_7.16.13_1,ref,0.960337756,1.129463501,1.439356257,NA,0.312193511
105FS0416_9.24.13_1,ref,1.088878244,1.319678712,NA,1.166351676,0.780604345
105FS0425_8.10.11_1,ref,1.091480102,NA,1.749844629,1.139397749,0.385197928
105FS0428_8.3.11_1,ref,1.210254829,1.741293683,0.700093358,1.189377446,NA
105NWC151_6.26.13_1,ref,0.960239919,1.047534867,0.719413444,NA,1.113771445
105PS0043_9.17.08_1,ref,1.023743908,1.319502186,NA,1.188793712,0.562935826
105PS0083_9.8.09_1,ref,1.1115787,NA,1.300066413,1.007475211,1.027194474
105PS0090_8.25.09_1,ref,1.088986525,1.47323446,0.899777172,0.893947942,NA
105PS0090_8.7.12_1,ref,1.199354617,1.136983377,1.439356257,NA,1.021724218
105PS0097_7.22.14_1,ref,0.716293098,1.432586197,NA,NA,0
105PS0097_9.8.09_1,ref,1.214474354,NA,1.496844383,0.990984894,1.155593783
105PS0097_9.8.09_2,ref,1.077202995,1.604247639,0.787954236,0.83940711,NA
105PS0154_8.9.11_1,ref,1.094838249,1.045903668,1.039787996,NA,1.198823082
105PS0154_8.9.11_2,ref,1.274880053,1.428354324,NA,1.535325161,0.860960675
105PS0193_8.29.12_1,ref,1.106774204,NA,1.075177306,0.875552674,1.369592632
105PS0195_8.7.12_1,ref,1.380626897,1.738848442,0.963675992,1.439356257,NA
105PS0259_9.17.13_1,ref,1.030819202,1.138842284,0.851755873,NA,1.101859451
105PS0267_7.21.14_1,ref,1.114545996,1.433104724,NA,1.274171026,0.636362238
105PS0468_9.1.09_1,ref,0.927716363,NA,0.882415213,0.800168367,1.100565508
105PS0540_9.15.10_1,ref,1.188866873,1.603439845,0.660156595,1.303004178,NA
105PS0660_8.3.10_1,ref,1.039041125,0.95617655,0.662417971,NA,1.498528853
105PS0660_8.3.10_2,ref,1.118398299,1.211117834,NA,1.098624815,1.045452248
105PS1492_8.6.14_1,ref,0.874922315,NA,1.749844629,NA,0
105TMCACC_8.10.10_1,ref,1.441372984,1.745364947,1.139397749,1.439356257,NA
105WE0598_7.24.14_1,ref,0.857281822,1.132489208,1.439356257,NA,0
105WLC135_6.26.13_1,ref,1.009888374,1.10312807,NA,1.020478437,0.906058615
105WLCABC_8.3.11_1,ref,1.019314736,NA,1.013843912,0.923524506,1.12057579
106FS0040_8.30.11_1,ref,1.282415544,1.74773378,0.660156595,1.439356257,NA
106MNCAHC_10.1.08_1,ref,1.000819877,1.042739779,1.023139318,NA,0.936580533
106MNCAHC_10.1.08_2,ref,1.002223429,1.429317425,NA,1.228868778,0.348484083
106PS0115_9.21.10_1,ref,1.041473589,NA,1.412510967,0.941513943,0.770395856
106PS0124_8.16.10_1,ref,1.128866531,1.734976954,0.612232479,1.039390159,NA
106PS0166_8.2.11_1,ref,1.210979574,1.129793727,1.254370951,NA,1.248774044
106WE0505_7.21.14_1,ref,0.713585313,1.427170625,NA,NA,0
106WE1079_8.8.12_1,ref,1.164857764,NA,1.221844115,0.932910299,1.339818879
106WER011_9.11.13_1,ref,1.237518245,1.739757662,0.700093358,1.272703716,NA
106WER016_10.20.09_1,ref,1.257699909,1.13885476,0.884400338,NA,1.749844629
106WER016_5.18.09_1,ref,1.338460162,1.328739829,NA,1.547242909,1.139397749
106WER016_6.22.09_1,ref,1.02493813,NA,0.940243841,0.901937182,1.232633369
106WER016_8.4.09_1,ref,1.130787854,1.610259621,0.519203314,1.262900626,NA
106WER016_9.16.09_1,ref,1.284307378,1.139397749,0.963679755,NA,1.749844629
107LLM101_9.13.10_1,ref,1.309887849,1.433769522,NA,1.547242909,0.948651114
107PS0021_7.14.14_1,ref,0.874922315,NA,1.749844629,NA,0
107PS0021_9.3.08_1,ref,1.08162111,1.480381931,0.700093358,1.06438804,NA
107WER092_8.27.12_1,ref,1.225781598,1.137854599,1.201518006,NA,1.33797219
111BBRBCC_9.23.09_1,ref,1.391979343,1.438646942,NA,1.597893339,1.139397749
111BGCAER_10.6.09_1,ref,1.39107849,NA,1.749844629,1.139397749,1.283993093
111BGCAER_6.11.14_1,ref,1.44357881,1.747759872,1.139397749,NA,NA
111CBCAER_8.8.13_1,ref,1.189768192,1.134534433,1.294585148,NA,1.140184997
111CBCAER_8.8.13_2,ref,1.283768752,1.435060024,NA,1.418314542,0.997931692
111CE0569_5.11.10_1,ref,1.001468378,NA,1.142644038,0.783206898,1.078554198
111CE0569_6.15.10_1,ref,1.126398015,1.614712646,0.700093358,1.06438804,NA
111CE0569_7.20.10_1,ref,0.859584669,1.139397749,1.439356257,NA,0
111CE0569_9.1.10_1,ref,1.15191746,1.217049883,NA,1.458098152,0.780604345
111ERATRC_10.10.12_1,ref,1.097399748,NA,1.026986782,1.054590403,1.210622059
111FS0001_7.5.11_1,ref,1.443215383,1.747033016,1.139397749,NA,NA
111FS0007_7.11.11_1,ref,1.217000565,1.049401193,0.851755873,NA,1.749844629
111FS0008_5.2.12_1,ref,0.719678128,1.439356257,NA,NA,0
111FS0008_6.7.12_1,ref,1.080703443,NA,0.869843772,0.932910299,1.439356257
111FS0008_7.19.12_1,ref,1.249901412,1.7413915,0.775835494,1.232477241,NA
111FS0008_7.6.11_1,ref,1.203998799,1.048743501,1.439356257,NA,1.12389664
111HSCAER_7.26.11_1,ref,1.193965782,1.220534858,NA,1.252549498,1.108812991
111HSCAER_7.26.11_2,ref,1.02819378,NA,0.897633273,0.889439257,1.29750881
111PAL105_7.13.11_1,ref,1.361666696,1.745866661,0.899777172,1.439356257,NA
111PS0060_10.7.08_1,ref,1.180490169,1.050463169,0.913608545,NA,1.577398792
111PS0110_6.24.09_1,ref,1.15660262,1.437552864,NA,1.469319171,0.562935826
111PS0110_6.9.14_1,ref,0.874922315,NA,1.749844629,NA,0
111PS0144_8.18.10_1,ref,1.139824453,1.613328825,0.700093358,1.106051176,NA
111PS0160_7.25.11_1,ref,1.072324592,1.049083842,0.606922379,NA,1.560967555
111PS0204_8.17.10_1,ref,1.165000658,1.43921278,NA,1.445942049,0.609847145
111RSCAER_8.8.11_1,ref,0.948667305,NA,1.075177306,0.743630137,1.027194474
111TGCAER_7.24.12_1,ref,1.262650615,1.611738702,0.951124438,1.225088705,NA
111TGCAER_8.17.10_1,ref,1.042267385,1.132391397,0.995391522,NA,0.999019235
111WE0816_6.12.13_1,ref,1.328395459,1.439356257,NA,1.591286761,0.954543357
111WE1050_6.12.13_1,ref,1.041107023,NA,1.127074792,1.048066761,0.948179515
111WE1071_7.26.12_1,ref,1.352925659,1.748383546,1.013882209,1.296511222,NA
111WER003_6.10.14_1,ref,0.858358687,1.135719805,1.439356257,NA,0
111WER008_7.23.12_1,ref,1.340455845,1.439356257,NA,1.584079586,0.997931692
111WER159_10.19.09_1,ref,1.114458333,NA,1.438459711,0.956735774,0.948179515
111WER159_5.21.09_1,ref,1.297240879,1.746474175,0.936641876,1.208606585,NA
111WER159_6.24.09_1,ref,0.827045091,0.972347912,0.884400338,NA,0.624387022
111WER159_8.3.09_1,ref,1.063747624,1.439356257,NA,1.142039469,0.609847145
111WER159_9.16.09_1,ref,0.864108697,NA,0.815689873,0.591411824,1.185224393
113RG8046_8.19.10_1,ref,1.011227173,1.483482387,0.584486939,0.965712194,NA
113RG8046_8.19.10_2,ref,0.997923559,0.96780929,0.8339498,NA,1.192011587
114CE0131_7.31.12_1,ref,1.114993158,1.216735285,NA,1.489356703,0.638887485
114PS0145_6.20.11_1,ref,0.978044568,NA,0.906510475,0.743630137,1.283993093
114WE0614_7.9.12_1,ref,1.015541391,1.484537635,0.456035362,1.106051176,NA
114WE0614_7.9.12_2,ref,0.844556741,0.968075595,0.430345496,NA,1.135249131
115EBAG01_7.1.10_1,ref,0.942496269,0.883126356,NA,1.174029214,0.770333236
201AHO350_6.20.12_1,ref,0.852431262,NA,1.300066413,0.743630137,0.513597237
201CHE300_6.18.12_1,ref,0.764293776,0.941212956,0.44167901,0.909989363,NA
201LAG335_7.15.09_1,ref,1.303190524,1.053344237,1.106382706,NA,1.749844629
