"","Type","Sums","Means"
"000CAT148_8.10.10_1","ref",3.6260087017909,1.20866956726363
"000CAT228_8.10.10_1","ref",3.99430635587716,1.33143545195905
"102PS0177_8.28.12_1","ref",3.8844151797293,1.29480505990977
"102PS0177_8.28.12_2","ref",4.01471005368855,1.33823668456285
"103CDCHHR_9.14.10_1","ref",3.71115573875379,1.23705191291793
"103CDCHHR_9.14.10_2","ref",3.34567716655385,1.11522572218461
"103KLCMSR_9.14.10_1","ref",3.46665863661891,1.15555287887297
"103STCNSR_8.9.11_1","ref",4.31262457580959,1.43754152526986
"103WER026_8.15.12_1","ref",3.27934701832409,1.0931156727747
"103WER026_8.15.12_2","ref",3.79187992545161,1.26395997515054
"103WER029_7.16.14_1","ref",1.74984462916988,0.874922314584941
"103WER030_8.10.11_1","ref",2.87814117737431,1.43907058868716
"105BVCAGC_9.21.10_1","ref",3.63983589717176,1.21327863239059
"105CE0329_7.23.14_1","ref",1.43080324468952,0.71540162234476
"105CLCATC_8.10.10_1","ref",3.10075866850955,1.03358622283652
"105DLCDCC_10.20.09_1","ref",3.49384322968204,1.16461440989401
"105DLCDCC_5.19.09_1","ref",3.46088557584707,1.15362852528236
"105DLCDCC_6.23.09_1","ref",3.70894984323275,1.23631661441092
"105DLCDCC_8.5.09_1","ref",3.23186493934233,1.07728831311411
"105DLCDCC_9.15.09_1","ref",3.96405732225813,1.32135244075271
"105FCA116_7.16.13_1","ref",2.88101326947338,0.960337756491125
"105FS0416_9.24.13_1","ref",3.26663473345109,1.0888782444837
"105FS0425_8.10.11_1","ref",3.27444030598228,1.09148010199409
"105FS0428_8.3.11_1","ref",3.63076448683044,1.21025482894348
"105NWC151_6.26.13_1","ref",2.88071975565622,0.960239918552074
"105PS0043_9.17.08_1","ref",3.07123172474886,1.02374390824962
"105PS0083_9.8.09_1","ref",3.33473609913236,1.11157869971079
"105PS0090_8.25.09_1","ref",3.26695957396369,1.08898652465456
"105PS0090_8.7.12_1","ref",3.59806385163318,1.19935461721106
"105PS0097_7.22.14_1","ref",1.43258619683058,0.716293098415291
"105PS0097_9.8.09_1","ref",3.64342306061085,1.21447435353695
"105PS0097_9.8.09_2","ref",3.23160898573434,1.07720299524478
"105PS0154_8.9.11_1","ref",3.28451474579601,1.09483824859867
"105PS0154_8.9.11_2","ref",3.82464016018101,1.27488005339367
"105PS0193_8.29.12_1","ref",3.32032261184348,1.10677420394783
"105PS0195_8.7.12_1","ref",4.14188069141995,1.38062689713998
"105PS0259_9.17.13_1","ref",3.09245760736955,1.03081920245652
"105PS0267_7.21.14_1","ref",3.34363798786252,1.11454599595417
"105PS0468_9.1.09_1","ref",2.78314908804876,0.927716362682919
"105PS0540_9.15.10_1","ref",3.56660061800624,1.18886687266875
"105PS0660_8.3.10_1","ref",3.11712337393651,1.0390411246455
"105PS0660_8.3.10_2","ref",3.3551948977458,1.1183982992486
"105PS1492_8.6.14_1","ref",1.74984462916988,0.874922314584941
"105TMCACC_8.10.10_1","ref",4.32411895323437,1.44137298441146
"105WE0598_7.24.14_1","ref",2.57184546464018,0.857281821546727
"105WLC135_6.26.13_1","ref",3.0296651220606,1.0098883740202
"105WLCABC_8.3.11_1","ref",3.05794420836814,1.01931473612271
"106FS0040_8.30.11_1","ref",3.84724663216186,1.28241554405395
"106MNCAHC_10.1.08_1","ref",3.00245963010649,1.00081987670216
"106MNCAHC_10.1.08_2","ref",3.00667028576344,1.00222342858781
"106PS0115_9.21.10_1","ref",3.12442076577278,1.04147358859093
"106PS0124_8.16.10_1","ref",3.38659959218146,1.12886653072715
"106PS0166_8.2.11_1","ref",3.63293872207896,1.21097957402632
"106WE0505_7.21.14_1","ref",1.42717062532101,0.713585312660506
"106WE1079_8.8.12_1","ref",3.49457329344383,1.16485776448128
"106WER011_9.11.13_1","ref",3.71255473571952,1.23751824523984
"106WER016_10.20.09_1","ref",3.77309972746178,1.25769990915393
"106WER016_5.18.09_1","ref",4.01538048724288,1.33846016241429
"106WER016_6.22.09_1","ref",3.07481439138958,1.02493813046319
"106WER016_8.4.09_1","ref",3.39236356064812,1.13078785354937
"106WER016_9.16.09_1","ref",3.8529221334615,1.2843073778205
"107LLM101_9.13.10_1","ref",3.92966354555319,1.30988784851773
"107PS0021_7.14.14_1","ref",1.74984462916988,0.874922314584941
"107PS0021_9.3.08_1","ref",3.2448633289528,1.08162110965093
"107WER092_8.27.12_1","ref",3.67734479534336,1.22578159844779
"111BBRBCC_9.23.09_1","ref",4.17593802978324,1.39197934326108
"111BGCAER_10.6.09_1","ref",4.17323547091557,1.39107849030519
"111BGCAER_6.11.14_1","ref",2.887157620541,1.4435788102705
"111CBCAER_8.8.13_1","ref",3.56930457699346,1.18976819233115
"111CBCAER_8.8.13_2","ref",3.85130625707539,1.28376875235846
"111CE0569_5.11.10_1","ref",3.00440513360519,1.0014683778684
"111CE0569_6.15.10_1","ref",3.37919404370085,1.12639801456695
"111CE0569_7.20.10_1","ref",2.57875400596987,0.859584668656624
"111CE0569_9.1.10_1","ref",3.45575238131575,1.15191746043858
"111ERATRC_10.10.12_1","ref",3.2921992447845,1.0973997482615
"111FS0001_7.5.11_1","ref",2.88643076541319,1.4432153827066
"111FS0007_7.11.11_1","ref",3.65100169507505,1.21700056502501
"111FS0008_5.2.12_1","ref",1.43935625698603,0.719678128493015
"111FS0008_6.7.12_1","ref",3.2421103282698,1.0807034427566
"111FS0008_7.19.12_1","ref",3.74970423501072,1.24990141167024
"111FS0008_7.6.11_1","ref",3.61199639742512,1.20399879914171
"111HSCAER_7.26.11_1","ref",3.5818973470497,1.1939657823499
"111HSCAER_7.26.11_2","ref",3.08458133945462,1.02819377981821
"111PAL105_7.13.11_1","ref",4.08500008941259,1.36166669647086
"111PS0060_10.7.08_1","ref",3.54147050605203,1.18049016868401
"111PS0110_6.24.09_1","ref",3.46980786119518,1.15660262039839
"111PS0110_6.9.14_1","ref",1.74984462916988,0.874922314584941
"111PS0144_8.18.10_1","ref",3.41947335795306,1.13982445265102
"111PS0160_7.25.11_1","ref",3.21697377605369,1.0723245920179
"111PS0204_8.17.10_1","ref",3.49500197427122,1.16500065809041
"111RSCAER_8.8.11_1","ref",2.84600191628711,0.948667305429036
"111TGCAER_7.24.12_1","ref",3.78795184496796,1.26265061498932
"111TGCAER_8.17.10_1","ref",3.12680215467939,1.04226738489313
"111WE0816_6.12.13_1","ref",3.98518637551952,1.32839545850651
"111WE1050_6.12.13_1","ref",3.12332106813353,1.04110702271118
"111WE1071_7.26.12_1","ref",4.05877697662881,1.35292565887627
"111WER003_6.10.14_1","ref",2.575076061716,0.858358687238667
"111WER008_7.23.12_1","ref",4.02136753412696,1.34045584470899
"111WER159_10.19.09_1","ref",3.34337499923504,1.11445833307835
"111WER159_5.21.09_1","ref",3.89172263588294,1.29724087862765
"111WER159_6.24.09_1","ref",2.4811352720409,0.8270450906803
"111WER159_8.3.09_1","ref",3.19124287107308,1.06374762369103
"111WER159_9.16.09_1","ref",2.59232609075161,0.864108696917203
"113RG8046_8.19.10_1","ref",3.03368151999935,1.01122717333312
"113RG8046_8.19.10_2","ref",2.99377067783966,0.997923559279888
"114CE0131_7.31.12_1","ref",3.34497947358851,1.11499315786284
"114PS0145_6.20.11_1","ref",2.93413370393537,0.978044567978457
"114WE0614_7.9.12_1","ref",3.0466241733076,1.01554139110253
"114WE0614_7.9.12_2","ref",2.53367022194869,0.844556740649563
"115EBAG01_7.1.10_1","ref",2.82748880584203,0.942496268614011
"201AHO350_6.20.12_1","ref",2.55729378705452,0.852431262351506
"201CHE300_6.18.12_1","ref",2.29288132822421,0.764293776074735
"201LAG335_7.15.09_1","ref",3.90957157229301,1.30319052409767
"201MRS020_9.13.10_1","ref",2.6683794715278,0.8894598238426
"202BUT030_6.29.10_1","ref",2.74799085303673,0.915996951012243
"202BUT040_6.14.11_1","ref",3.8241001577283,1.2747000525761
"202BUT040_6.4.14_1","ref",2.57255230828589,0.857517436095297
"202BUT050_6.16.09_1","ref",2.49504472133647,0.831681573778822
"202BUT480_6.25.12_1","ref",3.23717405299202,1.07905801766401
"202BUT600_6.26.12_1","ref",3.32768598707655,1.10922866235885
"202DRY010_6.5.13_1","ref",1.44064357972114,0.480214526573715
"202PES168_6.6.13_1","ref",2.61667685554235,0.872225618514118
"202R00024_6.6.12_1","ref",2.59775708854399,0.865919029514664
"202R00280_5.22.13_1","ref",1.82178280599082,0.607260935330274
"202SPE090_6.15.09_1","ref",3.74295766194305,1.24765255398102
"204AHOACR_6.2.14_1","ref",1.43633901829256,0.718169509146282
"204ALA500_6.10.13_1","ref",2.91443665183727,0.971478883945757
"204ALA500_6.10.13_2","ref",2.76421373752515,0.921404579175049
"204ARH090_6.2.14_1","ref",3.07962304593403,1.02654101531134
"204IND200_4.13.09_1","ref",3.19040953052019,1.06346984350673
"204IND200_4.29.08_1","ref",2.69218400388141,0.897394667960471
"204IND200_5.25.10_1","ref",3.35901000616638,1.11967000205546
"204IND200_5.25.10_2","ref",2.99507176711533,0.998357255705111
"204IND200_6.11.09_1","ref",3.27796558003202,1.09265519334401
"204R00189_5.6.13_1","ref",2.62102948102966,0.873676493676552
"204SIN300_5.15.12_1","ref",2.88674745748083,1.44337372874042
"204VAL400_5.19.14_1","ref",3.12048993674143,1.04016331224714
"205AAG075_6.12.13_1","ref",2.96776004366132,0.989253347887106
"205AAG375_5.14.14_1","ref",2.4958429231132,0.831947641037732
"205AAG400_6.5.12_1","ref",2.82561030702541,0.941870102341802
"205AAG400_6.5.12_2","ref",3.22096410756451,1.0736547025215
"205COY585_5.28.13_1","ref",3.21539265338748,1.07179755112916
"205COY610_4.15.09_1","ref",2.35241106084543,0.784137020281811
"205COY610_4.15.09_2","ref",3.69853023452089,1.23284341150696
"205COY610_4.30.08_1","ref",2.56222855196824,0.854076183989413
"205COY610_6.3.10_1","ref",4.11407916692393,1.37135972230798
"205COY610_6.8.09_1","ref",2.47936756310423,0.826455854368076
"205COY615_6.3.14_1","ref",2.56586661144298,0.855288870480992
"205COY615_6.3.14_2","ref",2.76993654588248,0.923312181960827
"205COY850_5.21.12_1","ref",2.68420742105997,0.894735807019989
"205COY853_5.29.14_1","ref",2.40157227163953,0.800524090546511
"205COY900_5.16.12_1","ref",2.83570691758142,0.945235639193805
"205COY930_5.7.13_1","ref",2.96018700474651,0.986729001582169
"205CYCAHH_6.10.08_1","ref",2.85315213691852,0.951050712306175
"205CYCBBC_6.28.10_1","ref",3.98980788623531,1.32993596207844
"205LGA700_5.23.12_1","ref",3.27441242533571,1.09147080844524
"205R00021_5.16.12_1","ref",2.5703251728483,0.856775057616098
"205R00182_5.7.13_1","ref",3.02902609412705,1.00967536470902
"205SFC880_6.19.12_1","ref",2.81215808569723,0.937386028565742
"205WUN450_6.11.12_1","ref",3.62902714786947,1.20967571595649
"205WUN550_5.6.13_1","ref",2.90735265045166,0.969117550150552
"206BRC020_6.27.12_1","ref",2.88415776035459,0.961385920118196
"206BRC020_6.27.12_2","ref",1.38108602359824,0.46036200786608
"206HCT020_5.29.12_1","ref",3.90669927136273,1.30223309045424
"206RCCBDC_7.20.10_1","ref",3.32752506879961,1.1091750229332
"206TUL120_6.13.11_1","ref",3.36466663549704,1.12155554516568
"207GVC800_5.23.13_1","ref",2.60664539892597,0.868881799641989
"207SUI290_6.4.12_1","ref",2.32065753632059,0.773552512106864
"207SUI800_5.5.14_1","ref",1.66794459510581,0.555981531701936
"304WDCAH1_6.29.10_1","ref",3.08167856998566,1.02722618999522
"305LGCACR_7.16.08_1","ref",2.80573439465918,0.935244798219728
"305LGCBRC_6.30.10_1","ref",3.00175023384236,1.00058341128079
"305SSCAUC_6.29.10_1","ref",2.55157134110966,0.850523780369885
"305UVCASC_6.29.10_1","ref",4.01296160352726,1.33765386784242
"307CE0094_6.12.12_1","ref",3.12336579257363,1.04112193085788
"307CE0094_6.12.12_2","ref",3.32598479834216,1.10866159944739
"307CMRADC_5.20.14_1","ref",2.570228789332,0.856742929777333
"307CMRADC_5.20.14_2","ref",1.43017559270168,0.715087796350841
"307CMRADC_6.22.10_1","ref",2.85465000866044,0.951550002886812
"307SCCARR_6.21.10_1","ref",2.71311655278487,0.904372184261623
"308BSU_7.13.10_1","ref",3.17659331346534,1.05886443782178
"308LILPAL_6.20.12_1","ref",2.85047924127112,0.950159747090373
"308LSRASC_6.13.11_1","ref",2.86329810103375,0.954432700344585
"308LSRASC_7.18.11_1","ref",3.5016017397883,1.16720057992943
"308MWCAH1_6.23.10_1","ref",3.78419733841347,1.26139911280449
