"","Predicted"
"102PS0139_8.9.10_1",0.398366666666667
"103FCA168_7.24.13_1",0.000499999999999923
"103PS0217_9.10.13_1",0.000499999999999923
"103RDCBCC_7.21.11_1",0.2888
"105PS0028_8.12.08_1",0.0225333333333333
"105PS0028_8.26.08_1",0.0225333333333333
"105PS0067_8.24.09_1",0.0310333333333333
"105PS0067_8.24.09_2",0.0310333333333333
"105PS0067_9.15.09_1",0.0310333333333333
"105PS0069_8.18.09_1",0.00513333333333324
"105PS0092_8.11.08_1",0.000499999999999923
"105PS0107_9.14.09_1",0.214266666666667
"105PS0129_8.11.10_1",0.408366666666667
"105PS0129_8.11.10_2",0.408366666666667
"105PS0149_8.29.12_1",0.116033333333333
"105PS0211_8.20.13_1",0.0321
"105PS0211_9.16.13_1",0.0321
"105PS0231_8.29.13_1",0.203766666666667
"105PS0276_9.1.09_1",0.5088
"105PS0276_9.22.09_1",0.5088
"105PS0540_8.5.10_1",0.000499999999999923
"105PS1148_9.18.12_1",0.3902
"105PS1404_8.28.13_1",0.3563
"105PS1404_8.28.13_2",0.3563
"106FCA036_7.15.13_1",0.0141333333333333
"106HLCACC_9.23.13_1",0.114966666666667
"106PS0022_9.30.08_1",0.195266666666667
"106PS0051_9.16.08_1",0.0848666666666667
"106PS0051_9.16.08_2",0.0848666666666667
"106PS0106_9.8.09_1",0.00529999999999999
"106PS0106_9.8.09_2",0.00529999999999999
"106PS0122_9.20.10_1",0.00333333333333323
"106PS0142_7.19.10_1",0.193933333333333
"106PS0206_10.3.12_1",0.341366666666667
"106PTCAHC_9.2.08_1",0.2127
"107GWCAPC_9.15.10_1",0.2745
"107RWCBHW_8.3.11_1",0.411361904761905
"107RWCBHW_8.3.11_2",0.411361904761905
"108PS0197_8.16.12_1",0.160233333333333
"110PS0114_7.21.10_1",0.104033333333333
"110SMCATH_7.27.11_1",0.107633333333333
"111CE0569_10.11.10_1",0.0715333333333333
"111FCA207_7.23.13_1",0.276566666666667
"111PS0008_9.29.08_1",0.261895238095238
"111PS0008_9.9.08_1",0.261895238095238
"111PS0008_9.9.08_2",0.261895238095238
"111PS0013_8.19.08_1",0.0588
"111PS0095_8.27.09_1",0.3675
"111PS0095_8.27.09_2",0.3675
"111PS0121_7.20.10_1",0.318066666666667
"111PS0159_7.14.11_1",0.486266666666667
"111PS0169_7.25.11_1",0.1318
"111PS0169_7.25.11_2",0.1318
"111PS0178_8.14.12_1",0.0114666666666667
"111PS0237_9.12.13_1",0.00479999999999999
"112PS0157_7.12.11_1",0.104333333333333
"113GAR011_8.22.11_1",0.7345
"113GAR011_9.1.10_1",0.7345
"113GAR015_8.23.11_1",0.603333333333333
"113GAR015_8.31.10_1",0.603333333333333
"113GAR015_9.9.13_1",0.603333333333333
"113GAR023_7.22.14_1",0.7305
"113GAR023_8.5.13_1",0.7305
"113GAR030_8.26.09_1",0.5971
"113GAR030_8.26.09_2",0.5971
"113GAR030_8.28.12_1",0.5971
"113GAR042_9.10.13_1",0.728766666666667
"113GAR062_6.30.09_1",0.728266666666667
"113GAR062_8.27.12_1",0.728266666666667
"113GAR087_6.29.10_1",0.7305
"113GAR087_8.6.13_1",0.7305
"113GAR087_9.11.12_1",0.7305
"113GAR087_9.11.12_2",0.7305
"113GAR089_6.14.10_1",0.7305
"113GAR089_6.20.11_1",0.7305
"113GAR089_8.5.09_1",0.7305
"113GAR105_6.14.10_1",0.7305
"113GAR105_6.20.11_1",0.7305
"113GAR105_8.4.09_1",0.7305
"113GAR112_6.15.10_1",0.736933333333333
"113GAR112_7.22.14_1",0.736933333333333
"113GAR112_8.22.11_1",0.736933333333333
"113GAR112_8.4.09_1",0.736933333333333
"113GAR112_8.4.09_2",0.736933333333333
"113GAR112_8.7.13_1",0.736933333333333
"113GAR118_7.26.10_1",0.268333333333333
"113GAR118_9.10.12_1",0.268333333333333
"113GAR178_6.21.11_1",0.285066666666667
"113GAR178_7.23.14_1",0.285066666666667
"113GAR178_8.31.10_1",0.285066666666667
"113GAR178_9.9.13_1",0.285066666666667
"113GAR178_9.9.13_2",0.285066666666667
"113GAR244_6.28.10_1",0.243433333333333
"113PS0012_9.9.08_1",0.432533333333333
"113PS0012_9.9.08_2",0.432533333333333
"113PS0076_8.2.12_1",0.735933333333333
"113PS0076_8.22.12_1",0.735933333333333
"113PS0120_9.14.10_1",0.729957142857143
"113PS0168_7.6.11_1",0.252333333333333
"113PS0216_9.3.13_1",0.117933333333333
"113PS0232_9.4.13_1",0.295533333333333
"113PS0232_9.4.13_2",0.295533333333333
"113PS0268_6.11.14_1",0.559066666666667
"114AU7778_6.21.10_1",0.2569
"114FCA199_8.1.13_1",0.865533333333334
"114GV3469_7.5.11_1",0.239433333333333
"114GV5331_7.6.11_1",0.234866666666667
"114MA2364_7.6.10_1",0.6808
"114MRCURX_6.24.08_1",0.761233333333334
"114PS0088_8.19.09_1",0.525
"114PS0209_6.10.13_1",0.6222
"114PS0229_6.4.13_1",0.572533333333333
"114WER118_8.20.08_1",0.553366666666667
"115SALG01_6.30.10_1",0.0435333333333333
"115SC6093_7.7.11_1",0.0524666666666667
"115SC6093_7.7.11_2",0.0524666666666667
"201LAG190_10.6.08_1",0.0396666666666666
"201LAG380_7.14.09_1",0.108366666666667
"201RDW080_4.29.09_1",0.224733333333333
"201RDW080_5.7.08_1",0.224733333333333
"201RDW080_6.2.10_1",0.224733333333333
"201RDW080_6.23.08_1",0.224733333333333
"201RDW080_6.3.09_1",0.224733333333333
"201RDW080_6.3.09_2",0.224733333333333
"201RDW080_8.11.09_1",0.224733333333333
"201RDW080_8.12.08_1",0.224733333333333
"202LAH950_6.13.12_1",0.0776
"202MIC150_5.7.14_1",0.00573333333333332
"202PES162_4.27.09_1",0.0226666666666667
"202PES162_5.1.08_1",0.0226666666666667
"202PES162_6.16.09_1",0.0226666666666667
"202PES162_6.18.08_1",0.0226666666666667
"202PES162_6.7.10_1",0.0226666666666667
"202PES162_8.17.09_1",0.0226666666666667
"202PES162_9.10.08_1",0.0226666666666667
"202PES162_9.10.08_2",0.0226666666666667
"202PS0246_6.5.13_1",0.00894999999999999
"202R00248_5.23.13_1",0.64
"202R00248_5.23.13_2",0.64
"202TUN600_5.12.14_1",0.3278
"203R00983_6.6.13_1",0.113433333333333
"204ALA320_6.17.13_1",0.432866666666667
"204ALA382_6.11.13_1",0.0606523809523809
"204ALA396_6.24.13_1",0.0410523809523809
"204ALA410_5.8.13_1",0.0377190476190476
"204ALA525_5.22.12_1",0.113266666666667
"204IND200_5.20.08_1",0.108408225108225
"204IND200_5.20.08_2",0.108408225108225
"204IND200_6.16.08_1",0.108408225108225
"204R00590_5.8.13_1",0.427533333333333
"204R00647_6.18.12_1",0.0393190476190476
"204R00751_6.5.13_1",0.1402
"204R00751_6.5.13_2",0.1402
"204SLE150_5.9.13_1",0.0289333333333333
"205COY140_6.17.09_1",0.178566666666667
"205GCAxxx_7.15.10_1",0.141390476190476
"205GCAxxx_7.15.10_2",0.141390476190476
"205PS0234_5.22.13_1",0.0608674603174603
"205R00110_6.18.12_1",0.120357142857143
"205R00374_6.3.13_1",0.334565367965368
"205STE110_7.13.09_1",0.0246666666666667
"206NAP700_6.21.12_1",0.382466666666667
"206PIN610_6.3.13_1",0.343466666666667
"206PIN825_5.22.13_1",0.343466666666667
"206R00407_4.24.14_1",0.28995
"206RIC100_5.11.09_1",0.3804
"206RIC100_5.2.08_1",0.3804
"206RIC100_6.1.10_1",0.3804
"206RIC100_6.17.09_1",0.3804
"206RIC100_6.19.08_1",0.3804
"206RIC100_8.12.09_1",0.3804
"206RIC100_8.14.08_1",0.3804
"206RIC100_8.2.11_1",0.3804
"206SON160_9.6.11_1",0.0695666666666667
"206SON300_7.14.09_1",0.119833333333333
"206SON300_8.10.11_1",0.119833333333333
"207MTD117_4.22.09_1",0.124633333333333
"207MTD117_5.24.10_1",0.124633333333333
"207MTD117_5.6.08_1",0.124633333333333
"207R00271_4.29.13_1",0.2893
"207SUI070_6.13.13_1",0.0429
"207SUL200_5.28.14_1",0.1932
"207WAL475_6.12.12_1",0.236833333333333
"207WHC634_5.29.13_1",0.0371333333333333
"207WHC634_5.29.13_2",0.0371333333333333
"304APS_7.6.11_1",0.174333333333333
"304PS0018_6.4.08_1",0.160403174603175
"304PS0194_6.18.12_1",0.357841558441559
"304PS0253_5.22.14_1",0.160726984126984
"304PS0253_6.5.14_1",0.160726984126984
"304SPC236_6.28.10_1",0.378832034632035
"305CLCSBR_6.11.08_1",0.420010317460317
"307PS0028_6.3.08_1",0.5512
"307PS0044_6.8.09_1",0.4783
"308BGC_5.28.14_1",0.230633333333333
"308BGC_6.14.11_1",0.230633333333333
"308BGC_8.11.11_1",0.230633333333333
"308LIM_6.4.14_1",0.124728571428571
"308LIM_6.4.14_2",0.124728571428571
"308PS0204_5.21.13_1",0.2897
"309ANT_5.24.12_1",0.425933333333333
"309CLCBVC_7.15.08_1",0.266588095238095
"309LAS1MI_6.13.12_1",0.244733333333333
"309LOR_5.29.12_1",0.213533333333333
"309PS0040_6.3.08_1",0.599633333333333
"309PS0043_6.10.09_1",0.406266666666667
"309PS0043_7.8.09_1",0.406266666666667
"309SAP_5.23.12_1",0.58475
"309SARANF_8.26.08_1",0.2089
"309SDCMCC_7.14.08_1",0.888633333333334
"309SEC_7.2.12_1",0.247966666666667
"309SED071_4.3.12_1",0.0269333333333333
"309SED071_5.3.12_1",0.0269333333333333
"309SED071_6.13.12_1",0.0269333333333333
"309SED071_7.24.12_1",0.0269333333333333
"309SED071_8.30.12_1",0.0269333333333333
