"","Predicted"
"102PS0177_8.28.12_1",0.163233333333333
"103CDCHHR_9.14.10_1",0.000499999999999923
"103STCNSR_8.9.11_1",0.102366666666667
"103WER026_8.15.12_1",0.000499999999999923
"103WER029_7.16.14_1",0.000499999999999923
"103WER030_8.10.11_1",0.0385
"105BVCAGC_9.21.10_1",0.0165833333333333
"105CE0329_7.23.14_1",0.0699333333333333
"105CLCATC_8.10.10_1",0.0225333333333333
"105DLCDCC_10.20.09_1",0.0873666666666666
"105FCA116_7.16.13_1",0.00413333333333324
"105FS0416_9.24.13_1",0.000499999999999923
"105FS0425_8.10.11_1",0.203633333333333
"105FS0428_8.3.11_1",0.183033333333333
"105NWC151_6.26.13_1",0.872433333333334
"105PS0043_9.17.08_1",0.0225333333333333
"105PS0083_9.8.09_1",0.5681
"105PS0090_8.7.12_1",0.0356
"105PS0097_7.22.14_1",0.1815
"105PS0154_8.9.11_1",0.00529999999999999
"105PS0195_8.7.12_1",0.0934666666666667
"105PS0259_9.17.13_1",0.0415666666666667
"105PS0267_7.21.14_1",0.145366666666667
"105PS0468_9.1.09_1",0.849266666666667
"105PS0540_9.15.10_1",0.000499999999999923
"105PS1492_8.6.14_1",0.3534
"105WE0598_7.24.14_1",0.1871
"105WLC135_6.26.13_1",0.880266666666667
"105WLCABC_8.3.11_1",0.128404761904762
"106FS0040_8.30.11_1",0.149866666666667
"106PS0115_9.21.10_1",0.0227333333333333
"106PS0124_8.16.10_1",0.0611666666666667
"106PS0166_8.2.11_1",0.00679999999999998
"106WE0505_7.21.14_1",0.0019999999999999
"106WER011_9.11.13_1",0.216366666666667
"107PS0021_7.14.14_1",0.00513333333333324
"107WER092_8.27.12_1",0.167733333333333
"111BBRBCC_9.23.09_1",0.5491
"111CBCAER_8.8.13_1",0.0324333333333333
"111ERATRC_10.10.12_1",0.466361904761905
"111FS0001_7.5.11_1",0.0906
"111FS0008_7.19.12_1",0.0222333333333333
"111HSCAER_7.26.11_1",0.0678
"111PS0060_10.7.08_1",0.0382666666666667
"111PS0110_6.9.14_1",0.0232333333333333
"111PS0144_8.18.10_1",0.0749666666666667
"111PS0160_7.25.11_1",0.0821
"111PS0204_8.17.10_1",0.0852952380952381
"111RSCAER_8.8.11_1",0.139666666666667
"111TGCAER_7.24.12_1",0.537833333333333
"111WE0816_6.12.13_1",0.0225333333333333
"111WE1050_6.12.13_1",0.012
"111WE1071_7.26.12_1",0.0308
"111WER003_6.10.14_1",0.0471333333333333
"111WER008_7.23.12_1",0.0547
"111WER159_10.19.09_1",0.3493
"113RG8046_8.19.10_1",0.0311
"114CE0131_7.31.12_1",0.749066666666667
"114PS0145_6.20.11_1",0.781466666666667
