"","Predicted"
"103KLCMSR_9.14.10_1",0.0385
"105PS0193_8.29.12_1",0.0758666666666666
"105PS0660_8.3.10_1",0.872433333333334
"105TMCACC_8.10.10_1",0.134233333333333
"106MNCAHC_10.1.08_1",0.122866666666667
"106WE1079_8.8.12_1",0.0133333333333333
"106WER016_10.20.09_1",0.195266666666667
"107LLM101_9.13.10_1",0.00713333333333332
"111BGCAER_6.11.14_1",0.333333333333333
"111FS0007_7.11.11_1",0.217366666666667
"111PAL105_7.13.11_1",0.0993
"202SPE090_6.15.09_1",0.150466666666667
"205AAG075_6.12.13_1",0.0608674603174603
"205COY850_5.21.12_1",0.234045238095238
"205SFC880_6.19.12_1",0.250061904761905
"206BRC020_6.27.12_1",0.341466666666667
"207SUI290_6.4.12_1",0.0865674603174604
"307CMRADC_5.20.14_1",0.383938095238095
"308LSRASC_7.18.11_1",0.143533333333333
"308MWCAH1_6.23.10_1",0.124728571428571
"308PS0156_6.19.12_1",0.115433333333333
"308ROCBBQ_6.21.12_1",0.334433333333333
"309ARCBRC_8.25.08_1",0.283533333333333
"309PS0116_6.16.11_1",0.4204
"312PS0099_6.14.10_1",0.464933333333333
"315CHCALS_6.15.10_1",0.270966666666667
"402BA0095_5.29.08_1",0.666633333333333
"402M00009_6.29.15_1",0.721166666666667
"403S00960_6.2.10_1",0.258366666666667
"403S01536_7.12.11_1",0.4068
"403WE0540_5.14.14_1",0.235366666666667
"403WE0683_5.15.13_1",0.306566666666667
"505PS0110_9.16.10_1",0.0114666666666667
"513CCNASC_7.16.14_1",0.638033333333333
"513STCAIV_6.12.14_1",0.379280952380953
"513UNCAKC_9.23.09_1",0.516414285714286
"514SSC190_9.11.14_1",0.0198
"517FCA046_8.14.13_1",0.00676666666666665
"518BTCASC_6.12.13_1",0.1384
"518FCA075_8.12.13_1",0.1007
"518SPC134_6.18.13_1",0.0233
"522GSCBSC_9.24.09_1",0.3802
"522PS0504_6.11.13_1",0.348433333333333
"526PNCAMF_6.25.13_1",0.0813333333333333
"526PS1420_6.25.13_1",0.2745
"534MLC108_9.14.11_1",-1.06470388061553e-16
"536HLCBFM_6.18.13_1",0.1182
"537TYCAML_7.16.08_1",0.00339999999999995
"540SED003_8.30.11_1",0.000499999999999962
"552DKC268_6.23.14_1",0.0239
"552MFCAKR_6.11.08_1",0.243166666666667
"553KRNAYC_6.17.14_1",0.148261904761905
"554CLCALK_8.23.11_1",0.00946666666666662
"603DDM005_9.13.11_1",0.00669999999999993
"603FCA145_8.21.13_1",0.201258485958486
"603PS0008_7.30.08_1",-3.84137166520304e-17
"603PS0075_8.15.12_1",0.218366666666667
"603PS0109_7.29.08_1",0.1663
"603PS0557_8.18.10_1",0.1021
"603SPCBWC_7.22.08_1",0.0060666666666666
"631DEP001_8.28.12_1",0.00856666666666664
"631PS0033_8.30.10_1",-1.06470388061553e-16
"632ELD001_9.8.11_1",-1.06581410364015e-16
"634CAT055_10.4.11_1",0.00273333333333329
"634GRF001_10.3.11_1",0.0505666666666667
"634HHCATC_10.4.11_1",0.00379999999999989
"634PS0035_9.1.10_1",0.00206666666666663
"634PS0062_10.12.11_1",0.200393650793651
"634WSN001_10.4.11_1",0.138966666666667
"636SAG001_7.12.10_1",0.230133333333333
"639PS1279_6.11.13_1",0.133433333333333
"641OWC157_7.24.13_1",0.306566666666667
"722NP7IDC_4.16.14_1",0.807338095238095
"801DRC025_6.25.14_1",0.169666666666667
"801S03488_5.7.14_1",0.0331333333333333
"801WE0674_5.14.13_1",0.165333333333333
"801WE1008_5.14.13_1",0.143733333333333
"801WE1132_8.19.09_1",0.1745
"901ATCAAS_6.5.08_1",0.147066666666667
"901CSCADC_5.26.11_1",0.297266666666667
"901S06969_5.31.12_1",0.594256349206349
"903WE0798_4.8.15_1",0.922371428571429
"905BCC_6.11.14_1",1.09722380952381
"905S02561_5.25.11_1",0.834871428571429
"909JQCASR_6.1.11_1",0.918033333333333
"911S03354_5.5.09_1",1.37160952380952
"911TJIND2_5.8.08_1",0.606580952380953
"911TJLCC2_4.7.15_1",1.03674761904762
"SCFC1_6.12.08_1",0.281766666666667
"SCSS1_6.17.08_1",0.373466666666667
"SMAD1_11.5.08_1",0.416235714285715
"SMC00135_6.7.10_1",0.4709
"SMC01979_7.14.11_1",0.7477
"SMC02139_7.17.12_1",0.0989166666666667
"SMC04204_7.11.12_1",0.117741558441558
"SMC04383_5.19.14_1",0.947766666666667
"SMC06467_6.28.10_1",0.475907936507936
"SMC19809_6.25.13_1",0.938966666666667
