"","Predicted"
"105PS0188_8.26.08_1",0.3902
"105PS0188_8.26.08_2",0.3902
"106FC1183_7.24.14_1",0.1318
"106FC1313_7.23.14_1",0.0706333333333333
"106PS0078_8.26.09_1",0.193933333333333
"106PS0173_8.4.11_1",0.0124666666666667
"106PS0186_9.26.12_1",0.0203333333333333
"109PS0162_7.20.11_1",-2.07611705604904e-17
"110ECSLSF_7.26.11_1",0.0818666666666667
"110FCA102_7.25.13_1",0.0222666666666667
"111CR1012_8.18.14_1",0.1557
"111PS0057_8.18.08_1",0.0936333333333334
"113GAR010_6.8.09_1",0.228633333333333
"113GAR010_8.27.12_1",0.228633333333333
"113GAR038_6.8.09_1",0.269866666666667
"113GAR038_9.10.12_1",0.269866666666667
"113GAR046_6.18.12_1",0.728266666666667
"113GAR046_6.8.09_1",0.728266666666667
"113GAR046_9.2.14_1",0.728266666666667
"113GAR061_6.19.12_1",0.7345
"113GAR061_7.1.09_1",0.7345
"113GAR061_9.3.14_1",0.7345
"113GAR061_9.3.14_2",0.7345
"113GAR084_6.28.10_1",0.2763
"113GAR094_7.27.10_1",0.5971
"113GAR094_7.27.10_2",0.5971
"113GAR110_6.18.12_1",0.235133333333333
"113GAR110_6.30.09_1",0.235133333333333
"113GAR110_9.2.14_1",0.235133333333333
"113PS0084_8.18.09_1",0.175233333333333
"113PS0100_8.25.09_1",0.329
"113PS0132_9.15.10_1",0.426466666666667
"113PS0196_8.1.12_1",0.2452
"114CR0903_8.26.13_1",0.750366666666667
"114CR0903_9.25.13_1",0.750366666666667
"114PS0149_7.10.12_1",0.2471
"114PS0152_7.7.11_1",0.0851333333333333
"114PS0152_8.18.11_1",0.0851333333333333
"114RR1041_10.10.11_1",0.294533333333333
"114RR1041_10.25.11_1",0.294533333333333
"114RR1041_10.25.11_2",0.294533333333333
"114RR1041_8.2.11_1",0.294533333333333
"114RR1041_9.7.11_1",0.294533333333333
"114RR1310_6.2.11_1",0.2792
"114RR1599_10.10.11_1",0.2752
"114RR1599_10.25.11_1",0.2752
"114RR1599_6.2.11_1",0.2752
"114RR1599_6.27.11_1",0.2752
"114RR1599_8.2.11_1",0.2752
"114RR1599_8.2.11_2",0.2752
"114RR1599_9.7.11_1",0.2752
"114RR2678_10.11.11_1",0.614533333333333
"114RR2678_10.24.11_1",0.614533333333333
"114RR2678_6.29.11_1",0.614533333333333
"114RR2678_8.1.11_1",0.614533333333333
"114RR2678_9.13.11_1",0.614533333333333
"114RR2769_6.1.11_1",0.628533333333333
"114RR2899_10.11.11_1",0.676633333333333
"114RR2899_10.24.11_1",0.676633333333333
"114RR2899_6.1.11_1",0.676633333333333
"114RR2899_6.29.11_1",0.676633333333333
"114RR2899_8.1.11_1",0.676633333333333
"114RR2899_9.13.11_1",0.676633333333333
"202BUT850_6.4.13_1",0.0938333333333333
"202PS0134_5.31.11_1",0.241333333333333
"202R00087_5.30.12_1",0.129366666666667
"202R00284_6.15.12_1",0.174895238095238
"202R00908_5.21.13_1",0.1312
"203PS0070_7.19.10_1",0.108366666666667
"203PS0070_9.7.10_1",0.108366666666667
"203R00039_5.14.12_1",0.0335333333333333
"204ALP040_4.10.11_1",0.201766666666667
"204ALP040_6.29.11_1",0.201766666666667
"204ALP105_4.10.11_1",0.611133333333333
"204ALP151_4.10.11_1",0.232433333333333
"204ALP151_6.29.11_1",0.232433333333333
"204PS0038_6.19.08_1",0.0431
"204PS0094_7.14.10_1",0.140533333333333
"204PS0102_6.15.11_1",0.0472666666666667
"204PS0102_6.15.11_2",0.0472666666666667
"204PS0102_8.10.11_1",0.0472666666666667
"204PS0118_6.15.11_1",0.247133333333333
"204R00047_6.6.12_1",0.0370333333333333
"204R00063_6.4.13_1",0.0878666666666667
"204R00068_5.31.12_1",0.0634333333333333
"204R00084_5.24.12_1",0.3056
"204R00100_5.30.12_1",0.164528571428571
"204R00180_5.30.12_1",0.0990333333333333
"204R00191_5.29.12_1",0.427533333333333
"204R00200_5.31.12_1",0.11662380952381
"204R00232_6.12.12_1",0.0357190476190476
"204R00232_6.12.12_2",0.0357190476190476
"204R00244_6.12.12_1",0.0608674603174603
"204R00303_6.14.12_1",0.0970748917748918
"204R00319_6.7.12_1",0.141757142857143
"204R00319_6.7.12_2",0.141757142857143
"204R00327_5.7.13_1",0.0702333333333333
"204R00334_5.8.13_1",0.427533333333333
"204R00340_6.11.12_1",0.365366666666667
"204R00356_5.30.12_1",0.140533333333333
"204R00356_6.4.12_1",0.140533333333333
"204R00367_6.12.12_1",0.0644674603174603
"204R00383_6.11.12_1",0.0702333333333333
"204R00391_6.6.12_1",0.217994444444444
"204R00436_5.20.13_1",0.2062
"204R00447_4.2.13_1",0.0393190476190476
"204R00447_4.22.13_1",0.0393190476190476
"204R00455_6.13.12_1",0.0106666666666667
"204R00473_5.9.13_1",0.427533333333333
"204R00473_5.9.13_2",0.427533333333333
"204R00520_5.28.13_1",0.172033333333333
"204R00583_6.13.12_1",0.0507666666666667
"204R00596_5.31.12_1",0.0628666666666667
"204R00623_6.3.13_1",0.427533333333333
"204R00639_6.19.12_1",0.0472666666666667
"204R00680_5.28.13_1",0.0498
"204R00724_5.21.13_1",0.3286
"204R00807_5.21.13_1",0.116657142857143
"204R00852_5.6.13_1",0.425533333333333
"204R00884_5.20.13_1",0.250433333333333
"204R00967_4.25.13_1",0.0718007936507937
"204R01316_5.22.13_1",0.201766666666667
"204R01471_5.22.13_1",0.140533333333333
"205PS0045_6.17.09_1",0.0634
"205PS0045_6.17.09_2",0.0634
"205PS0074_7.14.10_1",0.00459999999999999
"205PS0106_6.21.11_1",0.483766666666667
"205PS0109_6.21.11_1",0.567933333333333
"205PS0138_6.1.11_1",0.477766666666667
"205PS0157_6.19.12_1",0.2989
"205PS0170_6.19.12_1",0.483766666666667
"205PS0173_6.20.12_1",0.137508225108225
"205PS0173_6.20.12_2",0.137508225108225
"205PS0202_5.22.13_1",0.1207
"205PS0202_7.17.13_1",0.1207
"205PS0221_5.20.13_1",0.2929
"205R00026_5.14.12_1",0.176508225108225
"205R00035_5.24.12_1",0.0628674603174603
"205R00035_5.24.12_2",0.0628674603174603
"205R00042_5.21.12_1",0.3049
"205R00067_6.3.12_1",0.0628674603174603
"205R00088_6.4.12_1",0.0124
"205R00090_5.23.12_1",0.582166666666667
"205R00099_5.17.12_1",0.0310666666666667
"205R00115_6.5.12_1",0.0941415584415584
"205R00131_6.3.12_1",0.0608674603174603
"205R00154_5.22.12_1",0.321566666666667
"205R00168_6.4.12_1",0.00459999999999999
"205R00174_4.23.13_1",0.0738007936507937
"205R00218_5.23.12_1",0.582166666666667
"205R00227_6.5.12_1",0.477766666666667
"205R00234_5.15.12_1",0.123508225108225
"205R00241_5.21.12_1",0.0906007936507937
"205R00259_6.14.12_1",0.0124
"205R00282_5.22.12_1",0.0465666666666667
"205R00291_6.13.12_1",0.216066666666667
"205R00346_6.14.12_1",0.0261666666666667
"205R00346_6.14.12_2",0.0261666666666667
"205R00355_6.13.12_1",0.13836746031746
"205R00387_6.6.13_1",0.0498
"205R00419_6.11.13_1",0.149908225108225
"205R00430_6.5.12_1",0.0104
"205R00451_6.5.13_1",0.483766666666667
"205R00474_5.9.13_1",0.2969
"205R00535_6.20.12_1",0.0858007936507937
"205R00535_6.20.12_2",0.0858007936507937
"205R00538_5.8.13_1",0.418693650793651
"205R00547_6.4.13_1",0.0680373015873016
"205R00554_5.29.13_1",0.0654
"205R00586_6.10.13_1",0.24272380952381
"205R00602_6.3.13_1",0.0700666666666667
"205R00627_6.4.13_1",0.0357190476190476
"205R00666_5.9.13_1",0.576166666666667
"205R00686_4.24.13_1",0.0421
"205R00707_6.5.13_1",0.0608674603174603
"205R00707_6.5.13_2",0.0608674603174603
"205R00714_6.10.13_1",0.176508225108225
"205R00739_6.11.13_1",0.463266666666667
"205R00771_6.6.13_1",0.0633666666666667
"205R00872_5.27.13_1",0.0354333333333333
"205R00878_4.24.13_1",0.0858007936507937
"205R00984_5.27.13_1",0.00459999999999999
"205R01134_5.20.13_1",0.0704333333333333
"205R01198_5.20.13_1",0.3931
"205R01390_5.23.13_1",0.342266666666667
"205SAR057_5.13.09_1",0.0906007936507937
"205SAR060_5.13.09_1",0.0201666666666667
"205SAR070_5.14.09_1",0.0261666666666667
"205SAR080_5.14.09_1",0.0405666666666667
"206FCA155_7.31.13_1",0.0968415584415584
