"","Predicted"
"102PS0177_8.28.12_1",0.355276190476191
"103CDCHHR_9.14.10_1",0.948790476190477
"103STCNSR_8.9.11_1",0.383133333333333
"103WER026_8.15.12_1",0.564902380952381
"103WER029_7.16.14_1",0.948790476190477
"103WER030_8.10.11_1",0.4819
"105BVCAGC_9.21.10_1",0.283534848484849
"105CE0329_7.23.14_1",0.1077
"105CLCATC_8.10.10_1",0.414033333333333
"105DLCDCC_10.20.09_1",0.791866666666667
"105FCA116_7.16.13_1",0.550010989010989
"105FS0416_9.24.13_1",0.8512
"105FS0425_8.10.11_1",0.331733333333333
"105FS0428_8.3.11_1",0.6356
"105NWC151_6.26.13_1",1.57096666666667
"105PS0043_9.17.08_1",1.79383333333333
"105PS0083_9.8.09_1",0.201666666666667
"105PS0090_8.7.12_1",0.1067
"105PS0097_7.22.14_1",0.775566666666667
"105PS0154_8.9.11_1",0.732300000000001
"105PS0195_8.7.12_1",0.205766666666667
"105PS0259_9.17.13_1",0.678785714285714
"105PS0267_7.21.14_1",0.867897619047619
"105PS0468_9.1.09_1",1.31193333333333
"105PS0540_9.15.10_1",1.64439603174603
"105PS1492_8.6.14_1",0.918566666666667
"105WE0598_7.24.14_1",0.673966666666666
"105WLC135_6.26.13_1",1.85366666666667
"105WLCABC_8.3.11_1",2.12786666666667
"106FS0040_8.30.11_1",0.789433333333334
"106PS0115_9.21.10_1",0.754166666666667
"106PS0124_8.16.10_1",0.634090476190476
"106PS0166_8.2.11_1",1.20233333333333
"106WE0505_7.21.14_1",0.660366666666667
"106WER011_9.11.13_1",0.604566666666667
"107PS0021_7.14.14_1",0.948790476190477
"107WER092_8.27.12_1",2.06154444444444
"111BBRBCC_9.23.09_1",1.302
"111CBCAER_8.8.13_1",0.860323015873016
"111ERATRC_10.10.12_1",0.887066666666666
"111FS0001_7.5.11_1",0.6983
"111FS0008_7.19.12_1",1.33496666666667
"111HSCAER_7.26.11_1",1.7065
"111PS0060_10.7.08_1",2.06476666666667
"111PS0110_6.9.14_1",0.7689
"111PS0144_8.18.10_1",1.5558
"111PS0160_7.25.11_1",1.66776666666667
"111PS0204_8.17.10_1",1.482
"111RSCAER_8.8.11_1",0.309166666666667
"111TGCAER_7.24.12_1",0.550833333333333
"111WE0816_6.12.13_1",0.405290476190476
"111WE1050_6.12.13_1",0.382684920634921
"111WE1071_7.26.12_1",0.413251587301588
"111WER003_6.10.14_1",0.293166666666667
"111WER008_7.23.12_1",0.3178
"111WER159_10.19.09_1",0.762033333333334
"113RG8046_8.19.10_1",2.7702
"114CE0131_7.31.12_1",4.22881428571429
"114PS0145_6.20.11_1",3.23746666666667
"114WE0614_7.9.12_1",2.01042142857143
"115EBAG01_7.1.10_1",4.4165
"201AHO350_6.20.12_1",1.8429
"201CHE300_6.18.12_1",4.33613333333333
"201LAG335_7.15.09_1",2.12154285714286
"201MRS020_9.13.10_1",2.12053333333333
"202BUT030_6.29.10_1",2.99277619047619
"202BUT040_6.4.14_1",0.798866666666667
"202BUT050_6.16.09_1",1.1955246031746
"202BUT480_6.25.12_1",1.15601984126984
"202BUT600_6.26.12_1",1.43418650793651
"202DRY010_6.5.13_1",2.93686666666667
"202PES168_6.6.13_1",2.30733333333333
"202R00024_6.6.12_1",4.8336
"202R00280_5.22.13_1",2.22217943722944
"204AHOACR_6.2.14_1",1.21824285714286
"204ALA500_6.10.13_1",2.4766
"204ARH090_6.2.14_1",2.83911435786436
"204IND200_5.25.10_1",3.29866666666667
"204R00189_5.6.13_1",3.27008578643579
"204SIN300_5.15.12_1",1.28543333333333
"204VAL400_5.19.14_1",1.94584285714286
"205AAG375_5.14.14_1",3.31680952380952
"205AAG400_6.5.12_1",2.94852619047619
"205COY585_5.28.13_1",2.87681435786436
"205COY610_6.3.10_1",2.05313333333333
"205COY615_6.3.14_1",3.42671111111111
"205COY853_5.29.14_1",2.67091911976912
"205COY900_5.16.12_1",3.11503333333333
"205COY930_5.7.13_1",2.56319523809524
"205CYCAHH_6.10.08_1",3.25603333333333
"205CYCBBC_6.28.10_1",1.94886666666667
"205LGA700_5.23.12_1",1.7597
"205R00021_5.16.12_1",1.08584761904762
"205R00182_5.7.13_1",3.77667619047619
"205WUN450_6.11.12_1",1.6099
"205WUN550_5.6.13_1",2.2464
"206HCT020_5.29.12_1",2.33580476190476
"206RCCBDC_7.20.10_1",2.1804
"206TUL120_6.13.11_1",1.80433333333333
"207GVC800_5.23.13_1",2.2638
"207SUI800_5.5.14_1",5.55443333333334
"304WDCAH1_6.29.10_1",2.9821
"305LGCACR_7.16.08_1",3.56253333333334
"305LGCBRC_6.30.10_1",2.94852619047619
"305SSCAUC_6.29.10_1",2.19777380952381
"305UVCASC_6.29.10_1",1.69468023088023
"307CE0094_6.12.12_1",2.73183095238095
"307SCCARR_6.21.10_1",4.08953095238095
"308BSU_7.13.10_1",2.84653333333333
"308LILPAL_6.20.12_1",2.28466666666667
"308PWCAH1_6.22.10_1",1.51666666666667
"308SAM_6.23.10_1",1.71596666666667
"308SANWIL_6.12.12_1",4.03736428571429
"308SBCAH1_6.21.10_1",2.80695
"309ARSARC_6.23.10_1",2.72874365079365
"309CAW126_5.21.14_1",0.9818
"309NAF_5.24.12_1",1.5556
"309WLCATC_6.22.10_1",2.81804047619048
"310COO_6.24.10_1",2.5297
"310LPCBPC_6.9.09_1",1.87966666666667
"312DAVDAV_6.7.12_1",4.7605
"312MZCDBC_5.13.14_1",2.1388
"312RYCALR_6.16.10_1",3.45268095238095
"402BA0287_6.9.08_1",2.4589
"402M00005_6.11.15_1",3.81006666666667
"402MTCUNF_6.5.12_1",3.19296666666667
"402PS0048_5.21.08_1",3.7429
"403BA0015_5.19.08_1",3.50136666666667
"403BA0064_6.18.14_1",3.80921362526362
"403BA0140_5.21.08_1",4.5268
"403BA0171_5.19.08_1",4.42066031746032
"403LNCASC_6.15.10_1",2.35861428571429
"403S00875_6.24.10_1",4.51629365079365
"403S01883_6.21.10_1",2.74796666666667
"403S03643_6.24.10_1",4.83933333333333
"403S06315_6.27.12_1",3.45376666666667
"403STC064_6.8.11_1",1.81646666666667
"403STC086_6.21.11_1",2.97953333333333
"403WE0501_5.14.13_1",3.28093333333333
"403WE1027_5.14.14_1",1.1153
"405BRCAMS_6.7.11_1",1.67033095238095
"405BRCASG_5.7.14_1",0.6195
"405BRCSGR_5.28.08_1",1.30823095238095
"405SGRAAG_5.28.08_1",0.5501
"405WER318_8.18.09_1",1.4146
"504DCFRxx_7.27.10_1",2.1422873015873
"504PS0227_8.12.09_1",2.07563809523809
"504WE0527_7.2.13_1",2.1790873015873
"505BMCMCR_8.4.10_1",1.059
"505LBCAMR_8.7.13_1",1.08046666666667
"505PS0174_9.27.11_1",1.1732
"506PS0062_9.15.08_1",1.2171
"507MZCAML_7.17.12_1",1.21411984126984
"509ACNFPP_9.25.14_1",1.42679047619048
"509ACSFPP_7.16.08_1",1.8134380952381
"509ATCINC_7.14.08_1",2.30156666666667
"509BSCADC_8.31.11_1",0.587466666666667
"509CBCADC_8.24.10_1",1.3654
"509CTCADC_7.10.12_1",0.535933333333333
"509CWCPLR_7.7.08_1",2.2065873015873
"509FCA054_8.27.13_1",2.5669
"509ICPPCX_9.10.08_1",2.3052873015873
"509MLC145_8.6.13_1",2.30681666666667
"509PCDTWR_9.3.08_1",1.2196
"509PMC197_7.2.14_1",0.882866666666667
"509PS0085_9.7.11_1",2.63283333333333
"509PS0170_7.26.10_1",1.63023333333333
"509PS0234_8.15.11_1",1.52046666666667
"509PS0334_9.12.12_1",1.9803
"513BTCACC_9.10.08_1",1.7934
"513PS0008_9.1.10_1",4.65176666666667
"513PS0200_7.30.12_1",1.649
"514BMCARC_9.27.11_1",0.4181
"514BRUUPX_10.9.08_1",0.573680952380952
"514ICEUPx_8.13.14_1",0.300736507936508
"514LNCASC_8.30.11_1",0.352997619047619
"514PCASMR_10.29.14_1",0.458402380952381
"514PS0131_7.28.14_1",1.02351428571429
"514SBCAMR_8.29.11_1",0.190165506715507
"514SCCAAR_7.24.08_1",0.0300666666666666
"514SFA222_7.28.14_1",0.0790357142857143
"517LCCAYB_8.12.08_1",0.985055555555556
"517PS0054_7.28.10_1",1.1972
"517PS0074_9.20.11_1",0.82087619047619
"518CHCANF_7.12.12_1",2.6517
"518CPCRCR_8.20.14_1",0.691569047619048
"518GZCUPx_6.30.14_1",0.350910989010989
"518KNCAWC_8.15.11_1",0.412503846153846
"518MLC181_7.15.14_1",0.6148
"518PS0033_6.29.09_1",1.44006666666667
"518PS0073_8.16.11_1",1.6928
"518PS0093_9.24.12_1",2.15553333333333
"518PS0113_7.9.12_1",1.7227
"518RCNAPC_8.18.14_1",0.591238095238095
"518SDCAHR_6.12.13_1",0.990290476190476
"518SED086_8.17.11_1",0.634297619047619
"518SNCABC_9.26.12_1",0.46055
"518WE0521_6.19.13_1",0.624233333333333
"518WLCBWL_8.5.13_1",0.232033333333333
"518YLCAFR_8.17.11_1",0.926766666666667
"522CE0027_6.9.14_1",1.09030476190476
"522MFSCRB_9.18.08_1",1.8285
"523PS0172_8.10.11_1",0.665756349206349
"523TMCATG_10.5.09_1",2.50912380952381
"524PS0342_7.18.12_1",5.2660380952381
"524PS0650_7.17.14_1",1.4761
"526PS0072_8.7.14_1",0.717033333333333
"526PS0076_8.26.08_1",1.1183967032967
"526PS0396_9.1.09_1",1.89346666666667
"526PS1100_8.21.12_1",1.90163571428571
"526PS1144_8.22.12_1",3.8397
"526PSCBLK_8.21.12_1",2.3607
"526WER123_8.21.12_1",0.822471428571428
"526WTCACT_6.24.13_1",1.20701904761905
"527PS1156_8.21.12_1",0.364466666666667
"532CPC238_7.30.14_1",0.1516
"532CRM206_7.10.14_1",0.494933333333333
"532PTCAER_8.19.13_1",1.06670238095238
"534ANCACF_8.31.10_1",1.27870238095238
"534CFSAIM_7.27.09_1",1.35823333333333
"534DCC167_8.14.13_1",0.118166666666667
"534PS0070_8.30.10_1",1.22066341991342
"534RSCAGG_9.19.11_1",0.276166666666667
"534SPC227_7.9.14_1",0.281590476190476
"534SRCFFC_8.29.12_1",1.48811031746032
"534WER219_8.29.12_1",0.790700793650793
"536CLR247_7.8.14_1",0.287134848484849
"536LLCACR_9.22.11_1",0.597621428571429
"536PS0107_7.17.12_1",1.22187417027417
"536SED006_9.20.11_1",1.4528
"536SED108_9.21.11_1",0.480528571428571
"536STR127_6.17.13_1",1.4991
"536TRC119_6.18.13_1",0.349657142857143
"537ADCH41_9.12.11_1",0.345504761904762
"537BLCABG_9.15.11_1",0.9795
"537BSCAWR_7.15.08_1",0.592147619047619
"537GZCAMR_8.7.08_1",1.34855115440115
"539NDCACC_10.15.09_1",1.37005
"540BCA168_6.24.14_1",0.0732
"540CQCBBR_9.14.11_1",0.817107142857142
"540GNCBTC_9.13.11_1",0.591397619047619
"540MNCANF_9.29.10_1",0.1553
"540MNCASJ_8.24.10_1",0.168533333333333
"540SDC212_6.16.14_1",0.154004761904762
"540SSJ200_6.24.14_1",0.0632333333333333
"552DRCAEF_6.25.14_1",0.17789884004884
"552FCA017_7.30.13_1",3.40843015873016
"552KRSFBC_7.14.08_1",0.723828205128205
