"","Predicted"
"103KLCMSR_9.14.10_1",0.483233333333333
"105PS0193_8.29.12_1",0.339335714285714
"105PS0660_8.3.10_1",1.57096666666667
"105TMCACC_8.10.10_1",1.30573333333333
"106MNCAHC_10.1.08_1",1.55240476190476
"106WE1079_8.8.12_1",1.46503333333333
"106WER016_10.20.09_1",1.88373809523809
"107LLM101_9.13.10_1",0.948790476190477
"111BGCAER_6.11.14_1",0.787433333333334
"111FS0007_7.11.11_1",2.33311666666666
"111PAL105_7.13.11_1",3.14666666666667
"202SPE090_6.15.09_1",3.0225
"205AAG075_6.12.13_1",2.01750555555556
"205COY850_5.21.12_1",1.34326904761905
"205SFC880_6.19.12_1",2.58327222222222
"206BRC020_6.27.12_1",2.83373333333333
"207SUI290_6.4.12_1",2.64173333333333
"307CMRADC_5.20.14_1",1.63147142857143
"308LSRASC_7.18.11_1",3.12833333333333
"308MWCAH1_6.23.10_1",2.57501666666666
"308PS0156_6.19.12_1",1.91160476190476
"308ROCBBQ_6.21.12_1",1.77121587301587
"309ARCBRC_8.25.08_1",1.48453333333333
"309PS0116_6.16.11_1",2.1588
"312PS0099_6.14.10_1",2.81453333333333
"315CHCALS_6.15.10_1",4.04836666666667
"402BA0095_5.29.08_1",3.4816
"402M00009_6.29.15_1",2.6601
"403S00960_6.2.10_1",3.7514844988345
"403S01536_7.12.11_1",2.05923333333333
"403WE0540_5.14.14_1",3.64253333333333
"403WE0683_5.15.13_1",4.19680476190476
"505PS0110_9.16.10_1",0.845766666666667
"513CCNASC_7.16.14_1",1.87173333333333
"513STCAIV_6.12.14_1",1.21563333333333
"513UNCAKC_9.23.09_1",1.21563333333333
"514SSC190_9.11.14_1",0.514671428571429
"517FCA046_8.14.13_1",1.11143333333333
"518BTCASC_6.12.13_1",0.827197619047619
"518FCA075_8.12.13_1",1.15183333333333
"518SPC134_6.18.13_1",1.30106666666667
"522GSCBSC_9.24.09_1",1.74086666666667
"522PS0504_6.11.13_1",1.26873333333333
"526PNCAMF_6.25.13_1",0.799088888888889
"526PS1420_6.25.13_1",1.30306666666667
"534MLC108_9.14.11_1",0.763422222222222
"536HLCBFM_6.18.13_1",0.347769047619048
"537TYCAML_7.16.08_1",0.1783
"540SED003_8.30.11_1",0.434433333333333
"552DKC268_6.23.14_1",0.611519047619047
"552MFCAKR_6.11.08_1",2.41696666666667
"553KRNAYC_6.17.14_1",3.08378333333333
"554CLCALK_8.23.11_1",0.717402380952381
"603DDM005_9.13.11_1",0.528766666666667
"603FCA145_8.21.13_1",0.849238095238095
"603PS0008_7.30.08_1",0.1633
"603PS0075_8.15.12_1",2.24276666666667
"603PS0109_7.29.08_1",1.5907
"603PS0557_8.18.10_1",1.5916
"603SPCBWC_7.22.08_1",0.979733333333334
"631DEP001_8.28.12_1",2.7304
"631PS0033_8.30.10_1",1.22011984126984
"632ELD001_9.8.11_1",1.40825555555555
"634CAT055_10.4.11_1",0.371333333333333
"634GRF001_10.3.11_1",0.626890476190476
"634HHCATC_10.4.11_1",0.710433333333333
"634PS0035_9.1.10_1",0.179065506715507
"634PS0062_10.12.11_1",1.17486666666667
"634WSN001_10.4.11_1",0.995947619047619
"636SAG001_7.12.10_1",2.26856666666667
"639PS1279_6.11.13_1",0.784606349206349
"641OWC157_7.24.13_1",0.106033333333333
"722NP7IDC_4.16.14_1",3.97538095238095
"801DRC025_6.25.14_1",1.66323333333333
"801S03488_5.7.14_1",2.6069
"801WE0674_5.14.13_1",1.6355
"801WE1008_5.14.13_1",1.00856666666667
"801WE1132_8.19.09_1",1.64533333333333
"901ATCAAS_6.5.08_1",2.8901626984127
"901CSCADC_5.26.11_1",2.2333
"901S06969_5.31.12_1",2.89231428571429
"903WE0798_4.8.15_1",2.29976190476191
"905BCC_6.11.14_1",4.80448505383505
"905S02561_5.25.11_1",4.03510952380953
"909JQCASR_6.1.11_1",1.16273333333333
"911S03354_5.5.09_1",2.20332857142857
"911TJIND2_5.8.08_1",2.66570476190476
"911TJLCC2_4.7.15_1",3.06585952380952
"SCFC1_6.12.08_1",3.33677980907981
"SCSS1_6.17.08_1",4.50400476190476
"SMAD1_11.5.08_1",4.44598095238095
"SMC00135_6.7.10_1",1.71216666666667
"SMC01979_7.14.11_1",3.81557142857143
"SMC02139_7.17.12_1",2.99560092685093
"SMC04204_7.11.12_1",2.1881
"SMC04383_5.19.14_1",2.4589
"SMC06467_6.28.10_1",2.24903809523809
"SMC19809_6.25.13_1",3.20623333333333
