"","Predicted"
"102PS0139_8.9.10_1",5.0384
"103FCA168_7.24.13_1",2.73605541125541
"103PS0217_9.10.13_1",2.73605541125541
"103RDCBCC_7.21.11_1",3.36046666666667
"105PS0028_8.12.08_1",2.0026
"105PS0028_8.26.08_1",2.0026
"105PS0067_8.24.09_1",6.55643333333334
"105PS0067_8.24.09_2",6.55643333333334
"105PS0067_9.15.09_1",6.55643333333334
"105PS0069_8.18.09_1",2.68842207792208
"105PS0092_8.11.08_1",5.12596666666667
"105PS0107_9.14.09_1",8.71186666666667
"105PS0129_8.11.10_1",3.1682
"105PS0129_8.11.10_2",3.1682
"105PS0149_8.29.12_1",6.6677
"105PS0211_8.20.13_1",8.71026666666667
"105PS0211_9.16.13_1",8.71026666666667
"105PS0231_8.29.13_1",14.7083666666667
"105PS0276_9.1.09_1",12.2249666666667
"105PS0276_9.22.09_1",12.2249666666667
"105PS0540_8.5.10_1",5.28017142857143
"105PS1148_9.18.12_1",12.8210333333333
"105PS1404_8.28.13_1",8.3869
"105PS1404_8.28.13_2",8.3869
"106FCA036_7.15.13_1",6.8607
"106HLCACC_9.23.13_1",7.02506666666667
"106PS0022_9.30.08_1",3.3005
"106PS0051_9.16.08_1",6.53973333333333
"106PS0051_9.16.08_2",6.53973333333333
"106PS0106_9.8.09_1",4.70306666666667
"106PS0106_9.8.09_2",4.70306666666667
"106PS0122_9.20.10_1",3.4437
"106PS0142_7.19.10_1",3.8582
"106PS0206_10.3.12_1",4.6486
"106PTCAHC_9.2.08_1",4.15956666666667
"107GWCAPC_9.15.10_1",5.942
"107RWCBHW_8.3.11_1",3.7715
"107RWCBHW_8.3.11_2",3.7715
"108PS0197_8.16.12_1",3.9881
"110PS0114_7.21.10_1",5.64023333333333
"110SMCATH_7.27.11_1",5.99566666666666
"111CE0569_10.11.10_1",7.23406666666666
"111FCA207_7.23.13_1",5.88273333333333
"111PS0008_9.29.08_1",7.50026666666667
"111PS0008_9.9.08_1",7.50026666666667
"111PS0008_9.9.08_2",7.50026666666667
"111PS0013_8.19.08_1",5.70725541125541
"111PS0095_8.27.09_1",5.68103333333333
"111PS0095_8.27.09_2",5.68103333333333
"111PS0121_7.20.10_1",7.83876666666666
"111PS0159_7.14.11_1",3.7124
