"","Predicted"
"102PS0177_8.28.12_1",3.6307
"103CDCHHR_9.14.10_1",2.78295541125541
"103STCNSR_8.9.11_1",1.373
"103WER026_8.15.12_1",3.30336666666667
"103WER029_7.16.14_1",2.37925541125541
"103WER030_8.10.11_1",1.1963
"105BVCAGC_9.21.10_1",3.14663333333333
"105CE0329_7.23.14_1",1.07656666666667
"105CLCATC_8.10.10_1",3.6049
"105DLCDCC_10.20.09_1",2.63903333333333
"105FCA116_7.16.13_1",3.20913333333333
"105FS0416_9.24.13_1",5.3331
"105FS0425_8.10.11_1",4.06206666666667
"105FS0428_8.3.11_1",3.46586666666667
"105NWC151_6.26.13_1",13.3040333333333
"105PS0043_9.17.08_1",5.90296666666667
"105PS0083_9.8.09_1",4.92213333333333
"105PS0090_8.7.12_1",2.71546666666667
"105PS0097_7.22.14_1",1.94343333333333
"105PS0154_8.9.11_1",4.65576666666667
"105PS0195_8.7.12_1",2.4062
"105PS0259_9.17.13_1",6.23380000000001
"105PS0267_7.21.14_1",8.23536666666667
"105PS0468_9.1.09_1",9.05176666666666
"105PS0540_9.15.10_1",5.28017142857143
"105PS1492_8.6.14_1",5.60993333333333
"105WE0598_7.24.14_1",1.72503333333334
"105WLC135_6.26.13_1",9.80493333333333
"105WLCABC_8.3.11_1",4.22599047619048
"106FS0040_8.30.11_1",4.18396666666667
"106PS0115_9.21.10_1",3.84686666666667
"106PS0124_8.16.10_1",4.26323333333333
"106PS0166_8.2.11_1",3.78726666666667
"106WE0505_7.21.14_1",1.20996666666667
"106WER011_9.11.13_1",4.64223333333334
"107PS0021_7.14.14_1",3.23575541125541
"107WER092_8.27.12_1",5.53466666666666
"111BBRBCC_9.23.09_1",3.16973333333333
"111CBCAER_8.8.13_1",5.18411428571428
"111ERATRC_10.10.12_1",4.57686666666667
"111FS0001_7.5.11_1",2.0789
"111FS0008_7.19.12_1",6.29136666666667
"111HSCAER_7.26.11_1",6.45824761904762
"111PS0060_10.7.08_1",4.14303333333333
"111PS0110_6.9.14_1",1.81643333333333
"111PS0144_8.18.10_1",5.87083333333333
"111PS0160_7.25.11_1",3.3236
"111PS0204_8.17.10_1",4.57893333333334
"111RSCAER_8.8.11_1",3.94723333333334
"111TGCAER_7.24.12_1",3.2428
"111WE0816_6.12.13_1",3.17853333333333
"111WE1050_6.12.13_1",4.02573333333333
"111WE1071_7.26.12_1",4.02573333333333
"111WER003_6.10.14_1",2.79776666666667
"111WER008_7.23.12_1",3.91023333333334
"111WER159_10.19.09_1",2.69806666666667
"113RG8046_8.19.10_1",10.8462333333333
"114CE0131_7.31.12_1",8.7825
"114PS0145_6.20.11_1",7.82923333333334
"114WE0614_7.9.12_1",7.65536666666667
"115EBAG01_7.1.10_1",12.4004666666667
"201AHO350_6.20.12_1",8.4297
"201CHE300_6.18.12_1",14.4148666666667
"201LAG335_7.15.09_1",5.04143333333334
"201MRS020_9.13.10_1",9.28036666666667
"202BUT030_6.29.10_1",11.2750222222222
"202BUT040_6.4.14_1",4.78106666666667
"202BUT050_6.16.09_1",6.46352222222222
"202BUT480_6.25.12_1",6.64982222222222
"202BUT600_6.26.12_1",8.40803333333333
"202DRY010_6.5.13_1",12.6637333333333
"202PES168_6.6.13_1",8.4041
"202R00024_6.6.12_1",12.4842666666667
"202R00280_5.22.13_1",13.0359904761905
"204AHOACR_6.2.14_1",5.43634761904762
"204ALA500_6.10.13_1",9.47776666666666
"204ARH090_6.2.14_1",13.4036412698413
"204IND200_5.25.10_1",8.1524
"204R00189_5.6.13_1",13.666726984127
"204SIN300_5.15.12_1",5.3697
"204VAL400_5.19.14_1",9.16002380952381
"205AAG375_5.14.14_1",11.2373476190476
"205AAG400_6.5.12_1",10.6238142857143
"205COY585_5.28.13_1",13.8910317460317
"205COY610_6.3.10_1",6.0159880952381
"205COY615_6.3.14_1",11.3606293650794
"205COY853_5.29.14_1",12.7199746031746
"205COY900_5.16.12_1",12.1378
"205COY930_5.7.13_1",11.7647
"205CYCAHH_6.10.08_1",12.9306
"205CYCBBC_6.28.10_1",6.0159880952381
"205LGA700_5.23.12_1",7.60183333333333
"205R00021_5.16.12_1",6.19029523809524
"205R00182_5.7.13_1",11.4940666666667
"205WUN450_6.11.12_1",9.84973333333333
"205WUN550_5.6.13_1",9.9703
"206HCT020_5.29.12_1",6.70493333333333
"206RCCBDC_7.20.10_1",5.60493333333333
"206TUL120_6.13.11_1",7.2234
"207GVC800_5.23.13_1",11.0799666666667
"207SUI800_5.5.14_1",12.3775
"304WDCAH1_6.29.10_1",8.213
"305LGCACR_7.16.08_1",10.6552333333333
"305LGCBRC_6.30.10_1",10.6995
"305SSCAUC_6.29.10_1",7.6789
"305UVCASC_6.29.10_1",7.32226666666666
"307CE0094_6.12.12_1",8.64645714285714
"307SCCARR_6.21.10_1",9.70035714285714
"308BSU_7.13.10_1",5.32083333333333
"308LILPAL_6.20.12_1",9.53353333333333
"308PWCAH1_6.22.10_1",5.84393333333333
"308SAM_6.23.10_1",5.99933333333333
"308SANWIL_6.12.12_1",16.8265833333333
"308SBCAH1_6.21.10_1",11.0209150793651
"309ARSARC_6.23.10_1",9.47353333333334
"309CAW126_5.21.14_1",4.13906666666667
"309NAF_5.24.12_1",10.6412333333333
"309WLCATC_6.22.10_1",8.85032380952381
"310COO_6.24.10_1",9.0817
"310LPCBPC_6.9.09_1",8.19023333333334
"312DAVDAV_6.7.12_1",14.5324761904762
"312MZCDBC_5.13.14_1",4.26713333333333
"312RYCALR_6.16.10_1",10.6860333333333
"402BA0287_6.9.08_1",10.8649655122655
"402M00005_6.11.15_1",13.4998333333333
"402MTCUNF_6.5.12_1",11.5123702741703
"402PS0048_5.21.08_1",11.9380333333333
"403BA0015_5.19.08_1",9.07931111111111
"403BA0064_6.18.14_1",15.1613333333333
"403BA0140_5.21.08_1",13.8915
"403BA0171_5.19.08_1",13.1856
"403LNCASC_6.15.10_1",3.99181111111111
"403S00875_6.24.10_1",11.4741666666667
"403S01883_6.21.10_1",12.1977333333333
"403S03643_6.24.10_1",15.1931333333333
"403S06315_6.27.12_1",10.7501095238095
"403STC064_6.8.11_1",9.0319
"403STC086_6.21.11_1",7.34936666666667
"403WE0501_5.14.13_1",15.0117666666667
"403WE1027_5.14.14_1",4.95473333333333
"405BRCAMS_6.7.11_1",8.98535238095238
"405BRCASG_5.7.14_1",2.5706
"405BRCSGR_5.28.08_1",3.68775714285714
"405SGRAAG_5.28.08_1",3.79665714285714
"405WER318_8.18.09_1",4.92433333333333
"504DCFRxx_7.27.10_1",6.21891428571429
"504PS0227_8.12.09_1",7.6852
"504WE0527_7.2.13_1",6.21891428571429
"505BMCMCR_8.4.10_1",4.18226666666667
"505LBCAMR_8.7.13_1",4.30433333333333
"505PS0174_9.27.11_1",4.1226
"506PS0062_9.15.08_1",5.20266666666667
"507MZCAML_7.17.12_1",8.02906666666667
"509ACNFPP_9.25.14_1",4.33660079365079
"509ACSFPP_7.16.08_1",5.36373333333333
"509ATCINC_7.14.08_1",6.7006
"509BSCADC_8.31.11_1",2.8777
"509CBCADC_8.24.10_1",3.54566666666667
"509CTCADC_7.10.12_1",2.0046
"509CWCPLR_7.7.08_1",8.95904285714285
"509FCA054_8.27.13_1",8.61156666666667
"509ICPPCX_9.10.08_1",9.58947619047619
"509MLC145_8.6.13_1",10.0444666666667
"509PCDTWR_9.3.08_1",6.8223
"509PMC197_7.2.14_1",5.045
"509PS0085_9.7.11_1",6.23522222222222
"509PS0170_7.26.10_1",4.6537
"509PS0234_8.15.11_1",12.0981666666667
"509PS0334_9.12.12_1",8.47229999999999
"513BTCACC_9.10.08_1",8.56843333333334
"513PS0008_9.1.10_1",8.57044112554113
"513PS0200_7.30.12_1",6.4875
"514BMCARC_9.27.11_1",3.46573333333333
"514BRUUPX_10.9.08_1",3.75356666666667
"514ICEUPx_8.13.14_1",0.832633333333333
"514LNCASC_8.30.11_1",2.7763
"514PCASMR_10.29.14_1",2.13146666666667
"514PS0131_7.28.14_1",7.44223333333333
"514SBCAMR_8.29.11_1",3.2558
"514SCCAAR_7.24.08_1",2.35393333333333
"514SFA222_7.28.14_1",1.5651
"517LCCAYB_8.12.08_1",6.48023333333333
"517PS0054_7.28.10_1",4.76653333333333
"517PS0074_9.20.11_1",5.96400000000001
"518CHCANF_7.12.12_1",7.80183333333333
"518CPCRCR_8.20.14_1",1.70133333333333
"518GZCUPx_6.30.14_1",2.63556666666667
"518KNCAWC_8.15.11_1",2.10496666666667
"518MLC181_7.15.14_1",2.3844
"518PS0033_6.29.09_1",6.00233333333333
"518PS0073_8.16.11_1",8.9447
"518PS0093_9.24.12_1",7.97486666666667
"518PS0113_7.9.12_1",4.54613333333334
"518RCNAPC_8.18.14_1",2.9074
"518SDCAHR_6.12.13_1",9.24776666666667
"518SED086_8.17.11_1",3.47603333333333
"518SNCABC_9.26.12_1",9.48706666666667
"518WE0521_6.19.13_1",4.72496666666667
"518WLCBWL_8.5.13_1",7.66026666666667
"518YLCAFR_8.17.11_1",2.04873333333333
"522CE0027_6.9.14_1",2.2231
"522MFSCRB_9.18.08_1",8.8319
"523PS0172_8.10.11_1",3.6034
"523TMCATG_10.5.09_1",7.27429761904762
"524PS0342_7.18.12_1",13.8138666666667
"524PS0650_7.17.14_1",8.6117
"526PS0072_8.7.14_1",6.08786666666667
"526PS0076_8.26.08_1",9.94743333333333
"526PS0396_9.1.09_1",9.68353333333333
"526PS1100_8.21.12_1",10.5049666666667
"526PS1144_8.22.12_1",18.3426809523809
"526PSCBLK_8.21.12_1",11.3719
"526WER123_8.21.12_1",8.8248
"526WTCACT_6.24.13_1",14.5769666666667
"527PS1156_8.21.12_1",3.91446666666667
"532CPC238_7.30.14_1",2.38026666666667
"532CRM206_7.10.14_1",1.1431
"532PTCAER_8.19.13_1",2.9443
"534ANCACF_8.31.10_1",4.2162
"534CFSAIM_7.27.09_1",7.8223
"534DCC167_8.14.13_1",2.36443333333333
"534PS0070_8.30.10_1",5.22293333333334
"534RSCAGG_9.19.11_1",6.671
"534SPC227_7.9.14_1",2.85226666666667
"534SRCFFC_8.29.12_1",8.00816666666667
"534WER219_8.29.12_1",4.3894
"536CLR247_7.8.14_1",1.46456666666667
"536LLCACR_9.22.11_1",2.19416666666667
"536PS0107_7.17.12_1",5.8628
"536SED006_9.20.11_1",4.9393
"536SED108_9.21.11_1",4.12905714285714
"536STR127_6.17.13_1",8.75496666666667
"536TRC119_6.18.13_1",3.21553333333333
"537ADCH41_9.12.11_1",5.8922
"537BLCABG_9.15.11_1",4.17534285714286
"537BSCAWR_7.15.08_1",4.35816666666667
"537GZCAMR_8.7.08_1",7.1163
"539NDCACC_10.15.09_1",7.17023333333333
"540BCA168_6.24.14_1",1.4784
"540CQCBBR_9.14.11_1",5.0281
"540GNCBTC_9.13.11_1",3.44626666666667
"540MNCANF_9.29.10_1",1.40896666666667
"540MNCASJ_8.24.10_1",3.88273333333334
"540SDC212_6.16.14_1",1.27466666666667
"540SSJ200_6.24.14_1",2.48371666666667
"552DRCAEF_6.25.14_1",0.845266666666667
"552FCA017_7.30.13_1",11.4292380952381
"552KRSFBC_7.14.08_1",3.44851666666667
"552MFC120_7.22.13_1",12.5087666666667
"552PS0028_6.18.08_1",12.6898666666667
"552PS0072_8.30.11_1",5.02473333333333
"552PS0284_8.29.11_1",8.90663333333334
"553KRMAPC_8.22.11_1",6.09396666666667
"554FSC207_6.19.14_1",3.9751
"554LCCADR_6.10.08_1",16.0580333333333
"554NYCGWD_8.25.11_1",6.17735757575758
"554PMCABC_8.24.11_1",6.9376
"554PMCGWD_8.23.11_1",8.3069
"554SED027_8.24.11_1",3.5166
"555PS0064_6.17.08_1",15.979
"601PS0077_8.7.12_1",11.8231333333333
"603DDM004_7.9.13_1",6.2417
"603GLS001_8.1.10_1",6.55963333333333
"603GSCADC_8.25.10_1",3.5082
"603OHCAOR_8.24.10_1",6.35133333333333
"603PS0045_8.29.11_1",8.02666666666667
"603PS0056_8.31.11_1",2.75155
"603PS0073_9.13.11_1",4.10513333333333
"603PS0076_7.23.12_1",5.97193333333333
"603PS0092_7.25.12_1",10.6288333333333
"603PS1056_8.14.12_1",7.0561
"603PS1488_7.10.13_1",5.90823333333333
"603RCC156_7.16.13_1",7.60393333333333
"626PS0171_5.15.08_1",8.2454
"626PS0619_6.3.10_1",1.81523333333333
"626PS0827_6.3.10_1",2.97886666666667
"626PS1195_5.23.13_1",5.69603333333333
"628MRW138_5.21.14_1",2.31623333333333
"630FCA097_8.22.13_1",12.4901
"630PS0005_8.25.14_1",3.8578
"630RBS005_8.12.14_1",2.9631
"630SED034_8.6.12_1",6.6475
"631LWK002_8.12.14_1",2.8965
"631PS0001_9.29.10_1",2.79523333333333
"631PS0011_7.28.09_1",3.69923333333334
"631PS0023_8.4.09_1",8.20943333333334
"631PS0145_7.2.14_1",5.23083333333333
"631WWK005_7.29.10_1",8.2559
"632CHV001_7.23.10_1",9.73113333333333
"632DIX001_9.3.12_1",7.20933333333333
"632HNCAHL_8.31.10_1",8.38996666666668
"632HOS002_9.4.12_1",8.02103333333334
"632MUR001_9.7.11_1",1.796
"632NOB001_9.1.10_1",7.5589
"632PS0007_7.23.08_1",8.63683333333333
"632PS0014_8.3.09_1",6.2837
"632PS0058_8.15.11_1",8.73873333333333
"632SVK001_8.27.14_1",2.4305
"633PS0003_7.22.08_1",3.34616666666667
"633PS0083_9.4.12_1",7.11983333333333
"633WCR003_9.4.12_1",8.01516666666666
"633WE0991_9.9.14_1",0.926833333333333
"634CLD001_9.9.14_1",4.56853333333333
"634EGL005_10.3.11_1",1.29363333333333
"634GACALL_9.10.13_1",3.32643333333333
"634HID001_10.3.11_1",5.34906666666667
"634MKC278_9.8.14_1",1.57616666666667
"634PS0019_8.5.09_1",0.7487
"634PS0099_9.10.12_1",0.903366666666666
"634R10BMW_9.29.11_1",0.705266666666667
