"","Predicted"
"103KLCMSR_9.14.10_1",2.4132
"105PS0193_8.29.12_1",2.96036666666667
"105PS0660_8.3.10_1",13.3179
"105TMCACC_8.10.10_1",3.19773333333334
"106MNCAHC_10.1.08_1",4.9862
"106WE1079_8.8.12_1",2.9398
"106WER016_10.20.09_1",4.88706666666666
"107LLM101_9.13.10_1",5.65138874458874
"111BGCAER_6.11.14_1",3.84203333333333
"111FS0007_7.11.11_1",4.26159047619048
"111PAL105_7.13.11_1",7.33156666666666
"202SPE090_6.15.09_1",13.6351
"205AAG075_6.12.13_1",6.7700880952381
"205COY850_5.21.12_1",6.68914761904762
"205SFC880_6.19.12_1",7.87654761904762
"206BRC020_6.27.12_1",9.71996666666667
"207SUI290_6.4.12_1",11.3926333333333
"307CMRADC_5.20.14_1",4.6481
"308LSRASC_7.18.11_1",5.5396
"308MWCAH1_6.23.10_1",4.48162063492064
"308PS0156_6.19.12_1",7.4554
"308ROCBBQ_6.21.12_1",5.02213333333334
"309ARCBRC_8.25.08_1",6.0661
"309PS0116_6.16.11_1",10.3985666666667
"312PS0099_6.14.10_1",13.4218142857143
"315CHCALS_6.15.10_1",6.7861
"402BA0095_5.29.08_1",7.0224
"402M00009_6.29.15_1",8.76983333333333
"403S00960_6.2.10_1",16.5807666666667
"403S01536_7.12.11_1",12.7500333333333
"403WE0540_5.14.14_1",7.78633333333333
"403WE0683_5.15.13_1",9.99620000000001
"505PS0110_9.16.10_1",5.62010000000001
"513CCNASC_7.16.14_1",7.42326666666667
"513STCAIV_6.12.14_1",8.082
"513UNCAKC_9.23.09_1",7.84426666666667
"514SSC190_9.11.14_1",2.66996666666667
"517FCA046_8.14.13_1",5.86440000000001
"518BTCASC_6.12.13_1",4.2759
"518FCA075_8.12.13_1",5.96903333333333
"518SPC134_6.18.13_1",8.38593333333333
"522GSCBSC_9.24.09_1",6.40793333333334
"522PS0504_6.11.13_1",6.5636
"526PNCAMF_6.25.13_1",8.56206666666666
"526PS1420_6.25.13_1",6.65716666666667
"534MLC108_9.14.11_1",1.73323333333333
"536HLCBFM_6.18.13_1",6.63753333333333
"537TYCAML_7.16.08_1",1.56443333333333
"540SED003_8.30.11_1",1.66286666666667
"552DKC268_6.23.14_1",1.83286666666667
"552MFCAKR_6.11.08_1",12.6898666666667
"553KRNAYC_6.17.14_1",8.46493333333334
"554CLCALK_8.23.11_1",7.58436666666667
"603DDM005_9.13.11_1",3.59763333333333
"603FCA145_8.21.13_1",7.00283333333333
"603PS0008_7.30.08_1",7.9431
"603PS0075_8.15.12_1",5.8197
"603PS0109_7.29.08_1",8.3759
"603PS0557_8.18.10_1",10.7304
"603SPCBWC_7.22.08_1",6.63516666666667
"631DEP001_8.28.12_1",9.30933333333333
"631PS0033_8.30.10_1",7.8557
"632ELD001_9.8.11_1",3.5588
"634CAT055_10.4.11_1",2.2859
"634GRF001_10.3.11_1",8.11943333333333
"634HHCATC_10.4.11_1",3.46668333333333
"634PS0035_9.1.10_1",3.31633333333333
"634PS0062_10.12.11_1",8.59866666666667
"634WSN001_10.4.11_1",9.69093333333334
"636SAG001_7.12.10_1",10.9242
"639PS1279_6.11.13_1",11.3516666666667
"641OWC157_7.24.13_1",5.68606666666666
"722NP7IDC_4.16.14_1",10.0272
"801DRC025_6.25.14_1",11.3903
"801S03488_5.7.14_1",4.40573095238095
"801WE0674_5.14.13_1",10.4599904761905
"801WE1008_5.14.13_1",5.8782
"801WE1132_8.19.09_1",7.08113333333334
"901ATCAAS_6.5.08_1",13.1951888888889
"901CSCADC_5.26.11_1",12.1454
"901S06969_5.31.12_1",9.71630476190476
"903WE0798_4.8.15_1",9.2556
"905BCC_6.11.14_1",14.2090333333333
"905S02561_5.25.11_1",12.6477
"909JQCASR_6.1.11_1",8.74283333333334
"911S03354_5.5.09_1",9.52599999999999
"911TJIND2_5.8.08_1",7.97996666666666
"911TJLCC2_4.7.15_1",16.7923484126984
"SCFC1_6.12.08_1",10.7734666666667
"SCSS1_6.17.08_1",10.5795666666667
"SMAD1_11.5.08_1",11.2486333333333
"SMC00135_6.7.10_1",6.23163333333333
"SMC01979_7.14.11_1",11.1149666666667
"SMC02139_7.17.12_1",8.78566666666667
"SMC04204_7.11.12_1",12.3399
"SMC04383_5.19.14_1",10.8649655122655
"SMC06467_6.28.10_1",6.84353333333334
"SMC19809_6.25.13_1",14.0398666666667
