"","Predicted"
"105PS0188_8.26.08_1",0.809933333333333
"105PS0188_8.26.08_2",0.809933333333333
"106FC1183_7.24.14_1",0.431933333333333
"106FC1313_7.23.14_1",0.6282
"106PS0078_8.26.09_1",0.9263
"106PS0173_8.4.11_1",0.500033333333333
"106PS0186_9.26.12_1",0.526033333333333
"109PS0162_7.20.11_1",1.81176666666667
"110ECSLSF_7.26.11_1",1.99549523809524
"110FCA102_7.25.13_1",1.94833333333333
"111CR1012_8.18.14_1",1.56183333333333
"111PS0057_8.18.08_1",2.84583333333333
"113GAR010_6.8.09_1",1.92576666666667
"113GAR010_8.27.12_1",1.92576666666667
"113GAR038_6.8.09_1",2.29243333333333
"113GAR038_9.10.12_1",2.29243333333333
"113GAR046_6.18.12_1",2.12917142857143
"113GAR046_6.8.09_1",2.12917142857143
"113GAR046_9.2.14_1",2.12917142857143
"113GAR061_6.19.12_1",2.56767142857143
"113GAR061_7.1.09_1",2.56767142857143
"113GAR061_9.3.14_1",2.56767142857143
"113GAR061_9.3.14_2",2.56767142857143
"113GAR084_6.28.10_1",2.17
"113GAR094_7.27.10_1",1.82553809523809
"113GAR094_7.27.10_2",1.82553809523809
"113GAR110_6.18.12_1",2.90323333333333
"113GAR110_6.30.09_1",2.90323333333333
"113GAR110_9.2.14_1",2.90323333333333
"113PS0084_8.18.09_1",1.31113333333333
"113PS0100_8.25.09_1",1.95816666666667
"113PS0132_9.15.10_1",1.31113333333333
"113PS0196_8.1.12_1",2.22133333333333
"114CR0903_8.26.13_1",2.753
"114CR0903_9.25.13_1",2.753
"114PS0149_7.10.12_1",1.4313
"114PS0152_7.7.11_1",1.88548571428571
"114PS0152_8.18.11_1",1.88548571428571
"114RR1041_10.10.11_1",2.9675
"114RR1041_10.25.11_1",2.9675
"114RR1041_10.25.11_2",2.9675
"114RR1041_8.2.11_1",2.9675
"114RR1041_9.7.11_1",2.9675
"114RR1310_6.2.11_1",3.01316666666666
"114RR1599_10.10.11_1",2.71176666666666
"114RR1599_10.25.11_1",2.71176666666666
"114RR1599_6.2.11_1",2.71176666666666
"114RR1599_6.27.11_1",2.71176666666666
"114RR1599_8.2.11_1",2.71176666666666
"114RR1599_8.2.11_2",2.71176666666666
"114RR1599_9.7.11_1",2.71176666666666
"114RR2678_10.11.11_1",2.79286666666667
"114RR2678_10.24.11_1",2.79286666666667
"114RR2678_6.29.11_1",2.79286666666667
"114RR2678_8.1.11_1",2.79286666666667
"114RR2678_9.13.11_1",2.79286666666667
"114RR2769_6.1.11_1",2.80436666666667
"114RR2899_10.11.11_1",3.0395
"114RR2899_10.24.11_1",3.0395
"114RR2899_6.1.11_1",3.0395
"114RR2899_6.29.11_1",3.0395
"114RR2899_8.1.11_1",3.0395
"114RR2899_9.13.11_1",3.0395
"202BUT850_6.4.13_1",1.2845
"202PS0134_5.31.11_1",2.66523333333333
"202R00087_5.30.12_1",2.11326666666667
"202R00284_6.15.12_1",2.5843
"202R00908_5.21.13_1",3.81436666666667
"203PS0070_7.19.10_1",2.28806666666666
"203PS0070_9.7.10_1",2.28806666666666
"203R00039_5.14.12_1",3.03536666666667
"204ALP040_4.10.11_1",2.43715678210678
"204ALP040_6.29.11_1",2.43715678210678
"204ALP105_4.10.11_1",4.17396666666667
"204ALP151_4.10.11_1",3.08762857142857
"204ALP151_6.29.11_1",3.08762857142857
"204PS0038_6.19.08_1",2.05916031746032
"204PS0094_7.14.10_1",1.99623412698413
"204PS0102_6.15.11_1",2.36362857142857
"204PS0102_6.15.11_2",2.36362857142857
"204PS0102_8.10.11_1",2.36362857142857
"204PS0118_6.15.11_1",3.02436666666667
"204R00047_6.6.12_1",1.84291746031746
"204R00063_6.4.13_1",2.4809
"204R00068_5.31.12_1",0.872083333333333
"204R00084_5.24.12_1",4.11357619047619
"204R00100_5.30.12_1",2.78876738816739
"204R00180_5.30.12_1",2.4507183982684
"204R00191_5.29.12_1",2.96114076479076
"204R00200_5.31.12_1",2.6395487012987
"204R00232_6.12.12_1",2.17225822510822
"204R00232_6.12.12_2",2.17225822510822
"204R00244_6.12.12_1",2.75728203463203
"204R00303_6.14.12_1",2.19721378066378
"204R00319_6.7.12_1",2.47996666666667
"204R00319_6.7.12_2",2.47996666666667
"204R00327_5.7.13_1",2.69003917748918
"204R00334_5.8.13_1",2.84949076479077
"204R00340_6.11.12_1",4.21795238095238
"204R00356_5.30.12_1",2.2211784992785
"204R00356_6.4.12_1",2.2211784992785
"204R00367_6.12.12_1",1.37975238095238
"204R00383_6.11.12_1",2.41177142857143
"204R00391_6.6.12_1",5.69086284271284
"204R00436_5.20.13_1",3.20362380952381
"204R00447_4.2.13_1",0.917566666666667
"204R00447_4.22.13_1",0.917566666666667
"204R00455_6.13.12_1",1.32732857142857
"204R00473_5.9.13_1",2.98680743145743
"204R00473_5.9.13_2",2.98680743145743
"204R00520_5.28.13_1",2.63282489177489
"204R00583_6.13.12_1",2.27691746031746
"204R00596_5.31.12_1",2.06647806637807
"204R00623_6.3.13_1",2.22379523809524
"204R00639_6.19.12_1",2.02549523809524
"204R00680_5.28.13_1",2.03774473304473
"204R00724_5.21.13_1",4.11357619047619
"204R00807_5.21.13_1",0.891633333333333
"204R00852_5.6.13_1",2.47364285714286
"204R00884_5.20.13_1",3.49161385281385
"204R00967_4.25.13_1",2.78868571428572
"204R01316_5.22.13_1",2.62579855699856
"204R01471_5.22.13_1",2.2211784992785
"205PS0045_6.17.09_1",1.12691507936508
"205PS0045_6.17.09_2",1.12691507936508
"205PS0074_7.14.10_1",1.60854285714286
"205PS0106_6.21.11_1",3.45526666666667
"205PS0109_6.21.11_1",3.57469523809524
"205PS0138_6.1.11_1",1.82360952380952
"205PS0157_6.19.12_1",2.26125952380952
"205PS0170_6.19.12_1",3.2672
"205PS0173_6.20.12_1",2.43535793650794
"205PS0173_6.20.12_2",2.43535793650794
"205PS0202_5.22.13_1",1.59479047619048
"205PS0202_7.17.13_1",1.59479047619048
"205PS0221_5.20.13_1",2.5229
"205R00026_5.14.12_1",0.851755555555556
"205R00035_5.24.12_1",1.37975238095238
"205R00035_5.24.12_2",1.37975238095238
"205R00042_5.21.12_1",2.66693189033189
"205R00067_6.3.12_1",1.25582857142857
"205R00088_6.4.12_1",3.4543
"205R00090_5.23.12_1",3.54089523809524
"205R00099_5.17.12_1",2.30637142857143
"205R00115_6.5.12_1",2.46786904761905
"205R00131_6.3.12_1",2.78868571428572
"205R00154_5.22.12_1",2.82942857142857
"205R00168_6.4.12_1",2.76552857142857
"205R00174_4.23.13_1",1.43105238095238
"205R00218_5.23.12_1",2.45310808080808
"205R00227_6.5.12_1",1.80598095238095
"205R00234_5.15.12_1",2.46786904761905
"205R00241_5.21.12_1",2.20815714285714
"205R00259_6.14.12_1",2.19909523809524
"205R00282_5.22.12_1",2.09526666666667
"205R00291_6.13.12_1",2.34631183261183
"205R00346_6.14.12_1",2.03364285714286
"205R00346_6.14.12_2",2.03364285714286
"205R00355_6.13.12_1",2.49782380952381
"205R00387_6.6.13_1",1.04539523809524
"205R00419_6.11.13_1",2.10792142857143
"205R00430_6.5.12_1",2.17142857142857
"205R00451_6.5.13_1",1.80598095238095
"205R00474_5.9.13_1",2.66693189033189
"205R00535_6.20.12_1",2.78868571428572
"205R00535_6.20.12_2",2.78868571428572
"205R00538_5.8.13_1",1.25582857142857
"205R00547_6.4.13_1",1.96969523809524
"205R00554_5.29.13_1",2.77663333333334
"205R00586_6.10.13_1",1.12691507936508
"205R00602_6.3.13_1",2.09526666666667
"205R00627_6.4.13_1",2.51309523809524
"205R00666_5.9.13_1",2.45510808080808
"205R00686_4.24.13_1",1.84339365079365
"205R00707_6.5.13_1",1.37975238095238
"205R00707_6.5.13_2",1.37975238095238
"205R00714_6.10.13_1",2.46786904761905
"205R00739_6.11.13_1",2.8099619047619
"205R00771_6.6.13_1",2.03364285714286
"205R00872_5.27.13_1",1.12691507936508
"205R00878_4.24.13_1",2.78868571428572
"205R00984_5.27.13_1",2.82669523809524
"205R01134_5.20.13_1",2.3753
"205R01198_5.20.13_1",4.21795238095238
"205R01390_5.23.13_1",4.11357619047619
"205SAR057_5.13.09_1",2.38722380952381
"205SAR060_5.13.09_1",1.17175
"205SAR070_5.14.09_1",2.46369523809524
"205SAR080_5.14.09_1",2.3128619047619
"206FCA155_7.31.13_1",2.10315476190476
"206HMC030_8.8.11_1",2.85663333333333
"206MIL020_8.23.11_1",2.24053333333333
"206NAP090_8.25.11_1",3.05093333333333
"206NAP150_8.29.11_1",1.76446666666667
"206NAP200_8.31.11_1",1.98383333333333
"206PS0054_6.15.09_1",2.18333333333333
