"","Predicted"
"102PS0139_8.9.10_1",1.39396666666667
"103FCA168_7.24.13_1",0.893921428571429
"103PS0217_9.10.13_1",0.893921428571429
"103RDCBCC_7.21.11_1",0.895
"105PS0028_8.12.08_1",1.76570952380952
"105PS0028_8.26.08_1",1.76570952380952
"105PS0067_8.24.09_1",0.888566666666667
"105PS0067_8.24.09_2",0.888566666666667
"105PS0067_9.15.09_1",0.888566666666667
"105PS0069_8.18.09_1",0.66012619047619
"105PS0092_8.11.08_1",0.517666666666667
"105PS0107_9.14.09_1",0.947905194805194
"105PS0129_8.11.10_1",1.26766666666667
"105PS0129_8.11.10_2",1.26766666666667
"105PS0149_8.29.12_1",1.06683333333333
"105PS0211_8.20.13_1",1.16264285714286
"105PS0211_9.16.13_1",1.16264285714286
"105PS0231_8.29.13_1",1.89193333333333
"105PS0276_9.1.09_1",1.84813333333333
"105PS0276_9.22.09_1",1.84813333333333
"105PS0540_8.5.10_1",1.65940808080808
"105PS1148_9.18.12_1",2.4247
"105PS1404_8.28.13_1",1.18106666666667
"105PS1404_8.28.13_2",1.18106666666667
"106FCA036_7.15.13_1",0.725133333333333
"106HLCACC_9.23.13_1",0.711466666666666
"106PS0022_9.30.08_1",1.27296666666667
"106PS0051_9.16.08_1",1.19386666666667
"106PS0051_9.16.08_2",1.19386666666667
"106PS0106_9.8.09_1",0.482766666666667
"106PS0106_9.8.09_2",0.482766666666667
"106PS0122_9.20.10_1",1.52513095238095
"106PS0142_7.19.10_1",2.0312
"106PS0206_10.3.12_1",1.04886666666667
"106PTCAHC_9.2.08_1",3.62684761904762
"107GWCAPC_9.15.10_1",2.42253333333333
"107RWCBHW_8.3.11_1",0.965266666666666
"107RWCBHW_8.3.11_2",0.965266666666666
"108PS0197_8.16.12_1",0.960833333333334
"110PS0114_7.21.10_1",2.95893333333333
"110SMCATH_7.27.11_1",3.3559
"111CE0569_10.11.10_1",3.8603
"111FCA207_7.23.13_1",1.8707
"111PS0008_9.29.08_1",2.94106666666667
"111PS0008_9.9.08_1",2.94106666666667
"111PS0008_9.9.08_2",2.94106666666667
"111PS0013_8.19.08_1",3.8664
"111PS0095_8.27.09_1",2.63993333333333
"111PS0095_8.27.09_2",2.63993333333333
"111PS0121_7.20.10_1",3.49786666666667
"111PS0159_7.14.11_1",1.5495
"111PS0169_7.25.11_1",2.51523333333333
"111PS0169_7.25.11_2",2.51523333333333
"111PS0178_8.14.12_1",2.1769380952381
"111PS0237_9.12.13_1",1.15733333333333
"112PS0157_7.12.11_1",1.04323333333333
"113GAR011_8.22.11_1",4.3692
"113GAR011_9.1.10_1",4.3692
"113GAR015_8.23.11_1",2.25876147186147
"113GAR015_8.31.10_1",2.25876147186147
"113GAR015_9.9.13_1",2.25876147186147
"113GAR023_7.22.14_1",4.21983333333333
"113GAR023_8.5.13_1",4.21983333333333
"113GAR030_8.26.09_1",3.84140432900433
"113GAR030_8.26.09_2",3.84140432900433
"113GAR030_8.28.12_1",3.84140432900433
"113GAR042_9.10.13_1",3.26621666666667
"113GAR062_6.30.09_1",4.26268333333334
"113GAR062_8.27.12_1",4.26268333333334
"113GAR087_6.29.10_1",2.84275
"113GAR087_8.6.13_1",2.84275
"113GAR087_9.11.12_1",2.84275
"113GAR087_9.11.12_2",2.84275
"113GAR089_6.14.10_1",2.69243333333333
"113GAR089_6.20.11_1",2.69243333333333
"113GAR089_8.5.09_1",2.69243333333333
"113GAR105_6.14.10_1",2.83256666666667
"113GAR105_6.20.11_1",2.83256666666667
"113GAR105_8.4.09_1",2.83256666666667
"113GAR112_6.15.10_1",2.63761666666667
"113GAR112_7.22.14_1",2.63761666666667
"113GAR112_8.22.11_1",2.63761666666667
"113GAR112_8.4.09_1",2.63761666666667
"113GAR112_8.4.09_2",2.63761666666667
"113GAR112_8.7.13_1",2.63761666666667
"113GAR118_7.26.10_1",2.95846666666667
"113GAR118_9.10.12_1",2.95846666666667
"113GAR178_6.21.11_1",4.2016
"113GAR178_7.23.14_1",4.2016
"113GAR178_8.31.10_1",4.2016
"113GAR178_9.9.13_1",4.2016
"113GAR178_9.9.13_2",4.2016
"113GAR244_6.28.10_1",3.112
"113PS0012_9.9.08_1",2.24530909090909
"113PS0012_9.9.08_2",2.24530909090909
"113PS0076_8.2.12_1",2.90613333333333
