"","Predicted"
"102PS0177_8.28.12_1",0.395966666666667
"103CDCHHR_9.14.10_1",0.913735714285715
"103STCNSR_8.9.11_1",0.389133333333333
"103WER026_8.15.12_1",0.572461904761905
"103WER029_7.16.14_1",0.913735714285715
"103WER030_8.10.11_1",0.3851
"105BVCAGC_9.21.10_1",0.300391824841825
"105CE0329_7.23.14_1",0.109878787878788
"105CLCATC_8.10.10_1",0.390212121212121
"105DLCDCC_10.20.09_1",0.885433333333333
"105FCA116_7.16.13_1",0.597934920634921
"105FS0416_9.24.13_1",0.837464285714285
"105FS0425_8.10.11_1",0.354133333333334
"105FS0428_8.3.11_1",0.644466666666666
"105NWC151_6.26.13_1",1.71733333333333
"105PS0043_9.17.08_1",1.93631212121212
"105PS0083_9.8.09_1",0.238366666666667
"105PS0090_8.7.12_1",0.106778787878788
"105PS0097_7.22.14_1",0.7587
"105PS0154_8.9.11_1",0.7472
"105PS0195_8.7.12_1",0.194733333333333
"105PS0259_9.17.13_1",0.671133333333333
"105PS0267_7.21.14_1",0.953823809523809
"105PS0468_9.1.09_1",1.8956
"105PS0540_9.15.10_1",1.65940808080808
"105PS1492_8.6.14_1",1.1002
"105WE0598_7.24.14_1",0.578966666666667
"105WLC135_6.26.13_1",2.0881
"105WLCABC_8.3.11_1",2.15856666666667
"106FS0040_8.30.11_1",0.819533333333333
"106PS0115_9.21.10_1",0.741397619047619
"106PS0124_8.16.10_1",0.78247380952381
"106PS0166_8.2.11_1",1.1142
"106WE0505_7.21.14_1",0.594766666666666
"106WER011_9.11.13_1",0.582447619047619
"107PS0021_7.14.14_1",0.913735714285715
"107WER092_8.27.12_1",2.42253333333333
"111BBRBCC_9.23.09_1",1.3596
"111CBCAER_8.8.13_1",0.859324242424242
"111ERATRC_10.10.12_1",0.7895
"111FS0001_7.5.11_1",0.852766666666666
"111FS0008_7.19.12_1",1.4988
"111HSCAER_7.26.11_1",1.7247
"111PS0060_10.7.08_1",2.16853333333333
"111PS0110_6.9.14_1",0.742966666666666
"111PS0144_8.18.10_1",1.58806666666667
"111PS0160_7.25.11_1",1.63685476190476
"111PS0204_8.17.10_1",1.46256666666667
"111RSCAER_8.8.11_1",0.249166666666667
"111TGCAER_7.24.12_1",0.743066666666666
"111WE0816_6.12.13_1",0.480240476190476
"111WE1050_6.12.13_1",0.403238528138528
"111WE1071_7.26.12_1",0.502798051948052
"111WER003_6.10.14_1",0.313133333333333
"111WER008_7.23.12_1",0.3492
"111WER159_10.19.09_1",0.9139
"113RG8046_8.19.10_1",3.0937
"114CE0131_7.31.12_1",4.66543333333334
"114PS0145_6.20.11_1",4.31776666666667
"114WE0614_7.9.12_1",2.11006666666667
"115EBAG01_7.1.10_1",5.0296
"201AHO350_6.20.12_1",2.0117
"201CHE300_6.18.12_1",4.83876666666667
"201LAG335_7.15.09_1",2.26563333333333
"201MRS020_9.13.10_1",2.22936666666667
"202BUT030_6.29.10_1",3.69669047619048
"202BUT040_6.4.14_1",0.868733333333333
"202BUT050_6.16.09_1",1.33918816738817
"202BUT480_6.25.12_1",1.2985215007215
"202BUT600_6.26.12_1",1.58165007215007
"202DRY010_6.5.13_1",4.32523333333333
"202PES168_6.6.13_1",2.9209
"202R00024_6.6.12_1",5.24033333333333
"202R00280_5.22.13_1",2.67190245310245
"204AHOACR_6.2.14_1",1.45876666666667
"204ALA500_6.10.13_1",2.57726666666667
"204ARH090_6.2.14_1",3.26284523809524
"204IND200_5.25.10_1",3.49886666666667
"204R00189_5.6.13_1",3.54643174603175
"204SIN300_5.15.12_1",1.4632
"204VAL400_5.19.14_1",2.13698095238095
"205AAG375_5.14.14_1",3.68317142857143
"205AAG400_6.5.12_1",3.11235238095238
"205COY585_5.28.13_1",3.35438174603175
"205COY610_6.3.10_1",2.31840952380952
"205COY615_6.3.14_1",4.19057698412699
"205COY853_5.29.14_1",3.19691190476191
"205COY900_5.16.12_1",3.35613333333333
"205COY930_5.7.13_1",3.39434523809524
"205CYCAHH_6.10.08_1",3.84453333333333
"205CYCBBC_6.28.10_1",2.23287619047619
"205LGA700_5.23.12_1",1.9414
"205R00021_5.16.12_1",1.31144523809524
"205R00182_5.7.13_1",3.84297142857143
"205WUN450_6.11.12_1",1.68606666666667
"205WUN550_5.6.13_1",2.37833333333333
"206HCT020_5.29.12_1",2.61028571428572
"206RCCBDC_7.20.10_1",2.20178333333333
"206TUL120_6.13.11_1",1.96733333333333
"207GVC800_5.23.13_1",2.37393333333333
"207SUI800_5.5.14_1",5.68417142857143
"304WDCAH1_6.29.10_1",3.77706666666667
"305LGCACR_7.16.08_1",4.35616666666667
"305LGCBRC_6.30.10_1",3.11235238095238
"305SSCAUC_6.29.10_1",2.39887070707071
"305UVCASC_6.29.10_1",1.93882626262626
"307CE0094_6.12.12_1",2.8697886002886
"307SCCARR_6.21.10_1",4.47120526695527
"308BSU_7.13.10_1",3.0982
"308LILPAL_6.20.12_1",2.38941428571429
"308PWCAH1_6.22.10_1",1.63134761904762
"308SAM_6.23.10_1",1.90131666666667
"308SANWIL_6.12.12_1",4.2978386002886
"308SBCAH1_6.21.10_1",2.81432034632035
"309ARSARC_6.23.10_1",3.68248737373737
"309CAW126_5.21.14_1",1.09286666666667
"309NAF_5.24.12_1",1.602
"309WLCATC_6.22.10_1",2.9649886002886
"310COO_6.24.10_1",2.7499
"310LPCBPC_6.9.09_1",2.27933333333334
"312DAVDAV_6.7.12_1",5.78256666666667
"312MZCDBC_5.13.14_1",2.94917142857143
"312RYCALR_6.16.10_1",3.69852857142857
"402BA0287_6.9.08_1",3.88386666666667
"402M00005_6.11.15_1",4.71686666666666
"402MTCUNF_6.5.12_1",4.55243333333333
"402PS0048_5.21.08_1",4.42446666666667
"403BA0015_5.19.08_1",3.74731666666667
"403BA0064_6.18.14_1",4.9951974025974
"403BA0140_5.21.08_1",8.08993333333333
"403BA0171_5.19.08_1",5.2376380952381
"403LNCASC_6.15.10_1",2.5307619047619
"403S00875_6.24.10_1",5.10943809523809
"403S01883_6.21.10_1",3.3385
"403S03643_6.24.10_1",6.87486666666667
"403S06315_6.27.12_1",4.26403333333333
"403STC064_6.8.11_1",2.00443333333333
"403STC086_6.21.11_1",3.4818
"403WE0501_5.14.13_1",3.90763333333333
"403WE1027_5.14.14_1",1.4466
"405BRCAMS_6.7.11_1",2.04332380952381
"405BRCASG_5.7.14_1",0.8789
"405BRCSGR_5.28.08_1",1.3161
"405SGRAAG_5.28.08_1",0.683257142857143
"405WER318_8.18.09_1",1.60916666666667
"504DCFRxx_7.27.10_1",2.20653766233766
"504PS0227_8.12.09_1",2.45743333333333
"504WE0527_7.2.13_1",2.25273766233766
"505BMCMCR_8.4.10_1",1.09746666666667
"505LBCAMR_8.7.13_1",1.13126666666667
"505PS0174_9.27.11_1",1.18803333333333
"506PS0062_9.15.08_1",1.21393333333333
"507MZCAML_7.17.12_1",1.26236363636364
"509ACNFPP_9.25.14_1",1.46537619047619
"509ACSFPP_7.16.08_1",1.92703333333333
"509ATCINC_7.14.08_1",2.44193333333333
"509BSCADC_8.31.11_1",0.565966666666667
"509CBCADC_8.24.10_1",1.46753333333333
"509CTCADC_7.10.12_1",0.498233333333334
"509CWCPLR_7.7.08_1",2.23303766233766
"509FCA054_8.27.13_1",2.5403
"509ICPPCX_9.10.08_1",2.37390432900433
"509MLC145_8.6.13_1",2.1467
"509PCDTWR_9.3.08_1",1.28723333333333
"509PMC197_7.2.14_1",0.936366666666666
"509PS0085_9.7.11_1",2.722
"509PS0170_7.26.10_1",1.6064
"509PS0234_8.15.11_1",1.61275476190476
"509PS0334_9.12.12_1",2.03966666666667
"513BTCACC_9.10.08_1",2.3237
"513PS0008_9.1.10_1",5.59693333333334
"513PS0200_7.30.12_1",1.50330952380952
"514BMCARC_9.27.11_1",0.437333333333334
"514BRUUPX_10.9.08_1",0.574614285714285
"514ICEUPx_8.13.14_1",0.336684126984127
"514LNCASC_8.30.11_1",0.370792063492064
"514PCASMR_10.29.14_1",0.507833333333333
"514PS0131_7.28.14_1",0.9789
"514SBCAMR_8.29.11_1",0.287435714285714
"514SCCAAR_7.24.08_1",0.0648
"514SFA222_7.28.14_1",0.0769888888888889
"517LCCAYB_8.12.08_1",1.07443968253968
"517PS0054_7.28.10_1",1.2725
"517PS0074_9.20.11_1",0.869242857142857
"518CHCANF_7.12.12_1",3.00226666666667
"518CPCRCR_8.20.14_1",0.710733333333333
"518GZCUPx_6.30.14_1",0.424868253968254
"518KNCAWC_8.15.11_1",0.493268253968254
