"","Predicted"
"103KLCMSR_9.14.10_1",0.3855
"105PS0193_8.29.12_1",0.353366666666667
"105PS0660_8.3.10_1",1.71733333333333
"105TMCACC_8.10.10_1",1.482
"106MNCAHC_10.1.08_1",1.64809090909091
"106WE1079_8.8.12_1",1.50857619047619
"106WER016_10.20.09_1",1.89423333333333
"107LLM101_9.13.10_1",0.913735714285715
"111BGCAER_6.11.14_1",0.819533333333333
"111FS0007_7.11.11_1",2.40643939393939
"111PAL105_7.13.11_1",3.64453333333333
"202SPE090_6.15.09_1",3.9301
"205AAG075_6.12.13_1",2.27975483405484
"205COY850_5.21.12_1",1.55196666666667
"205SFC880_6.19.12_1",2.64465930735931
"206BRC020_6.27.12_1",3.95810476190476
"207SUI290_6.4.12_1",2.5508253968254
"307CMRADC_5.20.14_1",1.76216666666667
"308LSRASC_7.18.11_1",3.42163333333333
"308MWCAH1_6.23.10_1",2.48023939393939
"308PS0156_6.19.12_1",2.25101666666667
"308ROCBBQ_6.21.12_1",1.79586233766234
"309ARCBRC_8.25.08_1",1.8289
"309PS0116_6.16.11_1",2.31627857142857
"312PS0099_6.14.10_1",4.1188
"315CHCALS_6.15.10_1",4.70670476190476
"402BA0095_5.29.08_1",4.85316666666666
"402M00009_6.29.15_1",4.5945
"403S00960_6.2.10_1",5.84693232323232
"403S01536_7.12.11_1",2.37166666666667
"403WE0540_5.14.14_1",4.4893
"403WE0683_5.15.13_1",5.08617142857143
"505PS0110_9.16.10_1",0.880166666666667
"513CCNASC_7.16.14_1",2.15513333333333
"513STCAIV_6.12.14_1",2.2122
"513UNCAKC_9.23.09_1",2.2122
"514SSC190_9.11.14_1",0.472848412698413
"517FCA046_8.14.13_1",1.17466666666667
"518BTCASC_6.12.13_1",0.840657142857142
"518FCA075_8.12.13_1",1.0324
"518SPC134_6.18.13_1",1.29003095238095
"522GSCBSC_9.24.09_1",1.89643333333333
"522PS0504_6.11.13_1",2.04500476190476
"526PNCAMF_6.25.13_1",0.909006349206349
"526PS1420_6.25.13_1",1.38166666666667
"534MLC108_9.14.11_1",0.939244444444444
"536HLCBFM_6.18.13_1",0.3303
"537TYCAML_7.16.08_1",0.172233333333333
"540SED003_8.30.11_1",0.541866666666667
"552DKC268_6.23.14_1",0.6688
"552MFCAKR_6.11.08_1",2.9231
"553KRNAYC_6.17.14_1",3.42656666666667
"554CLCALK_8.23.11_1",0.6192
"603DDM005_9.13.11_1",0.373995238095238
"603FCA145_8.21.13_1",0.858278571428571
"603PS0008_7.30.08_1",0.168133333333333
"603PS0075_8.15.12_1",2.3507619047619
"603PS0109_7.29.08_1",1.87576666666667
"603PS0557_8.18.10_1",1.84856666666667
"603SPCBWC_7.22.08_1",1.00593333333333
"631DEP001_8.28.12_1",2.78883333333333
"631PS0033_8.30.10_1",1.26236363636364
"632ELD001_9.8.11_1",1.43668095238095
"634CAT055_10.4.11_1",0.376833333333333
"634GRF001_10.3.11_1",0.674647619047619
"634HHCATC_10.4.11_1",0.8297
"634PS0035_9.1.10_1",0.158102380952381
"634PS0062_10.12.11_1",1.34947857142857
"634WSN001_10.4.11_1",1.23920952380952
"636SAG001_7.12.10_1",2.22553333333333
"639PS1279_6.11.13_1",0.980695670995671
"641OWC157_7.24.13_1",0.0971787878787879
"722NP7IDC_4.16.14_1",5.41327698412699
"801DRC025_6.25.14_1",1.73984047619048
"801S03488_5.7.14_1",2.64253333333333
"801WE0674_5.14.13_1",1.71577380952381
"801WE1008_5.14.13_1",1.1436
"801WE1132_8.19.09_1",1.66966666666667
"901ATCAAS_6.5.08_1",3.29836089466089
"901CSCADC_5.26.11_1",2.5587
"901S06969_5.31.12_1",3.74931031746032
"903WE0798_4.8.15_1",2.38849761904762
"905BCC_6.11.14_1",5.77244025974026
"905S02561_5.25.11_1",4.76308095238095
"909JQCASR_6.1.11_1",1.28300952380952
"911S03354_5.5.09_1",2.81171666666667
"911TJIND2_5.8.08_1",3.0207
"911TJLCC2_4.7.15_1",3.55134761904762
"SCFC1_6.12.08_1",4.22479365079365
"SCSS1_6.17.08_1",5.04955238095238
"SMAD1_11.5.08_1",4.95686666666667
"SMC00135_6.7.10_1",1.8118
"SMC01979_7.14.11_1",4.81568571428571
"SMC02139_7.17.12_1",3.4412474025974
"SMC04204_7.11.12_1",2.4558
"SMC04383_5.19.14_1",3.88386666666667
"SMC06467_6.28.10_1",3.23410476190476
"SMC19809_6.25.13_1",5.84103333333333
