"","Predicted"
"105PS0188_8.26.08_1",1.33013333333333
"105PS0188_8.26.08_2",1.33013333333333
"106FC1183_7.24.14_1",1.16803333333333
"106FC1313_7.23.14_1",1.3165
"106PS0078_8.26.09_1",1.98616666666667
"106PS0173_8.4.11_1",1.23486666666667
"106PS0186_9.26.12_1",0.915666666666666
"109PS0162_7.20.11_1",2.85166666666667
"110ECSLSF_7.26.11_1",2.97703333333333
"110FCA102_7.25.13_1",3.02103333333333
"111CR1012_8.18.14_1",1.65853333333333
"111PS0057_8.18.08_1",3.72906666666667
"113GAR010_6.8.09_1",2.59133333333333
"113GAR010_8.27.12_1",2.59133333333333
"113GAR038_6.8.09_1",2.89236666666667
"113GAR038_9.10.12_1",2.89236666666667
"113GAR046_6.18.12_1",4.55493333333334
"113GAR046_6.8.09_1",4.55493333333334
"113GAR046_9.2.14_1",4.55493333333334
"113GAR061_6.19.12_1",4.38983333333333
"113GAR061_7.1.09_1",4.38983333333333
"113GAR061_9.3.14_1",4.38983333333333
"113GAR061_9.3.14_2",4.38983333333333
"113GAR084_6.28.10_1",3.59946666666667
"113GAR094_7.27.10_1",3.85660432900433
"113GAR094_7.27.10_2",3.85660432900433
"113GAR110_6.18.12_1",3.65846666666667
"113GAR110_6.30.09_1",3.65846666666667
"113GAR110_9.2.14_1",3.65846666666667
"113PS0084_8.18.09_1",1.8851
"113PS0100_8.25.09_1",3.17516666666667
"113PS0132_9.15.10_1",1.87
"113PS0196_8.1.12_1",2.69963333333333
"114CR0903_8.26.13_1",4.15963333333333
"114CR0903_9.25.13_1",4.15963333333333
"114PS0149_7.10.12_1",2.3277
"114PS0152_7.7.11_1",2.14651428571429
"114PS0152_8.18.11_1",2.14651428571429
"114RR1041_10.10.11_1",3.27226666666667
"114RR1041_10.25.11_1",3.27226666666667
"114RR1041_10.25.11_2",3.27226666666667
"114RR1041_8.2.11_1",3.27226666666667
"114RR1041_9.7.11_1",3.27226666666667
"114RR1310_6.2.11_1",3.23323333333333
"114RR1599_10.10.11_1",3.1134
"114RR1599_10.25.11_1",3.1134
"114RR1599_6.2.11_1",3.1134
"114RR1599_6.27.11_1",3.1134
"114RR1599_8.2.11_1",3.1134
"114RR1599_8.2.11_2",3.1134
"114RR1599_9.7.11_1",3.1134
"114RR2678_10.11.11_1",4.09646666666667
"114RR2678_10.24.11_1",4.09646666666667
"114RR2678_6.29.11_1",4.09646666666667
"114RR2678_8.1.11_1",4.09646666666667
"114RR2678_9.13.11_1",4.09646666666667
"114RR2769_6.1.11_1",4.10563333333333
"114RR2899_10.11.11_1",3.5426
"114RR2899_10.24.11_1",3.5426
"114RR2899_6.1.11_1",3.5426
"114RR2899_6.29.11_1",3.5426
"114RR2899_8.1.11_1",3.5426
"114RR2899_9.13.11_1",3.5426
"202BUT850_6.4.13_1",2.1581
"202PS0134_5.31.11_1",3.93391666666667
"202R00087_5.30.12_1",2.65756666666667
"202R00284_6.15.12_1",4.01533333333334
"202R00908_5.21.13_1",3.93046666666667
"203PS0070_7.19.10_1",2.53636666666667
"203PS0070_9.7.10_1",2.53636666666667
"203R00039_5.14.12_1",3.82816666666667
"204ALP040_4.10.11_1",3.48410396825397
"204ALP040_6.29.11_1",3.48410396825397
"204ALP105_4.10.11_1",5.30083333333333
"204ALP151_4.10.11_1",3.48310079365079
"204ALP151_6.29.11_1",3.48310079365079
"204PS0038_6.19.08_1",2.72067619047619
"204PS0094_7.14.10_1",3.13681349206349
"204PS0102_6.15.11_1",1.8688
"204PS0102_6.15.11_2",1.8688
"204PS0102_8.10.11_1",1.8688
"204PS0118_6.15.11_1",5.05503333333333
"204R00047_6.6.12_1",3.74477142857143
"204R00063_6.4.13_1",3.36057619047619
"204R00068_5.31.12_1",1.3608119047619
"204R00084_5.24.12_1",4.1794
"204R00100_5.30.12_1",3.32282756132756
"204R00180_5.30.12_1",4.00320158730159
"204R00191_5.29.12_1",3.35438174603175
"204R00200_5.31.12_1",3.98973492063492
"204R00232_6.12.12_1",2.13716507936508
"204R00232_6.12.12_2",2.13716507936508
"204R00244_6.12.12_1",2.67190245310245
"204R00303_6.14.12_1",3.99368253968254
"204R00319_6.7.12_1",3.28840952380952
"204R00319_6.7.12_2",3.28840952380952
"204R00327_5.7.13_1",3.79527777777778
"204R00334_5.8.13_1",4.24847698412699
"204R00340_6.11.12_1",3.93260476190476
"204R00356_5.30.12_1",3.16734682539683
"204R00356_6.4.12_1",3.16734682539683
"204R00367_6.12.12_1",1.49200721500721
"204R00383_6.11.12_1",3.8151380952381
"204R00391_6.6.12_1",5.25461984126984
"204R00436_5.20.13_1",4.62001428571428
"204R00447_4.2.13_1",1.5798
"204R00447_4.22.13_1",1.5798
"204R00455_6.13.12_1",1.35146666666667
"204R00473_5.9.13_1",4.19057698412699
"204R00473_5.9.13_2",4.19057698412699
"204R00520_5.28.13_1",4.26945873015873
"204R00583_6.13.12_1",3.70520476190476
"204R00596_5.31.12_1",3.17131190476191
"204R00623_6.3.13_1",2.37353333333333
"204R00639_6.19.12_1",1.83476666666667
"204R00680_5.28.13_1",3.02157857142857
"204R00724_5.21.13_1",4.1794
"204R00807_5.21.13_1",1.4708880952381
"204R00852_5.6.13_1",3.10519761904762
"204R00884_5.20.13_1",4.59840952380952
"204R00967_4.25.13_1",2.5508253968254
"204R01316_5.22.13_1",3.52460396825397
"204R01471_5.22.13_1",3.16734682539683
"205PS0045_6.17.09_1",2.00025
"205PS0045_6.17.09_2",2.00025
"205PS0074_7.14.10_1",4.0713
"205PS0106_6.21.11_1",3.12776666666667
"205PS0109_6.21.11_1",2.95776666666667
"205PS0138_6.1.11_1",3.06750476190476
"205PS0157_6.19.12_1",2.85997380952381
"205PS0170_6.19.12_1",2.95866666666667
"205PS0173_6.20.12_1",3.3679
"205PS0173_6.20.12_2",3.3679
"205PS0202_5.22.13_1",2.69593333333333
"205PS0202_7.17.13_1",2.69593333333333
"205PS0221_5.20.13_1",3.2349
"205R00026_5.14.12_1",1.91348333333333
"205R00035_5.24.12_1",1.49200721500721
"205R00035_5.24.12_2",1.49200721500721
"205R00042_5.21.12_1",3.55980396825397
"205R00067_6.3.12_1",2.27975483405484
"205R00088_6.4.12_1",4.8792
"205R00090_5.23.12_1",3.3205
"205R00099_5.17.12_1",3.7617380952381
"205R00115_6.5.12_1",2.22743333333333
"205R00131_6.3.12_1",2.5508253968254
"205R00154_5.22.12_1",2.58816666666667
"205R00168_6.4.12_1",2.31126666666667
"205R00174_4.23.13_1",1.49200721500721
"205R00218_5.23.12_1",3.51110396825397
"205R00227_6.5.12_1",2.82134761904762
"205R00234_5.15.12_1",2.22743333333333
"205R00241_5.21.12_1",3.12398737373737
"205R00259_6.14.12_1",2.52407619047619
"205R00282_5.22.12_1",3.68317142857143
"205R00291_6.13.12_1",3.3686753968254
"205R00346_6.14.12_1",2.42750952380953
"205R00346_6.14.12_2",2.42750952380953
"205R00355_6.13.12_1",2.10863737373737
"205R00387_6.6.13_1",1.42803333333333
"205R00419_6.11.13_1",4.2488
"205R00430_6.5.12_1",2.45904285714286
"205R00451_6.5.13_1",2.82134761904762
"205R00474_5.9.13_1",3.55980396825397
"205R00535_6.20.12_1",2.5508253968254
"205R00535_6.20.12_2",2.5508253968254
"205R00538_5.8.13_1",2.27975483405484
"205R00547_6.4.13_1",2.17274444444444
"205R00554_5.29.13_1",4.657
"205R00586_6.10.13_1",2.00025
"205R00602_6.3.13_1",3.68317142857143
"205R00627_6.4.13_1",2.3797
"205R00666_5.9.13_1",3.49810396825397
"205R00686_4.24.13_1",2.66417619047619
"205R00707_6.5.13_1",1.49200721500721
"205R00707_6.5.13_2",1.49200721500721
"205R00714_6.10.13_1",2.22743333333333
"205R00739_6.11.13_1",2.6986
"205R00771_6.6.13_1",2.42750952380953
"205R00872_5.27.13_1",2.00025
"205R00878_4.24.13_1",2.5508253968254
"205R00984_5.27.13_1",2.3594
"205R01134_5.20.13_1",3.24234285714286
"205R01198_5.20.13_1",3.93260476190476
"205R01390_5.23.13_1",4.1794
"205SAR057_5.13.09_1",3.68448737373737
"205SAR060_5.13.09_1",1.90603333333333
"205SAR070_5.14.09_1",2.53663333333333
"205SAR080_5.14.09_1",4.0264
"206FCA155_7.31.13_1",2.31396666666667
"206HMC030_8.8.11_1",4.11051904761905
"206MIL020_8.23.11_1",2.5853
"206NAP090_8.25.11_1",3.1393
"206NAP150_8.29.11_1",2.92595238095238
"206NAP200_8.31.11_1",3.52870432900433
"206PS0054_6.15.09_1",2.15376666666667
"206PS0073_7.20.10_1",2.32513333333333
"206PS0165_7.10.12_1",4.71533333333333
"206PS0230_6.5.13_1",2.25563333333333
"206R00155_5.16.12_1",3.27410952380952
"206R00215_5.23.12_1",2.19353333333334
"206R00551_4.30.14_1",3.58950476190476
"206R00727_5.13.13_1",4.1640380952381
"206R00919_5.15.14_1",4.4569
"206RED032_8.16.11_1",3.61012380952381
"206SAL050_8.9.11_1",2.77395476190476
"206SON019_9.14.11_1",3.52971666666667
"206SON050_9.12.11_1",3.76016666666667
"206SON210_9.7.11_1",2.8927
"206TUL030_8.15.11_1",2.01518095238095
"207LPC025_5.13.14_1",2.2028
"207PS0142_6.1.11_1",2.87088650793651
"207PS0150_6.13.12_1",2.80217698412698
"207PS0150_6.13.12_2",2.80217698412698
"207PS0241_6.3.13_1",4.75130476190476
"207R00011_5.22.12_1",1.8022
"207R00139_5.17.12_1",4.24140476190476
"207R00139_5.17.12_2",4.24140476190476
"207R00247_5.22.12_1",4.6484007936508
"207R00375_5.1.13_1",3.30882222222222
"207R00395_5.14.13_1",2.70881666666667
"207R00503_5.2.13_1",2.83137222222222
"207R00532_4.29.13_1",2.93984523809524
"207R00567_4.30.13_1",3.10890454545455
"207R00567_4.30.13_2",3.10890454545455
"207R00631_5.16.13_1",2.57392142857143
"207R00631_5.17.13_2",2.57392142857143
"207R00788_5.15.13_1",2.80860555555556
"207R00843_4.22.14_1",4.18437142857143
"207R00843_4.22.14_2",4.18437142857143
"304BEP_7.7.11_1",2.73918102453103
"304BH9_7.21.11_1",1.74626666666667
"304PS0006_6.17.08_1",3.85753333333333
"304PS0006_6.4.08_1",3.85753333333333
"304PS0006_6.4.08_2",3.85753333333333
"304PS0146_6.18.12_1",4.37653333333333
"304PS0146_7.11.12_1",4.37653333333333
"304PS0274_6.4.14_1",2.01630324675325
"304SL9_7.21.11_1",2.39543658008658
"304SL9_7.21.11_2",2.39543658008658
"304SOU_7.6.11_1",3.3112
"304ZAY_7.7.11_1",2.02130324675325
"305COR2_7.21.11_1",4.28686666666667
"305PS0034_6.17.08_1",3.16734682539683
"305PS0057_6.16.09_1",2.8457
"305PS0061_6.17.09_1",3.22735714285714
"309PS0072_6.23.10_1",2.4951
"309PSO_5.22.12_1",2.04383333333333
"309SAT_5.23.12_1",2.4213
"309SET_5.31.12_1",1.69272467532467
"309SET_5.31.12_2",1.69272467532467
"312ORB_5.15.13_1",4.34106666666667
"402M00002_8.13.15_1",6.01446666666667
"403BA0047_5.15.08_1",3.6077619047619
"403BA0068_5.14.08_1",3.54347142857143
"403M05758_6.29.15_1",3.72425
"403S01784_6.9.09_1",4.82848333333333
"403S03320_6.8.10_1",4.4296619047619
"403S03832_6.8.09_1",1.89646666666667
"403S04868_6.15.11_1",4.2517
"403S05247_6.1.10_1",3.96857698412698
"403S11084_6.9.10_1",4.02025
"403S14156_6.9.09_1",3.93378333333333
"403S34646_6.25.13_1",4.02025
"403S39062_6.25.13_1",3.77051666666667
"404BA0084_6.4.08_1",2.34865079365079
"404BA0142_6.18.08_1",3.89580476190476
"404BA0376_6.5.08_1",5.0268
"404BA0376_6.5.08_2",5.0268
"404BA0808_6.2.08_1",5.12952698412699
"404BA0808_6.3.14_1",5.12952698412699
"404M04532_7.14.15_1",3.88383333333333
"404M07346_7.1.15_1",4.05286666666667
"404M07349_7.15.15_1",3.01606666666667
"404S00808_6.22.10_1",5.12952698412699
"404S02920_5.12.09_1",3.88383333333333
"404S03048_5.13.09_1",5.9064
"404S05992_5.12.09_1",3.34130476190476
"404S08040_5.12.09_1",4.64346666666667
"404S08616_5.13.09_1",4.14377698412698
"404S08616_5.13.09_2",4.14377698412698
