"","Predicted"
"102PS0139_8.9.10_1",4.43738333333333
"103FCA168_7.24.13_1",3.51097142857143
"103PS0217_9.10.13_1",3.51097142857143
"103RDCBCC_7.21.11_1",4.1575
"105PS0028_8.12.08_1",3.06516666666667
"105PS0028_8.26.08_1",3.06516666666667
"105PS0067_8.24.09_1",4.8193
"105PS0067_8.24.09_2",4.8193
"105PS0067_9.15.09_1",4.8193
"105PS0069_8.18.09_1",3.21587142857143
"105PS0092_8.11.08_1",6.14954285714286
"105PS0107_9.14.09_1",9.19206666666667
"105PS0129_8.11.10_1",4.7645
"105PS0129_8.11.10_2",4.7645
"105PS0149_8.29.12_1",6.45092380952381
"105PS0211_8.20.13_1",7.41730476190476
"105PS0211_9.16.13_1",7.41730476190476
"105PS0231_8.29.13_1",13.5936666666667
"105PS0276_9.1.09_1",9.25746666666667
"105PS0276_9.22.09_1",9.25746666666667
"105PS0540_8.5.10_1",5.40473333333333
"105PS1148_9.18.12_1",9.36733333333333
"105PS1404_8.28.13_1",8.45603333333334
"105PS1404_8.28.13_2",8.45603333333334
"106FCA036_7.15.13_1",6.6061
"106HLCACC_9.23.13_1",6.479
"106PS0022_9.30.08_1",4.15803333333333
"106PS0051_9.16.08_1",6.13096666666666
"106PS0051_9.16.08_2",6.13096666666666
"106PS0106_9.8.09_1",3.7583
"106PS0106_9.8.09_2",3.7583
"106PS0122_9.20.10_1",3.35633333333333
"106PS0142_7.19.10_1",3.8846
"106PS0206_10.3.12_1",3.72723333333333
"106PTCAHC_9.2.08_1",5.68416666666667
"107GWCAPC_9.15.10_1",4.30573333333333
"107RWCBHW_8.3.11_1",3.698
"107RWCBHW_8.3.11_2",3.698
"108PS0197_8.16.12_1",4.0612
"110PS0114_7.21.10_1",5.32303333333333
"110SMCATH_7.27.11_1",4.569
"111CE0569_10.11.10_1",8.11913333333334
"111FCA207_7.23.13_1",6.31554285714286
"111PS0008_9.29.08_1",8.5701
"111PS0008_9.9.08_1",8.5701
"111PS0008_9.9.08_2",8.5701
"111PS0013_8.19.08_1",5.95387142857143
"111PS0095_8.27.09_1",5.3733
"111PS0095_8.27.09_2",5.3733
"111PS0121_7.20.10_1",8.61005714285714
"111PS0159_7.14.11_1",2.44626666666667
"111PS0169_7.25.11_1",9.12683333333333
"111PS0169_7.25.11_2",9.12683333333333
"111PS0178_8.14.12_1",3.1121380952381
"111PS0237_9.12.13_1",6.65725714285714
"112PS0157_7.12.11_1",3.7731
"113GAR011_8.22.11_1",8.16386666666667
"113GAR011_9.1.10_1",8.16386666666667
"113GAR015_8.23.11_1",6.46350952380953
"113GAR015_8.31.10_1",6.46350952380953
"113GAR015_9.9.13_1",6.46350952380953
"113GAR023_7.22.14_1",8.0021
