"","Predicted"
"102PS0177_8.28.12_1",4.4658
"103CDCHHR_9.14.10_1",3.42367142857143
"103STCNSR_8.9.11_1",2.27805238095238
"103WER026_8.15.12_1",4.46763333333333
"103WER029_7.16.14_1",2.6606380952381
"103WER030_8.10.11_1",1.78265238095238
"105BVCAGC_9.21.10_1",1.7976
"105CE0329_7.23.14_1",1.3626
"105CLCATC_8.10.10_1",3.3584
"105DLCDCC_10.20.09_1",3.3387
"105FCA116_7.16.13_1",2.2498
"105FS0416_9.24.13_1",4.85823333333333
"105FS0425_8.10.11_1",3.37796666666667
"105FS0428_8.3.11_1",2.39973333333333
"105NWC151_6.26.13_1",11.5976666666667
"105PS0043_9.17.08_1",5.82696666666667
"105PS0083_9.8.09_1",5.90223333333333
"105PS0090_8.7.12_1",3.5382
"105PS0097_7.22.14_1",2.1044
"105PS0154_8.9.11_1",3.363
"105PS0195_8.7.12_1",3.7504
"105PS0259_9.17.13_1",4.42456666666666
"105PS0267_7.21.14_1",8.14333333333333
"105PS0468_9.1.09_1",7.73703333333334
"105PS0540_9.15.10_1",5.40473333333333
"105PS1492_8.6.14_1",4.99113333333333
"105WE0598_7.24.14_1",1.56096666666667
"105WLC135_6.26.13_1",9.07433333333333
"105WLCABC_8.3.11_1",3.63213333333333
"106FS0040_8.30.11_1",3.16843333333333
"106PS0115_9.21.10_1",3.61293333333333
"106PS0124_8.16.10_1",5.09620000000001
"106PS0166_8.2.11_1",3.68947619047619
"106WE0505_7.21.14_1",1.486
"106WER011_9.11.13_1",4.30236666666666
"107PS0021_7.14.14_1",3.25487142857143
"107WER092_8.27.12_1",3.82073333333333
"111BBRBCC_9.23.09_1",5.64866666666667
"111CBCAER_8.8.13_1",6.1207753968254
"111ERATRC_10.10.12_1",6.594
"111FS0001_7.5.11_1",2.76396666666667
"111FS0008_7.19.12_1",7.76403333333334
"111HSCAER_7.26.11_1",6.07601428571429
"111PS0060_10.7.08_1",4.93876666666667
"111PS0110_6.9.14_1",2.12533333333333
"111PS0144_8.18.10_1",5.2867
"111PS0160_7.25.11_1",2.7536
"111PS0204_8.17.10_1",3.55373333333333
"111RSCAER_8.8.11_1",3.4267
"111TGCAER_7.24.12_1",3.7416
"111WE0816_6.12.13_1",5.98246666666667
"111WE1050_6.12.13_1",5.77339444444445
"111WE1071_7.26.12_1",5.77339444444445
"111WER003_6.10.14_1",4.68413333333333
"111WER008_7.23.12_1",7.3436
"111WER159_10.19.09_1",5.01713333333333
"113RG8046_8.19.10_1",10.4509666666667
"114CE0131_7.31.12_1",10.5062
"114PS0145_6.20.11_1",8.97926666666666
"114WE0614_7.9.12_1",7.83552380952381
"115EBAG01_7.1.10_1",13.9496
"201AHO350_6.20.12_1",4.8481
"201CHE300_6.18.12_1",10.4082666666667
"201LAG335_7.15.09_1",4.66473333333333
"201MRS020_9.13.10_1",7.72013333333333
"202BUT030_6.29.10_1",9.81167142857142
"202BUT040_6.4.14_1",3.83136666666667
"202BUT050_6.16.09_1",5.79650476190476
"202BUT480_6.25.12_1",6.7601380952381
"202BUT600_6.26.12_1",5.43666666666666
"202DRY010_6.5.13_1",9.54583333333334
"202PES168_6.6.13_1",5.21056666666666
"202R00024_6.6.12_1",9.55249999999999
"202R00280_5.22.13_1",7.46416666666666
"204AHOACR_6.2.14_1",3.56616666666667
"204ALA500_6.10.13_1",8.25806666666667
"204ARH090_6.2.14_1",14.2975349206349
"204IND200_5.25.10_1",6.8409
"204R00189_5.6.13_1",12.5208682539683
"204SIN300_5.15.12_1",4.44386666666666
"204VAL400_5.19.14_1",7.14306666666667
"205AAG375_5.14.14_1",8.11003333333333
"205AAG400_6.5.12_1",7.4102
"205COY585_5.28.13_1",13.8066111111111
"205COY610_6.3.10_1",10.2561476190476
"205COY615_6.3.14_1",12.9432968253968
"205COY853_5.29.14_1",13.5079349206349
"205COY900_5.16.12_1",12.7071666666667
"205COY930_5.7.13_1",13.4087
"205CYCAHH_6.10.08_1",11.854480952381
"205CYCBBC_6.28.10_1",10.2561476190476
"205LGA700_5.23.12_1",5.09886666666667
"205R00021_5.16.12_1",6.75683333333333
"205R00182_5.7.13_1",9.56926666666666
"205WUN450_6.11.12_1",8.62363333333333
"205WUN550_5.6.13_1",8.9212
"206HCT020_5.29.12_1",5.08823333333333
"206RCCBDC_7.20.10_1",5.29226666666666
"206TUL120_6.13.11_1",4.80816666666667
"207GVC800_5.23.13_1",8.21813333333333
"207SUI800_5.5.14_1",8.82553333333333
"304WDCAH1_6.29.10_1",6.7446
"305LGCACR_7.16.08_1",11.9076666666667
"305LGCBRC_6.30.10_1",9.15253333333333
"305SSCAUC_6.29.10_1",4.62033333333333
"305UVCASC_6.29.10_1",4.86866666666667
"307CE0094_6.12.12_1",7.78282857142857
"307SCCARR_6.21.10_1",8.86609523809524
"308BSU_7.13.10_1",4.20821666666667
"308LILPAL_6.20.12_1",8.1948
"308PWCAH1_6.22.10_1",4.47243333333333
"308SAM_6.23.10_1",5.74416666666667
"308SANWIL_6.12.12_1",14.3360619047619
"308SBCAH1_6.21.10_1",10.4392904761905
"309ARSARC_6.23.10_1",8.5767
"309CAW126_5.21.14_1",3.99083333333333
"309NAF_5.24.12_1",8.5492
"309WLCATC_6.22.10_1",7.90132857142857
"310COO_6.24.10_1",7.56123333333334
"310LPCBPC_6.9.09_1",9.51213333333333
"312DAVDAV_6.7.12_1",13.5887666666667
"312MZCDBC_5.13.14_1",4.17356666666667
"312RYCALR_6.16.10_1",9.90020000000001
"402BA0287_6.9.08_1",12.5400060606061
"402M00005_6.11.15_1",16.5839333333333
"402MTCUNF_6.5.12_1",15.6172346320346
"402PS0048_5.21.08_1",12.5011333333333
"403BA0015_5.19.08_1",7.65715714285714
"403BA0064_6.18.14_1",8.85556666666667
"403BA0140_5.21.08_1",10.0425666666667
"403BA0171_5.19.08_1",9.68801666666666
"403LNCASC_6.15.10_1",3.42430952380952
"403S00875_6.24.10_1",11.9168166666667
"403S01883_6.21.10_1",9.9019
"403S03643_6.24.10_1",15.9377666666667
"403S06315_6.27.12_1",11.4899666666667
"403STC064_6.8.11_1",9.61738095238096
"403STC086_6.21.11_1",13.1191666666667
"403WE0501_5.14.13_1",15.2684047619048
"403WE1027_5.14.14_1",4.54606666666666
"405BRCAMS_6.7.11_1",7.74126666666667
"405BRCASG_5.7.14_1",2.67450952380952
