"","Predicted"
"105PS0188_8.26.08_1",11.7128666666667
"105PS0188_8.26.08_2",11.7128666666667
"106FC1183_7.24.14_1",2.3067
"106FC1313_7.23.14_1",4.2673
"106PS0078_8.26.09_1",5.26983333333333
"106PS0173_8.4.11_1",4.22943333333333
"106PS0186_9.26.12_1",5.15943333333334
"109PS0162_7.20.11_1",5.02703333333333
"110ECSLSF_7.26.11_1",5.3246
"110FCA102_7.25.13_1",4.7793
"111CR1012_8.18.14_1",5.44333333333333
"111PS0057_8.18.08_1",5.56213333333333
"113GAR010_6.8.09_1",5.4698
"113GAR010_8.27.12_1",5.4698
"113GAR038_6.8.09_1",5.65026666666667
"113GAR038_9.10.12_1",5.65026666666667
"113GAR046_6.18.12_1",7.33279523809524
"113GAR046_6.8.09_1",7.33279523809524
"113GAR046_9.2.14_1",7.33279523809524
"113GAR061_6.19.12_1",7.3804
"113GAR061_7.1.09_1",7.3804
"113GAR061_9.3.14_1",7.3804
"113GAR061_9.3.14_2",7.3804
"113GAR084_6.28.10_1",7.87743333333334
"113GAR094_7.27.10_1",7.33279523809524
"113GAR094_7.27.10_2",7.33279523809524
"113GAR110_6.18.12_1",5.61946666666667
"113GAR110_6.30.09_1",5.61946666666667
"113GAR110_9.2.14_1",5.61946666666667
"113PS0084_8.18.09_1",5.4921
"113PS0100_8.25.09_1",5.5379
"113PS0132_9.15.10_1",5.974
"113PS0196_8.1.12_1",4.66336666666667
"114CR0903_8.26.13_1",3.68753333333333
"114CR0903_9.25.13_1",3.68753333333333
"114PS0149_7.10.12_1",10.1839
"114PS0152_7.7.11_1",6.46896666666667
"114PS0152_8.18.11_1",6.46896666666667
"114RR1041_10.10.11_1",4.22218571428571
"114RR1041_10.25.11_1",4.22218571428571
"114RR1041_10.25.11_2",4.22218571428571
"114RR1041_8.2.11_1",4.22218571428571
"114RR1041_9.7.11_1",4.22218571428571
"114RR1310_6.2.11_1",4.18415238095238
"114RR1599_10.10.11_1",4.04385238095238
"114RR1599_10.25.11_1",4.04385238095238
"114RR1599_6.2.11_1",4.04385238095238
"114RR1599_6.27.11_1",4.04385238095238
"114RR1599_8.2.11_1",4.04385238095238
"114RR1599_8.2.11_2",4.04385238095238
"114RR1599_9.7.11_1",4.04385238095238
"114RR2678_10.11.11_1",4.57426666666667
"114RR2678_10.24.11_1",4.57426666666667
"114RR2678_6.29.11_1",4.57426666666667
"114RR2678_8.1.11_1",4.57426666666667
"114RR2678_9.13.11_1",4.57426666666667
"114RR2769_6.1.11_1",4.2937
"114RR2899_10.11.11_1",4.37235238095238
"114RR2899_10.24.11_1",4.37235238095238
"114RR2899_6.1.11_1",4.37235238095238
"114RR2899_6.29.11_1",4.37235238095238
"114RR2899_8.1.11_1",4.37235238095238
"114RR2899_9.13.11_1",4.37235238095238
"202BUT850_6.4.13_1",7.97073333333333
"202PS0134_5.31.11_1",9.06668095238094
"202R00087_5.30.12_1",5.59906666666666
"202R00284_6.15.12_1",11.8329
"202R00908_5.21.13_1",9.04396666666667
"203PS0070_7.19.10_1",6.2358
"203PS0070_9.7.10_1",6.2358
"203R00039_5.14.12_1",8.02594285714286
"204ALP040_4.10.11_1",13.7608047619048
"204ALP040_6.29.11_1",13.7608047619048
"204ALP105_4.10.11_1",10.4045
"204ALP151_4.10.11_1",11.2611333333333
"204ALP151_6.29.11_1",11.2611333333333
"204PS0038_6.19.08_1",6.09626666666666
"204PS0094_7.14.10_1",15.5235666666667
"204PS0102_6.15.11_1",5.6201
"204PS0102_6.15.11_2",5.6201
"204PS0102_8.10.11_1",5.6201
"204PS0118_6.15.11_1",15.8211666666667
"204R00047_6.6.12_1",6.43783333333333
"204R00063_6.4.13_1",6.104
"204R00068_5.31.12_1",9.9209
"204R00084_5.24.12_1",6.68666666666667
"204R00100_5.30.12_1",13.1996158730159
"204R00180_5.30.12_1",12.6160682539682
"204R00191_5.29.12_1",13.3900158730159
"204R00200_5.31.12_1",13.5079349206349
"204R00232_6.12.12_1",13.1830349206349
"204R00232_6.12.12_2",13.1830349206349
"204R00244_6.12.12_1",13.1830349206349
"204R00303_6.14.12_1",13.9095825396825
"204R00319_6.7.12_1",6.104
"204R00319_6.7.12_2",6.104
"204R00327_5.7.13_1",15.1772825396825
"204R00334_5.8.13_1",11.5219158730159
"204R00340_6.11.12_1",6.68666666666667
"204R00356_5.30.12_1",13.1996158730159
"204R00356_6.4.12_1",13.1996158730159
"204R00367_6.12.12_1",5.6817
"204R00383_6.11.12_1",9.39970000000001
"204R00391_6.6.12_1",9.01273333333334
"204R00436_5.20.13_1",7.2313
"204R00447_4.2.13_1",12.8214333333333
"204R00447_4.22.13_1",12.8214333333333
"204R00455_6.13.12_1",5.6817
"204R00473_5.9.13_1",12.6328492063492
"204R00473_5.9.13_2",12.6328492063492
"204R00520_5.28.13_1",12.0523301587302
"204R00583_6.13.12_1",9.76690000000001
"204R00596_5.31.12_1",13.2773825396825
"204R00623_6.3.13_1",5.6201
"204R00639_6.19.12_1",6.61316666666667
"204R00680_5.28.13_1",13.1830349206349
"204R00724_5.21.13_1",4.71903333333333
"204R00807_5.21.13_1",5.4448
"204R00852_5.6.13_1",12.6275333333333
"204R00884_5.20.13_1",12.6160682539682
"204R00967_4.25.13_1",9.01273333333334
"204R01316_5.22.13_1",13.1996158730159
"204R01471_5.22.13_1",15.0793158730159
"205PS0045_6.17.09_1",11.8721666666667
"205PS0045_6.17.09_2",11.8721666666667
"205PS0074_7.14.10_1",12.2865
"205PS0106_6.21.11_1",8.7399
"205PS0109_6.21.11_1",9.11863333333333
"205PS0138_6.1.11_1",10.8665666666667
"205PS0157_6.19.12_1",11.3180547619048
"205PS0170_6.19.12_1",8.49306666666667
"205PS0173_6.20.12_1",8.38146666666667
"205PS0173_6.20.12_2",8.38146666666667
"205PS0202_5.22.13_1",9.29583333333334
"205PS0202_7.17.13_1",9.29583333333334
"205PS0221_5.20.13_1",12.816
"205R00026_5.14.12_1",10.8173333333333
"205R00035_5.24.12_1",7.2762
"205R00035_5.24.12_2",7.2762
"205R00042_5.21.12_1",13.4306015873016
"205R00067_6.3.12_1",11.0933666666667
"205R00088_6.4.12_1",12.0742632034632
"205R00090_5.23.12_1",9.11863333333333
"205R00099_5.17.12_1",7.8923
"205R00115_6.5.12_1",10.8314761904762
"205R00131_6.3.12_1",8.6613
"205R00154_5.22.12_1",9.16213333333334
"205R00168_6.4.12_1",9.8379
"205R00174_4.23.13_1",7.29076666666667
"205R00218_5.23.12_1",14.6745158730159
"205R00227_6.5.12_1",11.3090666666667
"205R00234_5.15.12_1",9.9549
"205R00241_5.21.12_1",9.23463333333333
"205R00259_6.14.12_1",7.52303333333333
"205R00282_5.22.12_1",10.0036
"205R00291_6.13.12_1",13.4359825396825
"205R00346_6.14.12_1",7.2062
"205R00346_6.14.12_2",7.2062
"205R00355_6.13.12_1",10.8385095238095
"205R00387_6.6.13_1",7.42843333333333
"205R00419_6.11.13_1",12.8246333333333
"205R00430_6.5.12_1",8.29143333333333
"205R00451_6.5.13_1",11.3839
"205R00474_5.9.13_1",13.2124158730159
"205R00535_6.20.12_1",8.70880000000001
"205R00535_6.20.12_2",8.70880000000001
"205R00538_5.8.13_1",9.4791
"205R00547_6.4.13_1",8.41103333333333
