"","Predicted"
"103KLCMSR_9.14.10_1",0.0710879444660523
"105PS0193_8.29.12_1",0.203820314409375
"105PS0660_8.3.10_1",0.366790391736715
"105TMCACC_8.10.10_1",0.183856952116708
"106MNCAHC_10.1.08_1",0.180596021661321
"106WE1079_8.8.12_1",0.116661134199842
"106WER016_10.20.09_1",0.352320820509945
"107LLM101_9.13.10_1",0.112418429992282
"111BGCAER_6.11.14_1",0.261550242289111
"111FS0007_7.11.11_1",0.354807886859675
"111PAL105_7.13.11_1",0.431670708672032
"202SPE090_6.15.09_1",0.471576672643367
"205AAG075_6.12.13_1",0.522609632277693
"205COY850_5.21.12_1",0.218604799708768
"205SFC880_6.19.12_1",0.449353084806275
"206BRC020_6.27.12_1",0.531935497129403
"207SUI290_6.4.12_1",0.503904686081918
"307CMRADC_5.20.14_1",0.265230732572574
"308LSRASC_7.18.11_1",0.403226993871648
"308MWCAH1_6.23.10_1",0.349159630313076
"308PS0156_6.19.12_1",0.42738254986259
"308ROCBBQ_6.21.12_1",0.378390873259709
"309ARCBRC_8.25.08_1",0.487396788639263
"309PS0116_6.16.11_1",0.476765781549618
"312PS0099_6.14.10_1",0.194301424990764
"315CHCALS_6.15.10_1",0.528953572940441
"402BA0095_5.29.08_1",0.357040054389743
"402M00009_6.29.15_1",0.455244269195339
"403S00960_6.2.10_1",0.426548710940075
"403S01536_7.12.11_1",0.478432917851271
"403WE0540_5.14.14_1",0.337987271921316
"403WE0683_5.15.13_1",0.254309031808361
"505PS0110_9.16.10_1",0.344180265620976
"513CCNASC_7.16.14_1",0.375929088467411
"513STCAIV_6.12.14_1",0.391801748193576
"513UNCAKC_9.23.09_1",0.427799597329159
"514SSC190_9.11.14_1",0.125117429369813
"517FCA046_8.14.13_1",0.208193685465172
"518BTCASC_6.12.13_1",0.303573880640748
"518FCA075_8.12.13_1",0.366800214612335
"518SPC134_6.18.13_1",0.131718742276825
"522GSCBSC_9.24.09_1",0.366038580732026
"522PS0504_6.11.13_1",0.386077868040614
"526PNCAMF_6.25.13_1",0.252800674240764
"526PS1420_6.25.13_1",0.335583044023623
"534MLC108_9.14.11_1",0.232128232117404
"536HLCBFM_6.18.13_1",0.237403399005556
"537TYCAML_7.16.08_1",0.0799841074217834
"540SED003_8.30.11_1",0.121830974405951
"552DKC268_6.23.14_1",0.130357127054933
"552MFCAKR_6.11.08_1",0.313290052447857
"553KRNAYC_6.17.14_1",0.232856466280334
"554CLCALK_8.23.11_1",0.195930187631875
"603DDM005_9.13.11_1",0.21281863123568
"603FCA145_8.21.13_1",0.204663835915828
"603PS0008_7.30.08_1",0.0675692337076979
"603PS0075_8.15.12_1",0.304076959629509
"603PS0109_7.29.08_1",0.311911709276002
"603PS0557_8.18.10_1",0.288830372026446
"603SPCBWC_7.22.08_1",0.255811029173096
"631DEP001_8.28.12_1",0.309246801676433
"631PS0033_8.30.10_1",0.278110026712724
"632ELD001_9.8.11_1",0.307146220022616
"634CAT055_10.4.11_1",0.0721606319030102
"634GRF001_10.3.11_1",0.244576707948416
"634HHCATC_10.4.11_1",0.164863430809631
"634PS0035_9.1.10_1",0.10842951449526
"634PS0062_10.12.11_1",0.224910244913598
"634WSN001_10.4.11_1",0.342572524135114
"636SAG001_7.12.10_1",0.271855849277087
"639PS1279_6.11.13_1",0.093182745609218
"641OWC157_7.24.13_1",0.157265506262439
"722NP7IDC_4.16.14_1",0.417035045329209
"801DRC025_6.25.14_1",0.322909853951979
"801S03488_5.7.14_1",0.349104292050742
"801WE0674_5.14.13_1",0.322909853951979
"801WE1008_5.14.13_1",0.368400383375615
"801WE1132_8.19.09_1",0.20886171509127
"901ATCAAS_6.5.08_1",0.426686048578975
"901CSCADC_5.26.11_1",0.417658922962544
"901S06969_5.31.12_1",0.241376127004377
"903WE0798_4.8.15_1",0.321309503961418
"905BCC_6.11.14_1",0.430865172026789
"905S02561_5.25.11_1",0.20844616406045
"909JQCASR_6.1.11_1",0.255078491094996
"911S03354_5.5.09_1",0.389397499186083
"911TJIND2_5.8.08_1",0.148644103362684
"911TJLCC2_4.7.15_1",0.363714249366825
"SCFC1_6.12.08_1",0.469570124259352
"SCSS1_6.17.08_1",0.359040857863331
"SMAD1_11.5.08_1",0.485430848053546
"SMC00135_6.7.10_1",0.31413956634048
"SMC01979_7.14.11_1",0.349005852710245
"SMC02139_7.17.12_1",0.380053104228902
"SMC04204_7.11.12_1",0.40613843468215
"SMC04383_5.19.14_1",0.428510450237879
"SMC06467_6.28.10_1",0.570619201830452
"SMC19809_6.25.13_1",0.472412049038793
