"","Predicted"
"102PS0139_8.9.10_1",0.201063067438356
"103FCA168_7.24.13_1",0.135660127552451
"103PS0217_9.10.13_1",0.139486328950202
"103RDCBCC_7.21.11_1",0.128384349258999
"105PS0028_8.12.08_1",0.208570175060603
"105PS0028_8.26.08_1",0.208570175060603
"105PS0067_8.24.09_1",0.222173914505225
"105PS0067_8.24.09_2",0.222173914505225
"105PS0067_9.15.09_1",0.222173914505225
"105PS0069_8.18.09_1",0.0936456096816553
"105PS0092_8.11.08_1",0.154772043421029
"105PS0107_9.14.09_1",0.19695444154383
"105PS0129_8.11.10_1",0.269046115559294
"105PS0129_8.11.10_2",0.269046115559294
"105PS0149_8.29.12_1",0.266195156268939
"105PS0211_8.20.13_1",0.134086437993479
"105PS0211_9.16.13_1",0.134086437993479
"105PS0231_8.29.13_1",0.206633063430611
"105PS0276_9.1.09_1",0.325380301251371
"105PS0276_9.22.09_1",0.325380301251371
"105PS0540_8.5.10_1",0.157603087610466
"105PS1148_9.18.12_1",0.0922071723094613
"105PS1404_8.28.13_1",0.269307649171364
"105PS1404_8.28.13_2",0.269307649171364
"106FCA036_7.15.13_1",0.267923657345159
"106HLCACC_9.23.13_1",0.295274469146286
"106PS0022_9.30.08_1",0.266845842355265
"106PS0051_9.16.08_1",0.17074819772636
"106PS0051_9.16.08_2",0.17074819772636
"106PS0106_9.8.09_1",0.19680433436019
"106PS0106_9.8.09_2",0.19680433436019
"106PS0122_9.20.10_1",0.203112721224839
"106PS0142_7.19.10_1",0.272520480336647
"106PS0206_10.3.12_1",0.296102128571897
"106PTCAHC_9.2.08_1",0.261519924523545
"107GWCAPC_9.15.10_1",0.325847244357741
"107RWCBHW_8.3.11_1",0.2661897550813
"107RWCBHW_8.3.11_2",0.2661897550813
"108PS0197_8.16.12_1",0.10500488146194
"110PS0114_7.21.10_1",0.308879100168229
"110SMCATH_7.27.11_1",0.324368955881891
"111CE0569_10.11.10_1",0.318309071904012
"111FCA207_7.23.13_1",0.308027672189271
"111PS0008_9.29.08_1",0.240313849802746
"111PS0008_9.9.08_1",0.240313849802746
"111PS0008_9.9.08_2",0.240313849802746
"111PS0013_8.19.08_1",0.327227149091216
"111PS0095_8.27.09_1",0.358460964226218
"111PS0095_8.27.09_2",0.358460964226218
"111PS0121_7.20.10_1",0.358548583958564
"111PS0159_7.14.11_1",0.34550125338323
"111PS0169_7.25.11_1",0.321961520885762
"111PS0169_7.25.11_2",0.321961520885762
"111PS0178_8.14.12_1",0.338133841747984
"111PS0237_9.12.13_1",0.273890372735235
"112PS0157_7.12.11_1",0.355054716307488
"113GAR011_8.22.11_1",0.297781252837102
"113GAR011_9.1.10_1",0.297781252837102
"113GAR015_8.23.11_1",0.34450200398764
"113GAR015_8.31.10_1",0.34450200398764
"113GAR015_9.9.13_1",0.34450200398764
"113GAR023_7.22.14_1",0.298120172515493
"113GAR023_8.5.13_1",0.298120172515493
"113GAR030_8.26.09_1",0.346767349305277
"113GAR030_8.26.09_2",0.346767349305277
"113GAR030_8.28.12_1",0.346767349305277
"113GAR042_9.10.13_1",0.337576670672598
"113GAR062_6.30.09_1",0.339194144383696
"113GAR062_8.27.12_1",0.339194144383696
"113GAR087_6.29.10_1",0.326731953979252
"113GAR087_8.6.13_1",0.326731953979252
"113GAR087_9.11.12_1",0.326731953979252
"113GAR087_9.11.12_2",0.326731953979252
"113GAR089_6.14.10_1",0.301933731568638
"113GAR089_6.20.11_1",0.301933731568638
"113GAR089_8.5.09_1",0.301933731568638
"113GAR105_6.14.10_1",0.303163567253571
"113GAR105_6.20.11_1",0.303163567253571
"113GAR105_8.4.09_1",0.303163567253571
"113GAR112_6.15.10_1",0.331203645881176
"113GAR112_7.22.14_1",0.331203645881176
"113GAR112_8.22.11_1",0.331203645881176
"113GAR112_8.4.09_1",0.331203645881176
"113GAR112_8.4.09_2",0.331203645881176
"113GAR112_8.7.13_1",0.331203645881176
"113GAR118_7.26.10_1",0.32741761697277
"113GAR118_9.10.12_1",0.32741761697277
"113GAR178_6.21.11_1",0.32506966125261
"113GAR178_7.23.14_1",0.32506966125261
"113GAR178_8.31.10_1",0.32506966125261
"113GAR178_9.9.13_1",0.32506966125261
"113GAR178_9.9.13_2",0.32506966125261
"113GAR244_6.28.10_1",0.331199172181204
"113PS0012_9.9.08_1",0.374740769370633
"113PS0012_9.9.08_2",0.374740769370633
"113PS0076_8.2.12_1",0.331203645881176
"113PS0076_8.22.12_1",0.331203645881176
"113PS0120_9.14.10_1",0.341922325145136
"113PS0168_7.6.11_1",0.311480442782958
"113PS0216_9.3.13_1",0.29218308466742
"113PS0232_9.4.13_1",0.322894492125234
"113PS0232_9.4.13_2",0.322894492125234
"113PS0268_6.11.14_1",0.341090362205468
"114AU7778_6.21.10_1",0.313156707614829
"114FCA199_8.1.13_1",0.328960981595206
"114GV3469_7.5.11_1",0.284248908930953
"114GV5331_7.6.11_1",0.280352817922096
"114MA2364_7.6.10_1",0.314167628692091
"114MRCURX_6.24.08_1",0.296857545576787
"114PS0088_8.19.09_1",0.283785990647576
"114PS0209_6.10.13_1",0.355787049951829
"114PS0229_6.4.13_1",0.256026491345992
"114WER118_8.20.08_1",0.288422263981262
"115SALG01_6.30.10_1",0.32214447008795
"115SC6093_7.7.11_1",0.324162945110093
"115SC6093_7.7.11_2",0.324162945110093
"201LAG190_10.6.08_1",0.369208769982212
"201LAG380_7.14.09_1",0.343972567030439
"201RDW080_4.29.09_1",0.391919021386466
"201RDW080_5.7.08_1",0.391919021386466
"201RDW080_6.2.10_1",0.391919021386466
"201RDW080_6.23.08_1",0.391919021386466
"201RDW080_6.3.09_1",0.391919021386466
"201RDW080_6.3.09_2",0.391919021386466
"201RDW080_8.11.09_1",0.391919021386466
"201RDW080_8.12.08_1",0.391919021386466
"202LAH950_6.13.12_1",0.28195221612982
"202MIC150_5.7.14_1",0.373662621557225
"202PES162_4.27.09_1",0.38236982201067
"202PES162_5.1.08_1",0.38236982201067
"202PES162_6.16.09_1",0.38236982201067
"202PES162_6.18.08_1",0.38236982201067
"202PES162_6.7.10_1",0.38236982201067
"202PES162_8.17.09_1",0.38236982201067
"202PES162_9.10.08_1",0.38236982201067
"202PES162_9.10.08_2",0.38236982201067
"202PS0246_6.5.13_1",0.380962694484058
"202R00248_5.23.13_1",0.351656308844733
"202R00248_5.23.13_2",0.351656308844733
"202TUN600_5.12.14_1",0.34513120760489
