"","Predicted"
"102PS0177_8.28.12_1",0.00488409281884902
"103CDCHHR_9.14.10_1",0.0311802262606346
"103STCNSR_8.9.11_1",0.0163682027406821
"103WER026_8.15.12_1",0.0176782993559708
"103WER029_7.16.14_1",0.0301939044086942
"103WER030_8.10.11_1",0.0223765451192303
"105BVCAGC_9.21.10_1",0.034051313261646
"105CE0329_7.23.14_1",0.00935073547729522
"105CLCATC_8.10.10_1",0.0183672756559811
"105DLCDCC_10.20.09_1",0.00146805232778917
"105FCA116_7.16.13_1",0.00334889694198996
"105FS0416_9.24.13_1",0.0174441203137737
"105FS0425_8.10.11_1",0.0212179970238888
"105FS0428_8.3.11_1",0.0130768897894804
"105NWC151_6.26.13_1",0.0518328757296826
"105PS0043_9.17.08_1",0.0344077933611741
"105PS0083_9.8.09_1",0.00146635899360358
"105PS0090_8.7.12_1",0.00636142485191298
"105PS0097_7.22.14_1",0.00100940949315562
"105PS0154_8.9.11_1",0.0337506587745094
"105PS0195_8.7.12_1",0.00503659649542828
"105PS0259_9.17.13_1",0.00694488810428955
"105PS0267_7.21.14_1",0.00131441102756892
"105PS0468_9.1.09_1",0.0867451321301823
"105PS0540_9.15.10_1",0.0320449322865401
"105PS1492_8.6.14_1",0.0327996550457603
"105WE0598_7.24.14_1",0.0135605220144005
"105WLC135_6.26.13_1",0.0737836662356155
"105WLCABC_8.3.11_1",0.00502071875243502
"106FS0040_8.30.11_1",0.0161705171904047
"106PS0115_9.21.10_1",0.00129376514713357
"106PS0124_8.16.10_1",0.0231559726878119
"106PS0166_8.2.11_1",0.00185990667580451
"106WE0505_7.21.14_1",0.00755909466445566
"106WER011_9.11.13_1",0.00553170019583685
"107PS0021_7.14.14_1",0.0024578383029911
"107WER092_8.27.12_1",0.00620394395634597
"111BBRBCC_9.23.09_1",0.00199058177402396
"111CBCAER_8.8.13_1",0.0145228100238222
"111ERATRC_10.10.12_1",0.01424883334867
"111FS0001_7.5.11_1",0.0129184362253978
"111FS0008_7.19.12_1",0.0133654590281191
"111HSCAER_7.26.11_1",0.0619583628016522
"111PS0060_10.7.08_1",0.0316714481103322
"111PS0110_6.9.14_1",0.0122097952864201
"111PS0144_8.18.10_1",0.0496526342978943
"111PS0160_7.25.11_1",0.0574387009226007
"111PS0204_8.17.10_1",0.0173833047453326
"111RSCAER_8.8.11_1",0.049395259816243
"111TGCAER_7.24.12_1",0.0596993708056138
"111WE0816_6.12.13_1",0.00725207367879854
"111WE1050_6.12.13_1",0.0131475264450256
"111WE1071_7.26.12_1",0.00817269478989982
"111WER003_6.10.14_1",0.0151504763443404
"111WER008_7.23.12_1",0.0326720487902763
"111WER159_10.19.09_1",0.0278544958236634
"113RG8046_8.19.10_1",0.0858289258056465
"114CE0131_7.31.12_1",0.0791124116311551
"114PS0145_6.20.11_1",0.0573252346483736
"114WE0614_7.9.12_1",0.0667787355736015
"115EBAG01_7.1.10_1",0.0804635617515854
"201AHO350_6.20.12_1",0.0512642323175157
"201CHE300_6.18.12_1",0.149366154284575
"201LAG335_7.15.09_1",0.105910173528765
"201MRS020_9.13.10_1",0.14877746778066
"202BUT030_6.29.10_1",0.0665484439948507
"202BUT040_6.4.14_1",0.0322149240533541
"202BUT050_6.16.09_1",0.0658763924638141
"202BUT480_6.25.12_1",0.0425139291180762
"202BUT600_6.26.12_1",0.0500902085254941
"202DRY010_6.5.13_1",0.177457741142412
"202PES168_6.6.13_1",0.146025143721564
"202R00024_6.6.12_1",0.120464707635245
"202R00280_5.22.13_1",0.134357064540309
"204AHOACR_6.2.14_1",0.0223045821366037
"204ALA500_6.10.13_1",0.0239089014186135
"204ARH090_6.2.14_1",0.0947478417401409
"204IND200_5.25.10_1",0.027851715306965
"204R00189_5.6.13_1",0.0973820516707646
"204SIN300_5.15.12_1",0.0544429476443052
"204VAL400_5.19.14_1",0.03172047023758
"205AAG375_5.14.14_1",0.124455451217945
"205AAG400_6.5.12_1",0.133957523113309
"205COY585_5.28.13_1",0.0909821239823366
"205COY610_6.3.10_1",0.0275738247852175
"205COY615_6.3.14_1",0.0703930154952728
"205COY853_5.29.14_1",0.0508291654373181
"205COY900_5.16.12_1",0.108825449408716
"205COY930_5.7.13_1",0.0751675258331285
"205CYCAHH_6.10.08_1",0.0862921512430439
"205CYCBBC_6.28.10_1",0.0288173588299919
"205LGA700_5.23.12_1",0.0466830524910124
"205R00021_5.16.12_1",0.0306430585250148
"205R00182_5.7.13_1",0.0838453802698107
"205WUN450_6.11.12_1",0.062609665035873
"205WUN550_5.6.13_1",0.10277432258992
"206HCT020_5.29.12_1",0.0280832047371242
