"","Predicted"
"102PS0139_8.9.10_1",0.0464678812955598
"103FCA168_7.24.13_1",0.0373492441178175
"103PS0217_9.10.13_1",0.0376935707929222
"103RDCBCC_7.21.11_1",0.0345836344592557
"105PS0028_8.12.08_1",0.0423745032951525
"105PS0028_8.26.08_1",0.0423745032951525
"105PS0067_8.24.09_1",0.0613730970276525
"105PS0067_8.24.09_2",0.0613730970276525
"105PS0067_9.15.09_1",0.0613730970276525
"105PS0069_8.18.09_1",0.0294283142481928
"105PS0092_8.11.08_1",0.046529238733537
"105PS0107_9.14.09_1",0.0467692476459944
"105PS0129_8.11.10_1",0.0718746631772306
"105PS0129_8.11.10_2",0.0718746631772306
"105PS0149_8.29.12_1",0.0375108009422794
"105PS0211_8.20.13_1",0.0218269954239768
"105PS0211_9.16.13_1",0.0218269954239768
"105PS0231_8.29.13_1",0.0865237313415256
"105PS0276_9.1.09_1",0.103734959112837
"105PS0276_9.22.09_1",0.103734959112837
"105PS0540_8.5.10_1",0.0813392180476485
"105PS1148_9.18.12_1",0.027527260014826
"105PS1404_8.28.13_1",0.111907555073315
"105PS1404_8.28.13_2",0.111907555073315
"106FCA036_7.15.13_1",0.0830135541515195
"106HLCACC_9.23.13_1",0.0758851345369241
"106PS0022_9.30.08_1",0.095081516931653
"106PS0051_9.16.08_1",0.0343188194434188
"106PS0051_9.16.08_2",0.0343188194434188
"106PS0106_9.8.09_1",0.0338262184594557
"106PS0106_9.8.09_2",0.0338262184594557
"106PS0122_9.20.10_1",0.0250989210601069
"106PS0142_7.19.10_1",0.088114739750563
"106PS0206_10.3.12_1",0.0996529938795304
"106PTCAHC_9.2.08_1",0.124884959679112
"107GWCAPC_9.15.10_1",0.0883250457906018
"107RWCBHW_8.3.11_1",0.0299616972973817
"107RWCBHW_8.3.11_2",0.0299616972973817
"108PS0197_8.16.12_1",0.0212893213693534
"110PS0114_7.21.10_1",0.14495728127097
"110SMCATH_7.27.11_1",0.137851562206729
"111CE0569_10.11.10_1",0.137755896670916
"111FCA207_7.23.13_1",0.0972246745379798
"111PS0008_9.29.08_1",0.041909574751903
"111PS0008_9.9.08_1",0.041909574751903
"111PS0008_9.9.08_2",0.041909574751903
"111PS0013_8.19.08_1",0.0728984075175166
"111PS0095_8.27.09_1",0.0811138772832619
"111PS0095_8.27.09_2",0.0811138772832619
"111PS0121_7.20.10_1",0.0983320190984862
"111PS0159_7.14.11_1",0.0957069817067899
"111PS0169_7.25.11_1",0.127803027583161
"111PS0169_7.25.11_2",0.127803027583161
"111PS0178_8.14.12_1",0.0953006945783896
"111PS0237_9.12.13_1",0.0674893630469506
"112PS0157_7.12.11_1",0.131880808765444
"113GAR011_8.22.11_1",0.12602835989648
"113GAR011_9.1.10_1",0.12602835989648
"113GAR015_8.23.11_1",0.0934123059450827
"113GAR015_8.31.10_1",0.0934123059450827
"113GAR015_9.9.13_1",0.0934123059450827
"113GAR023_7.22.14_1",0.124566057667181
"113GAR023_8.5.13_1",0.124566057667181
"113GAR030_8.26.09_1",0.0816121172445768
"113GAR030_8.26.09_2",0.0816121172445768
"113GAR030_8.28.12_1",0.0816121172445768
"113GAR042_9.10.13_1",0.123784470289841
"113GAR062_6.30.09_1",0.120378653771589
"113GAR062_8.27.12_1",0.120378653771589
"113GAR087_6.29.10_1",0.117882462880298
"113GAR087_8.6.13_1",0.117882462880298
"113GAR087_9.11.12_1",0.117882462880298
"113GAR087_9.11.12_2",0.117882462880298
"113GAR089_6.14.10_1",0.125261298777649
"113GAR089_6.20.11_1",0.125261298777649
"113GAR089_8.5.09_1",0.125261298777649
"113GAR105_6.14.10_1",0.118757355384328
"113GAR105_6.20.11_1",0.118757355384328
"113GAR105_8.4.09_1",0.118757355384328
"113GAR112_6.15.10_1",0.117502966821238
"113GAR112_7.22.14_1",0.117502966821238
"113GAR112_8.22.11_1",0.117502966821238
"113GAR112_8.4.09_1",0.117502966821238
"113GAR112_8.4.09_2",0.117502966821238
"113GAR112_8.7.13_1",0.117502966821238
"113GAR118_7.26.10_1",0.0889847309484584
"113GAR118_9.10.12_1",0.0889847309484584
"113GAR178_6.21.11_1",0.0909384444233216
"113GAR178_7.23.14_1",0.0909384444233216
"113GAR178_8.31.10_1",0.0909384444233216
"113GAR178_9.9.13_1",0.0909384444233216
"113GAR178_9.9.13_2",0.0909384444233216
"113GAR244_6.28.10_1",0.103402456181495
"113PS0012_9.9.08_1",0.11784866140719
"113PS0012_9.9.08_2",0.11784866140719
"113PS0076_8.2.12_1",0.117502966821238
"113PS0076_8.22.12_1",0.117502966821238
"113PS0120_9.14.10_1",0.100272744014053
"113PS0168_7.6.11_1",0.0988440760253354
"113PS0216_9.3.13_1",0.135984109346609
"113PS0232_9.4.13_1",0.130768534038982
"113PS0232_9.4.13_2",0.130768534038982
"113PS0268_6.11.14_1",0.106643340503681
"114AU7778_6.21.10_1",0.149397702690689
"114FCA199_8.1.13_1",0.0937322278920572
"114GV3469_7.5.11_1",0.0473583635782357
"114GV5331_7.6.11_1",0.0958935622585767
"114MA2364_7.6.10_1",0.104805532303417
"114MRCURX_6.24.08_1",0.0663862172922165
"114PS0088_8.19.09_1",0.115498475546617
"114PS0209_6.10.13_1",0.0890820619451661
"114PS0229_6.4.13_1",0.0932603058861436
"114WER118_8.20.08_1",0.142584292018702
"115SALG01_6.30.10_1",0.0878460289081706
"115SC6093_7.7.11_1",0.0912575691893129
"115SC6093_7.7.11_2",0.0912575691893129
"201LAG190_10.6.08_1",0.152861646539444
"201LAG380_7.14.09_1",0.117237571122706
"201RDW080_4.29.09_1",0.150320199571098
"201RDW080_5.7.08_1",0.150320199571098
"201RDW080_6.2.10_1",0.150320199571098
"201RDW080_6.23.08_1",0.150320199571098
"201RDW080_6.3.09_1",0.150320199571098
"201RDW080_6.3.09_2",0.150320199571098
"201RDW080_8.11.09_1",0.150320199571098
"201RDW080_8.12.08_1",0.150320199571098
"202LAH950_6.13.12_1",0.121325536554624
"202MIC150_5.7.14_1",0.11298964460256
"202PES162_4.27.09_1",0.136981073445649
"202PES162_5.1.08_1",0.136981073445649
"202PES162_6.16.09_1",0.136981073445649
"202PES162_6.18.08_1",0.136981073445649
"202PES162_6.7.10_1",0.136981073445649
"202PES162_8.17.09_1",0.136981073445649
"202PES162_9.10.08_1",0.136981073445649
"202PES162_9.10.08_2",0.136981073445649
"202PS0246_6.5.13_1",0.117061431327359
"202R00248_5.23.13_1",0.1731876893616
"202R00248_5.23.13_2",0.1731876893616
"202TUN600_5.12.14_1",0.160052929462713
"203R00983_6.6.13_1",0.118152525930284
"204ALA320_6.17.13_1",0.116896154549181
"204ALA382_6.11.13_1",0.0846885433481004
"204ALA396_6.24.13_1",0.071583543929065
"204ALA410_5.8.13_1",0.108256742261503
"204ALA525_5.22.12_1",0.115757482510832
"204IND200_5.20.08_1",0.185137277853159
"204IND200_5.20.08_2",0.185137277853159
"204IND200_6.16.08_1",0.185137277853159
"204R00590_5.8.13_1",0.111383550482534
"204R00647_6.18.12_1",0.10982242805222
"204R00751_6.5.13_1",0.131635201642952
"204R00751_6.5.13_2",0.131635201642952
"204SLE150_5.9.13_1",0.107512000388716
"205COY140_6.17.09_1",0.12306899065255
"205GCAxxx_7.15.10_1",0.0689627349086256
"205GCAxxx_7.15.10_2",0.0689627349086256
"205PS0234_5.22.13_1",0.146854652260305
"205R00110_6.18.12_1",0.144350528769763
"205R00374_6.3.13_1",0.136451712048733
"205STE110_7.13.09_1",0.17833863300125
"206NAP700_6.21.12_1",0.107353849965536
"206PIN610_6.3.13_1",0.156941249110416
"206PIN825_5.22.13_1",0.156941249110416
"206R00407_4.24.14_1",0.177456423892879
"206RIC100_5.11.09_1",0.101156570842346
"206RIC100_5.2.08_1",0.101156570842346
"206RIC100_6.1.10_1",0.101156570842346
"206RIC100_6.17.09_1",0.101156570842346
"206RIC100_6.19.08_1",0.101156570842346
"206RIC100_8.12.09_1",0.101156570842346
"206RIC100_8.14.08_1",0.101156570842346
"206RIC100_8.2.11_1",0.101156570842346
"206SON160_9.6.11_1",0.0885266799277035
"206SON300_7.14.09_1",0.0990184045810727
"206SON300_8.10.11_1",0.0990184045810727
"207MTD117_4.22.09_1",0.106220710563728
"207MTD117_5.24.10_1",0.106220710563728
"207MTD117_5.6.08_1",0.106220710563728
"207R00271_4.29.13_1",0.171240767881318
"207SUI070_6.13.13_1",0.111604929879814
"207SUL200_5.28.14_1",0.0772106628016044
"207WAL475_6.12.12_1",0.0949138742454511
"207WHC634_5.29.13_1",0.133307058656124
"207WHC634_5.29.13_2",0.133307058656124
"304APS_7.6.11_1",0.121388045054897
"304PS0018_6.4.08_1",0.118987773312979
"304PS0194_6.18.12_1",0.136800727902457
"304PS0253_5.22.14_1",0.174097828300613
"304PS0253_6.5.14_1",0.174097828300613
"304SPC236_6.28.10_1",0.159052229654327
"305CLCSBR_6.11.08_1",0.10481332447875
"307PS0028_6.3.08_1",0.157718114985935
"307PS0044_6.8.09_1",0.155415573096345
"308BGC_5.28.14_1",0.0944387323757758
"308BGC_6.14.11_1",0.0944387323757758
"308BGC_8.11.11_1",0.0944387323757758
"308LIM_6.4.14_1",0.0984281315584263
"308LIM_6.4.14_2",0.0984281315584263
"308PS0204_5.21.13_1",0.127573461449756
"309ANT_5.24.12_1",0.135530835754208
"309CLCBVC_7.15.08_1",0.13737555193184
"309LAS1MI_6.13.12_1",0.143392869897325
"309LOR_5.29.12_1",0.147701424271462
"309PS0040_6.3.08_1",0.146397308251229
"309PS0043_6.10.09_1",0.146741276509106
"309PS0043_7.8.09_1",0.146741276509106
"309SAP_5.23.12_1",0.192478413448569
"309SARANF_8.26.08_1",0.146378414016478
"309SDCMCC_7.14.08_1",0.142358233191475
"309SEC_7.2.12_1",0.115755512924072
"309SED071_4.3.12_1",0.0456098806119906
"309SED071_5.3.12_1",0.0456098806119906
"309SED071_6.13.12_1",0.0456098806119906
"309SED071_7.24.12_1",0.0456098806119906
"309SED071_8.30.12_1",0.0456098806119906
"310AGS_5.29.14_1",0.197452322769435
"310OLD_6.15.10_1",0.0734547414508054
"310SSU_6.15.11_1",0.129727084382702
"310SSU_8.11.11_1",0.129727084382702
"312CAV_4.19.13_1",0.179089042226531
"312SIV_5.3.13_1",0.13059980193838
"313SAB_5.29.14_1",0.146342267475388
"314WE1102_6.12.12_1",0.194331229307468
"315ARH101_6.14.10_1",0.189314618270232
"402BA0031_5.28.08_1",0.125407637948833
"402BA0079_5.28.08_1",0.163118197576751
"402BA0143_5.21.08_1",0.165472938171836
"402BA0335_5.27.08_1",0.125995880318933
"402BA0335_5.27.08_2",0.125995880318933
"403BA0027_5.20.08_1",0.181416956070635
"403BA0027_6.18.14_1",0.181416956070635
"403BA0136_5.13.08_1",0.076127334028571
"403BA0136_6.17.14_1",0.076127334028571
"403BA0191_5.14.08_1",0.216337524901775
"403FCA022_5.29.13_1",0.0963278224816031
"403M01505_6.29.15_1",0.130509699404938
"403M01506_6.17.15_1",0.118130415539576
"403M05757_6.29.15_1",0.0993348414937384
"403M05771_4.30.15_1",0.187730151091456
"403PRCAGH_6.2.11_1",0.128801572004472
"403S00640_6.11.09_1",0.179697872476656
"403S00640_6.11.09_2",0.179697872476656
"403S00772_5.20.09_1",0.108617430757794
"403S00831_6.10.10_1",0.20505882026134
"403S01136_6.13.11_1",0.12559338055717
"403S01163_6.8.09_1",0.0724094609646322
"403S01195_6.10.09_1",0.179596151771404
"403S01272_6.9.09_1",0.0945071706652774
"403S01707_6.7.10_1",0.154692736147904
"403S01728_7.13.11_1",0.128793033637837
"403S02363_6.16.11_1",0.121126833285
"403S02764_6.14.11_1",0.154821294814916
"403S04600_6.8.10_1",0.087884842945439
"403S05291_6.7.10_1",0.176503097227861
"403S06139_6.27.12_1",0.192669012225924
"403S06283_6.13.12_1",0.134408298091219
"403S06660_6.14.12_1",0.195335789643772
"403S06660_6.14.12_2",0.195335789643772
"403S06904_6.9.10_1",0.107072805110479
"403S07024_6.13.12_1",0.145873864285935
"403S07227_6.27.12_1",0.120980495793819
"403S15608_6.8.10_1",0.0944271706652774
"403S16332_6.26.13_1",0.0691353774168364
"403S16493_6.24.13_1",0.0725722552519737
"403S16978_6.26.13_1",0.130265081693363
"403S18093_6.24.13_1",0.0730090279709086
"403S18093_6.24.13_2",0.0730090279709086
"404ARRSEQ_6.6.12_1",0.146042197684208
"404BA0104_6.18.08_1",0.140001544311713
"404BA0526_6.4.08_1",0.20293292552082
"404BA0616_6.3.08_1",0.217574600826937
"404BA0852_6.3.08_1",0.149831536965706
"404BA0964_6.4.08_1",0.177907558218989
"404BA1128_6.19.08_1",0.19854107461459
"404BA1128_6.3.14_1",0.19854107461459
"404BA1144_6.10.08_1",0.172803315420189
"404BA1166_6.10.08_1",0.171998908815442
"404BA1166_6.4.09_1",0.171998908815442
"404S01128_6.23.10_1",0.19854107461459
"404S06456_5.14.09_1",0.207270346263705
"404S08846_6.22.10_1",0.207023328094395
"404S11406_5.11.09_1",0.157197881931753
"404S16168_6.23.10_1",0.160368339152702
"404S17266_5.19.09_1",0.20572535633352
"404S23297_6.19.13_1",0.207023328094395
"404S25298_6.20.12_1",0.204858959649516
"404S32468_6.26.12_1",0.135075435041837
"404S34230_6.19.13_1",0.207170346263705
"404S35418_6.25.12_1",0.186244317537452
"404S35418_6.25.12_2",0.186244317537452
"404S45622_6.3.13_1",0.207170346263705
"404S45622_6.3.13_2",0.207170346263705
"404S45745_6.18.13_1",0.120303074111407
"404S48200_6.18.13_1",0.113781378900662
"405BH2Axx_6.16.10_1",0.130540822956339
"405BH2Axx_6.16.10_2",0.130540822956339
"405BH2Axx_6.16.10_3",0.130540822956339
"405BH3Axx_6.17.10_1",0.131516814536675
"405BH3Axx_6.17.10_2",0.131516814536675
"405BH3Axx_6.17.10_3",0.131516814536675
"405BH3Cxx_6.17.10_1",0.171952854074315
"405CE0280_7.6.15_1",0.0808503382447686
"405PS0030_5.21.08_1",0.150969859544895
"405PS0030_7.8.15_1",0.150969859544895
"405PS0036_5.28.08_1",0.142144809399071
"405PS0036_5.28.08_2",0.142144809399071
"408BA0268_5.6.08_1",0.141373260037335
"408BA0660_5.6.08_1",0.178315410411278
"408BA0660_6.4.14_1",0.178315410411278
"412BH1Axx_6.15.10_1",0.123789596354096
"412BH1Axx_6.15.10_2",0.123789596354096
"412BH1Axx_6.15.10_3",0.123789596354096
"412BH4Axx_6.18.10_1",0.0747043595539469
"412WE0552_8.26.15_1",0.117421459054331
"481S05856_6.13.13_1",0.0909321877054246
"504PS0051_7.1.08_1",0.109834848078391
"504PS0083_6.17.09_1",0.095401400036363
"504PS0147_6.23.08_1",0.119216402442196
"504PS0574_6.6.13_1",0.0557973386410743
"505PS0156_8.13.08_1",0.0233410421882574
"505PS0156_8.13.08_2",0.0233410421882574
"505PS0940_9.26.11_1",0.0351930044273949
"505PS1180_8.21.13_1",0.0191650403105461
"505PS1180_8.7.13_1",0.0191650403105461
"506PS0003_7.2.08_1",0.0707589690575896
"506PS0003_7.28.09_1",0.0707589690575896
"506PS0003_7.29.08_1",0.0707589690575896
"506PS0003_9.14.10_1",0.0707589690575896
"507BCSFBM_8.5.08_1",0.0289421978118954
"507BTC269_8.12.14_1",0.0372659564140809
"507DCABSF_10.22.14_1",0.0218957771829846
"507DCBLLB_10.22.14_1",0.0596431999039539
"507PS0122_6.29.09_1",0.0785160889621363
"507PS0142_8.4.10_1",0.0596013043605362
"507PS0314_9.8.11_1",0.038093796472958
"507RCBLPF_10.21.14_1",0.0798156799536352
"508PS0042_7.2.08_1",0.0543237294661279
"508PS0298_7.20.11_1",0.115365001272525
"508PS0298_7.20.11_2",0.115365001272525
"508PS0458_7.1.13_1",0.0577780480559234
"509BCCBPW_5.21.09_1",0.062273692579979
"509BCCBPW_6.10.09_1",0.062273692579979
"509BCCBPW_7.9.09_1",0.062273692579979
"509BCCBPW_8.10.09_1",0.062273692579979
"509BCCBPW_9.10.09_1",0.062273692579979
"509DCPWxx_8.21.08_1",0.0831543321420955
"509DRCBPC_8.29.11_1",0.066678241322461
"509PS0049_8.26.10_1",0.0899466111217177
"509PS0049_9.13.10_1",0.0899466111217177
"513PS0024_6.25.08_1",0.112004225560187
"513PS0088_8.17.09_1",0.143392869897325
"513PS0088_8.17.09_2",0.143392869897325
"513PS0248_7.27.11_1",0.049677074395239
"514DNCLDC_10.12.10_1",0.0330468978884114
"514PCAPCR_10.29.14_1",0.0269681551566503
"514PS0019_8.13.08_1",0.0125160255391236
"514PS0099_7.18.12_1",0.0252728305288933
"515PS0430_7.7.11_1",0.0994648495107959
"515PS0430_7.7.11_2",0.0994648495107959
"516PS0287_9.21.11_1",0.123703512043082
"516PS0324_6.28.12_1",0.106288278439721
"516PS0324_6.28.12_2",0.106288278439721
"516PS0324_7.31.12_1",0.106288278439721
"516PS0516_8.6.13_1",0.0422906183893086
"517FCA139_6.18.14_1",0.0421883869042599
"517PLC130_7.28.13_1",0.0551850918134291
"517PS0030_7.22.09_1",0.0205643233534667
"517PS0039_7.1.09_1",0.0408825430288363
"517PS0061_9.8.10_1",0.0260803574468613
"517PS0132_7.1.09_1",0.103101973138554
"517SMC266_8.19.14_1",0.025154448204647
"518FRE265_7.14.14_1",0.0813357122888447
"518FRE277_8.18.14_1",0.0813357122888447
