"","Predicted"
"102PS0177_8.28.12_1",0.0192956741883745
"103CDCHHR_9.14.10_1",0.0759140544249448
"103STCNSR_8.9.11_1",0.0257946527255903
"103WER026_8.15.12_1",0.038433025074643
"103WER029_7.16.14_1",0.0601303620340574
"103WER030_8.10.11_1",0.0202433111015041
"105BVCAGC_9.21.10_1",0.0312722718158331
"105CE0329_7.23.14_1",0.0224828395012497
"105CLCATC_8.10.10_1",0.0299322944943479
"105DLCDCC_10.20.09_1",0.0543332134061027
"105FCA116_7.16.13_1",0.00913449963765118
"105FS0416_9.24.13_1",0.0282654223460458
"105FS0425_8.10.11_1",0.024027494812677
"105FS0428_8.3.11_1",0.0715608622028661
"105NWC151_6.26.13_1",0.0699886063064342
"105PS0043_9.17.08_1",0.0624768664353577
"105PS0083_9.8.09_1",0.00753875847582065
"105PS0090_8.7.12_1",0.0170676572409866
"105PS0097_7.22.14_1",0.00762967631852036
"105PS0154_8.9.11_1",0.0384241629345316
"105PS0195_8.7.12_1",0.0183580421999447
"105PS0259_9.17.13_1",0.0415636173652978
"105PS0267_7.21.14_1",0.0380878160572724
"105PS0468_9.1.09_1",0.0938992847683395
"105PS0540_9.15.10_1",0.0813392180476485
"105PS1492_8.6.14_1",0.0326118938009892
"105WE0598_7.24.14_1",0.0288175233044727
"105WLC135_6.26.13_1",0.0758960152532124
"105WLCABC_8.3.11_1",0.0654644075662857
"106FS0040_8.30.11_1",0.0827848609223975
"106PS0115_9.21.10_1",0.038210358386565
"106PS0124_8.16.10_1",0.0717796539936622
"106PS0166_8.2.11_1",0.0447247608428242
"106WE0505_7.21.14_1",0.0252454028561331
"106WER011_9.11.13_1",0.0274261938161281
"107PS0021_7.14.14_1",0.0229121138547043
"107WER092_8.27.12_1",0.0899616954423271
"111BBRBCC_9.23.09_1",0.0513175679782376
"111CBCAER_8.8.13_1",0.0489676562968178
"111ERATRC_10.10.12_1",0.044615298992851
"111FS0001_7.5.11_1",0.028222269980251
"111FS0008_7.19.12_1",0.0571457356728143
"111HSCAER_7.26.11_1",0.0704924941102252
"111PS0060_10.7.08_1",0.0807844071455381
"111PS0110_6.9.14_1",0.0298576643622533
"111PS0144_8.18.10_1",0.0746531125012558
"111PS0160_7.25.11_1",0.11106290306859
"111PS0204_8.17.10_1",0.116068465473299
"111RSCAER_8.8.11_1",0.0260455273260042
"111TGCAER_7.24.12_1",0.0305663119229106
"111WE0816_6.12.13_1",0.0394103533036387
"111WE1050_6.12.13_1",0.0311056383912404
"111WE1071_7.26.12_1",0.0186707517484678
"111WER003_6.10.14_1",0.0317363811041891
"111WER008_7.23.12_1",0.0361092461447848
"111WER159_10.19.09_1",0.0730953422071342
"113RG8046_8.19.10_1",0.131880808765444
"114CE0131_7.31.12_1",0.150724919261926
"114PS0145_6.20.11_1",0.108558099359972
"114WE0614_7.9.12_1",0.112156572139258
"115EBAG01_7.1.10_1",0.143262216248042
"201AHO350_6.20.12_1",0.0979265540161722
"201CHE300_6.18.12_1",0.154151281179198
"201LAG335_7.15.09_1",0.108790246861019
"201MRS020_9.13.10_1",0.146050165059151
"202BUT030_6.29.10_1",0.129885869276057
"202BUT040_6.4.14_1",0.0689627349086256
"202BUT050_6.16.09_1",0.123831837176178
"202BUT480_6.25.12_1",0.0798121340432194
"202BUT600_6.26.12_1",0.0998530486161491
"202DRY010_6.5.13_1",0.170322893970976
"202PES168_6.6.13_1",0.165897252952078
"202R00024_6.6.12_1",0.186706743080962
"202R00280_5.22.13_1",0.116198552360986
"204AHOACR_6.2.14_1",0.0602463073397756
"204ALA500_6.10.13_1",0.108988505238518
"204ARH090_6.2.14_1",0.126210078306159
"204IND200_5.25.10_1",0.185137277853159
"204R00189_5.6.13_1",0.112251197424684
"204SIN300_5.15.12_1",0.0729968271579432
"204VAL400_5.19.14_1",0.0735450587750911
"205AAG375_5.14.14_1",0.139405619682334
"205AAG400_6.5.12_1",0.129804379409031
"205COY585_5.28.13_1",0.105139670265627
"205COY610_6.3.10_1",0.107672031110538
"205COY615_6.3.14_1",0.123322170332032
"205COY853_5.29.14_1",0.10840469352038
"205COY900_5.16.12_1",0.114644431496611
"205COY930_5.7.13_1",0.110060677391932
"205CYCAHH_6.10.08_1",0.146236721884674
"205CYCBBC_6.28.10_1",0.100264285700097
"205LGA700_5.23.12_1",0.0937394966454281
"205R00021_5.16.12_1",0.0606979000521033
"205R00182_5.7.13_1",0.117164463308299
"205WUN450_6.11.12_1",0.0855712386635139
"205WUN550_5.6.13_1",0.121084878223831
"206HCT020_5.29.12_1",0.0762906926399596
"206RCCBDC_7.20.10_1",0.144994670072871
"206TUL120_6.13.11_1",0.095620881111733
"207GVC800_5.23.13_1",0.161706953399796
"207SUI800_5.5.14_1",0.213609882666219
"304WDCAH1_6.29.10_1",0.150439048340889
"305LGCACR_7.16.08_1",0.222379542669058
"305LGCBRC_6.30.10_1",0.167052172589738
"305SSCAUC_6.29.10_1",0.179075850157988
"305UVCASC_6.29.10_1",0.103637164188167
"307CE0094_6.12.12_1",0.0844881567985459
"307SCCARR_6.21.10_1",0.157094350643552
"308BSU_7.13.10_1",0.163753025080725
"308LILPAL_6.20.12_1",0.0814838942442527
"308PWCAH1_6.22.10_1",0.0818607823505364
"308SAM_6.23.10_1",0.0906190393514464
"308SANWIL_6.12.12_1",0.160441322466968
"308SBCAH1_6.21.10_1",0.139210422389896
"309ARSARC_6.23.10_1",0.168509479286067
"309CAW126_5.21.14_1",0.0466330692683438
"309NAF_5.24.12_1",0.0659826810382334
"309WLCATC_6.22.10_1",0.123710120717715
"310COO_6.24.10_1",0.194343908517075
"310LPCBPC_6.9.09_1",0.122399975508659
"312DAVDAV_6.7.12_1",0.19722055967366
"312MZCDBC_5.13.14_1",0.118971545398956
"312RYCALR_6.16.10_1",0.175431851921427
"402BA0287_6.9.08_1",0.0998161011426342
"402M00005_6.11.15_1",0.09992689305653
"402MTCUNF_6.5.12_1",0.115253048137755
"402PS0048_5.21.08_1",0.133068118819881
"403BA0015_5.19.08_1",0.133505714645907
"403BA0064_6.18.14_1",0.178730319296322
"403BA0140_5.21.08_1",0.326191351999016
"403BA0171_5.19.08_1",0.184039245760174
"403LNCASC_6.15.10_1",0.141844613324828
"403S00875_6.24.10_1",0.154860024442096
