"","Predicted"
"105PS0188_8.26.08_1",0.0276145348664494
"105PS0188_8.26.08_2",0.0276145348664494
"106FC1183_7.24.14_1",0.0670659364087005
"106FC1313_7.23.14_1",0.0687988424544781
"106PS0078_8.26.09_1",0.0551175978644812
"106PS0173_8.4.11_1",0.0798859984774048
"106PS0186_9.26.12_1",0.0814051302154691
"109PS0162_7.20.11_1",0.0892539363570698
"110ECSLSF_7.26.11_1",0.139273282497817
"110FCA102_7.25.13_1",0.134477439268797
"111CR1012_8.18.14_1",0.0783421180062284
"111PS0057_8.18.08_1",0.122367939890957
"113GAR010_6.8.09_1",0.0881031109641841
"113GAR010_8.27.12_1",0.0881031109641841
"113GAR038_6.8.09_1",0.0947456543530073
"113GAR038_9.10.12_1",0.0947456543530073
"113GAR046_6.18.12_1",0.114449763539059
"113GAR046_6.8.09_1",0.114449763539059
"113GAR046_9.2.14_1",0.114449763539059
"113GAR061_6.19.12_1",0.111778564169861
"113GAR061_7.1.09_1",0.111778564169861
"113GAR061_9.3.14_1",0.111778564169861
"113GAR061_9.3.14_2",0.111778564169861
"113GAR084_6.28.10_1",0.0959567146555532
"113GAR094_7.27.10_1",0.0827014352915608
"113GAR094_7.27.10_2",0.0827014352915608
"113GAR110_6.18.12_1",0.0804716033966781
"113GAR110_6.30.09_1",0.0804716033966781
"113GAR110_9.2.14_1",0.0804716033966781
"113PS0084_8.18.09_1",0.0831275293252428
"113PS0100_8.25.09_1",0.105520164844568
"113PS0132_9.15.10_1",0.0780288511005282
"113PS0196_8.1.12_1",0.0802558919668936
"114CR0903_8.26.13_1",0.112608679364765
"114CR0903_9.25.13_1",0.112608679364765
"114PS0149_7.10.12_1",0.0608579822922787
"114PS0152_7.7.11_1",0.0888051919648801
"114PS0152_8.18.11_1",0.0888051919648801
"114RR1041_10.10.11_1",0.0547517003783801
"114RR1041_10.25.11_1",0.0547517003783801
"114RR1041_10.25.11_2",0.0547517003783801
"114RR1041_8.2.11_1",0.0547517003783801
"114RR1041_9.7.11_1",0.0547517003783801
"114RR1310_6.2.11_1",0.0470867083691642
"114RR1599_10.10.11_1",0.0481240651809261
"114RR1599_10.25.11_1",0.0481240651809261
"114RR1599_6.2.11_1",0.0481240651809261
"114RR1599_6.27.11_1",0.0481240651809261
"114RR1599_8.2.11_1",0.0481240651809261
"114RR1599_8.2.11_2",0.0481240651809261
"114RR1599_9.7.11_1",0.0481240651809261
"114RR2678_10.11.11_1",0.0524577496067405
"114RR2678_10.24.11_1",0.0524577496067405
"114RR2678_6.29.11_1",0.0524577496067405
"114RR2678_8.1.11_1",0.0524577496067405
"114RR2678_9.13.11_1",0.0524577496067405
"114RR2769_6.1.11_1",0.0474961963840641
"114RR2899_10.11.11_1",0.0860726498087941
"114RR2899_10.24.11_1",0.0860726498087941
"114RR2899_6.1.11_1",0.0860726498087941
"114RR2899_6.29.11_1",0.0860726498087941
"114RR2899_8.1.11_1",0.0860726498087941
"114RR2899_9.13.11_1",0.0860726498087941
"202BUT850_6.4.13_1",0.0662277045503841
"202PS0134_5.31.11_1",0.148796462747944
"202R00087_5.30.12_1",0.146322397364051
"202R00284_6.15.12_1",0.149416537288561
"202R00908_5.21.13_1",0.144695805568846
"203PS0070_7.19.10_1",0.121141342478117
"203PS0070_9.7.10_1",0.121141342478117
"203R00039_5.14.12_1",0.145747206200094
"204ALP040_4.10.11_1",0.117710768510832
"204ALP040_6.29.11_1",0.117710768510832
"204ALP105_4.10.11_1",0.211252277079436
"204ALP151_4.10.11_1",0.161494141266347
"204ALP151_6.29.11_1",0.161494141266347
"204PS0038_6.19.08_1",0.108432959703732
"204PS0094_7.14.10_1",0.0983289234637313
"204PS0102_6.15.11_1",0.0735652418667482
"204PS0102_6.15.11_2",0.0735652418667482
"204PS0102_8.10.11_1",0.0735652418667482
"204PS0118_6.15.11_1",0.149993727608355
"204R00047_6.6.12_1",0.119275176969228
"204R00063_6.4.13_1",0.148893851975445
"204R00068_5.31.12_1",0.0788048149601926
"204R00084_5.24.12_1",0.119490675604153
"204R00100_5.30.12_1",0.105139394634123
"204R00180_5.30.12_1",0.139350046898831
"204R00191_5.29.12_1",0.103357565363212
"204R00200_5.31.12_1",0.144977961753095
"204R00232_6.12.12_1",0.109437502816426
"204R00232_6.12.12_2",0.109437502816426
"204R00244_6.12.12_1",0.117231932767042
"204R00303_6.14.12_1",0.104084308289473
"204R00319_6.7.12_1",0.145791808291278
"204R00319_6.7.12_2",0.145791808291278
"204R00327_5.7.13_1",0.123223760637712
"204R00334_5.8.13_1",0.111829259471969
"204R00340_6.11.12_1",0.13085373807132
"204R00356_5.30.12_1",0.106002911273419
"204R00356_6.4.12_1",0.106002911273419
"204R00367_6.12.12_1",0.11729343131528
"204R00383_6.11.12_1",0.122493946558223
"204R00391_6.6.12_1",0.144348150557724
"204R00436_5.20.13_1",0.144371251918614
"204R00447_4.2.13_1",0.0689841234807961
"204R00447_4.22.13_1",0.0689841234807961
"204R00455_6.13.12_1",0.110927652779722
"204R00473_5.9.13_1",0.114374798212532
"204R00473_5.9.13_2",0.114374798212532
"204R00520_5.28.13_1",0.145431085750208
