"","Predicted"
"102PS0177_8.28.12_1",0.309273129569696
"103CDCHHR_9.14.10_1",0.40939839362252
"103STCNSR_8.9.11_1",0.223662887746788
"103WER026_8.15.12_1",0.22477379106104
"103WER029_7.16.14_1",0.0546882192463018
"103WER030_8.10.11_1",0.152572650501766
"105BVCAGC_9.21.10_1",0.422878527899167
"105CE0329_7.23.14_1",0.0986189733347564
"105CLCATC_8.10.10_1",0.318061071302576
"105DLCDCC_10.20.09_1",0.331473218175829
"105FCA116_7.16.13_1",0.230916739536287
"105FS0416_9.24.13_1",0.423755739523485
"105FS0425_8.10.11_1",0.272008771518801
"105FS0428_8.3.11_1",0.445763612673968
"105NWC151_6.26.13_1",0.253953023505804
"105PS0043_9.17.08_1",0.38726953664787
"105PS0083_9.8.09_1",0.345762126251794
"105PS0090_8.7.12_1",0.274340444314328
"105PS0097_7.22.14_1",0.062995767140658
"105PS0154_8.9.11_1",0.328005696191946
"105PS0195_8.7.12_1",0.264300859129353
"105PS0259_9.17.13_1",0.524553167726106
"105PS0267_7.21.14_1",0.319808551888581
"105PS0468_9.1.09_1",0.352143910686859
"105PS0540_9.15.10_1",0.359648555688599
"105PS1492_8.6.14_1",0.132974381669162
"105WE0598_7.24.14_1",0.213911925867752
"105WLC135_6.26.13_1",0.263246376815639
"105WLCABC_8.3.11_1",0.429267287536582
"106FS0040_8.30.11_1",0.460310928357872
"106PS0115_9.21.10_1",0.474540830097922
"106PS0124_8.16.10_1",0.501562896535017
"106PS0166_8.2.11_1",0.394991246041075
"106WE0505_7.21.14_1",0.063807145177839
"106WER011_9.11.13_1",0.446542079814126
"107PS0021_7.14.14_1",0.030987418255759
"107WER092_8.27.12_1",0.458234149300209
"111BBRBCC_9.23.09_1",0.406647026861474
"111CBCAER_8.8.13_1",0.448919148534216
"111ERATRC_10.10.12_1",0.38424505068347
"111FS0001_7.5.11_1",0.143065986850893
"111FS0008_7.19.12_1",0.397217210901485
"111HSCAER_7.26.11_1",0.423500316934782
"111PS0060_10.7.08_1",0.357553199184567
"111PS0110_6.9.14_1",0.161794324440475
"111PS0144_8.18.10_1",0.43983049712555
"111PS0160_7.25.11_1",0.470983133635385
"111PS0204_8.17.10_1",0.406734003406456
"111RSCAER_8.8.11_1",0.439195481040613
"111TGCAER_7.24.12_1",0.510283205705461
"111WE0816_6.12.13_1",0.238777227406341
"111WE1050_6.12.13_1",0.236709929793633
"111WE1071_7.26.12_1",0.427262323392743
"111WER003_6.10.14_1",0.0924313241736211
"111WER008_7.23.12_1",0.419372438981441
"111WER159_10.19.09_1",0.4666522365125
"113RG8046_8.19.10_1",0.386450879328882
"114CE0131_7.31.12_1",0.381222370611855
"114PS0145_6.20.11_1",0.517711061166027
"114WE0614_7.9.12_1",0.433374180169159
"115EBAG01_7.1.10_1",0.380333874921166
"201AHO350_6.20.12_1",0.406986387679675
"201CHE300_6.18.12_1",0.422462096769145
"201LAG335_7.15.09_1",0.608108510632386
"201MRS020_9.13.10_1",0.509166199796088
"202BUT030_6.29.10_1",0.639337916894095
"202BUT040_6.4.14_1",0.135430121681636
"202BUT050_6.16.09_1",0.514503392130305
"202BUT480_6.25.12_1",0.402354087160271
"202BUT600_6.26.12_1",0.428381945104394
"202DRY010_6.5.13_1",0.242402447652658
"202PES168_6.6.13_1",0.451677384981268
"202R00024_6.6.12_1",0.437679829580606
"202R00280_5.22.13_1",0.442105347559263
"204AHOACR_6.2.14_1",0.246669701884355
"204ALA500_6.10.13_1",0.40740877168938
"204ARH090_6.2.14_1",0.401417224334675
"204IND200_5.25.10_1",0.458153231367719
"204R00189_5.6.13_1",0.418417692629561
"204SIN300_5.15.12_1",0.170773463909453
"204VAL400_5.19.14_1",0.437734731757748
"205AAG375_5.14.14_1",0.461740482034613
"205AAG400_6.5.12_1",0.438443891367107
"205COY585_5.28.13_1",0.387602712749596
"205COY610_6.3.10_1",0.416009451632303
"205COY615_6.3.14_1",0.395814880843023
"205COY853_5.29.14_1",0.392268710904604
"205COY900_5.16.12_1",0.3044474526975
"205COY930_5.7.13_1",0.390971748181471
"205CYCAHH_6.10.08_1",0.498793033559553
"205CYCBBC_6.28.10_1",0.427479325881089
"205LGA700_5.23.12_1",0.398447988763218
"205R00021_5.16.12_1",0.117344343245346
"205R00182_5.7.13_1",0.310387962233901
"205WUN450_6.11.12_1",0.384375183828964
"205WUN550_5.6.13_1",0.400083321615147
"206HCT020_5.29.12_1",0.421748331046308
"206RCCBDC_7.20.10_1",0.522759065002554
"206TUL120_6.13.11_1",0.399069493817542
"207GVC800_5.23.13_1",0.372122520350456
"207SUI800_5.5.14_1",0.295076225569087
"304WDCAH1_6.29.10_1",0.62206340511989
"305LGCACR_7.16.08_1",0.475350978041661
"305LGCBRC_6.30.10_1",0.568515140154141
"305SSCAUC_6.29.10_1",0.684590432753451
"305UVCASC_6.29.10_1",0.684590432753451
"307CE0094_6.12.12_1",0.437842408144531
"307SCCARR_6.21.10_1",0.434409470381312
"308BSU_7.13.10_1",0.554129158928857
"308LILPAL_6.20.12_1",0.438410160658773
"308PWCAH1_6.22.10_1",0.48522040569809
"308SAM_6.23.10_1",0.544750126143128
"308SANWIL_6.12.12_1",0.400044415505751
"308SBCAH1_6.21.10_1",0.416410691761302
"309ARSARC_6.23.10_1",0.500805279305856
"309CAW126_5.21.14_1",0.153039152508997
"309NAF_5.24.12_1",0.282309126364099
"309WLCATC_6.22.10_1",0.53283185841778
"310COO_6.24.10_1",0.404280137056274
"310LPCBPC_6.9.09_1",0.374210162161881
"312DAVDAV_6.7.12_1",0.413440176311216
"312MZCDBC_5.13.14_1",0.215929514159782
"312RYCALR_6.16.10_1",0.512986907969064
"402BA0287_6.9.08_1",0.389528394711593
"402M00005_6.11.15_1",0.340224691585573
"402MTCUNF_6.5.12_1",0.399493721677279
"402PS0048_5.21.08_1",0.447681783441354
"403BA0015_5.19.08_1",0.49117899363311
"403BA0064_6.18.14_1",0.413745881959854
"403BA0140_5.21.08_1",0.503157626492952
"403BA0171_5.19.08_1",0.492402478742904
"403LNCASC_6.15.10_1",0.464466556577343
"403S00875_6.24.10_1",0.366424261893837
"403S01883_6.21.10_1",0.483108895227973
"403S03643_6.24.10_1",0.343327219193967
"403S06315_6.27.12_1",0.336260645571972
"403STC064_6.8.11_1",0.446659418345491
"403STC086_6.21.11_1",0.34425400142506
"403WE0501_5.14.13_1",0.342547673438891
"403WE1027_5.14.14_1",0.14316113006791
"405BRCAMS_6.7.11_1",0.478365991042727
"405BRCASG_5.7.14_1",0.211318898062907
"405BRCSGR_5.28.08_1",0.346192652645018
"405SGRAAG_5.28.08_1",0.420945074418539
"405WER318_8.18.09_1",0.422297637923662
"504DCFRxx_7.27.10_1",0.543009136625656
"504PS0227_8.12.09_1",0.322919835973635
"504WE0527_7.2.13_1",0.34006145964383
"505BMCMCR_8.4.10_1",0.553536917126203
"505LBCAMR_8.7.13_1",0.44273366891484
"505PS0174_9.27.11_1",0.314781550697713
"506PS0062_9.15.08_1",0.48684512208352
"507MZCAML_7.17.12_1",0.321979983206276
"509ACNFPP_9.25.14_1",0.266235961339361
"509ACSFPP_7.16.08_1",0.405009275023097
"509ATCINC_7.14.08_1",0.440353454685552
"509BSCADC_8.31.11_1",0.43131723934367
"509CBCADC_8.24.10_1",0.334616691548679
"509CTCADC_7.10.12_1",0.0827271791298849
"509CWCPLR_7.7.08_1",0.396033466384448
"509FCA054_8.27.13_1",0.364694106818486
"509ICPPCX_9.10.08_1",0.40777271611758
"509MLC145_8.6.13_1",0.325458549099644
"509PCDTWR_9.3.08_1",0.423871531183198
"509PMC197_7.2.14_1",0.186257007973179
"509PS0085_9.7.11_1",0.330765107301502
"509PS0170_7.26.10_1",0.372408274024573
"509PS0234_8.15.11_1",0.435754539101286
"509PS0334_9.12.12_1",0.437089160563307
"513BTCACC_9.10.08_1",0.364921897081952
"513PS0008_9.1.10_1",0.37114566886653
"513PS0200_7.30.12_1",0.482085560440357
"514BMCARC_9.27.11_1",0.187747807262761
"514BRUUPX_10.9.08_1",0.282920836218483
"514ICEUPx_8.13.14_1",0.0931898427340473
"514LNCASC_8.30.11_1",0.233326369777557
"514PCASMR_10.29.14_1",0.314460485009179
"514PS0131_7.28.14_1",0.255474987537503
"514SBCAMR_8.29.11_1",0.304509242741734
"514SCCAAR_7.24.08_1",0.253766998199902
"514SFA222_7.28.14_1",0.121538649660471
"517LCCAYB_8.12.08_1",0.176016025074843
"517PS0054_7.28.10_1",0.40153064329599
"517PS0074_9.20.11_1",0.372870922411149
"518CHCANF_7.12.12_1",0.320643226506307
"518CPCRCR_8.20.14_1",0.222324439330569
"518GZCUPx_6.30.14_1",0.13097966890355
"518KNCAWC_8.15.11_1",0.091053890209218
"518MLC181_7.15.14_1",0.136029092511455
"518PS0033_6.29.09_1",0.481406441175845
"518PS0073_8.16.11_1",0.399316680630463
"518PS0093_9.24.12_1",0.385582829883842
"518PS0113_7.9.12_1",0.421866719942393
"518RCNAPC_8.18.14_1",0.0845037362596611
"518SDCAHR_6.12.13_1",0.277250460530164
"518SED086_8.17.11_1",0.343172944128532
"518SNCABC_9.26.12_1",0.307274253361977
"518WE0521_6.19.13_1",0.298373551892439
"518WLCBWL_8.5.13_1",0.29234640291561
"518YLCAFR_8.17.11_1",0.418168975825338
"522CE0027_6.9.14_1",0.236641932740514
