"","Predicted"
"103KLCMSR_9.14.10_1",0.311934183501708
"105PS0193_8.29.12_1",0.39886653569723
"105PS0660_8.3.10_1",0.232859081385581
"105TMCACC_8.10.10_1",0.216577620138568
"106MNCAHC_10.1.08_1",0.365042459083359
"106WE1079_8.8.12_1",0.295863844121739
"106WER016_10.20.09_1",0.466354449015776
"107LLM101_9.13.10_1",0.360849580810715
"111BGCAER_6.11.14_1",0.228070345058528
"111FS0007_7.11.11_1",0.309591521415862
"111PAL105_7.13.11_1",0.456906062913344
"202SPE090_6.15.09_1",0.228010048604511
"205AAG075_6.12.13_1",0.440903203603734
"205COY850_5.21.12_1",0.378561681622937
"205SFC880_6.19.12_1",0.415604239548912
"206BRC020_6.27.12_1",0.393494549094414
"207SUI290_6.4.12_1",0.380295649975043
"307CMRADC_5.20.14_1",0.275264996079026
"308LSRASC_7.18.11_1",0.455765732067508
"308MWCAH1_6.23.10_1",0.299848234488776
"308PS0156_6.19.12_1",0.432662137879393
"308ROCBBQ_6.21.12_1",0.362591559431972
"309ARCBRC_8.25.08_1",0.39746628623968
"309PS0116_6.16.11_1",0.48920879076024
"312PS0099_6.14.10_1",0.411546519606877
"315CHCALS_6.15.10_1",0.383784684364333
"402BA0095_5.29.08_1",0.40997005374236
"402M00009_6.29.15_1",0.477020095064597
"403S00960_6.2.10_1",0.355590856284694
"403S01536_7.12.11_1",0.480582226528616
"403WE0540_5.14.14_1",0.337531629724637
"403WE0683_5.15.13_1",0.343359246625731
"505PS0110_9.16.10_1",0.462991389709695
"513CCNASC_7.16.14_1",0.55585110550351
"513STCAIV_6.12.14_1",0.384375183828964
"513UNCAKC_9.23.09_1",0.376170794258781
"514SSC190_9.11.14_1",0.164713731814424
"517FCA046_8.14.13_1",0.382022067987118
"518BTCASC_6.12.13_1",0.246664300520243
"518FCA075_8.12.13_1",0.363630503198094
"518SPC134_6.18.13_1",0.134105915296411
"522GSCBSC_9.24.09_1",0.424457515827009
"522PS0504_6.11.13_1",0.440573914974246
"526PNCAMF_6.25.13_1",0.270626341092876
"526PS1420_6.25.13_1",0.348343328741902
"534MLC108_9.14.11_1",0.363638021944778
"536HLCBFM_6.18.13_1",0.27350411090312
"537TYCAML_7.16.08_1",0.133829835178911
"540SED003_8.30.11_1",0.222978238964787
"552DKC268_6.23.14_1",0.0709920452148207
"552MFCAKR_6.11.08_1",0.274309419456438
"553KRNAYC_6.17.14_1",0.471828075144069
"554CLCALK_8.23.11_1",0.204682300753574
"603DDM005_9.13.11_1",0.360849580810715
"603FCA145_8.21.13_1",0.245185474329851
"603PS0008_7.30.08_1",0.170303535948217
"603PS0075_8.15.12_1",0.404944801923372
"603PS0109_7.29.08_1",0.274137676893484
"603PS0557_8.18.10_1",0.206915345952675
"603SPCBWC_7.22.08_1",0.309168009247709
"631DEP001_8.28.12_1",0.457359396232908
"631PS0033_8.30.10_1",0.317794738035111
"632ELD001_9.8.11_1",0.322560308173892
"634CAT055_10.4.11_1",0.268709688693083
"634GRF001_10.3.11_1",0.365143917267993
"634HHCATC_10.4.11_1",0.207448271171684
"634PS0035_9.1.10_1",0.283462849722707
"634PS0062_10.12.11_1",0.306612524105123
"634WSN001_10.4.11_1",0.393809319055437
"636SAG001_7.12.10_1",0.432795946678998
"639PS1279_6.11.13_1",0.11328969761353
"641OWC157_7.24.13_1",0.177156875772326
"722NP7IDC_4.16.14_1",0.0702394898093169
"801DRC025_6.25.14_1",0.343584212566265
"801S03488_5.7.14_1",0.222565114075897
"801WE0674_5.14.13_1",0.283315949123556
"801WE1008_5.14.13_1",0.335248658423519
"801WE1132_8.19.09_1",0.202024526782481
"901ATCAAS_6.5.08_1",0.410887732319344
"901CSCADC_5.26.11_1",0.393594558728702
"901S06969_5.31.12_1",0.372787711335001
"903WE0798_4.8.15_1",0.170027624960144
"905BCC_6.11.14_1",0.40834853463609
"905S02561_5.25.11_1",0.268298868948874
"909JQCASR_6.1.11_1",0.179204216236687
"911S03354_5.5.09_1",0.330721392296718
"911TJIND2_5.8.08_1",0.307727741589437
"911TJLCC2_4.7.15_1",0.282878757576086
"SCFC1_6.12.08_1",0.386393863557076
"SCSS1_6.17.08_1",0.391239784707186
"SMAD1_11.5.08_1",0.302992563079441
"SMC00135_6.7.10_1",0.349249527215916
"SMC01979_7.14.11_1",0.387903719324781
"SMC02139_7.17.12_1",0.458375558764519
"SMC04204_7.11.12_1",0.505484527392197
"SMC04383_5.19.14_1",0.467566324001366
"SMC06467_6.28.10_1",0.432549434427547
"SMC19809_6.25.13_1",0.371126677981405
