"","Predicted"
"105PS0188_8.26.08_1",0.317695442269005
"105PS0188_8.26.08_2",0.317695442269005
"106FC1183_7.24.14_1",0.383650785976865
"106FC1313_7.23.14_1",0.444581456374822
"106PS0078_8.26.09_1",0.411721759580301
"106PS0173_8.4.11_1",0.553536917126203
"106PS0186_9.26.12_1",0.315487120329478
"109PS0162_7.20.11_1",0.400569598316232
"110ECSLSF_7.26.11_1",0.378384989271296
"110FCA102_7.25.13_1",0.411391835097262
"111CR1012_8.18.14_1",0.382014498324664
"111PS0057_8.18.08_1",0.40971549896591
"113GAR010_6.8.09_1",0.144709753133583
"113GAR010_8.27.12_1",0.328099512879472
"113GAR038_6.8.09_1",0.142776802749448
"113GAR038_9.10.12_1",0.428480893556774
"113GAR046_6.18.12_1",0.4225358295225
"113GAR046_6.8.09_1",0.435334547415458
"113GAR046_9.2.14_1",0.390393401216724
"113GAR061_6.19.12_1",0.447583859395312
"113GAR061_7.1.09_1",0.383566031830307
"113GAR061_9.3.14_1",0.393569432439394
"113GAR061_9.3.14_2",0.393569432439394
"113GAR084_6.28.10_1",0.398403500604061
"113GAR094_7.27.10_1",0.500291624961772
"113GAR094_7.27.10_2",0.500291624961772
"113GAR110_6.18.12_1",0.334644962768148
"113GAR110_6.30.09_1",0.399537255696851
"113GAR110_9.2.14_1",0.453659968699077
"113PS0084_8.18.09_1",0.322255576790589
"113PS0100_8.25.09_1",0.38609355071589
"113PS0132_9.15.10_1",0.34338203411057
"113PS0196_8.1.12_1",0.325185299925142
"114CR0903_8.26.13_1",0.359314055382193
"114CR0903_9.25.13_1",0.342347462815007
"114PS0149_7.10.12_1",0.440343856022558
"114PS0152_7.7.11_1",0.394270777717614
"114PS0152_8.18.11_1",0.414664087551311
"114RR1041_10.10.11_1",0.36443134175062
"114RR1041_10.25.11_1",0.379415006683791
"114RR1041_10.25.11_2",0.379415006683791
"114RR1041_8.2.11_1",0.42874215072566
"114RR1041_9.7.11_1",0.368517285179856
"114RR1310_6.2.11_1",0.0983959075329255
"114RR1599_10.10.11_1",0.366551946845329
"114RR1599_10.25.11_1",0.380736039128928
"114RR1599_6.2.11_1",0.106295376351886
"114RR1599_6.27.11_1",0.431066416784957
"114RR1599_8.2.11_1",0.435023076113501
"114RR1599_8.2.11_2",0.435023076113501
"114RR1599_9.7.11_1",0.369800751410892
"114RR2678_10.11.11_1",0.365993388117389
"114RR2678_10.24.11_1",0.387123735750766
"114RR2678_6.29.11_1",0.47872962405675
"114RR2678_8.1.11_1",0.429667889998508
"114RR2678_9.13.11_1",0.366349971610753
"114RR2769_6.1.11_1",0.167779294265585
"114RR2899_10.11.11_1",0.371236978413134
"114RR2899_10.24.11_1",0.392367326046511
"114RR2899_6.1.11_1",0.236529775342364
"114RR2899_6.29.11_1",0.48894760748331
"114RR2899_8.1.11_1",0.435666521929393
"114RR2899_9.13.11_1",0.370653574405191
"202BUT850_6.4.13_1",0.252893531184529
"202PS0134_5.31.11_1",0.367547936631882
"202R00087_5.30.12_1",0.301996121450241
"202R00284_6.15.12_1",0.242559817305994
"202R00908_5.21.13_1",0.237002042825092
"203PS0070_7.19.10_1",0.528836892071977
"203PS0070_9.7.10_1",0.376135987564754
"203R00039_5.14.12_1",0.382173779407533
"204ALP040_4.10.11_1",0.297636459001671
"204ALP040_6.29.11_1",0.604564590066374
"204ALP105_4.10.11_1",0.148758037821523
"204ALP151_4.10.11_1",0.184927852486911
"204ALP151_6.29.11_1",0.556706070617128
"204PS0038_6.19.08_1",0.505189778827504
"204PS0094_7.14.10_1",0.458246350732904
"204PS0102_6.15.11_1",0.480146902354066
"204PS0102_6.15.11_2",0.480146902354066
"204PS0102_8.10.11_1",0.389807579789641
"204PS0118_6.15.11_1",0.419717993494213
"204R00047_6.6.12_1",0.499942914075478
"204R00063_6.4.13_1",0.29075597265347
"204R00068_5.31.12_1",0.353184098729856
"204R00084_5.24.12_1",0.413039581609902
"204R00100_5.30.12_1",0.351263496568005
"204R00180_5.30.12_1",0.371668799100351
"204R00191_5.29.12_1",0.398384441737365
"204R00200_5.31.12_1",0.398794995401488
"204R00232_6.12.12_1",0.438319494902366
"204R00232_6.12.12_2",0.438319494902366
"204R00244_6.12.12_1",0.465702967062744
"204R00303_6.14.12_1",0.427289311469101
"204R00319_6.7.12_1",0.485896455846952
"204R00319_6.7.12_2",0.485896455846952
"204R00327_5.7.13_1",0.310387962233901
"204R00334_5.8.13_1",0.316840259004466
"204R00340_6.11.12_1",0.391074818809798
"204R00356_5.30.12_1",0.378534760604175
"204R00356_6.4.12_1",0.407761265049115
"204R00367_6.12.12_1",0.465195403225614
"204R00383_6.11.12_1",0.36104849232297
"204R00391_6.6.12_1",0.452286461540339
