"","Predicted"
"102PS0139_8.9.10_1",0.0508257836861924
"103FCA168_7.24.13_1",0.0404677989010604
"103PS0217_9.10.13_1",0.0404677989010604
"103RDCBCC_7.21.11_1",0.020320636901004
"105PS0028_8.12.08_1",0.0611391564478726
"105PS0028_8.26.08_1",0.0611391564478726
"105PS0067_8.24.09_1",0.0513223691615234
"105PS0067_8.24.09_2",0.0513223691615234
"105PS0067_9.15.09_1",0.0513223691615234
"105PS0069_8.18.09_1",0.0301032747930668
"105PS0092_8.11.08_1",0.0186723903932393
"105PS0107_9.14.09_1",0.0380683217917124
"105PS0129_8.11.10_1",0.0615310659834654
"105PS0129_8.11.10_2",0.0615310659834654
"105PS0149_8.29.12_1",0.0426089123023955
"105PS0211_8.20.13_1",0.047929311618223
"105PS0211_9.16.13_1",0.047929311618223
"105PS0231_8.29.13_1",0.0602433973855316
"105PS0276_9.1.09_1",0.0541410398597618
"105PS0276_9.22.09_1",0.0541410398597618
"105PS0540_8.5.10_1",0.0722791866733021
"105PS1148_9.18.12_1",0.0593781120097749
"105PS1404_8.28.13_1",0.063334240444726
"105PS1404_8.28.13_2",0.063334240444726
"106FCA036_7.15.13_1",0.0489331545336213
"106HLCACC_9.23.13_1",0.0242595599641742
"106PS0022_9.30.08_1",0.0519713498295699
"106PS0051_9.16.08_1",0.0383369789440467
"106PS0051_9.16.08_2",0.0383369789440467
"106PS0106_9.8.09_1",0.0257967463564127
"106PS0106_9.8.09_2",0.0257967463564127
"106PS0122_9.20.10_1",0.0597279243959739
"106PS0142_7.19.10_1",0.120813973904084
"106PS0206_10.3.12_1",0.039850509893093
"106PTCAHC_9.2.08_1",0.102047997102246
"107GWCAPC_9.15.10_1",0.117722077470737
"107RWCBHW_8.3.11_1",0.0404692756109982
"107RWCBHW_8.3.11_2",0.0404692756109982
"108PS0197_8.16.12_1",0.0290840083750848
"110PS0114_7.21.10_1",0.0916057283391559
"110SMCATH_7.27.11_1",0.111186474040687
"111CE0569_10.11.10_1",0.105595702409411
"111FCA207_7.23.13_1",0.102254791210971
"111PS0008_9.29.08_1",0.0949200895371696
"111PS0008_9.9.08_1",0.0949200895371696
"111PS0008_9.9.08_2",0.0949200895371696
"111PS0013_8.19.08_1",0.110557712114753
"111PS0095_8.27.09_1",0.0680348078279356
"111PS0095_8.27.09_2",0.0680348078279356
"111PS0121_7.20.10_1",0.106770193106732
"111PS0159_7.14.11_1",0.042661102747727
"111PS0169_7.25.11_1",0.0648658154791606
"111PS0169_7.25.11_2",0.0648658154791606
"111PS0178_8.14.12_1",0.0522042469030859
"111PS0237_9.12.13_1",0.0346470071835554
"112PS0157_7.12.11_1",0.0620401769292239
"113GAR011_8.22.11_1",0.121734731322809
"113GAR011_9.1.10_1",0.121734731322809
"113GAR015_8.23.11_1",0.109751372331366
"113GAR015_8.31.10_1",0.109751372331366
"113GAR015_9.9.13_1",0.109751372331366
"113GAR023_7.22.14_1",0.124500496338326
"113GAR023_8.5.13_1",0.124500496338326
"113GAR030_8.26.09_1",0.115288154132919
"113GAR030_8.26.09_2",0.115288154132919
"113GAR030_8.28.12_1",0.115288154132919
"113GAR042_9.10.13_1",0.116549278698979
"113GAR062_6.30.09_1",0.122612911713809
"113GAR062_8.27.12_1",0.122612911713809
"113GAR087_6.29.10_1",0.0990990019430704
"113GAR087_8.6.13_1",0.0990990019430704
"113GAR087_9.11.12_1",0.0990990019430704
"113GAR087_9.11.12_2",0.0990990019430704
"113GAR089_6.14.10_1",0.0934164484741144
"113GAR089_6.20.11_1",0.0934164484741144
"113GAR089_8.5.09_1",0.0934164484741144
"113GAR105_6.14.10_1",0.130727796237823
"113GAR105_6.20.11_1",0.130727796237823
"113GAR105_8.4.09_1",0.130727796237823
"113GAR112_6.15.10_1",0.0973247740957529
"113GAR112_7.22.14_1",0.0973247740957529
"113GAR112_8.22.11_1",0.0973247740957529
"113GAR112_8.4.09_1",0.0973247740957529
"113GAR112_8.4.09_2",0.0973247740957529
"113GAR112_8.7.13_1",0.0973247740957529
"113GAR118_7.26.10_1",0.0851209693077305
"113GAR118_9.10.12_1",0.0851209693077305
"113GAR178_6.21.11_1",0.122288798844187
"113GAR178_7.23.14_1",0.122288798844187
"113GAR178_8.31.10_1",0.122288798844187
"113GAR178_9.9.13_1",0.122288798844187
"113GAR178_9.9.13_2",0.122288798844187
"113GAR244_6.28.10_1",0.117808627447889
"113PS0012_9.9.08_1",0.0963232813412182
"113PS0012_9.9.08_2",0.0963232813412182
"113PS0076_8.2.12_1",0.123854876409996
"113PS0076_8.22.12_1",0.123854876409996
"113PS0120_9.14.10_1",0.0665756559582858
"113PS0168_7.6.11_1",0.114108939789916
"113PS0216_9.3.13_1",0.120607383777664
"113PS0232_9.4.13_1",0.104131369247581
"113PS0232_9.4.13_2",0.104131369247581
"113PS0268_6.11.14_1",0.13189062752767
"114AU7778_6.21.10_1",0.138838484639978
"114FCA199_8.1.13_1",0.134726361532109
"114GV3469_7.5.11_1",0.134285463223515
"114GV5331_7.6.11_1",0.0891393134680462
"114MA2364_7.6.10_1",0.108340500180065
"114MRCURX_6.24.08_1",0.113524275708803
"114PS0088_8.19.09_1",0.0846018888216851
"114PS0209_6.10.13_1",0.0981715789997349
"114PS0229_6.4.13_1",0.1156191976671
"114WER118_8.20.08_1",0.138621222702414
"115SALG01_6.30.10_1",0.119513622142079
"115SC6093_7.7.11_1",0.0958152896466741
"115SC6093_7.7.11_2",0.0958152896466741
"201LAG190_10.6.08_1",0.12006561633772
"201LAG380_7.14.09_1",0.116154167649794
"201RDW080_4.29.09_1",0.124904211139383
"201RDW080_5.7.08_1",0.124904211139383
"201RDW080_6.2.10_1",0.124904211139383
"201RDW080_6.23.08_1",0.124904211139383
"201RDW080_6.3.09_1",0.124904211139383
"201RDW080_6.3.09_2",0.124904211139383
"201RDW080_8.11.09_1",0.124904211139383
"201RDW080_8.12.08_1",0.124904211139383
"202LAH950_6.13.12_1",0.0681594493333319
"202MIC150_5.7.14_1",0.0990204158445181
"202PES162_4.27.09_1",0.106020162223785
"202PES162_5.1.08_1",0.106020162223785
"202PES162_6.16.09_1",0.106020162223785
"202PES162_6.18.08_1",0.106020162223785
"202PES162_6.7.10_1",0.106020162223785
"202PES162_8.17.09_1",0.106020162223785
"202PES162_9.10.08_1",0.106020162223785
"202PES162_9.10.08_2",0.106020162223785
"202PS0246_6.5.13_1",0.111275809104051
"202R00248_5.23.13_1",0.134948312978304
"202R00248_5.23.13_2",0.134948312978304
"202TUN600_5.12.14_1",0.0962534108328688
"203R00983_6.6.13_1",0.1200116324931
"204ALA320_6.17.13_1",0.10595808953889
"204ALA382_6.11.13_1",0.0665048116853255
"204ALA396_6.24.13_1",0.0662646080179209
"204ALA410_5.8.13_1",0.0667363918129204
"204ALA525_5.22.12_1",0.102849789853002
"204IND200_5.20.08_1",0.182677113915708
"204IND200_5.20.08_2",0.182677113915708
"204IND200_6.16.08_1",0.182677113915708
"204R00590_5.8.13_1",0.110518040464205
"204R00647_6.18.12_1",0.0630814087035842
"204R00751_6.5.13_1",0.11996567344077
"204R00751_6.5.13_2",0.11996567344077
"204SLE150_5.9.13_1",0.0957219169908625
"205COY140_6.17.09_1",0.104594072455351
"205GCAxxx_7.15.10_1",0.155503400561275
"205GCAxxx_7.15.10_2",0.155503400561275
"205PS0234_5.22.13_1",0.109857501354753
"205R00110_6.18.12_1",0.122682322522621
"205R00374_6.3.13_1",0.165116444763173
"205STE110_7.13.09_1",0.129707147413318
"206NAP700_6.21.12_1",0.0759360782361933
"206PIN610_6.3.13_1",0.120317317355035
"206PIN825_5.22.13_1",0.116853309627171
"206R00407_4.24.14_1",0.129424289459055
"206RIC100_5.11.09_1",0.103310420135888
"206RIC100_5.2.08_1",0.103310420135888
"206RIC100_6.1.10_1",0.103310420135888
"206RIC100_6.17.09_1",0.103310420135888
"206RIC100_6.19.08_1",0.103310420135888
"206RIC100_8.12.09_1",0.103310420135888
"206RIC100_8.14.08_1",0.103310420135888
"206RIC100_8.2.11_1",0.103310420135888
"206SON160_9.6.11_1",0.0925180222612951
"206SON300_7.14.09_1",0.0939847303974543
"206SON300_8.10.11_1",0.0939847303974543
"207MTD117_4.22.09_1",0.100962846037406
"207MTD117_5.24.10_1",0.100962846037406
"207MTD117_5.6.08_1",0.100962846037406
"207R00271_4.29.13_1",0.131964346102226
"207SUI070_6.13.13_1",0.12206393266881
"207SUL200_5.28.14_1",0.156528347180755
"207WAL475_6.12.12_1",0.082759516008163
"207WHC634_5.29.13_1",0.0829699181202993
"207WHC634_5.29.13_2",0.0829699181202993
"304APS_7.6.11_1",0.0528702275459721
"304PS0018_6.4.08_1",0.0748429185174514
"304PS0194_6.18.12_1",0.110252378417566
"304PS0253_5.22.14_1",0.104603342196009
"304PS0253_6.5.14_1",0.104603342196009
"304SPC236_6.28.10_1",0.0836703715718309
"305CLCSBR_6.11.08_1",0.107948769887905
"307PS0028_6.3.08_1",0.135334336282403
"307PS0044_6.8.09_1",0.119348910317515
"308BGC_5.28.14_1",0.0970245418218661
"308BGC_6.14.11_1",0.0970245418218661
"308BGC_8.11.11_1",0.0970245418218661
"308LIM_6.4.14_1",0.118480107963608
"308LIM_6.4.14_2",0.118480107963608
"308PS0204_5.21.13_1",0.133491509583306
"309ANT_5.24.12_1",0.0961561313128121
"309CLCBVC_7.15.08_1",0.0536667690150176
"309LAS1MI_6.13.12_1",0.079532695642831
"309LOR_5.29.12_1",0.078970803794146
"309PS0040_6.3.08_1",0.0817012158157477
"309PS0043_6.10.09_1",0.109535199083692
"309PS0043_7.8.09_1",0.109535199083692
"309SAP_5.23.12_1",0.119748346876153
"309SARANF_8.26.08_1",0.118095550112376
"309SDCMCC_7.14.08_1",0.127805246434058
"309SEC_7.2.12_1",0.0593395200128654
"309SED071_4.3.12_1",0.0496035571726225
"309SED071_5.3.12_1",0.0496035571726225
"309SED071_6.13.12_1",0.0496035571726225
"309SED071_7.24.12_1",0.0496035571726225
"309SED071_8.30.12_1",0.0496035571726225
"310AGS_5.29.14_1",0.101701600804935
"310OLD_6.15.10_1",0.073842960908762
"310SSU_6.15.11_1",0.0934545521315407
"310SSU_8.11.11_1",0.0934545521315407
"312CAV_4.19.13_1",0.128500806186052
"312SIV_5.3.13_1",0.114810980178146
"313SAB_5.29.14_1",0.11102135429031
"314WE1102_6.12.12_1",0.113284315357441
"315ARH101_6.14.10_1",0.152645151385098
"402BA0031_5.28.08_1",0.107512201675805
"402BA0079_5.28.08_1",0.101292305701572
"402BA0143_5.21.08_1",0.0953942671227491
"402BA0335_5.27.08_1",0.10125958414356
"402BA0335_5.27.08_2",0.10125958414356
"403BA0027_5.20.08_1",0.107017372718876
"403BA0027_6.18.14_1",0.107017372718876
"403BA0136_5.13.08_1",0.0832707366514137
"403BA0136_6.17.14_1",0.0832707366514137
"403BA0191_5.14.08_1",0.126869118145963
"403FCA022_5.29.13_1",0.110880256636612
"403M01505_6.29.15_1",0.112502375179654
"403M01506_6.17.15_1",0.0912510677709939
"403M05757_6.29.15_1",0.117826325780195
"403M05771_4.30.15_1",0.0730446339243619
"403PRCAGH_6.2.11_1",0.083035560113364
"403S00640_6.11.09_1",0.0980100080050384
"403S00640_6.11.09_2",0.0980100080050384
"403S00772_5.20.09_1",0.0934599663383742
"403S00831_6.10.10_1",0.107310775556374
"403S01136_6.13.11_1",0.0619579338281549
"403S01163_6.8.09_1",0.0750381330196216
"403S01195_6.10.09_1",0.104296967540938
"403S01272_6.9.09_1",0.12905144744299
"403S01707_6.7.10_1",0.0834888823287192
"403S01728_7.13.11_1",0.104174173991645
"403S02363_6.16.11_1",0.124755964040157
"403S02764_6.14.11_1",0.100297925712056
"403S04600_6.8.10_1",0.135377745927
"403S05291_6.7.10_1",0.096577932360446
"403S06139_6.27.12_1",0.107508868054967
"403S06283_6.13.12_1",0.0794070929486633
"403S06660_6.14.12_1",0.163057631374106
"403S06660_6.14.12_2",0.163057631374106
"403S06904_6.9.10_1",0.0486750110421375
"403S07024_6.13.12_1",0.0901560636613926
"403S07227_6.27.12_1",0.110175299594744
"403S15608_6.8.10_1",0.131501083198443
"403S16332_6.26.13_1",0.0837414553649374
"403S16493_6.24.13_1",0.0748349208325603
"403S16978_6.26.13_1",0.071738335822438
"403S18093_6.24.13_1",0.0749440694845791
"403S18093_6.24.13_2",0.0749440694845791
"404ARRSEQ_6.6.12_1",0.116641980635537
"404BA0104_6.18.08_1",0.103738495019995
"404BA0526_6.4.08_1",0.142700571489086
"404BA0616_6.3.08_1",0.100457413489361
"404BA0852_6.3.08_1",0.096685779115933
"404BA0964_6.4.08_1",0.106536947142867
"404BA1128_6.19.08_1",0.116676201111602
"404BA1128_6.3.14_1",0.116676201111602
"404BA1144_6.10.08_1",0.188520301866193
"404BA1166_6.10.08_1",0.188520301866193
"404BA1166_6.4.09_1",0.188520301866193
"404S01128_6.23.10_1",0.116676201111602
"404S06456_5.14.09_1",0.11306894382757
"404S08846_6.22.10_1",0.109572787790542
"404S11406_5.11.09_1",0.104699052022668
"404S16168_6.23.10_1",0.141875193823435
"404S17266_5.19.09_1",0.118835689192658
"404S23297_6.19.13_1",0.105189066942186
"404S25298_6.20.12_1",0.107459522423542
"404S32468_6.26.12_1",0.124705672406302
"404S34230_6.19.13_1",0.114503671556898
"404S35418_6.25.12_1",0.131427481166502
"404S35418_6.25.12_2",0.131427481166502
"404S45622_6.3.13_1",0.114650013020312
"404S45622_6.3.13_2",0.114650013020312
"404S45745_6.18.13_1",0.139527393280264
"404S48200_6.18.13_1",0.141109987917894
"405BH2Axx_6.16.10_1",0.0650128770362478
"405BH2Axx_6.16.10_2",0.0650128770362478
"405BH2Axx_6.16.10_3",0.0650128770362478
"405BH3Axx_6.17.10_1",0.058551761381727
"405BH3Axx_6.17.10_2",0.058551761381727
"405BH3Axx_6.17.10_3",0.058551761381727
"405BH3Cxx_6.17.10_1",0.0898599786775059
"405CE0280_7.6.15_1",0.0393893061601892
"405PS0030_5.21.08_1",0.0663073983229228
"405PS0030_7.8.15_1",0.0663073983229228
"405PS0036_5.28.08_1",0.110127832559147
"405PS0036_5.28.08_2",0.110127832559147
"408BA0268_5.6.08_1",0.0902117573479535
"408BA0660_5.6.08_1",0.130337657433387
"408BA0660_6.4.14_1",0.130337657433387
"412BH1Axx_6.15.10_1",0.0832006562963048
"412BH1Axx_6.15.10_2",0.0832006562963048
"412BH1Axx_6.15.10_3",0.0832006562963048
"412BH4Axx_6.18.10_1",0.0543222870458171
"412WE0552_8.26.15_1",0.0784326246096915
"481S05856_6.13.13_1",0.0376548765066328
"504PS0051_7.1.08_1",0.151049223704787
"504PS0083_6.17.09_1",0.0978374336315627
"504PS0147_6.23.08_1",0.134390987431154
"504PS0574_6.6.13_1",0.0554174387029843
"505PS0156_8.13.08_1",0.0283981278737154
"505PS0156_8.13.08_2",0.0283981278737154
"505PS0940_9.26.11_1",0.0586636626304634
"505PS1180_8.21.13_1",0.0117709751880734
"505PS1180_8.7.13_1",0.0117709751880734
"506PS0003_7.2.08_1",0.0806457938518289
"506PS0003_7.28.09_1",0.0806457938518289
"506PS0003_7.29.08_1",0.0806457938518289
"506PS0003_9.14.10_1",0.0806457938518289
"507BCSFBM_8.5.08_1",0.0330828942424059
"507BTC269_8.12.14_1",0.0260004070568966
"507DCABSF_10.22.14_1",0.0172464204676419
"507DCBLLB_10.22.14_1",0.0473440356783137
"507PS0122_6.29.09_1",0.0324221087391045
"507PS0142_8.4.10_1",0.0604915645024479
"507PS0314_9.8.11_1",0.0317009432667188
