"","Predicted"
"102PS0177_8.28.12_1",0.011359948585447
"103CDCHHR_9.14.10_1",0.0421011663934497
"103STCNSR_8.9.11_1",0.016380213234807
"103WER026_8.15.12_1",0.0203476851632484
"103WER029_7.16.14_1",0.0421011663934497
"103WER030_8.10.11_1",0.0147168616526347
"105BVCAGC_9.21.10_1",0.0106959818250637
"105CE0329_7.23.14_1",0.00498920865193402
"105CLCATC_8.10.10_1",0.0149336901506313
"105DLCDCC_10.20.09_1",0.059113055751618
"105FCA116_7.16.13_1",0.0166988290922148
"105FS0416_9.24.13_1",0.0413182493739794
"105FS0425_8.10.11_1",0.0176471305140488
"105FS0428_8.3.11_1",0.0465607982455311
"105NWC151_6.26.13_1",0.0451571975111736
"105PS0043_9.17.08_1",0.0673050278531605
"105PS0083_9.8.09_1",0.0104974222889029
"105PS0090_8.7.12_1",0.00486110407677062
"105PS0097_7.22.14_1",0.0315013750223159
"105PS0154_8.9.11_1",0.0322461108183581
"105PS0195_8.7.12_1",0.0103377918897018
"105PS0259_9.17.13_1",0.0393711340918036
"105PS0267_7.21.14_1",0.0378930932968244
"105PS0468_9.1.09_1",0.0603313840706053
"105PS0540_9.15.10_1",0.0722791866733021
"105PS1492_8.6.14_1",0.0377711710676632
"105WE0598_7.24.14_1",0.0232274045200065
"105WLC135_6.26.13_1",0.0618464432402152
"105WLCABC_8.3.11_1",0.0964381381766371
"106FS0040_8.30.11_1",0.0627207849850786
"106PS0115_9.21.10_1",0.0480309142777158
"106PS0124_8.16.10_1",0.038600247052639
"106PS0166_8.2.11_1",0.0536024365452424
"106WE0505_7.21.14_1",0.024364732016683
"106WER011_9.11.13_1",0.0205912974182999
"107PS0021_7.14.14_1",0.0421011663934497
"107WER092_8.27.12_1",0.117722077470737
"111BBRBCC_9.23.09_1",0.0674205142511232
"111CBCAER_8.8.13_1",0.0389288116533008
"111ERATRC_10.10.12_1",0.0325778277921102
"111FS0001_7.5.11_1",0.0262535024910743
"111FS0008_7.19.12_1",0.0554174387029843
"111HSCAER_7.26.11_1",0.0823602592479014
"111PS0060_10.7.08_1",0.0906842275387801
"111PS0110_6.9.14_1",0.0449812317510475
"111PS0144_8.18.10_1",0.0766400906955197
"111PS0160_7.25.11_1",0.12399834794484
"111PS0204_8.17.10_1",0.108344792846173
"111RSCAER_8.8.11_1",0.0173768454601827
"111TGCAER_7.24.12_1",0.0330939065939321
"111WE0816_6.12.13_1",0.0214376176861075
"111WE1050_6.12.13_1",0.013237726687796
"111WE1071_7.26.12_1",0.0141187796010419
