"","Predicted"
"103KLCMSR_9.14.10_1",0.0145789521752653
"105PS0193_8.29.12_1",0.0161678717385235
"105PS0660_8.3.10_1",0.0451571975111736
"105TMCACC_8.10.10_1",0.0479071837868205
"106MNCAHC_10.1.08_1",0.0688176925730876
"106WE1079_8.8.12_1",0.0584246262137922
"106WER016_10.20.09_1",0.0842383468449139
"107LLM101_9.13.10_1",0.0421011663934497
"111BGCAER_6.11.14_1",0.0624224244750239
"111FS0007_7.11.11_1",0.0883486657842015
"111PAL105_7.13.11_1",0.101838769571734
"202SPE090_6.15.09_1",0.113980028583815
"205AAG075_6.12.13_1",0.0963866881229886
"205COY850_5.21.12_1",0.0562632191448944
"205SFC880_6.19.12_1",0.101440013998682
"206BRC020_6.27.12_1",0.101687753579282
"207SUI290_6.4.12_1",0.156443081870122
"307CMRADC_5.20.14_1",0.0652995186095193
"308LSRASC_7.18.11_1",0.124416531519156
"308MWCAH1_6.23.10_1",0.108949164130058
"308PS0156_6.19.12_1",0.0812218875137222
"308ROCBBQ_6.21.12_1",0.0714979418309501
"309ARCBRC_8.25.08_1",0.0820940170861064
"309PS0116_6.16.11_1",0.118609703704358
"312PS0099_6.14.10_1",0.0956604450972255
"315CHCALS_6.15.10_1",0.121498264710304
"402BA0095_5.29.08_1",0.0993033779269268
"402M00009_6.29.15_1",0.0814078697168774
"403S00960_6.2.10_1",0.0998048186714362
"403S01536_7.12.11_1",0.0929240431159706
"403WE0540_5.14.14_1",0.109036491017164
"403WE0683_5.15.13_1",0.135789513601631
"505PS0110_9.16.10_1",0.0506887713017226
"513CCNASC_7.16.14_1",0.0678449051488485
"513STCAIV_6.12.14_1",0.0650128770362478
"513UNCAKC_9.23.09_1",0.0650128770362478
"514SSC190_9.11.14_1",0.0169594234436964
"517FCA046_8.14.13_1",0.0547106619115975
"518BTCASC_6.12.13_1",0.0349626898155324
"518FCA075_8.12.13_1",0.0566449255402664
"518SPC134_6.18.13_1",0.0527612471228148
"522GSCBSC_9.24.09_1",0.0786214882722864
"522PS0504_6.11.13_1",0.06085416074936
"526PNCAMF_6.25.13_1",0.0260839557771676
"526PS1420_6.25.13_1",0.0620572388255864
"534MLC108_9.14.11_1",0.031210139112451
"536HLCBFM_6.18.13_1",0.0142619412913765
"537TYCAML_7.16.08_1",0.0158333184761145
"540SED003_8.30.11_1",0.0166887083413908
"552DKC268_6.23.14_1",0.0213252110162247
"552MFCAKR_6.11.08_1",0.0886907820660103
"553KRNAYC_6.17.14_1",0.119650495822447
"554CLCALK_8.23.11_1",0.0260265276235708
"603DDM005_9.13.11_1",0.0159848836289092
"603FCA145_8.21.13_1",0.0189604798955166
"603PS0008_7.30.08_1",0.0158818033245994
"603PS0075_8.15.12_1",0.0752692845115775
"603PS0109_7.29.08_1",0.0468024603569498
"603PS0557_8.18.10_1",0.0450451750847101
"603SPCBWC_7.22.08_1",0.035064239698365
"631DEP001_8.28.12_1",0.0863959647841803
"631PS0033_8.30.10_1",0.0438655264352611
"632ELD001_9.8.11_1",0.0405168547271881
"634CAT055_10.4.11_1",0.0104536782271307
"634GRF001_10.3.11_1",0.0202529477767236
"634HHCATC_10.4.11_1",0.0188864388061593
"634PS0035_9.1.10_1",0.00415387073915588
"634PS0062_10.12.11_1",0.0299852930168336
"634WSN001_10.4.11_1",0.0412868349504251
"636SAG001_7.12.10_1",0.063318602592306
"639PS1279_6.11.13_1",0.0357988144144547
"641OWC157_7.24.13_1",0.00486110407677062
"722NP7IDC_4.16.14_1",0.144119593052744
"801DRC025_6.25.14_1",0.0541389248668145
"801S03488_5.7.14_1",0.0879411321789484
"801WE0674_5.14.13_1",0.0574701449448338
"801WE1008_5.14.13_1",0.0409885901609673
"801WE1132_8.19.09_1",0.055740909873658
"901ATCAAS_6.5.08_1",0.0895169119864228
"901CSCADC_5.26.11_1",0.0761980828732181
"901S06969_5.31.12_1",0.1158343257154
"903WE0798_4.8.15_1",0.111094738844808
"905BCC_6.11.14_1",0.128581176404164
"905S02561_5.25.11_1",0.125272299421773
"909JQCASR_6.1.11_1",0.0465781971997541
"911S03354_5.5.09_1",0.097231756599838
"911TJIND2_5.8.08_1",0.0751162879386797
"911TJLCC2_4.7.15_1",0.114155586305101
"SCFC1_6.12.08_1",0.0777029936540348
"SCSS1_6.17.08_1",0.150608936278908
"SMAD1_11.5.08_1",0.194212496791922
"SMC00135_6.7.10_1",0.0617763815711606
"SMC01979_7.14.11_1",0.116612398201411
"SMC02139_7.17.12_1",0.0988098591928846
"SMC04204_7.11.12_1",0.110123513518978
"SMC04383_5.19.14_1",0.0764832809126508
"SMC06467_6.28.10_1",0.100149178844888
"SMC19809_6.25.13_1",0.0820138465156707
