"","Predicted"
"105PS0188_8.26.08_1",0.0356978221522688
"105PS0188_8.26.08_2",0.0356978221522688
"106FC1183_7.24.14_1",0.0581439198573242
"106FC1313_7.23.14_1",0.0782513326481552
"106PS0078_8.26.09_1",0.117376419619729
"106PS0173_8.4.11_1",0.0610428482083756
"106PS0186_9.26.12_1",0.0461455809391078
"109PS0162_7.20.11_1",0.100367034839602
"110ECSLSF_7.26.11_1",0.0921392694338426
"110FCA102_7.25.13_1",0.105787443614458
"111CR1012_8.18.14_1",0.0476945751077079
"111PS0057_8.18.08_1",0.0937486723188317
"113GAR010_6.8.09_1",0.0768359006480067
"113GAR010_8.27.12_1",0.0768359006480067
"113GAR038_6.8.09_1",0.0723926238992512
"113GAR038_9.10.12_1",0.0723926238992512
"113GAR046_6.18.12_1",0.130298164100596
"113GAR046_6.8.09_1",0.130298164100596
"113GAR046_9.2.14_1",0.130298164100596
"113GAR061_6.19.12_1",0.1234994191393
"113GAR061_7.1.09_1",0.1234994191393
"113GAR061_9.3.14_1",0.1234994191393
"113GAR061_9.3.14_2",0.1234994191393
"113GAR084_6.28.10_1",0.1061129909697
"113GAR094_7.27.10_1",0.115310617309631
"113GAR094_7.27.10_2",0.115310617309631
"113GAR110_6.18.12_1",0.119670449548255
"113GAR110_6.30.09_1",0.119670449548255
"113GAR110_9.2.14_1",0.119670449548255
"113PS0084_8.18.09_1",0.0595810278724424
"113PS0100_8.25.09_1",0.0979228829103741
"113PS0132_9.15.10_1",0.0601290277470893
"113PS0196_8.1.12_1",0.0988206306695287
"114CR0903_8.26.13_1",0.119772979844704
"114CR0903_9.25.13_1",0.119772979844704
"114PS0149_7.10.12_1",0.0931741998109995
"114PS0152_7.7.11_1",0.0829699181202993
"114PS0152_8.18.11_1",0.0829699181202993
"114RR1041_10.10.11_1",0.118073992953824
"114RR1041_10.25.11_1",0.118073992953824
"114RR1041_10.25.11_2",0.118073992953824
"114RR1041_8.2.11_1",0.118073992953824
"114RR1041_9.7.11_1",0.118073992953824
"114RR1310_6.2.11_1",0.120162977376864
"114RR1599_10.10.11_1",0.119110105608992
"114RR1599_10.25.11_1",0.119110105608992
"114RR1599_6.2.11_1",0.119110105608992
"114RR1599_6.27.11_1",0.119110105608992
"114RR1599_8.2.11_1",0.119110105608992
"114RR1599_8.2.11_2",0.119110105608992
"114RR1599_9.7.11_1",0.119110105608992
"114RR2678_10.11.11_1",0.12073128516431
"114RR2678_10.24.11_1",0.12073128516431
"114RR2678_6.29.11_1",0.12073128516431
"114RR2678_8.1.11_1",0.12073128516431
"114RR2678_9.13.11_1",0.12073128516431
"114RR2769_6.1.11_1",0.12073128516431
"114RR2899_10.11.11_1",0.12079724303562
"114RR2899_10.24.11_1",0.12079724303562
"114RR2899_6.1.11_1",0.12079724303562
"114RR2899_6.29.11_1",0.12079724303562
"114RR2899_8.1.11_1",0.12079724303562
"114RR2899_9.13.11_1",0.12079724303562
"202BUT850_6.4.13_1",0.0667807478328911
"202PS0134_5.31.11_1",0.11291481683063
"202R00087_5.30.12_1",0.0899582316292126
"202R00284_6.15.12_1",0.121162082877237
"202R00908_5.21.13_1",0.114859217400487
"203PS0070_7.19.10_1",0.123308634589231
"203PS0070_9.7.10_1",0.123308634589231
"203R00039_5.14.12_1",0.122868072867589
"204ALP040_4.10.11_1",0.119096604815932
"204ALP040_6.29.11_1",0.119096604815932
"204ALP105_4.10.11_1",0.126767049532594
"204ALP151_4.10.11_1",0.0904659523005116
"204ALP151_6.29.11_1",0.0904659523005116
"204PS0038_6.19.08_1",0.13128978686848
"204PS0094_7.14.10_1",0.112332113552838
"204PS0102_6.15.11_1",0.0694650010198125
"204PS0102_6.15.11_2",0.0694650010198125
"204PS0102_8.10.11_1",0.0694650010198125
"204PS0118_6.15.11_1",0.138379565752724
"204R00047_6.6.12_1",0.164905215869297
"204R00063_6.4.13_1",0.124375066752428
"204R00068_5.31.12_1",0.0639022969321494
"204R00084_5.24.12_1",0.108204435164573
"204R00100_5.30.12_1",0.0889144309119417
"204R00180_5.30.12_1",0.129556773253297
"204R00191_5.29.12_1",0.0944246937731528
"204R00200_5.31.12_1",0.137144131254659
"204R00232_6.12.12_1",0.0713971479049447
"204R00232_6.12.12_2",0.0713971479049447
"204R00244_6.12.12_1",0.109183230520292
"204R00303_6.14.12_1",0.147961864196544
"204R00319_6.7.12_1",0.122682322522621
"204R00319_6.7.12_2",0.122682322522621
"204R00327_5.7.13_1",0.135184133477975
"204R00334_5.8.13_1",0.111415205021185
"204R00340_6.11.12_1",0.102158341814576
"204R00356_5.30.12_1",0.0928068371167719
"204R00356_6.4.12_1",0.0928068371167719
"204R00367_6.12.12_1",0.0799203019719741
