"","Predicted"
"102PS0177_8.28.12_1",0.419970118908545
"103CDCHHR_9.14.10_1",0.332634186389725
"103STCNSR_8.9.11_1",0.256630742711725
"103WER026_8.15.12_1",0.301242475104562
"103WER029_7.16.14_1",0.0773542927687964
"103WER030_8.10.11_1",0.180689081407013
"105BVCAGC_9.21.10_1",0.4757760268243
"105CE0329_7.23.14_1",0.168905672045934
"105CLCATC_8.10.10_1",0.495496413078031
"105DLCDCC_10.20.09_1",0.44792355294978
"105FCA116_7.16.13_1",0.361838703369887
"105FS0416_9.24.13_1",0.220831983801847
"105FS0425_8.10.11_1",0.35201053521895
"105FS0428_8.3.11_1",0.566228808003487
"105NWC151_6.26.13_1",0.355255087063652
"105PS0043_9.17.08_1",0.4601919516945
"105PS0083_9.8.09_1",0.465515690255865
"105PS0090_8.7.12_1",0.238451680525631
"105PS0097_7.22.14_1",0.188028003518551
"105PS0154_8.9.11_1",0.448743086298548
"105PS0195_8.7.12_1",0.388117964955381
"105PS0259_9.17.13_1",0.430092581510238
"105PS0267_7.21.14_1",0.423113101680607
"105PS0468_9.1.09_1",0.440309808808003
"105PS0540_9.15.10_1",0.433143882536039
"105PS1492_8.6.14_1",0.230382741972602
"105WE0598_7.24.14_1",0.224025040293554
"105WLC135_6.26.13_1",0.452843029516081
"105WLCABC_8.3.11_1",0.481595043211061
"106FS0040_8.30.11_1",0.340410990192752
"106PS0115_9.21.10_1",0.482060817591852
"106PS0124_8.16.10_1",0.530530556460533
"106PS0166_8.2.11_1",0.43060585152569
"106WE0505_7.21.14_1",0.157849538330189
"106WER011_9.11.13_1",0.429702914655107
"107PS0021_7.14.14_1",0.0894231506414308
"107WER092_8.27.12_1",0.512192547995484
"111BBRBCC_9.23.09_1",0.468937381672276
"111CBCAER_8.8.13_1",0.525595241080283
"111ERATRC_10.10.12_1",0.331574574192827
"111FS0001_7.5.11_1",0.186163907878455
"111FS0008_7.19.12_1",0.437286399102993
"111HSCAER_7.26.11_1",0.303730899297458
"111PS0060_10.7.08_1",0.367820663650387
"111PS0110_6.9.14_1",0.202750177137669
"111PS0144_8.18.10_1",0.44924399884075
"111PS0160_7.25.11_1",0.50295597985431
"111PS0204_8.17.10_1",0.409425301719937
"111RSCAER_8.8.11_1",0.331097886057559
"111TGCAER_7.24.12_1",0.511682528786195
"111WE0816_6.12.13_1",0.349654685733979
"111WE1050_6.12.13_1",0.34791370443228
"111WE1071_7.26.12_1",0.337014820273291
"111WER003_6.10.14_1",0.235417327140589
"111WER008_7.23.12_1",0.303730899297458
"111WER159_10.19.09_1",0.514784078206832
"113RG8046_8.19.10_1",0.410492341364694
