"","Predicted"
"103KLCMSR_9.14.10_1",0.239860842179479
"105PS0193_8.29.12_1",0.420930955874482
"105PS0660_8.3.10_1",0.354564254142819
"105TMCACC_8.10.10_1",0.384078857530534
"106MNCAHC_10.1.08_1",0.380880683964051
"106WE1079_8.8.12_1",0.476870488473242
"106WER016_10.20.09_1",0.382843098504661
"107LLM101_9.13.10_1",0.0894231506414308
"111BGCAER_6.11.14_1",0.339877351939113
"111FS0007_7.11.11_1",0.397498757079424
"111PAL105_7.13.11_1",0.347614426575383
"202SPE090_6.15.09_1",0.337556265450074
"205AAG075_6.12.13_1",0.466815889268581
"205COY850_5.21.12_1",0.252864659853797
"205SFC880_6.19.12_1",0.596858368808114
"206BRC020_6.27.12_1",0.500075442515425
"207SUI290_6.4.12_1",0.554209523023124
"307CMRADC_5.20.14_1",0.345953851692526
"308LSRASC_7.18.11_1",0.328058439085489
"308MWCAH1_6.23.10_1",0.348058849516346
"308PS0156_6.19.12_1",0.459203425829323
"308ROCBBQ_6.21.12_1",0.369781806658265
"309ARCBRC_8.25.08_1",0.533997163901917
"309PS0116_6.16.11_1",0.520333682374335
"312PS0099_6.14.10_1",0.391572437786873
"315CHCALS_6.15.10_1",0.503682571691637
"402BA0095_5.29.08_1",0.471188381933792
"402M00009_6.29.15_1",0.446017901621572
"403S00960_6.2.10_1",0.367004098821917
"403S01536_7.12.11_1",0.566986632870785
"403WE0540_5.14.14_1",0.429429535817291
"403WE0683_5.15.13_1",0.517603247170055
"505PS0110_9.16.10_1",0.5098775035002
"513CCNASC_7.16.14_1",0.413071436272663
"513STCAIV_6.12.14_1",0.551355711902386
"513UNCAKC_9.23.09_1",0.551355711902386
"514SSC190_9.11.14_1",0.235639861126736
"517FCA046_8.14.13_1",0.450738095235601
"518BTCASC_6.12.13_1",0.472571713380543
"518FCA075_8.12.13_1",0.423525233649051
"518SPC134_6.18.13_1",0.0635993926546717
"522GSCBSC_9.24.09_1",0.498220598135446
"522PS0504_6.11.13_1",0.508873570476711
"526PNCAMF_6.25.13_1",0.257334205301123
"526PS1420_6.25.13_1",0.4473400123646
"534MLC108_9.14.11_1",0.256734491705353
"536HLCBFM_6.18.13_1",0.314214421480739
"537TYCAML_7.16.08_1",0.0724860110928143
"540SED003_8.30.11_1",0.120030976713156
"552DKC268_6.23.14_1",0.0509192286784239
"552MFCAKR_6.11.08_1",0.511079915149464
"553KRNAYC_6.17.14_1",0.462931754410121
"554CLCALK_8.23.11_1",0.244656656236043
"603DDM005_9.13.11_1",0.397225641402679
"603FCA145_8.21.13_1",0.170067464922176
"603PS0008_7.30.08_1",0.0487573752796276
"603PS0075_8.15.12_1",0.479659847807966
"603PS0109_7.29.08_1",0.304710763365362
"603PS0557_8.18.10_1",0.302754427257856
"603SPCBWC_7.22.08_1",0.411588021746478
"631DEP001_8.28.12_1",0.480842290692685
"631PS0033_8.30.10_1",0.433143882536039
"632ELD001_9.8.11_1",0.246010989600391
"634CAT055_10.4.11_1",0.181547616211831
"634GRF001_10.3.11_1",0.404098385568023
"634HHCATC_10.4.11_1",0.184897892641032
"634PS0035_9.1.10_1",0.291598202774303
"634PS0062_10.12.11_1",0.166748223704108
"634WSN001_10.4.11_1",0.473647760601903
"636SAG001_7.12.10_1",0.471632779510475
"639PS1279_6.11.13_1",0.385938176741438
"641OWC157_7.24.13_1",0.157428011501914
"722NP7IDC_4.16.14_1",0.158685391754192
"801DRC025_6.25.14_1",0.367608002062843
"801S03488_5.7.14_1",0.366109852147707
"801WE0674_5.14.13_1",0.361164121933228
"801WE1008_5.14.13_1",0.408560556427248
"801WE1132_8.19.09_1",0.338602515121655
"901ATCAAS_6.5.08_1",0.358721144884303
"901CSCADC_5.26.11_1",0.464322440863608
"901S06969_5.31.12_1",0.305499394758042
"903WE0798_4.8.15_1",0.4587636666033
"905BCC_6.11.14_1",0.390208988189607
"905S02561_5.25.11_1",0.341602534782196
"909JQCASR_6.1.11_1",0.304191859844709
"911S03354_5.5.09_1",0.474492949186032
"911TJIND2_5.8.08_1",0.400108114765631
"911TJLCC2_4.7.15_1",0.319891642346666
"SCFC1_6.12.08_1",0.365576114062871
"SCSS1_6.17.08_1",0.43536646410709
"SMAD1_11.5.08_1",0.515167398187179
"SMC00135_6.7.10_1",0.414808080619886
"SMC01979_7.14.11_1",0.4891487558899
"SMC02139_7.17.12_1",0.497296941584583
"SMC04204_7.11.12_1",0.451198776575077
"SMC04383_5.19.14_1",0.499542687660538
"SMC06467_6.28.10_1",0.469221874251443
"SMC19809_6.25.13_1",0.500428929747243
