"","Predicted"
"105PS0188_8.26.08_1",0.36828068612207
"105PS0188_8.26.08_2",0.36828068612207
"106FC1183_7.24.14_1",0.559465619301851
"106FC1313_7.23.14_1",0.474867652830168
"106PS0078_8.26.09_1",0.470798249761238
"106PS0173_8.4.11_1",0.493456573345738
"106PS0186_9.26.12_1",0.411563748258926
"109PS0162_7.20.11_1",0.35999578693224
"110ECSLSF_7.26.11_1",0.350342455273322
"110FCA102_7.25.13_1",0.336953938678485
"111CR1012_8.18.14_1",0.377026667648237
"111PS0057_8.18.08_1",0.356510757474105
"113GAR010_6.8.09_1",0.3291540572268
"113GAR010_8.27.12_1",0.3291540572268
"113GAR038_6.8.09_1",0.423820424328704
"113GAR038_9.10.12_1",0.423820424328704
"113GAR046_6.18.12_1",0.525338967685591
"113GAR046_6.8.09_1",0.525338967685591
"113GAR046_9.2.14_1",0.525338967685591
"113GAR061_6.19.12_1",0.530963561213683
"113GAR061_7.1.09_1",0.530963561213683
"113GAR061_9.3.14_1",0.530963561213683
"113GAR061_9.3.14_2",0.530963561213683
"113GAR084_6.28.10_1",0.441431800512987
"113GAR094_7.27.10_1",0.497998339176131
"113GAR094_7.27.10_2",0.497998339176131
"113GAR110_6.18.12_1",0.441792351895602
"113GAR110_6.30.09_1",0.441792351895602
"113GAR110_9.2.14_1",0.441792351895602
"113PS0084_8.18.09_1",0.316363984244872
"113PS0100_8.25.09_1",0.538666165212072
"113PS0132_9.15.10_1",0.295514627103205
"113PS0196_8.1.12_1",0.377854880959411
"114CR0903_8.26.13_1",0.548827505361982
"114CR0903_9.25.13_1",0.548827505361982
"114PS0149_7.10.12_1",0.366083829653351
"114PS0152_7.7.11_1",0.492205256110194
"114PS0152_8.18.11_1",0.492205256110194
"114RR1041_10.10.11_1",0.561340373488012
"114RR1041_10.25.11_1",0.561340373488012
"114RR1041_10.25.11_2",0.561340373488012
"114RR1041_8.2.11_1",0.561340373488012
"114RR1041_9.7.11_1",0.561340373488012
"114RR1310_6.2.11_1",0.562183651109854
"114RR1599_10.10.11_1",0.558484496739395
"114RR1599_10.25.11_1",0.558484496739395
"114RR1599_6.2.11_1",0.558484496739395
"114RR1599_6.27.11_1",0.558484496739395
"114RR1599_8.2.11_1",0.558484496739395
"114RR1599_8.2.11_2",0.558484496739395
"114RR1599_9.7.11_1",0.558484496739395
"114RR2678_10.11.11_1",0.580340882048758
"114RR2678_10.24.11_1",0.580340882048758
"114RR2678_6.29.11_1",0.580340882048758
"114RR2678_8.1.11_1",0.580340882048758
"114RR2678_9.13.11_1",0.580340882048758
"114RR2769_6.1.11_1",0.586064966168815
"114RR2899_10.11.11_1",0.564453522384068
"114RR2899_10.24.11_1",0.564453522384068
"114RR2899_6.1.11_1",0.564453522384068
"114RR2899_6.29.11_1",0.564453522384068
"114RR2899_8.1.11_1",0.564453522384068
"114RR2899_9.13.11_1",0.564453522384068
"202BUT850_6.4.13_1",0.283366795138769
"202PS0134_5.31.11_1",0.444641159597411
"202R00087_5.30.12_1",0.322655894923577
"202R00284_6.15.12_1",0.393896743245818
"202R00908_5.21.13_1",0.274715283736402
"203PS0070_7.19.10_1",0.432504852899477
"203PS0070_9.7.10_1",0.432504852899477
"203R00039_5.14.12_1",0.466766714202902
"204ALP040_4.10.11_1",0.408537166163098
"204ALP040_6.29.11_1",0.408537166163098
"204ALP105_4.10.11_1",0.614604730978051
"204ALP151_4.10.11_1",0.461564195900366
"204ALP151_6.29.11_1",0.461564195900366
"204PS0038_6.19.08_1",0.529199666760748
"204PS0094_7.14.10_1",0.394119172476656
"204PS0102_6.15.11_1",0.484679799143627
"204PS0102_6.15.11_2",0.484679799143627
"204PS0102_8.10.11_1",0.484679799143627
"204PS0118_6.15.11_1",0.483343643809174
"204R00047_6.6.12_1",0.471098200645046
"204R00063_6.4.13_1",0.505193799059149
"204R00068_5.31.12_1",0.359695500240007
"204R00084_5.24.12_1",0.58136971536429
"204R00100_5.30.12_1",0.499508142562355
"204R00180_5.30.12_1",0.460492760948324
"204R00191_5.29.12_1",0.571625943715588
"204R00200_5.31.12_1",0.406966042629271
"204R00232_6.12.12_1",0.47313959532717
"204R00232_6.12.12_2",0.47313959532717
"204R00244_6.12.12_1",0.59258627570903
"204R00303_6.14.12_1",0.558148811731585
"204R00319_6.7.12_1",0.502099619220033
"204R00319_6.7.12_2",0.502099619220033
"204R00327_5.7.13_1",0.388087447114417
"204R00334_5.8.13_1",0.629696436825716
"204R00340_6.11.12_1",0.513888052192067
"204R00356_5.30.12_1",0.30638270268115
"204R00356_6.4.12_1",0.30638270268115
"204R00367_6.12.12_1",0.177096111938707
"204R00383_6.11.12_1",0.388087447114417
"204R00391_6.6.12_1",0.573699112140642
"204R00436_5.20.13_1",0.361079795780909
"204R00447_4.2.13_1",0.329474675700204
"204R00447_4.22.13_1",0.329474675700204
"204R00455_6.13.12_1",0.513450133738468
"204R00473_5.9.13_1",0.575897300919869
"204R00473_5.9.13_2",0.575897300919869
"204R00520_5.28.13_1",0.490110366680999
"204R00583_6.13.12_1",0.340589963737419
"204R00596_5.31.12_1",0.370612733431437
"204R00623_6.3.13_1",0.410576618111516
"204R00639_6.19.12_1",0.380802271430061
"204R00680_5.28.13_1",0.559198961242862
"204R00724_5.21.13_1",0.584011950954758
"204R00807_5.21.13_1",0.261841328270204
"204R00852_5.6.13_1",0.452160213803138
"204R00884_5.20.13_1",0.370809175769627
"204R00967_4.25.13_1",0.383467823323141
"204R01316_5.22.13_1",0.387057730396725
"204R01471_5.22.13_1",0.386424008086738
"205PS0045_6.17.09_1",0.612407733106592
"205PS0045_6.17.09_2",0.612407733106592
"205PS0074_7.14.10_1",0.655758014691261
"205PS0106_6.21.11_1",0.489950774444907
"205PS0109_6.21.11_1",0.366497168732594
"205PS0138_6.1.11_1",0.631533783387314
"205PS0157_6.19.12_1",0.558291067655622
"205PS0170_6.19.12_1",0.465582726900067
