"","Predicted"
"102PS0139_8.9.10_1",0.107127991839627
"103FCA168_7.24.13_1",0.0556755791245567
"103PS0217_9.10.13_1",0.0556755791245567
"103RDCBCC_7.21.11_1",0.0489948143838315
"105PS0028_8.12.08_1",0.116214298472621
"105PS0028_8.26.08_1",0.116214298472621
"105PS0067_8.24.09_1",0.0804225900454315
"105PS0067_8.24.09_2",0.0804225900454315
"105PS0067_9.15.09_1",0.0804225900454315
"105PS0069_8.18.09_1",0.0435736397344899
"105PS0092_8.11.08_1",0.0471304220072578
"105PS0107_9.14.09_1",0.0807652670802431
"105PS0129_8.11.10_1",0.0977525765426327
"105PS0129_8.11.10_2",0.0977525765426327
"105PS0149_8.29.12_1",0.0956751999409773
"105PS0211_8.20.13_1",0.101702233272869
"105PS0211_9.16.13_1",0.101702233272869
"105PS0231_8.29.13_1",0.0923524162235433
"105PS0276_9.1.09_1",0.0806920490033144
"105PS0276_9.22.09_1",0.0806920490033144
"105PS0540_8.5.10_1",0.0405178465839906
"105PS1148_9.18.12_1",0.0954269689372858
"105PS1404_8.28.13_1",0.105599038903186
"105PS1404_8.28.13_2",0.105599038903186
"106FCA036_7.15.13_1",0.0767191272235681
"106HLCACC_9.23.13_1",0.0795085023075048
"106PS0022_9.30.08_1",0.101665246443219
"106PS0051_9.16.08_1",0.131201979547897
"106PS0051_9.16.08_2",0.131201979547897
"106PS0106_9.8.09_1",0.0714079834496584
"106PS0106_9.8.09_2",0.0714079834496584
"106PS0122_9.20.10_1",0.0966089718652515
"106PS0142_7.19.10_1",0.153576313560782
"106PS0206_10.3.12_1",0.0908671215863647
"106PTCAHC_9.2.08_1",0.157871467479065
"107GWCAPC_9.15.10_1",0.146816972618233
"107RWCBHW_8.3.11_1",0.0777175431133973
"107RWCBHW_8.3.11_2",0.0777175431133973
"108PS0197_8.16.12_1",0.0569489349854461
"110PS0114_7.21.10_1",0.126706239600605
"110SMCATH_7.27.11_1",0.139456381422096
"111CE0569_10.11.10_1",0.110188855479217
"111FCA207_7.23.13_1",0.145515703076934
"111PS0008_9.29.08_1",0.0987793057039657
"111PS0008_9.9.08_1",0.0987793057039657
"111PS0008_9.9.08_2",0.0987793057039657
"111PS0013_8.19.08_1",0.162563451557773
"111PS0095_8.27.09_1",0.095754889327177
"111PS0095_8.27.09_2",0.095754889327177
"111PS0121_7.20.10_1",0.138227207354234
"111PS0159_7.14.11_1",0.071842928335466
"111PS0169_7.25.11_1",0.093993416666723
"111PS0169_7.25.11_2",0.093993416666723
"111PS0178_8.14.12_1",0.0971698746292253
"111PS0237_9.12.13_1",0.0662559925317872
"112PS0157_7.12.11_1",0.049698486629938
"113GAR011_8.22.11_1",0.126081482902075
"113GAR011_9.1.10_1",0.126081482902075
"113GAR015_8.23.11_1",0.128032503111305
"113GAR015_8.31.10_1",0.128032503111305
"113GAR015_9.9.13_1",0.128032503111305
"113GAR023_7.22.14_1",0.11358053475229
"113GAR023_8.5.13_1",0.11358053475229
"113GAR030_8.26.09_1",0.132842535864351
"113GAR030_8.26.09_2",0.132842535864351
"113GAR030_8.28.12_1",0.132842535864351
"113GAR042_9.10.13_1",0.133004759366717
"113GAR062_6.30.09_1",0.133350536093813
"113GAR062_8.27.12_1",0.133350536093813
"113GAR087_6.29.10_1",0.137926814844629
"113GAR087_8.6.13_1",0.137926814844629
"113GAR087_9.11.12_1",0.137926814844629
"113GAR087_9.11.12_2",0.137926814844629
"113GAR089_6.14.10_1",0.131557092998709
"113GAR089_6.20.11_1",0.131557092998709
"113GAR089_8.5.09_1",0.131557092998709
"113GAR105_6.14.10_1",0.145497517586634
"113GAR105_6.20.11_1",0.145497517586634
"113GAR105_8.4.09_1",0.145497517586634
"113GAR112_6.15.10_1",0.131130573850311
"113GAR112_7.22.14_1",0.131130573850311
"113GAR112_8.22.11_1",0.131130573850311
"113GAR112_8.4.09_1",0.131130573850311
"113GAR112_8.4.09_2",0.131130573850311
"113GAR112_8.7.13_1",0.131130573850311
"113GAR118_7.26.10_1",0.123017082179686
"113GAR118_9.10.12_1",0.123017082179686
"113GAR178_6.21.11_1",0.163075640324827
"113GAR178_7.23.14_1",0.163075640324827
"113GAR178_8.31.10_1",0.163075640324827
"113GAR178_9.9.13_1",0.163075640324827
"113GAR178_9.9.13_2",0.163075640324827
"113GAR244_6.28.10_1",0.131776878616511
"113PS0012_9.9.08_1",0.0392609370680067
"113PS0012_9.9.08_2",0.0392609370680067
"113PS0076_8.2.12_1",0.143811995318778
"113PS0076_8.22.12_1",0.143811995318778
"113PS0120_9.14.10_1",0.0592689935456972
"113PS0168_7.6.11_1",0.146749748672969
"113PS0216_9.3.13_1",0.156939813845072
"113PS0232_9.4.13_1",0.160948295623932
"113PS0232_9.4.13_2",0.160948295623932
"113PS0268_6.11.14_1",0.134443382612633
"114AU7778_6.21.10_1",0.158905515433216
"114FCA199_8.1.13_1",0.177166029200841
"114GV3469_7.5.11_1",0.184289868250522
"114GV5331_7.6.11_1",0.139138244857637
"114MA2364_7.6.10_1",0.162906878252683
"114MRCURX_6.24.08_1",0.12983100917464
"114PS0088_8.19.09_1",0.128570317420296
"114PS0209_6.10.13_1",0.132959456437045
"114PS0229_6.4.13_1",0.161627170126467
"114WER118_8.20.08_1",0.136603434457465
"115SALG01_6.30.10_1",0.165516256770443
"115SC6093_7.7.11_1",0.155477319327241
