"","Predicted"
"102PS0177_8.28.12_1",0.0826779605161858
"103CDCHHR_9.14.10_1",0.0558077518647778
"103STCNSR_8.9.11_1",0.0256173125780626
"103WER026_8.15.12_1",0.0570233809994413
"103WER029_7.16.14_1",0.0558077518647778
"103WER030_8.10.11_1",0.0260100611897684
"105BVCAGC_9.21.10_1",0.0203818820092577
"105CE0329_7.23.14_1",0.0219996899386994
"105CLCATC_8.10.10_1",0.0320748088766058
"105DLCDCC_10.20.09_1",0.111729992930944
"105FCA116_7.16.13_1",0.0915625487760398
"105FS0416_9.24.13_1",0.108086575013284
"105FS0425_8.10.11_1",0.0292997299788431
"105FS0428_8.3.11_1",0.064688637168178
"105NWC151_6.26.13_1",0.121691855761734
"105PS0043_9.17.08_1",0.105023342588582
"105PS0083_9.8.09_1",0.05239904553287
"105PS0090_8.7.12_1",0.0248538149057276
"105PS0097_7.22.14_1",0.0646830305012418
"105PS0154_8.9.11_1",0.0823385336039584
"105PS0195_8.7.12_1",0.0257800481206437
"105PS0259_9.17.13_1",0.107627116695625
"105PS0267_7.21.14_1",0.0954083754721929
"105PS0468_9.1.09_1",0.127631351999397
"105PS0540_9.15.10_1",0.0405178465839906
"105PS1492_8.6.14_1",0.0741259732965566
"105WE0598_7.24.14_1",0.0408219338248624
"105WLC135_6.26.13_1",0.143082314893953
"105WLCABC_8.3.11_1",0.101465631038294
"106FS0040_8.30.11_1",0.0444155197786048
"106PS0115_9.21.10_1",0.0750697136780476
"106PS0124_8.16.10_1",0.0875787193846033
"106PS0166_8.2.11_1",0.129131096564542
"106WE0505_7.21.14_1",0.0339171236965279
"106WER011_9.11.13_1",0.0596190348181432
"107PS0021_7.14.14_1",0.0558077518647778
"107WER092_8.27.12_1",0.146816972618233
"111BBRBCC_9.23.09_1",0.0673181059901436
"111CBCAER_8.8.13_1",0.0752606670016521
"111ERATRC_10.10.12_1",0.0367409727131464
"111FS0001_7.5.11_1",0.0581339013064433
"111FS0008_7.19.12_1",0.0978105642107408
"111HSCAER_7.26.11_1",0.112121691398206
"111PS0060_10.7.08_1",0.101438367969904
"111PS0110_6.9.14_1",0.0448216077027977
"111PS0144_8.18.10_1",0.092134582855998
"111PS0160_7.25.11_1",0.173366529746828
"111PS0204_8.17.10_1",0.0680145766370046
"111RSCAER_8.8.11_1",0.0980156471526544
"111TGCAER_7.24.12_1",0.0798796591891819
"111WE0816_6.12.13_1",0.0595802499415559
"111WE1050_6.12.13_1",0.0539137779935037
"111WE1071_7.26.12_1",0.0570266633198491
"111WER003_6.10.14_1",0.0406879133687089
"111WER008_7.23.12_1",0.0495623327749773
"111WER159_10.19.09_1",0.0801802991622357
"113RG8046_8.19.10_1",0.131961153800786
"114CE0131_7.31.12_1",0.0846393278079833
"114PS0145_6.20.11_1",0.157157272730906
"114WE0614_7.9.12_1",0.112752201202115
"115EBAG01_7.1.10_1",0.171704794340629
"201AHO350_6.20.12_1",0.165368134685642
"201CHE300_6.18.12_1",0.162547134092325
"201LAG335_7.15.09_1",0.139147985096486
"201MRS020_9.13.10_1",0.198102759664322
"202BUT030_6.29.10_1",0.163395714847236
"202BUT040_6.4.14_1",0.0952269352794909
"202BUT050_6.16.09_1",0.210736674455388
"202BUT480_6.25.12_1",0.16936616001523
"202BUT600_6.26.12_1",0.176856486268341
"202DRY010_6.5.13_1",0.143201125914403
"202PES168_6.6.13_1",0.158467073393558
"202R00024_6.6.12_1",0.204433303225249
"202R00280_5.22.13_1",0.228683807978701
"204AHOACR_6.2.14_1",0.0843142854050052
"204ALA500_6.10.13_1",0.123317581567293
"204ARH090_6.2.14_1",0.166079388272339
"204IND200_5.25.10_1",0.223605644159025
"204R00189_5.6.13_1",0.240798584071726
"204SIN300_5.15.12_1",0.148904512980255
"204VAL400_5.19.14_1",0.155899595448962
"205AAG375_5.14.14_1",0.225671702269746
"205AAG400_6.5.12_1",0.221545940801167
"205COY585_5.28.13_1",0.156433287285888
"205COY610_6.3.10_1",0.0712685426704723
"205COY615_6.3.14_1",0.168726952611178
"205COY853_5.29.14_1",0.198458682465987
"205COY900_5.16.12_1",0.155538126556069
"205COY930_5.7.13_1",0.139631251840733
"205CYCAHH_6.10.08_1",0.151635329737402
