"","Predicted"
"103KLCMSR_9.14.10_1",0.0261647349666137
"105PS0193_8.29.12_1",0.0435610684340429
"105PS0660_8.3.10_1",0.121691855761734
"105TMCACC_8.10.10_1",0.0537070569389459
"106MNCAHC_10.1.08_1",0.104322035438988
"106WE1079_8.8.12_1",0.095788713364654
"106WER016_10.20.09_1",0.138671044213345
"107LLM101_9.13.10_1",0.0558077518647778
"111BGCAER_6.11.14_1",0.0462731030179933
"111FS0007_7.11.11_1",0.0899919317737738
"111PAL105_7.13.11_1",0.107453142998878
"202SPE090_6.15.09_1",0.143819216303457
"205AAG075_6.12.13_1",0.161927076169252
"205COY850_5.21.12_1",0.0870633460465644
"205SFC880_6.19.12_1",0.171587647481355
"206BRC020_6.27.12_1",0.231870878323749
"207SUI290_6.4.12_1",0.174649564591102
"307CMRADC_5.20.14_1",0.126830848506639
"308LSRASC_7.18.11_1",0.12356378177576
"308MWCAH1_6.23.10_1",0.103308724111584
"308PS0156_6.19.12_1",0.133338267156709
"308ROCBBQ_6.21.12_1",0.123250481309417
"309ARCBRC_8.25.08_1",0.117486577096779
"309PS0116_6.16.11_1",0.195489198673415
"312PS0099_6.14.10_1",0.136592896162221
"315CHCALS_6.15.10_1",0.150850937614851
"402BA0095_5.29.08_1",0.140048064839202
"402M00009_6.29.15_1",0.140631568046987
"403S00960_6.2.10_1",0.211573611028737
"403S01536_7.12.11_1",0.124098749225452
"403WE0540_5.14.14_1",0.154578081323449
"403WE0683_5.15.13_1",0.284776281369226
"505PS0110_9.16.10_1",0.0791158611364475
"513CCNASC_7.16.14_1",0.163895971890442
"513STCAIV_6.12.14_1",0.145578656316856
"513UNCAKC_9.23.09_1",0.145578656316856
"514SSC190_9.11.14_1",0.0281645532871464
"517FCA046_8.14.13_1",0.0384144696204769
"518BTCASC_6.12.13_1",0.0926088933575723
"518FCA075_8.12.13_1",0.0795685844539508
"518SPC134_6.18.13_1",0.0961666601222835
"522GSCBSC_9.24.09_1",0.13597168018868
"522PS0504_6.11.13_1",0.12834317990188
"526PNCAMF_6.25.13_1",0.102144304047665
"526PS1420_6.25.13_1",0.110850940028364
"534MLC108_9.14.11_1",0.14309098550056
"536HLCBFM_6.18.13_1",0.053496540377775
"537TYCAML_7.16.08_1",0.00741978330407122
"540SED003_8.30.11_1",0.0150112743265549
"552DKC268_6.23.14_1",0.0504230369674751
"552MFCAKR_6.11.08_1",0.121992093855964
"553KRNAYC_6.17.14_1",0.171726207562684
"554CLCALK_8.23.11_1",0.0381750083254678
"603DDM005_9.13.11_1",0.0446594755944507
"603FCA145_8.21.13_1",0.0310581556353885
"603PS0008_7.30.08_1",0.00752518012946805
"603PS0075_8.15.12_1",0.113299348630589
"603PS0109_7.29.08_1",0.095012491758221
"603PS0557_8.18.10_1",0.092252704571567
"603SPCBWC_7.22.08_1",0.0691722801030681
"631DEP001_8.28.12_1",0.115145938652872
"631PS0033_8.30.10_1",0.105209122444894
"632ELD001_9.8.11_1",0.0580886015717084
"634CAT055_10.4.11_1",0.0306378603954421
"634GRF001_10.3.11_1",0.0543247230975971
"634HHCATC_10.4.11_1",0.033191888499261
"634PS0035_9.1.10_1",0.0397586497582898
"634PS0062_10.12.11_1",0.0596118399263923
"634WSN001_10.4.11_1",0.0831230389513229
"636SAG001_7.12.10_1",0.109313208233353
"639PS1279_6.11.13_1",0.0699637774804215
"641OWC157_7.24.13_1",0.0235738473028758
"722NP7IDC_4.16.14_1",0.149795060107072
"801DRC025_6.25.14_1",0.107231079618734
"801S03488_5.7.14_1",0.105387779216437
"801WE0674_5.14.13_1",0.113977976330353
"801WE1008_5.14.13_1",0.110810188579643
"801WE1132_8.19.09_1",0.120689979198791
"901ATCAAS_6.5.08_1",0.179744508517396
"901CSCADC_5.26.11_1",0.167059463615295
"901S06969_5.31.12_1",0.137130441818997
"903WE0798_4.8.15_1",0.148121279904149
"905BCC_6.11.14_1",0.216266963749449
"905S02561_5.25.11_1",0.195479163492764
"909JQCASR_6.1.11_1",0.0735787083665025
"911S03354_5.5.09_1",0.154813721954996
"911TJIND2_5.8.08_1",0.0797102336077792
"911TJLCC2_4.7.15_1",0.105263617877721
"SCFC1_6.12.08_1",0.211929183762104
"SCSS1_6.17.08_1",0.186644812820314
"SMAD1_11.5.08_1",0.240088217759221
"SMC00135_6.7.10_1",0.14242384378347
"SMC01979_7.14.11_1",0.179875229858274
"SMC02139_7.17.12_1",0.202271550270143
"SMC04204_7.11.12_1",0.151685678343692
"SMC04383_5.19.14_1",0.149582686055404
"SMC06467_6.28.10_1",0.185570266889124
"SMC19809_6.25.13_1",0.148082640597145
