"","Predicted"
"105PS0188_8.26.08_1",0.0702115453578546
"105PS0188_8.26.08_2",0.0702115453578546
"106FC1183_7.24.14_1",0.0847066804459815
"106FC1313_7.23.14_1",0.116015013149058
"106PS0078_8.26.09_1",0.148653723482865
"106PS0173_8.4.11_1",0.0832319201822439
"106PS0186_9.26.12_1",0.0719772643321792
"109PS0162_7.20.11_1",0.140943104145819
"110ECSLSF_7.26.11_1",0.126078488256278
"110FCA102_7.25.13_1",0.124572210264207
"111CR1012_8.18.14_1",0.0821067908430309
"111PS0057_8.18.08_1",0.128790561706354
"113GAR010_6.8.09_1",0.0954695516073114
"113GAR010_8.27.12_1",0.0954695516073114
"113GAR038_6.8.09_1",0.0827112163249946
"113GAR038_9.10.12_1",0.0827112163249946
"113GAR046_6.18.12_1",0.131818283779533
"113GAR046_6.8.09_1",0.131818283779533
"113GAR046_9.2.14_1",0.131818283779533
"113GAR061_6.19.12_1",0.134850602978867
"113GAR061_7.1.09_1",0.134850602978867
"113GAR061_9.3.14_1",0.134850602978867
"113GAR061_9.3.14_2",0.134850602978867
"113GAR084_6.28.10_1",0.138724892801574
"113GAR094_7.27.10_1",0.132842535864351
"113GAR094_7.27.10_2",0.132842535864351
"113GAR110_6.18.12_1",0.152534396682261
"113GAR110_6.30.09_1",0.152534396682261
"113GAR110_9.2.14_1",0.152534396682261
"113PS0084_8.18.09_1",0.07576061824144
"113PS0100_8.25.09_1",0.0901865234682439
"113PS0132_9.15.10_1",0.0774968265736753
"113PS0196_8.1.12_1",0.10480077090068
"114CR0903_8.26.13_1",0.174369118534427
"114CR0903_9.25.13_1",0.174369118534427
"114PS0149_7.10.12_1",0.146865284565486
"114PS0152_7.7.11_1",0.134234312796515
"114PS0152_8.18.11_1",0.134234312796515
"114RR1041_10.10.11_1",0.160031457111822
"114RR1041_10.25.11_1",0.160031457111822
"114RR1041_10.25.11_2",0.160031457111822
"114RR1041_8.2.11_1",0.160031457111822
"114RR1041_9.7.11_1",0.160031457111822
"114RR1310_6.2.11_1",0.165869817705086
"114RR1599_10.10.11_1",0.163935461133951
"114RR1599_10.25.11_1",0.163935461133951
"114RR1599_6.2.11_1",0.163935461133951
"114RR1599_6.27.11_1",0.163935461133951
"114RR1599_8.2.11_1",0.163935461133951
"114RR1599_8.2.11_2",0.163935461133951
"114RR1599_9.7.11_1",0.163935461133951
"114RR2678_10.11.11_1",0.170384972121114
"114RR2678_10.24.11_1",0.170384972121114
"114RR2678_6.29.11_1",0.170384972121114
"114RR2678_8.1.11_1",0.170384972121114
"114RR2678_9.13.11_1",0.170384972121114
"114RR2769_6.1.11_1",0.171160409371551
"114RR2899_10.11.11_1",0.172801247239329
"114RR2899_10.24.11_1",0.172801247239329
"114RR2899_6.1.11_1",0.172801247239329
"114RR2899_6.29.11_1",0.172801247239329
"114RR2899_8.1.11_1",0.172801247239329
"114RR2899_9.13.11_1",0.172801247239329
"202BUT850_6.4.13_1",0.140216121150811
"202PS0134_5.31.11_1",0.162479584675249
"202R00087_5.30.12_1",0.116205032718731
"202R00284_6.15.12_1",0.150822006146134
"202R00908_5.21.13_1",0.152982876230871
"203PS0070_7.19.10_1",0.138245604272173
"203PS0070_9.7.10_1",0.138245604272173
"203R00039_5.14.12_1",0.171227168979878
"204ALP040_4.10.11_1",0.169855038658116
"204ALP040_6.29.11_1",0.169855038658116
"204ALP105_4.10.11_1",0.12921598144554
"204ALP151_4.10.11_1",0.17426322024252
"204ALP151_6.29.11_1",0.17426322024252
"204PS0038_6.19.08_1",0.19639512738135
"204PS0094_7.14.10_1",0.170339449391942
"204PS0102_6.15.11_1",0.15419934285642
"204PS0102_6.15.11_2",0.15419934285642
"204PS0102_8.10.11_1",0.15419934285642
"204PS0118_6.15.11_1",0.162951612352747
"204R00047_6.6.12_1",0.219251036480236
"204R00063_6.4.13_1",0.180138813987965
"204R00068_5.31.12_1",0.127050523059671
"204R00084_5.24.12_1",0.233031677694812
"204R00100_5.30.12_1",0.176136843592781
"204R00180_5.30.12_1",0.191384181204101
"204R00191_5.29.12_1",0.156433287285888
"204R00200_5.31.12_1",0.205776487296563
"204R00232_6.12.12_1",0.160890824744947
"204R00232_6.12.12_2",0.160890824744947
"204R00244_6.12.12_1",0.228683807978701
"204R00303_6.14.12_1",0.213611635661176
"204R00319_6.7.12_1",0.179456002289941
"204R00319_6.7.12_2",0.179456002289941
"204R00327_5.7.13_1",0.207261237965672
"204R00334_5.8.13_1",0.168897141498272
"204R00340_6.11.12_1",0.231870878323749
"204R00356_5.30.12_1",0.165573302748007
"204R00356_6.4.12_1",0.165573302748007
"204R00367_6.12.12_1",0.162503326966507
"204R00383_6.11.12_1",0.213631101231755
"204R00391_6.6.12_1",0.242636148544185
"204R00436_5.20.13_1",0.199562372083721
