"","Type","Sums","Means"
"000CAT148_8.10.10_1","ref",5.04998783262297,1.26249695815574
"000CAT228_8.10.10_1","ref",5.85817184010522,1.46454296002631
"102PS0177_8.28.12_1","ref",5.6946001025138,1.42365002562845
"102PS0177_8.28.12_2","ref",6.11887819632577,1.52971954908144
"103CDCHHR_9.14.10_1","ref",3.46714989675991,0.866787474189978
"103CDCHHR_9.14.10_2","ref",4.17899821617684,1.04474955404421
"103KLCMSR_9.14.10_1","ref",4.97500991839041,1.2437524795976
"103STCNSR_8.9.11_1","ref",4.32262599064843,1.08065649766211
"103WER026_8.15.12_1","ref",5.7399204078074,1.43498010195185
"103WER026_8.15.12_2","ref",5.39171136059974,1.34792784014993
"103WER029_7.16.14_1","ref",2.6840879182925,0.671021979573125
"103WER030_8.10.11_1","ref",4.52729851123079,1.1318246278077
"105BVCAGC_9.21.10_1","ref",4.40321332867647,1.10080333216912
"105CE0329_7.23.14_1","ref",3.23054401828431,0.807636004571077
"105CLCATC_8.10.10_1","ref",4.55874445695244,1.13968611423811
"105DLCDCC_10.20.09_1","ref",5.80616004112091,1.45154001028023
"105DLCDCC_5.19.09_1","ref",3.310466673977,0.82761666849425
"105DLCDCC_6.23.09_1","ref",5.30313352661565,1.32578338165391
"105DLCDCC_8.5.09_1","ref",3.34471771222582,0.836179428056455
"105DLCDCC_9.15.09_1","ref",4.65495235993301,1.16373808998325
"105FCA116_7.16.13_1","ref",1.7316147323829,0.432903683095724
"105FS0416_9.24.13_1","ref",3.61734688128017,0.904336720320043
"105FS0425_8.10.11_1","ref",4.40706304930038,1.10176576232509
"105FS0428_8.3.11_1","ref",5.09379670748059,1.27344917687015
"105NWC151_6.26.13_1","ref",3.79129922076345,0.947824805190861
"105PS0043_9.17.08_1","ref",3.87687582719236,0.96921895679809
"105PS0083_9.8.09_1","ref",5.29211705530233,1.32302926382558
"105PS0090_8.25.09_1","ref",3.9118853020742,0.97797132551855
"105PS0090_8.7.12_1","ref",2.55140766031226,0.637851915078065
"105PS0097_7.22.14_1","ref",2.6385269475472,0.6596317368868
"105PS0097_9.8.09_1","ref",3.89562395407703,0.973905988519258
"105PS0097_9.8.09_2","ref",4.36359575129903,1.09089893782476
"105PS0154_8.9.11_1","ref",2.93199090146688,0.732997725366719
"105PS0154_8.9.11_2","ref",4.49536856382146,1.12384214095536
"105PS0193_8.29.12_1","ref",4.79969081845455,1.19992270461364
"105PS0195_8.7.12_1","ref",5.23640873636491,1.30910218409123
"105PS0259_9.17.13_1","ref",3.67945810946868,0.919864527367171
"105PS0267_7.21.14_1","ref",4.74084165777986,1.18521041444497
"105PS0468_9.1.09_1","ref",3.97268556578426,0.993171391446066
"105PS0540_9.15.10_1","ref",5.58066317875421,1.39516579468855
"105PS0660_8.3.10_1","ref",4.05578170360549,1.01394542590137
