"","Predicted"
"102PS0139_8.9.10_1",0.188366666666667
"103FCA168_7.24.13_1",0.102531746031746
"103PS0217_9.10.13_1",0.111831746031746
"103RDCBCC_7.21.11_1",0.123790476190476
"105PS0028_8.12.08_1",0.660366666666666
"105PS0028_8.26.08_1",0.660366666666666
"105PS0067_8.24.09_1",0.5216
"105PS0067_8.24.09_2",0.5216
"105PS0067_9.15.09_1",0.5216
"105PS0069_8.18.09_1",0.153674603174603
"105PS0092_8.11.08_1",0.136733333333333
"105PS0107_9.14.09_1",0.695766666666667
"105PS0129_8.11.10_1",0.608716666666667
"105PS0129_8.11.10_2",0.608716666666667
"105PS0149_8.29.12_1",0.664433333333333
"105PS0211_8.20.13_1",0.288566666666667
"105PS0211_9.16.13_1",0.288566666666667
"105PS0231_8.29.13_1",0.5999
"105PS0276_9.1.09_1",0.456895238095238
"105PS0276_9.22.09_1",0.456895238095238
"105PS0540_8.5.10_1",0.158915079365079
"105PS1148_9.18.12_1",0.436333333333333
"105PS1404_8.28.13_1",0.400733333333333
"105PS1404_8.28.13_2",0.400733333333333
"106FCA036_7.15.13_1",0.953955555555556
"106HLCACC_9.23.13_1",0.6613
"106PS0022_9.30.08_1",0.5932
"106PS0051_9.16.08_1",0.59715
"106PS0051_9.16.08_2",0.59715
"106PS0106_9.8.09_1",0.577066666666667
"106PS0106_9.8.09_2",0.577066666666667
"106PS0122_9.20.10_1",0.287366666666667
"106PS0142_7.19.10_1",1.05366666666667
"106PS0206_10.3.12_1",0.820809523809524
"106PTCAHC_9.2.08_1",0.894895238095238
"107GWCAPC_9.15.10_1",0.915133333333334
"107RWCBHW_8.3.11_1",0.305166666666667
"107RWCBHW_8.3.11_2",0.305166666666667
"108PS0197_8.16.12_1",0.13802380952381
"110PS0114_7.21.10_1",0.642333333333334
"110SMCATH_7.27.11_1",0.713066666666667
"111CE0569_10.11.10_1",0.690166666666667
"111FCA207_7.23.13_1",0.646733333333334
"111PS0008_9.29.08_1",0.6849
"111PS0008_9.9.08_1",0.6849
"111PS0008_9.9.08_2",0.6849
"111PS0013_8.19.08_1",1.0237
"111PS0095_8.27.09_1",0.8609
"111PS0095_8.27.09_2",0.8609
"111PS0121_7.20.10_1",0.7995
"111PS0159_7.14.11_1",0.900266666666666
"111PS0169_7.25.11_1",0.7786
"111PS0169_7.25.11_2",0.7786
"111PS0178_8.14.12_1",0.764166666666667
"111PS0237_9.12.13_1",0.7049
"112PS0157_7.12.11_1",0.5041
"113GAR011_8.22.11_1",0.6046
"113GAR011_9.1.10_1",0.6046
"113GAR015_8.23.11_1",0.935933333333333
"113GAR015_8.31.10_1",0.935933333333333
"113GAR015_9.9.13_1",0.935933333333333
"113GAR023_7.22.14_1",0.6108
"113GAR023_8.5.13_1",0.6108
"113GAR030_8.26.09_1",0.935933333333333
"113GAR030_8.26.09_2",0.935933333333333
"113GAR030_8.28.12_1",0.935933333333333
"113GAR042_9.10.13_1",0.645933333333333
"113GAR062_6.30.09_1",0.641933333333333
"113GAR062_8.27.12_1",0.641933333333333
"113GAR087_6.29.10_1",0.641933333333333
"113GAR087_8.6.13_1",0.641933333333333
"113GAR087_9.11.12_1",0.641933333333333
"113GAR087_9.11.12_2",0.641933333333333
"113GAR089_6.14.10_1",0.637333333333334
"113GAR089_6.20.11_1",0.637333333333334
"113GAR089_8.5.09_1",0.637333333333334
"113GAR105_6.14.10_1",0.3898
"113GAR105_6.20.11_1",0.3898
"113GAR105_8.4.09_1",0.3898
"113GAR112_6.15.10_1",0.3907
"113GAR112_7.22.14_1",0.3907
"113GAR112_8.22.11_1",0.3907
"113GAR112_8.4.09_1",0.3907
"113GAR112_8.4.09_2",0.3907
"113GAR112_8.7.13_1",0.3907
"113GAR118_7.26.10_1",0.733433333333333
"113GAR118_9.10.12_1",0.733433333333333
"113GAR178_6.21.11_1",0.720433333333333
"113GAR178_7.23.14_1",0.720433333333333
"113GAR178_8.31.10_1",0.720433333333333
"113GAR178_9.9.13_1",0.720433333333333
