"","Predicted"
"102PS0177_8.28.12_1",0.182252380952381
"103CDCHHR_9.14.10_1",0.476122222222222
"103STCNSR_8.9.11_1",0.0574
"103WER026_8.15.12_1",0.136055555555556
"103WER029_7.16.14_1",0.430288888888889
"103WER030_8.10.11_1",0.0671
"105BVCAGC_9.21.10_1",0.1954829004329
"105CE0329_7.23.14_1",0.344933333333333
"105CLCATC_8.10.10_1",0.215866666666667
"105DLCDCC_10.20.09_1",0.191666666666667
"105FCA116_7.16.13_1",0.0434151515151515
"105FS0416_9.24.13_1",0.1231
"105FS0425_8.10.11_1",0.0994333333333333
"105FS0428_8.3.11_1",0.308866666666667
"105NWC151_6.26.13_1",0.908166666666667
"105PS0043_9.17.08_1",0.606566666666667
"105PS0083_9.8.09_1",0.730566666666667
"105PS0090_8.7.12_1",0.2432
"105PS0097_7.22.14_1",0.0914
"105PS0154_8.9.11_1",0.3782
"105PS0195_8.7.12_1",0.0591333333333333
"105PS0259_9.17.13_1",0.770466666666667
"105PS0267_7.21.14_1",0.746942857142857
"105PS0468_9.1.09_1",0.872066666666667
"105PS0540_9.15.10_1",0.158915079365079
"105PS1492_8.6.14_1",0.798266666666666
"105WE0598_7.24.14_1",0.452566666666666
"105WLC135_6.26.13_1",0.894266666666667
"105WLCABC_8.3.11_1",0.1102
"106FS0040_8.30.11_1",0.383733333333333
"106PS0115_9.21.10_1",0.115766666666667
"106PS0124_8.16.10_1",0.563966666666667
"106PS0166_8.2.11_1",0.759966666666667
"106WE0505_7.21.14_1",0.390333333333333
"106WER011_9.11.13_1",0.263366666666667
"107PS0021_7.14.14_1",0.118888888888889
"107WER092_8.27.12_1",0.915133333333334
"111BBRBCC_9.23.09_1",0.290833333333333
"111CBCAER_8.8.13_1",0.758433333333333
"111ERATRC_10.10.12_1",0.336733333333333
"111FS0001_7.5.11_1",0.610455555555556
"111FS0008_7.19.12_1",0.813133333333333
"111HSCAER_7.26.11_1",0.413333333333333
"111PS0060_10.7.08_1",0.720442857142857
"111PS0110_6.9.14_1",0.254
"111PS0144_8.18.10_1",0.708266666666667
"111PS0160_7.25.11_1",0.712633333333333
"111PS0204_8.17.10_1",0.5222
"111RSCAER_8.8.11_1",0.687833333333334
"111TGCAER_7.24.12_1",0.887533333333334
"111WE0816_6.12.13_1",0.315533333333333
"111WE1050_6.12.13_1",0.22174126984127
"111WE1071_7.26.12_1",0.5336
"111WER003_6.10.14_1",0.214933333333333
"111WER008_7.23.12_1",0.6897
"111WER159_10.19.09_1",0.4233
"113RG8046_8.19.10_1",0.505733333333333
"114CE0131_7.31.12_1",0.399333333333333
"114PS0145_6.20.11_1",0.8598
"114WE0614_7.9.12_1",0.386378571428571
"115EBAG01_7.1.10_1",1.0624
"201AHO350_6.20.12_1",1.07769047619048
"201CHE300_6.18.12_1",1.1196
"201LAG335_7.15.09_1",0.447565079365079
"201MRS020_9.13.10_1",1.06716666666667
"202BUT030_6.29.10_1",1.40435793650794
"202BUT040_6.4.14_1",0.363785714285714
"202BUT050_6.16.09_1",1.2570873015873
"202BUT480_6.25.12_1",1.2570873015873
"202BUT600_6.26.12_1",1.2570873015873
"202DRY010_6.5.13_1",1.32733333333333
"202PES168_6.6.13_1",1.2083
"202R00024_6.6.12_1",0.7849
"202R00280_5.22.13_1",0.906229365079365
"204AHOACR_6.2.14_1",0.670361904761905
"204ALA500_6.10.13_1",1.61643333333333
"204ARH090_6.2.14_1",1.62193333333333
"204IND200_5.25.10_1",0.997733333333333
"204R00189_5.6.13_1",0.936233333333334
"204SIN300_5.15.12_1",0.657596031746032
"204VAL400_5.19.14_1",0.956661904761904
"205AAG375_5.14.14_1",1.01033333333333
"205AAG400_6.5.12_1",1.01166666666667
"205COY585_5.28.13_1",1.96737857142857
"205COY610_6.3.10_1",0.370565873015873
"205COY615_6.3.14_1",2.04307857142857
"205COY853_5.29.14_1",1.38854523809524
"205COY900_5.16.12_1",0.8771
"205COY930_5.7.13_1",0.845733333333333
"205CYCAHH_6.10.08_1",0.659399206349206
"205CYCBBC_6.28.10_1",0.370565873015873
"205LGA700_5.23.12_1",0.945433333333333
"205R00021_5.16.12_1",1.24004523809524
"205R00182_5.7.13_1",1.40696666666667
"205WUN450_6.11.12_1",0.7868
"205WUN550_5.6.13_1",0.436166666666667
"206HCT020_5.29.12_1",0.944733333333333
"206RCCBDC_7.20.10_1",0.775233333333333
"206TUL120_6.13.11_1",1.1182
"207GVC800_5.23.13_1",1.28466666666667
"207SUI800_5.5.14_1",1.10978333333333
"304WDCAH1_6.29.10_1",1.0197619047619
"305LGCACR_7.16.08_1",0.980366666666667
"305LGCBRC_6.30.10_1",0.975933333333333
"305SSCAUC_6.29.10_1",1.07416031746032
"305UVCASC_6.29.10_1",1.04771666666667
"307CE0094_6.12.12_1",1.1207
"307SCCARR_6.21.10_1",0.427866666666667
"308BSU_7.13.10_1",0.903666666666667
"308LILPAL_6.20.12_1",0.955033333333333
"308PWCAH1_6.22.10_1",0.932733333333333
"308SAM_6.23.10_1",0.976566666666667
"308SANWIL_6.12.12_1",1.41993333333333
"308SBCAH1_6.21.10_1",0.8306
"309ARSARC_6.23.10_1",0.932099999999999
"309CAW126_5.21.14_1",0.3659
"309NAF_5.24.12_1",0.9227
"309WLCATC_6.22.10_1",0.936533333333333
"310COO_6.24.10_1",1.08333809523809
"310LPCBPC_6.9.09_1",1.13605238095238
"312DAVDAV_6.7.12_1",2.06341666666667
"312MZCDBC_5.13.14_1",0.593114285714285
"312RYCALR_6.16.10_1",0.73415
"402BA0287_6.9.08_1",1.57605568320568
"402M00005_6.11.15_1",2.01950317460317
"402MTCUNF_6.5.12_1",1.56951428571429
"402PS0048_5.21.08_1",1.64408584193584
"403BA0015_5.19.08_1",0.5534
"403BA0064_6.18.14_1",1.29358626373626
"403BA0140_5.21.08_1",1.16341904761905
