"","Predicted"
"103KLCMSR_9.14.10_1",0.0706333333333334
"105PS0193_8.29.12_1",0.422866666666667
"105PS0660_8.3.10_1",0.908166666666667
"105TMCACC_8.10.10_1",0.168333333333333
"106MNCAHC_10.1.08_1",0.8961
"106WE1079_8.8.12_1",0.291366666666667
"106WER016_10.20.09_1",0.840361904761905
"107LLM101_9.13.10_1",0.118888888888889
"111BGCAER_6.11.14_1",0.387466666666667
"111FS0007_7.11.11_1",0.840033333333333
"111PAL105_7.13.11_1",0.827866666666667
"202SPE090_6.15.09_1",1.1708
"205AAG075_6.12.13_1",1.09022698412698
"205COY850_5.21.12_1",1.20502857142857
"205SFC880_6.19.12_1",0.984572222222222
"206BRC020_6.27.12_1",1.44768441558442
"207SUI290_6.4.12_1",1.07842698412698
"307CMRADC_5.20.14_1",0.4605
"308LSRASC_7.18.11_1",1.00596666666667
"308MWCAH1_6.23.10_1",0.5242
"308PS0156_6.19.12_1",0.922
"308ROCBBQ_6.21.12_1",0.562933333333334
"309ARCBRC_8.25.08_1",0.773166666666667
"309PS0116_6.16.11_1",1.07833333333333
"312PS0099_6.14.10_1",0.593114285714285
"315CHCALS_6.15.10_1",1.01970476190476
"402BA0095_5.29.08_1",1.27776666666667
"402M00009_6.29.15_1",1.61286666666667
"403S00960_6.2.10_1",1.64701581196581
"403S01536_7.12.11_1",0.541033333333333
"403WE0540_5.14.14_1",0.861044444444444
"403WE0683_5.15.13_1",0.732430952380952
"505PS0110_9.16.10_1",0.8623
"513CCNASC_7.16.14_1",0.385333333333333
"513STCAIV_6.12.14_1",1.11026428571429
"513UNCAKC_9.23.09_1",1.00268095238095
"514SSC190_9.11.14_1",0.556064285714286
"517FCA046_8.14.13_1",0.844742857142857
"518BTCASC_6.12.13_1",0.2052
"518FCA075_8.12.13_1",0.7659
"518SPC134_6.18.13_1",0.136133333333333
"522GSCBSC_9.24.09_1",0.99624595959596
"522PS0504_6.11.13_1",0.885666666666667
"526PNCAMF_6.25.13_1",0.4211
"526PS1420_6.25.13_1",0.8416
"534MLC108_9.14.11_1",0.227933333333333
"536HLCBFM_6.18.13_1",0.430842857142857
"537TYCAML_7.16.08_1",0.210233333333333
"540SED003_8.30.11_1",0.202
"552DKC268_6.23.14_1",0.414001587301588
"552MFCAKR_6.11.08_1",0.1114
"553KRNAYC_6.17.14_1",0.739433333333333
"554CLCALK_8.23.11_1",0.514233333333333
"603DDM005_9.13.11_1",0.332166666666667
"603FCA145_8.21.13_1",0.423995238095238
"603PS0008_7.30.08_1",0.382466666666667
"603PS0075_8.15.12_1",0.1463
"603PS0109_7.29.08_1",0.251466666666667
"603PS0557_8.18.10_1",0.2911
"603SPCBWC_7.22.08_1",0.394166666666667
"631DEP001_8.28.12_1",0.5154
"631PS0033_8.30.10_1",0.504119191919192
"632ELD001_9.8.11_1",0.680866666666667
"634CAT055_10.4.11_1",0.274295238095238
"634GRF001_10.3.11_1",0.428166666666667
"634HHCATC_10.4.11_1",0.335833333333334
"634PS0035_9.1.10_1",0.317169841269841
"634PS0062_10.12.11_1",0.494795238095238
"634WSN001_10.4.11_1",0.784066666666666
"636SAG001_7.12.10_1",0.432933333333333
"639PS1279_6.11.13_1",0.279666666666667
"641OWC157_7.24.13_1",0.306633333333333
"722NP7IDC_4.16.14_1",1.34126176046176
"801DRC025_6.25.14_1",1.11213333333333
"801S03488_5.7.14_1",0.782366666666667
"801WE0674_5.14.13_1",1.11213333333333
"801WE1008_5.14.13_1",0.846266666666667
"801WE1132_8.19.09_1",0.309116666666666
"901ATCAAS_6.5.08_1",1.12095555555556
"901CSCADC_5.26.11_1",1.0188
"901S06969_5.31.12_1",1.65743903318903
"903WE0798_4.8.15_1",0.815933333333333
"905BCC_6.11.14_1",1.16300848595849
"905S02561_5.25.11_1",0.431066666666667
"909JQCASR_6.1.11_1",0.6529
"911S03354_5.5.09_1",0.915933333333333
"911TJIND2_5.8.08_1",0.434333333333333
"911TJLCC2_4.7.15_1",0.693628571428572
"SCFC1_6.12.08_1",1.4997
"SCSS1_6.17.08_1",1.0981880952381
"SMAD1_11.5.08_1",1.27837489177489
"SMC00135_6.7.10_1",0.580566666666667
"SMC01979_7.14.11_1",1.29828015873016
"SMC02139_7.17.12_1",0.754329914529914
"SMC04204_7.11.12_1",1.2064
"SMC04383_5.19.14_1",1.57605568320568
"SMC06467_6.28.10_1",1.10391904761905
"SMC19809_6.25.13_1",2.14545555555556
