"","Predicted"
"102PS0177_8.28.12_1",0.480266666666667
"103CDCHHR_9.14.10_1",1.33542857142857
"103STCNSR_8.9.11_1",0.2402
"103WER026_8.15.12_1",0.558633333333333
"103WER029_7.16.14_1",0.732728571428572
"103WER030_8.10.11_1",0.2342
"105BVCAGC_9.21.10_1",0.0789
"105CE0329_7.23.14_1",0.0526333333333333
"105CLCATC_8.10.10_1",0.3493
"105DLCDCC_10.20.09_1",0.0626333333333333
"105FCA116_7.16.13_1",0.164366666666667
"105FS0416_9.24.13_1",1.3374
"105FS0425_8.10.11_1",0.577033333333333
"105FS0428_8.3.11_1",0.0869
"105NWC151_6.26.13_1",1.7568
"105PS0043_9.17.08_1",0.662366666666667
"105PS0083_9.8.09_1",0.897233333333333
"105PS0090_8.7.12_1",0.680366666666667
"105PS0097_7.22.14_1",0.405966666666666
"105PS0154_8.9.11_1",0.759766666666666
"105PS0195_8.7.12_1",0.235133333333333
"105PS0259_9.17.13_1",0.4277
"105PS0267_7.21.14_1",0.602066666666667
"105PS0468_9.1.09_1",0.762266666666667
"105PS0540_9.15.10_1",1.04273809523809
"105PS1492_8.6.14_1",1.2675
"105WE0598_7.24.14_1",0.2471
"105WLC135_6.26.13_1",0.985766666666667
"105WLCABC_8.3.11_1",0.20922380952381
"106FS0040_8.30.11_1",0.261466666666667
"106PS0115_9.21.10_1",0.861233333333334
"106PS0124_8.16.10_1",0.3242
"106PS0166_8.2.11_1",0.216933333333333
"106WE0505_7.21.14_1",0.5048
"106WER011_9.11.13_1",0.662833333333333
"107PS0021_7.14.14_1",0.473161904761905
"107WER092_8.27.12_1",0.2536
"111BBRBCC_9.23.09_1",0.0601333333333333
"111CBCAER_8.8.13_1",0.240623809523809
"111ERATRC_10.10.12_1",0.1226
"111FS0001_7.5.11_1",0.280666666666667
"111FS0008_7.19.12_1",0.405433333333334
"111HSCAER_7.26.11_1",0.667723809523809
"111PS0060_10.7.08_1",0.7826
"111PS0110_6.9.14_1",0.149566666666667
"111PS0144_8.18.10_1",0.774033333333333
"111PS0160_7.25.11_1",0.710266666666667
"111PS0204_8.17.10_1",0.8369
"111RSCAER_8.8.11_1",0.779766666666666
"111TGCAER_7.24.12_1",0.186266666666667
