"","Predicted"
"102PS0139_8.9.10_1",0.278466666666667
"103FCA168_7.24.13_1",1.48774285714286
"103PS0217_9.10.13_1",1.48774285714286
"103RDCBCC_7.21.11_1",0.785866666666667
"105PS0028_8.12.08_1",0.890733333333333
"105PS0028_8.26.08_1",0.890733333333333
"105PS0067_8.24.09_1",0.712899999999999
"105PS0067_8.24.09_2",0.712899999999999
"105PS0067_9.15.09_1",0.712899999999999
"105PS0069_8.18.09_1",1.62234285714286
"105PS0092_8.11.08_1",0.650057142857143
"105PS0107_9.14.09_1",1.63616666666667
"105PS0129_8.11.10_1",0.320166666666667
"105PS0129_8.11.10_2",0.320166666666667
"105PS0149_8.29.12_1",0.511933333333333
"105PS0211_8.20.13_1",1.20222380952381
"105PS0211_9.16.13_1",1.20222380952381
"105PS0231_8.29.13_1",3.18833333333333
"105PS0276_9.1.09_1",3.85026666666667
"105PS0276_9.22.09_1",3.85026666666667
"105PS0540_8.5.10_1",1.4658
"105PS1148_9.18.12_1",3.70146666666667
"105PS1404_8.28.13_1",1.9164
"105PS1404_8.28.13_2",1.9164
"106FCA036_7.15.13_1",1.95413333333333
"106HLCACC_9.23.13_1",0.434333333333333
"106PS0022_9.30.08_1",0.760066666666667
"106PS0051_9.16.08_1",1.35896666666667
"106PS0051_9.16.08_2",1.35896666666667
"106PS0106_9.8.09_1",0.717866666666666
"106PS0106_9.8.09_2",0.717866666666666
"106PS0122_9.20.10_1",0.370233333333334
"106PS0142_7.19.10_1",0.3567
"106PS0206_10.3.12_1",1.5703
"106PTCAHC_9.2.08_1",1.1482
"107GWCAPC_9.15.10_1",0.313833333333333
"107RWCBHW_8.3.11_1",0.307
"107RWCBHW_8.3.11_2",0.307
"108PS0197_8.16.12_1",0.3439
"110PS0114_7.21.10_1",0.3257
"110SMCATH_7.27.11_1",0.325566666666667
"111CE0569_10.11.10_1",0.563733333333334
"111FCA207_7.23.13_1",0.518266666666667
"111PS0008_9.29.08_1",0.951233333333334
"111PS0008_9.9.08_1",0.951233333333334
"111PS0008_9.9.08_2",0.951233333333334
"111PS0013_8.19.08_1",0.663114285714286
"111PS0095_8.27.09_1",0.645066666666667
"111PS0095_8.27.09_2",0.645066666666667
"111PS0121_7.20.10_1",0.825466666666666
"111PS0159_7.14.11_1",0.134333333333333
"111PS0169_7.25.11_1",0.900733333333333
"111PS0169_7.25.11_2",0.900733333333333
"111PS0178_8.14.12_1",0.561680952380953
"111PS0237_9.12.13_1",0.536966666666667
"112PS0157_7.12.11_1",1.40426666666667
"113GAR011_8.22.11_1",0.774071428571429
"113GAR011_9.1.10_1",0.774071428571429
"113GAR015_8.23.11_1",0.448566666666667
"113GAR015_8.31.10_1",0.448566666666667
"113GAR015_9.9.13_1",0.448566666666667
"113GAR023_7.22.14_1",1.02483333333333
"113GAR023_8.5.13_1",1.02483333333333
"113GAR030_8.26.09_1",1.08568095238095
"113GAR030_8.26.09_2",1.08568095238095
"113GAR030_8.28.12_1",1.08568095238095
"113GAR042_9.10.13_1",0.407
"113GAR062_6.30.09_1",0.4311
"113GAR062_8.27.12_1",0.4311
"113GAR087_6.29.10_1",0.751
"113GAR087_8.6.13_1",0.751
"113GAR087_9.11.12_1",0.751
"113GAR087_9.11.12_2",0.751
"113GAR089_6.14.10_1",0.377366666666667
"113GAR089_6.20.11_1",0.377366666666667
"113GAR089_8.5.09_1",0.377366666666667
"113GAR105_6.14.10_1",0.454966666666667
"113GAR105_6.20.11_1",0.454966666666667
"113GAR105_8.4.09_1",0.454966666666667
"113GAR112_6.15.10_1",0.6718
"113GAR112_7.22.14_1",0.6718
"113GAR112_8.22.11_1",0.6718
"113GAR112_8.4.09_1",0.6718
"113GAR112_8.4.09_2",0.6718
"113GAR112_8.7.13_1",0.6718
"113GAR118_7.26.10_1",0.456233333333333
"113GAR118_9.10.12_1",0.456233333333333
"113GAR178_6.21.11_1",0.464233333333333
"113GAR178_7.23.14_1",0.464233333333333
"113GAR178_8.31.10_1",0.464233333333333
"113GAR178_9.9.13_1",0.464233333333333
"113GAR178_9.9.13_2",0.464233333333333
"113GAR244_6.28.10_1",0.4318
"113PS0012_9.9.08_1",1.35213333333333
"113PS0012_9.9.08_2",1.35213333333333
"113PS0076_8.2.12_1",0.767233333333333
"113PS0076_8.22.12_1",0.767233333333333
"113PS0120_9.14.10_1",1.19916666666667
"113PS0168_7.6.11_1",0.6469
"113PS0216_9.3.13_1",3.26346666666667
"113PS0232_9.4.13_1",0.769766666666666
"113PS0232_9.4.13_2",0.769766666666666
"113PS0268_6.11.14_1",0.679466666666667
"114AU7778_6.21.10_1",0.2115
"114FCA199_8.1.13_1",0.558466666666667
"114GV3469_7.5.11_1",1.04276666666667
"114GV5331_7.6.11_1",1.42336666666667
"114MA2364_7.6.10_1",0.9393
"114MRCURX_6.24.08_1",0.973347619047619
"114PS0088_8.19.09_1",1.49373333333333
"114PS0209_6.10.13_1",0.432333333333333
"114PS0229_6.4.13_1",0.609966666666667
"114WER118_8.20.08_1",0.681
"115SALG01_6.30.10_1",2.16853333333333
"115SC6093_7.7.11_1",0.5132
"115SC6093_7.7.11_2",0.5132
"201LAG190_10.6.08_1",3.2029380952381
"201LAG380_7.14.09_1",0.691533333333334
"201RDW080_4.29.09_1",2.6001
"201RDW080_5.7.08_1",2.6001
"201RDW080_6.2.10_1",2.6001
"201RDW080_6.23.08_1",2.6001
"201RDW080_6.3.09_1",2.6001
"201RDW080_6.3.09_2",2.6001
"201RDW080_8.11.09_1",2.6001
"201RDW080_8.12.08_1",2.6001
"202LAH950_6.13.12_1",0.6773
"202MIC150_5.7.14_1",3.3451
"202PES162_4.27.09_1",1.4839
"202PES162_5.1.08_1",1.4839
"202PES162_6.16.09_1",1.4839
"202PES162_6.18.08_1",1.4839
"202PES162_6.7.10_1",1.4839
"202PES162_8.17.09_1",1.4839
"202PES162_9.10.08_1",1.4839
"202PES162_9.10.08_2",1.4839
"202PS0246_6.5.13_1",3.3451
"202R00248_5.23.13_1",2.60396666666667
"202R00248_5.23.13_2",2.60396666666667
"202TUN600_5.12.14_1",1.33752380952381
"203R00983_6.6.13_1",2.82486666666667
"204ALA320_6.17.13_1",3.36863333333333
"204ALA382_6.11.13_1",3.19556666666667
"204ALA396_6.24.13_1",3.54693333333333
"204ALA410_5.8.13_1",1.65596666666667
"204ALA525_5.22.12_1",1.6489
"204IND200_5.20.08_1",1.46093333333333
"204IND200_5.20.08_2",1.46093333333333
"204IND200_6.16.08_1",1.46093333333333
"204R00590_5.8.13_1",3.42479047619048
"204R00647_6.18.12_1",2.40306666666667
"204R00751_6.5.13_1",3.1564
"204R00751_6.5.13_2",3.1564
"204SLE150_5.9.13_1",2.73633333333333
"205COY140_6.17.09_1",3.97737142857143
"205GCAxxx_7.15.10_1",1.1417
"205GCAxxx_7.15.10_2",1.1417
"205PS0234_5.22.13_1",3.04597777777778
"205R00110_6.18.12_1",2.88493333333333
"205R00374_6.3.13_1",1.63723333333333
"205STE110_7.13.09_1",1.1557
"206NAP700_6.21.12_1",0.917866666666666
"206PIN610_6.3.13_1",2.87027142857143
"206PIN825_5.22.13_1",2.80770476190476
"206R00407_4.24.14_1",3.67096666666667
"206RIC100_5.11.09_1",0.811933333333333
"206RIC100_5.2.08_1",0.811933333333333
"206RIC100_6.1.10_1",0.811933333333333
"206RIC100_6.17.09_1",0.811933333333333
"206RIC100_6.19.08_1",0.811933333333333
"206RIC100_8.12.09_1",0.811933333333333
"206RIC100_8.14.08_1",0.811933333333333
"206RIC100_8.2.11_1",0.811933333333333
"206SON160_9.6.11_1",1.84053333333333
"206SON300_7.14.09_1",0.528
"206SON300_8.10.11_1",0.528
"207MTD117_4.22.09_1",2.84103333333334
"207MTD117_5.24.10_1",2.84103333333334
"207MTD117_5.6.08_1",2.84103333333334
"207R00271_4.29.13_1",2.13765238095238
"207SUI070_6.13.13_1",3.77040476190476
"207SUL200_5.28.14_1",3.97647142857143
"207WAL475_6.12.12_1",3.39357142857143
"207WHC634_5.29.13_1",2.33746666666667
"207WHC634_5.29.13_2",2.33746666666667
"304APS_7.6.11_1",2.49
"304PS0018_6.4.08_1",1.06263333333333
"304PS0194_6.18.12_1",1.2635
"304PS0253_5.22.14_1",1.47836666666667
"304PS0253_6.5.14_1",1.47836666666667
"304SPC236_6.28.10_1",1.50336666666667
"305CLCSBR_6.11.08_1",3.2418
"307PS0028_6.3.08_1",3.1183
"307PS0044_6.8.09_1",3.39796666666667
"308BGC_5.28.14_1",1.30533333333333
"308BGC_6.14.11_1",1.30533333333333
"308BGC_8.11.11_1",1.30533333333333
"308LIM_6.4.14_1",3.02313333333333
"308LIM_6.4.14_2",3.02313333333333
"308PS0204_5.21.13_1",0.143566666666667
"309ANT_5.24.12_1",3.93423333333333
"309CLCBVC_7.15.08_1",3.28416666666667
"309LAS1MI_6.13.12_1",1.7119
"309LOR_5.29.12_1",2.34866666666667
"309PS0040_6.3.08_1",2.49426666666667
"309PS0043_6.10.09_1",2.34966666666667
"309PS0043_7.8.09_1",2.34966666666667
"309SAP_5.23.12_1",1.90156666666667
"309SARANF_8.26.08_1",2.71103333333333
"309SDCMCC_7.14.08_1",3.5994
"309SEC_7.2.12_1",2.62619523809524
"309SED071_4.3.12_1",1.4845
"309SED071_5.3.12_1",1.4845
