"","Predicted"
"102PS0177_8.28.12_1",0.507666666666667
"103CDCHHR_9.14.10_1",1.81480952380952
"103STCNSR_8.9.11_1",0.390933333333333
"103WER026_8.15.12_1",0.831533333333334
"103WER029_7.16.14_1",0.902980952380952
"103WER030_8.10.11_1",0.390933333333333
"105BVCAGC_9.21.10_1",0.0869
"105CE0329_7.23.14_1",0.064
"105CLCATC_8.10.10_1",0.325933333333333
"105DLCDCC_10.20.09_1",0.0887666666666667
"105FCA116_7.16.13_1",0.1814
"105FS0416_9.24.13_1",1.23576666666667
"105FS0425_8.10.11_1",0.570733333333333
"105FS0428_8.3.11_1",0.112766666666667
"105NWC151_6.26.13_1",2.54873333333333
"105PS0043_9.17.08_1",0.647966666666667
"105PS0083_9.8.09_1",0.842333333333333
"105PS0090_8.7.12_1",0.7131
"105PS0097_7.22.14_1",0.406566666666667
"105PS0154_8.9.11_1",0.712433333333333
"105PS0195_8.7.12_1",0.252733333333333
"105PS0259_9.17.13_1",0.498466666666667
"105PS0267_7.21.14_1",0.829933333333333
"105PS0468_9.1.09_1",0.838333333333333
"105PS0540_9.15.10_1",1.4658
"105PS1492_8.6.14_1",2.04256666666667
"105WE0598_7.24.14_1",0.2522
"105WLC135_6.26.13_1",1.01953333333333
"105WLCABC_8.3.11_1",0.257333333333333
"106FS0040_8.30.11_1",0.261633333333333
"106PS0115_9.21.10_1",0.889366666666667
"106PS0124_8.16.10_1",0.2752
"106PS0166_8.2.11_1",0.204433333333333
"106WE0505_7.21.14_1",0.455033333333333
"106WER011_9.11.13_1",0.743461904761905
"107PS0021_7.14.14_1",0.596180952380952
"107WER092_8.27.12_1",0.285533333333333
"111BBRBCC_9.23.09_1",0.0581333333333333
"111CBCAER_8.8.13_1",0.2272
"111ERATRC_10.10.12_1",0.107233333333333
"111FS0001_7.5.11_1",0.3436
"111FS0008_7.19.12_1",0.412633333333333
"111HSCAER_7.26.11_1",0.719033333333334
"111PS0060_10.7.08_1",0.806966666666667
"111PS0110_6.9.14_1",0.1578
"111PS0144_8.18.10_1",0.7276
"111PS0160_7.25.11_1",0.699633333333333
"111PS0204_8.17.10_1",0.8396
"111RSCAER_8.8.11_1",0.776928571428571
"111TGCAER_7.24.12_1",0.1352
"111WE0816_6.12.13_1",0.5378
"111WE1050_6.12.13_1",0.263333333333333
"111WE1071_7.26.12_1",0.263333333333333
"111WER003_6.10.14_1",0.106733333333333
"111WER008_7.23.12_1",0.123066666666667
"111WER159_10.19.09_1",0.5937
"113RG8046_8.19.10_1",2.10333333333333
"114CE0131_7.31.12_1",0.974866666666667
"114PS0145_6.20.11_1",1.1104380952381
"114WE0614_7.9.12_1",1.59756666666667
"115EBAG01_7.1.10_1",3.5893
"201AHO350_6.20.12_1",0.410733333333333
"201CHE300_6.18.12_1",3.72743333333333
"201LAG335_7.15.09_1",0.698166666666667
"201MRS020_9.13.10_1",2.90316666666667
"202BUT030_6.29.10_1",1.26241904761905
"202BUT040_6.4.14_1",1.54006666666667
"202BUT050_6.16.09_1",0.957885714285714
"202BUT480_6.25.12_1",0.722385714285714
"202BUT600_6.26.12_1",1.10546666666667
"202DRY010_6.5.13_1",2.98633333333333
"202PES168_6.6.13_1",1.59543333333333
"202R00024_6.6.12_1",2.83663333333333
"202R00280_5.22.13_1",3.54503095238095
"204AHOACR_6.2.14_1",0.954133333333333
"204ALA500_6.10.13_1",1.7536
"204ARH090_6.2.14_1",3.45870476190476
"204IND200_5.25.10_1",1.46093333333333
"204R00189_5.6.13_1",3.62997142857143
"204SIN300_5.15.12_1",2.25676666666667
"204VAL400_5.19.14_1",1.56053333333333
"205AAG375_5.14.14_1",1.66430476190476
"205AAG400_6.5.12_1",1.49069523809524
"205COY585_5.28.13_1",2.77825476190476
"205COY610_6.3.10_1",1.27592142857143
"205COY615_6.3.14_1",3.31920238095238
"205COY853_5.29.14_1",3.3294380952381
"205COY900_5.16.12_1",1.87013333333333
"205COY930_5.7.13_1",3.5418
"205CYCAHH_6.10.08_1",2.198
"205CYCBBC_6.28.10_1",1.27592142857143
"205LGA700_5.23.12_1",0.728966666666667
"205R00021_5.16.12_1",2.16939047619048
"205R00182_5.7.13_1",2.72884285714285
"205WUN450_6.11.12_1",1.3571
"205WUN550_5.6.13_1",2.4275
"206HCT020_5.29.12_1",0.238133333333333
"206RCCBDC_7.20.10_1",0.775866666666667
"206TUL120_6.13.11_1",1.10603333333333
"207GVC800_5.23.13_1",1.58076666666667
"207SUI800_5.5.14_1",4.61527142857143
"304WDCAH1_6.29.10_1",1.60963333333333
"305LGCACR_7.16.08_1",3.34646666666667
"305LGCBRC_6.30.10_1",2.64926666666666
"305SSCAUC_6.29.10_1",0.6418
"305UVCASC_6.29.10_1",0.818066666666667
"307CE0094_6.12.12_1",1.03568333333333
"307SCCARR_6.21.10_1",2.45811666666667
"308BSU_7.13.10_1",0.143566666666667
"308LILPAL_6.20.12_1",1.54773333333333
"308PWCAH1_6.22.10_1",0.970533333333332
"308SAM_6.23.10_1",0.668266666666666
"308SANWIL_6.12.12_1",2.74679523809524
"308SBCAH1_6.21.10_1",1.84308095238095
"309ARSARC_6.23.10_1",3.39818095238095
"309CAW126_5.21.14_1",1.05043333333333
"309NAF_5.24.12_1",2.61476666666666
"309WLCATC_6.22.10_1",1.67611666666667
"310COO_6.24.10_1",2.86236666666667
"310LPCBPC_6.9.09_1",2.0618
"312DAVDAV_6.7.12_1",2.64115714285714
"312MZCDBC_5.13.14_1",0.966238095238095
"312RYCALR_6.16.10_1",2.91153333333333
"402BA0287_6.9.08_1",1.58569942279942
"402M00005_6.11.15_1",2.54956666666666
"402MTCUNF_6.5.12_1",1.30896291486291
"402PS0048_5.21.08_1",1.779
"403BA0015_5.19.08_1",1.29616666666667
"403BA0064_6.18.14_1",4.53713333333334
"403BA0140_5.21.08_1",3.68747142857143
"403BA0171_5.19.08_1",3.54555396825397
"403LNCASC_6.15.10_1",1.07713333333333
"403S00875_6.24.10_1",3.61301111111111
"403S01883_6.21.10_1",5.167
"403S03643_6.24.10_1",2.69267878787879
"403S06315_6.27.12_1",2.23039523809524
"403STC064_6.8.11_1",1.70446666666667
"403STC086_6.21.11_1",2.6829
"403WE0501_5.14.13_1",3.28503095238095
"403WE1027_5.14.14_1",1.09966666666667
"405BRCAMS_6.7.11_1",2.54086666666667
"405BRCASG_5.7.14_1",0.203490476190476
"405BRCSGR_5.28.08_1",0.246290476190476
"405SGRAAG_5.28.08_1",0.738766666666667
"405WER318_8.18.09_1",0.473257142857142
"504DCFRxx_7.27.10_1",1.01735238095238
"504PS0227_8.12.09_1",2.41452380952381
"504WE0527_7.2.13_1",1.01735238095238
"505BMCMCR_8.4.10_1",0.0287
"505LBCAMR_8.7.13_1",0.0287
"505PS0174_9.27.11_1",0.3259
"506PS0062_9.15.08_1",1.61513333333333
"507MZCAML_7.17.12_1",1.1966
"509ACNFPP_9.25.14_1",0.568997619047619
"509ACSFPP_7.16.08_1",0.607764285714286
"509ATCINC_7.14.08_1",0.900330952380952
"509BSCADC_8.31.11_1",0.517333333333333
"509CBCADC_8.24.10_1",0.889333333333334
"509CTCADC_7.10.12_1",1.10053333333333
"509CWCPLR_7.7.08_1",1.12476666666667
