"","Predicted"
"103KLCMSR_9.14.10_1",0.6529
"105PS0193_8.29.12_1",0.439033333333333
"105PS0660_8.3.10_1",2.55273333333333
"105TMCACC_8.10.10_1",0.462833333333333
"106MNCAHC_10.1.08_1",0.205233333333333
"106WE1079_8.8.12_1",0.4766
"106WER016_10.20.09_1",1.60693333333333
"107LLM101_9.13.10_1",0.686514285714286
"111BGCAER_6.11.14_1",0.3096
"111FS0007_7.11.11_1",0.470933333333333
"111PAL105_7.13.11_1",0.605333333333333
"202SPE090_6.15.09_1",3.32693333333333
"205AAG075_6.12.13_1",1.34993095238095
"205COY850_5.21.12_1",1.3842
"205SFC880_6.19.12_1",1.44226666666667
"206BRC020_6.27.12_1",2.21693333333333
"207SUI290_6.4.12_1",4.24893333333333
"307CMRADC_5.20.14_1",1.15413333333333
"308LSRASC_7.18.11_1",0.599533333333333
"308MWCAH1_6.23.10_1",0.362583333333333
"308PS0156_6.19.12_1",0.8088
"308ROCBBQ_6.21.12_1",1.6215
"309ARCBRC_8.25.08_1",1.47003333333333
"309PS0116_6.16.11_1",2.83203333333333
"312PS0099_6.14.10_1",2.71313333333334
"315CHCALS_6.15.10_1",1.37056666666667
"402BA0095_5.29.08_1",2.16716666666667
"402M00009_6.29.15_1",2.03246666666667
"403S00960_6.2.10_1",3.54686666666667
"403S01536_7.12.11_1",3.21716666666667
"403WE0540_5.14.14_1",2.13519047619048
"403WE0683_5.15.13_1",2.0081
"505PS0110_9.16.10_1",1.2173
"513CCNASC_7.16.14_1",1.79102380952381
"513STCAIV_6.12.14_1",1.28238571428571
"513UNCAKC_9.23.09_1",1.05459523809524
"514SSC190_9.11.14_1",0.6488
"517FCA046_8.14.13_1",1.5556
"518BTCASC_6.12.13_1",1.0922
"518FCA075_8.12.13_1",2.15063333333334
"518SPC134_6.18.13_1",1.281
"522GSCBSC_9.24.09_1",0.861866666666666
"522PS0504_6.11.13_1",0.924595238095237
"526PNCAMF_6.25.13_1",1.40323333333333
"526PS1420_6.25.13_1",1.82423333333333
"534MLC108_9.14.11_1",0.288166666666667
"536HLCBFM_6.18.13_1",1.70689523809524
"537TYCAML_7.16.08_1",0.350466666666667
"540SED003_8.30.11_1",0.264533333333333
"552DKC268_6.23.14_1",0.623866666666666
"552MFCAKR_6.11.08_1",3.13473333333334
"553KRNAYC_6.17.14_1",2.79036666666667
"554CLCALK_8.23.11_1",1.78272380952381
"603DDM005_9.13.11_1",0.5845
"603FCA145_8.21.13_1",1.35393333333333
"603PS0008_7.30.08_1",1.47573333333333
"603PS0075_8.15.12_1",1.50396666666667
"603PS0109_7.29.08_1",1.27763333333333
"603PS0557_8.18.10_1",2.25566666666666
"603SPCBWC_7.22.08_1",0.914533333333333
"631DEP001_8.28.12_1",1.37506666666667
"631PS0033_8.30.10_1",0.818266666666666
"632ELD001_9.8.11_1",2.00196666666667
"634CAT055_10.4.11_1",0.838466666666667
"634GRF001_10.3.11_1",2.49143333333333
"634HHCATC_10.4.11_1",0.723366666666666
"634PS0035_9.1.10_1",1.06396666666667
"634PS0062_10.12.11_1",1.30473333333333
"634WSN001_10.4.11_1",3.36903333333333
"636SAG001_7.12.10_1",2.69813333333333
"639PS1279_6.11.13_1",1.78093333333333
"641OWC157_7.24.13_1",1.0754
"722NP7IDC_4.16.14_1",3.28696666666667
"801DRC025_6.25.14_1",2.9124
"801S03488_5.7.14_1",0.910380952380952
"801WE0674_5.14.13_1",2.74563333333333
"801WE1008_5.14.13_1",1.1059
"801WE1132_8.19.09_1",2.10346666666667
"901ATCAAS_6.5.08_1",3.17799761904762
"901CSCADC_5.26.11_1",2.76316666666667
"901S06969_5.31.12_1",3.34575
"903WE0798_4.8.15_1",2.78
"905BCC_6.11.14_1",4.04653333333334
"905S02561_5.25.11_1",3.6442
"909JQCASR_6.1.11_1",1.61086666666667
"911S03354_5.5.09_1",3.39393333333334
"911TJIND2_5.8.08_1",3.66133333333333
"911TJLCC2_4.7.15_1",2.90095476190476
"SCFC1_6.12.08_1",3.1744
"SCSS1_6.17.08_1",2.52785714285714
"SMAD1_11.5.08_1",3.13473333333333
"SMC00135_6.7.10_1",1.423
"SMC01979_7.14.11_1",2.66243333333333
"SMC02139_7.17.12_1",2.09823333333333
"SMC04204_7.11.12_1",2.85743333333333
"SMC04383_5.19.14_1",1.58569942279942
"SMC06467_6.28.10_1",2.13853333333333
"SMC19809_6.25.13_1",3.32277936507936
