"","Predicted"
"105PS0188_8.26.08_1",3.39793333333333
"105PS0188_8.26.08_2",3.39793333333333
"106FC1183_7.24.14_1",0.2523
"106FC1313_7.23.14_1",0.611766666666667
"106PS0078_8.26.09_1",1.0533
"106PS0173_8.4.11_1",0.646033333333333
"106PS0186_9.26.12_1",0.530466666666667
"109PS0162_7.20.11_1",0.261766666666667
"110ECSLSF_7.26.11_1",0.3469
"110FCA102_7.25.13_1",0.4715
"111CR1012_8.18.14_1",0.757633333333333
"111PS0057_8.18.08_1",0.330433333333333
"113GAR010_6.8.09_1",0.428033333333333
"113GAR010_8.27.12_1",0.428033333333333
"113GAR038_6.8.09_1",0.456366666666667
"113GAR038_9.10.12_1",0.456366666666667
"113GAR046_6.18.12_1",1.08568095238095
"113GAR046_6.8.09_1",1.08568095238095
"113GAR046_9.2.14_1",1.08568095238095
"113GAR061_6.19.12_1",1.10800476190476
"113GAR061_7.1.09_1",1.10800476190476
"113GAR061_9.3.14_1",1.10800476190476
"113GAR061_9.3.14_2",1.10800476190476
"113GAR084_6.28.10_1",0.934238095238095
"113GAR094_7.27.10_1",1.08568095238095
"113GAR094_7.27.10_2",1.08568095238095
"113GAR110_6.18.12_1",0.366733333333333
"113GAR110_6.30.09_1",0.366733333333333
"113GAR110_9.2.14_1",0.366733333333333
"113PS0084_8.18.09_1",0.734033333333334
"113PS0100_8.25.09_1",0.658466666666667
"113PS0132_9.15.10_1",0.529033333333333
"113PS0196_8.1.12_1",0.677633333333334
"114CR0903_8.26.13_1",0.387666666666667
"114CR0903_9.25.13_1",0.387666666666667
"114PS0149_7.10.12_1",2.88041666666666
"114PS0152_7.7.11_1",0.431066666666667
"114PS0152_8.18.11_1",0.431066666666667
"114RR1041_10.10.11_1",0.204466666666667
"114RR1041_10.25.11_1",0.204466666666667
"114RR1041_10.25.11_2",0.204466666666667
"114RR1041_8.2.11_1",0.204466666666667
"114RR1041_9.7.11_1",0.204466666666667
"114RR1310_6.2.11_1",0.560466666666667
"114RR1599_10.10.11_1",0.550966666666667
"114RR1599_10.25.11_1",0.550966666666667
"114RR1599_6.2.11_1",0.550966666666667
"114RR1599_6.27.11_1",0.550966666666667
"114RR1599_8.2.11_1",0.550966666666667
"114RR1599_8.2.11_2",0.550966666666667
"114RR1599_9.7.11_1",0.550966666666667
"114RR2678_10.11.11_1",0.578066666666667
"114RR2678_10.24.11_1",0.578066666666667
"114RR2678_6.29.11_1",0.578066666666667
"114RR2678_8.1.11_1",0.578066666666667
"114RR2678_9.13.11_1",0.578066666666667
"114RR2769_6.1.11_1",0.551933333333333
"114RR2899_10.11.11_1",0.575966666666667
"114RR2899_10.24.11_1",0.575966666666667
"114RR2899_6.1.11_1",0.575966666666667
"114RR2899_6.29.11_1",0.575966666666667
"114RR2899_8.1.11_1",0.575966666666667
"114RR2899_9.13.11_1",0.575966666666667
"202BUT850_6.4.13_1",0.8473
"202PS0134_5.31.11_1",1.1113
