"","Predicted"
"102PS0139_8.9.10_1",4.44486666666666
"103FCA168_7.24.13_1",1.21466666666667
"103PS0217_9.10.13_1",1.8534
"103RDCBCC_7.21.11_1",2.5788
"105PS0028_8.12.08_1",5.2886
"105PS0028_8.26.08_1",5.2886
"105PS0067_8.24.09_1",5.09933333333333
"105PS0067_8.24.09_2",5.09933333333333
"105PS0067_9.15.09_1",5.09933333333333
"105PS0069_8.18.09_1",1.7312
"105PS0092_8.11.08_1",4.98313333333333
"105PS0107_9.14.09_1",4.29944444444445
"105PS0129_8.11.10_1",3.2624
"105PS0129_8.11.10_2",3.2624
"105PS0149_8.29.12_1",2.66403333333333
"105PS0211_8.20.13_1",5.95486666666667
"105PS0211_9.16.13_1",5.95486666666667
"105PS0231_8.29.13_1",2.76843333333333
"105PS0276_9.1.09_1",8.04653333333333
"105PS0276_9.22.09_1",8.04653333333333
"105PS0540_8.5.10_1",6.3767
"105PS1148_9.18.12_1",7.28416666666667
"105PS1404_8.28.13_1",6.6368
"105PS1404_8.28.13_2",6.6368
"106FCA036_7.15.13_1",5.72846666666667
"106HLCACC_9.23.13_1",3.20313333333333
"106PS0022_9.30.08_1",1.1353
"106PS0051_9.16.08_1",5.26903333333334
"106PS0051_9.16.08_2",5.26903333333334
"106PS0106_9.8.09_1",4.9243
"106PS0106_9.8.09_2",4.9243
"106PS0122_9.20.10_1",3.12196666666667
"106PS0142_7.19.10_1",2.26623333333333
"106PS0206_10.3.12_1",5.87393333333333
"106PTCAHC_9.2.08_1",4.7158
"107GWCAPC_9.15.10_1",5.03036666666666
"107RWCBHW_8.3.11_1",2.5695
"107RWCBHW_8.3.11_2",2.5695
"108PS0197_8.16.12_1",2.35573333333333
"110PS0114_7.21.10_1",4.9444
"110SMCATH_7.27.11_1",5.04433333333333
"111CE0569_10.11.10_1",6.0381
"111FCA207_7.23.13_1",4.90626666666666
"111PS0008_9.29.08_1",5.50463333333333
"111PS0008_9.9.08_1",5.50463333333333
"111PS0008_9.9.08_2",5.50463333333333
"111PS0013_8.19.08_1",4.48746666666666
"111PS0095_8.27.09_1",4.03196666666666
"111PS0095_8.27.09_2",4.03196666666666
"111PS0121_7.20.10_1",5.67493333333333
"111PS0159_7.14.11_1",3.0757
"111PS0169_7.25.11_1",6.4946
"111PS0169_7.25.11_2",6.4946
"111PS0178_8.14.12_1",3.78006666666666
"111PS0237_9.12.13_1",3.58693333333333
"112PS0157_7.12.11_1",3.53156666666667
"113GAR011_8.22.11_1",4.9475
"113GAR011_9.1.10_1",4.9475
"113GAR015_8.23.11_1",4.4042
"113GAR015_8.31.10_1",4.4042
"113GAR015_9.9.13_1",4.4042
"113GAR023_7.22.14_1",4.76133333333333
"113GAR023_8.5.13_1",4.76133333333333
"113GAR030_8.26.09_1",4.30286666666666
"113GAR030_8.26.09_2",4.30286666666666
"113GAR030_8.28.12_1",4.30286666666666
"113GAR042_9.10.13_1",4.5293
"113GAR062_6.30.09_1",4.59703333333333
"113GAR062_8.27.12_1",4.59703333333333
"113GAR087_6.29.10_1",3.82683333333333
"113GAR087_8.6.13_1",3.82683333333333
"113GAR087_9.11.12_1",3.82683333333333
"113GAR087_9.11.12_2",3.82683333333333
"113GAR089_6.14.10_1",3.4029
"113GAR089_6.20.11_1",3.4029
"113GAR089_8.5.09_1",3.4029
"113GAR105_6.14.10_1",4.46323333333333
"113GAR105_6.20.11_1",4.46323333333333
"113GAR105_8.4.09_1",4.46323333333333
"113GAR112_6.15.10_1",4.61366666666667
"113GAR112_7.22.14_1",4.61366666666667
"113GAR112_8.22.11_1",4.61366666666667
"113GAR112_8.4.09_1",4.61366666666667
"113GAR112_8.4.09_2",4.61366666666667
"113GAR112_8.7.13_1",4.61366666666667
"113GAR118_7.26.10_1",4.94346666666666
"113GAR118_9.10.12_1",4.94346666666666
"113GAR178_6.21.11_1",6.18173333333333
"113GAR178_7.23.14_1",6.18173333333333
"113GAR178_8.31.10_1",6.18173333333333
"113GAR178_9.9.13_1",6.18173333333333
"113GAR178_9.9.13_2",6.18173333333333
"113GAR244_6.28.10_1",6.08176666666667
"113PS0012_9.9.08_1",5.7378
"113PS0012_9.9.08_2",5.7378
"113PS0076_8.2.12_1",4.29053333333333
"113PS0076_8.22.12_1",4.29053333333333
"113PS0120_9.14.10_1",5.6081
"113PS0168_7.6.11_1",5.27153333333333
"113PS0216_9.3.13_1",6.1156
"113PS0232_9.4.13_1",5.64513333333333
"113PS0232_9.4.13_2",5.64513333333333
"113PS0268_6.11.14_1",5.5418
"114AU7778_6.21.10_1",4.11761666666667
"114FCA199_8.1.13_1",4.5491380952381
"114GV3469_7.5.11_1",5.24453333333333
"114GV5331_7.6.11_1",3.74280476190476
"114MA2364_7.6.10_1",4.92326666666666
"114MRCURX_6.24.08_1",5.4066
"114PS0088_8.19.09_1",5.41876666666667
"114PS0209_6.10.13_1",5.31566666666667
"114PS0229_6.4.13_1",5.05386666666667
"114WER118_8.20.08_1",4.6393
"115SALG01_6.30.10_1",4.1701380952381
"115SC6093_7.7.11_1",4.07850476190476
"115SC6093_7.7.11_2",4.07850476190476
"201LAG190_10.6.08_1",7.19956666666666
"201LAG380_7.14.09_1",3.70880476190476
"201RDW080_4.29.09_1",5.61638571428572
"201RDW080_5.7.08_1",5.61638571428572
"201RDW080_6.2.10_1",5.61638571428572
"201RDW080_6.23.08_1",5.61638571428572
"201RDW080_6.3.09_1",5.61638571428572
"201RDW080_6.3.09_2",5.61638571428572
"201RDW080_8.11.09_1",5.61638571428572
"201RDW080_8.12.08_1",5.61638571428572
"202LAH950_6.13.12_1",4.82216666666667
"202MIC150_5.7.14_1",4.5554
"202PES162_4.27.09_1",4.1482
"202PES162_5.1.08_1",4.1482
"202PES162_6.16.09_1",4.1482
"202PES162_6.18.08_1",4.1482
"202PES162_6.7.10_1",4.1482
"202PES162_8.17.09_1",4.1482
"202PES162_9.10.08_1",4.1482
"202PES162_9.10.08_2",4.1482
"202PS0246_6.5.13_1",4.48723333333333
"202R00248_5.23.13_1",4.95573333333333
"202R00248_5.23.13_2",4.95573333333333
"202TUN600_5.12.14_1",3.11801428571429
"203R00983_6.6.13_1",8.20391428571428
"204ALA320_6.17.13_1",7.87841666666667
"204ALA382_6.11.13_1",5.1558
"204ALA396_6.24.13_1",5.16836666666667
"204ALA410_5.8.13_1",5.16936666666667
"204ALA525_5.22.12_1",5.60426666666667
"204IND200_5.20.08_1",5.5594
"204IND200_5.20.08_2",5.5594
"204IND200_6.16.08_1",5.5594
"204R00590_5.8.13_1",7.97923015873016
