"","Predicted"
"102PS0177_8.28.12_1",2.38293333333333
"103CDCHHR_9.14.10_1",1.76973333333333
"103STCNSR_8.9.11_1",1.70603333333333
"103WER026_8.15.12_1",2.62886666666667
"103WER029_7.16.14_1",1.40163333333333
"103WER030_8.10.11_1",1.6939
"105BVCAGC_9.21.10_1",2.55866666666667
"105CE0329_7.23.14_1",1.3406
"105CLCATC_8.10.10_1",3.93973333333333
"105DLCDCC_10.20.09_1",3.33113333333333
"105FCA116_7.16.13_1",1.42943333333333
"105FS0416_9.24.13_1",4.1225
"105FS0425_8.10.11_1",3.1233
"105FS0428_8.3.11_1",3.48383333333333
"105NWC151_6.26.13_1",6.95756666666667
"105PS0043_9.17.08_1",3.4749
"105PS0083_9.8.09_1",5.31431428571428
"105PS0090_8.7.12_1",3.77026666666667
"105PS0097_7.22.14_1",1.44536666666667
"105PS0154_8.9.11_1",3.80386666666667
"105PS0195_8.7.12_1",3.2086
"105PS0259_9.17.13_1",4.3795
"105PS0267_7.21.14_1",4.13863333333333
"105PS0468_9.1.09_1",7.20966666666667
"105PS0540_9.15.10_1",6.3767
"105PS1492_8.6.14_1",9.9416
"105WE0598_7.24.14_1",1.09556666666667
"105WLC135_6.26.13_1",8.4347
"105WLCABC_8.3.11_1",3.8581
"106FS0040_8.30.11_1",3.05973333333333
"106PS0115_9.21.10_1",4.22256666666667
"106PS0124_8.16.10_1",4.21456666666667
"106PS0166_8.2.11_1",4.7297
"106WE0505_7.21.14_1",2.03016666666667
"106WER011_9.11.13_1",3.70161666666667
"107PS0021_7.14.14_1",1.19453333333333
"107WER092_8.27.12_1",5.04396666666666
"111BBRBCC_9.23.09_1",4.03313333333333
"111CBCAER_8.8.13_1",3.64975
"111ERATRC_10.10.12_1",2.4792
"111FS0001_7.5.11_1",3.71216666666667
"111FS0008_7.19.12_1",4.12066666666667
"111HSCAER_7.26.11_1",3.83183333333333
"111PS0060_10.7.08_1",3.63963333333333
"111PS0110_6.9.14_1",1.07463333333333
"111PS0144_8.18.10_1",3.3707
"111PS0160_7.25.11_1",3.05436666666667
"111PS0204_8.17.10_1",3.72293333333333
"111RSCAER_8.8.11_1",3.05073333333334
"111TGCAER_7.24.12_1",4.00616666666667
"111WE0816_6.12.13_1",2.34003333333333
"111WE1050_6.12.13_1",4.27939047619048
"111WE1071_7.26.12_1",4.32505714285714
"111WER003_6.10.14_1",2.05333333333333
"111WER008_7.23.12_1",3.3972
"111WER159_10.19.09_1",3.3965
"113RG8046_8.19.10_1",5.6718
"114CE0131_7.31.12_1",6.49666666666667
"114PS0145_6.20.11_1",7.18176666666667
"114WE0614_7.9.12_1",6.48143333333334
"115EBAG01_7.1.10_1",7.45796666666666
"201AHO350_6.20.12_1",4.09286666666667
"201CHE300_6.18.12_1",4.4346
"201LAG335_7.15.09_1",3.70287142857143
"201MRS020_9.13.10_1",5.0846
"202BUT030_6.29.10_1",6.48843333333333
"202BUT040_6.4.14_1",2.02363333333333
"202BUT050_6.16.09_1",4.13243333333333
"202BUT480_6.25.12_1",3.18841428571429
"202BUT600_6.26.12_1",3.11131428571429
"202DRY010_6.5.13_1",6.45946666666666
"202PES168_6.6.13_1",4.4123
"202R00024_6.6.12_1",6.86113333333333
"202R00280_5.22.13_1",5.63493809523809
"204AHOACR_6.2.14_1",2.9647
"204ALA500_6.10.13_1",5.55866666666667
"204ARH090_6.2.14_1",7.9541253968254
"204IND200_5.25.10_1",5.5594
"204R00189_5.6.13_1",6.37655634920635
"204SIN300_5.15.12_1",6.38894285714285
"204VAL400_5.19.14_1",5.85081904761905
"205AAG375_5.14.14_1",6.36728571428571
"205AAG400_6.5.12_1",5.79336666666667
"205COY585_5.28.13_1",7.96787777777777
"205COY610_6.3.10_1",7.19931666666667
"205COY615_6.3.14_1",8.94515396825397
"205COY853_5.29.14_1",6.37345634920635
"205COY900_5.16.12_1",8.40841666666667
"205COY930_5.7.13_1",8.30026666666667
"205CYCAHH_6.10.08_1",8.24685
"205CYCBBC_6.28.10_1",6.53528333333333
"205LGA700_5.23.12_1",4.96283333333333
"205R00021_5.16.12_1",5.05746666666667
"205R00182_5.7.13_1",7.0736
"205WUN450_6.11.12_1",4.64983333333333
"205WUN550_5.6.13_1",4.52653333333333
"206HCT020_5.29.12_1",4.3355
"206RCCBDC_7.20.10_1",4.31763333333333
"206TUL120_6.13.11_1",4.47073333333333
"207GVC800_5.23.13_1",5.0852
"207SUI800_5.5.14_1",7.25166666666667
"304WDCAH1_6.29.10_1",6.21746666666667
"305LGCACR_7.16.08_1",6.98906666666666
"305LGCBRC_6.30.10_1",6.58686666666667
"305SSCAUC_6.29.10_1",4.23843333333333
"305UVCASC_6.29.10_1",4.97736666666667
"307CE0094_6.12.12_1",5.84101904761905
"307SCCARR_6.21.10_1",6.16849920634921
"308BSU_7.13.10_1",5.90556666666667
"308LILPAL_6.20.12_1",5.02316666666666
"308PWCAH1_6.22.10_1",4.44423333333333
"308SAM_6.23.10_1",4.92656666666667
"308SANWIL_6.12.12_1",5.60594761904762
"308SBCAH1_6.21.10_1",5.74131904761905
"309ARSARC_6.23.10_1",4.98316666666666
"309CAW126_5.21.14_1",2.68666666666667
"309NAF_5.24.12_1",3.88873333333333
"309WLCATC_6.22.10_1",4.26852142857143
"310COO_6.24.10_1",5.23583333333334
"310LPCBPC_6.9.09_1",6.0126
"312DAVDAV_6.7.12_1",6.15883333333333
"312MZCDBC_5.13.14_1",3.4024
"312RYCALR_6.16.10_1",5.6717
"402BA0287_6.9.08_1",6.7449
"402M00005_6.11.15_1",8.06666666666667
"402MTCUNF_6.5.12_1",5.4205
"402PS0048_5.21.08_1",8.71933333333333
"403BA0015_5.19.08_1",7.32653333333334
"403BA0064_6.18.14_1",6.2761
"403BA0140_5.21.08_1",7.34696666666666
"403BA0171_5.19.08_1",8.6049380952381
"403LNCASC_6.15.10_1",5.5228
"403S00875_6.24.10_1",8.24680952380953
"403S01883_6.21.10_1",4.67393333333333
"403S03643_6.24.10_1",9.52519999999999
"403S06315_6.27.12_1",6.74896666666666
"403STC064_6.8.11_1",4.72873333333333
"403STC086_6.21.11_1",5.40996666666666
"403WE0501_5.14.13_1",7.28607777777778
"403WE1027_5.14.14_1",3.0251
"405BRCAMS_6.7.11_1",5.24456666666666
"405BRCASG_5.7.14_1",1.70693333333333
"405BRCSGR_5.28.08_1",3.9072
"405SGRAAG_5.28.08_1",3.5113
"405WER318_8.18.09_1",3.43673333333334
"504DCFRxx_7.27.10_1",4.59533333333333
"504PS0227_8.12.09_1",6.24393333333333
"504WE0527_7.2.13_1",5.56314761904762
"505BMCMCR_8.4.10_1",3.04813333333333
"505LBCAMR_8.7.13_1",3.5493
"505PS0174_9.27.11_1",3.1436
"506PS0062_9.15.08_1",2.86076666666667
"507MZCAML_7.17.12_1",4.5593
"509ACNFPP_9.25.14_1",2.61926666666667
"509ACSFPP_7.16.08_1",3.9258
"509ATCINC_7.14.08_1",5.67743333333333
"509BSCADC_8.31.11_1",3.84396666666667
"509CBCADC_8.24.10_1",4.25743333333334
"509CTCADC_7.10.12_1",4.94796666666667
"509CWCPLR_7.7.08_1",5.78601428571428
"509FCA054_8.27.13_1",5.97526666666666
"509ICPPCX_9.10.08_1",5.84621428571428
"509MLC145_8.6.13_1",5.40823333333333
"509PCDTWR_9.3.08_1",4.7695
"509PMC197_7.2.14_1",2.24653333333333
"509PS0085_9.7.11_1",5.34886666666667
"509PS0170_7.26.10_1",4.29823333333333
"509PS0234_8.15.11_1",6.54976666666667
"509PS0334_9.12.12_1",5.6078
"513BTCACC_9.10.08_1",5.05443333333333
"513PS0008_9.1.10_1",5.65343333333334
"513PS0200_7.30.12_1",5.14143333333333
"514BMCARC_9.27.11_1",3.91713809523809
"514BRUUPX_10.9.08_1",4.55183809523809
"514ICEUPx_8.13.14_1",1.67223333333333
"514LNCASC_8.30.11_1",3.29956666666667
"514PCASMR_10.29.14_1",3.38756666666667
"514PS0131_7.28.14_1",4.55906666666667
"514SBCAMR_8.29.11_1",3.99906666666667
"514SCCAAR_7.24.08_1",3.67836666666667
"514SFA222_7.28.14_1",1.0728
"517LCCAYB_8.12.08_1",5.05723333333334
"517PS0054_7.28.10_1",3.45453333333333
"517PS0074_9.20.11_1",4.76353333333333
"518CHCANF_7.12.12_1",4.8849
"518CPCRCR_8.20.14_1",0.8726
"518GZCUPx_6.30.14_1",1.59343333333333
"518KNCAWC_8.15.11_1",2.3523
"518MLC181_7.15.14_1",1.88883333333333
"518PS0033_6.29.09_1",3.45656666666667
"518PS0073_8.16.11_1",6.9014
"518PS0093_9.24.12_1",8.12353333333333
"518PS0113_7.9.12_1",3.68186666666667
"518RCNAPC_8.18.14_1",1.52486666666667
"518SDCAHR_6.12.13_1",6.79986666666667
"518SED086_8.17.11_1",2.53456666666667
"518SNCABC_9.26.12_1",6.4004
"518WE0521_6.19.13_1",3.6016
"518WLCBWL_8.5.13_1",4.21496666666667
"518YLCAFR_8.17.11_1",4.46696666666667
"522CE0027_6.9.14_1",2.93293333333333
