"","Predicted"
"103KLCMSR_9.14.10_1",1.89233333333333
"105PS0193_8.29.12_1",3.95023333333333
"105PS0660_8.3.10_1",6.95756666666667
"105TMCACC_8.10.10_1",2.52536666666667
"106MNCAHC_10.1.08_1",4.71008333333333
"106WE1079_8.8.12_1",3.69853333333333
"106WER016_10.20.09_1",4.46823333333333
"107LLM101_9.13.10_1",1.15876666666667
"111BGCAER_6.11.14_1",3.08543333333333
"111FS0007_7.11.11_1",3.64923333333333
"111PAL105_7.13.11_1",5.95176666666666
"202SPE090_6.15.09_1",4.5853
"205AAG075_6.12.13_1",5.83948571428572
"205COY850_5.21.12_1",3.4404
"205SFC880_6.19.12_1",5.6355
"206BRC020_6.27.12_1",7.63581428571428
"207SUI290_6.4.12_1",7.75221904761905
"307CMRADC_5.20.14_1",4.65006666666666
"308LSRASC_7.18.11_1",5.35203333333333
"308MWCAH1_6.23.10_1",4.97573253968254
"308PS0156_6.19.12_1",4.9076
"308ROCBBQ_6.21.12_1",5.47387380952381
"309ARCBRC_8.25.08_1",4.67656666666666
"309PS0116_6.16.11_1",6.982
"312PS0099_6.14.10_1",5.75223333333333
"315CHCALS_6.15.10_1",4.54193333333333
"402BA0095_5.29.08_1",6.72096666666666
"402M00009_6.29.15_1",5.66376666666666
"403S00960_6.2.10_1",7.43116666666667
"403S01536_7.12.11_1",7.58653333333334
"403WE0540_5.14.14_1",8.57603333333333
"403WE0683_5.15.13_1",5.93094285714286
"505PS0110_9.16.10_1",3.81556666666667
"513CCNASC_7.16.14_1",3.7228
"513STCAIV_6.12.14_1",5.51183333333333
"513UNCAKC_9.23.09_1",6.44853333333333
"514SSC190_9.11.14_1",3.043
"517FCA046_8.14.13_1",4.57146666666666
"518BTCASC_6.12.13_1",4.6433
"518FCA075_8.12.13_1",3.00143333333333
"518SPC134_6.18.13_1",6.41916666666667
"522GSCBSC_9.24.09_1",3.8711
"522PS0504_6.11.13_1",5.0036
"526PNCAMF_6.25.13_1",5.61006666666667
"526PS1420_6.25.13_1",4.9813
"534MLC108_9.14.11_1",4.1047
"536HLCBFM_6.18.13_1",5.13006666666667
"537TYCAML_7.16.08_1",3.6752
"540SED003_8.30.11_1",2.50543333333333
"552DKC268_6.23.14_1",3.0367
"552MFCAKR_6.11.08_1",6.9552
"553KRNAYC_6.17.14_1",5.98223333333333
"554CLCALK_8.23.11_1",5.35863333333334
"603DDM005_9.13.11_1",5.25543333333333
"603FCA145_8.21.13_1",5.1923
"603PS0008_7.30.08_1",3.44813333333333
"603PS0075_8.15.12_1",3.1684
"603PS0109_7.29.08_1",5.19966666666667
"603PS0557_8.18.10_1",5.27883333333334
"603SPCBWC_7.22.08_1",5.22766666666666
"631DEP001_8.28.12_1",6.4744
"631PS0033_8.30.10_1",3.24943333333333
"632ELD001_9.8.11_1",4.61436666666667
"634CAT055_10.4.11_1",3.8603
"634GRF001_10.3.11_1",3.6411
"634HHCATC_10.4.11_1",4.9101
"634PS0035_9.1.10_1",3.63433333333333
"634PS0062_10.12.11_1",3.7758
"634WSN001_10.4.11_1",5.1612
"636SAG001_7.12.10_1",4.91299047619048
"639PS1279_6.11.13_1",3.42541111111111
"641OWC157_7.24.13_1",6.56703333333333
"722NP7IDC_4.16.14_1",5.7298
"801DRC025_6.25.14_1",5.9415
"801S03488_5.7.14_1",3.47083333333333
"801WE0674_5.14.13_1",5.1183
"801WE1008_5.14.13_1",2.46603333333333
"801WE1132_8.19.09_1",7.592
"901ATCAAS_6.5.08_1",7.59470158730158
"901CSCADC_5.26.11_1",8.26971666666667
"901S06969_5.31.12_1",7.42963333333334
"903WE0798_4.8.15_1",7.08933333333333
"905BCC_6.11.14_1",5.99996666666667
"905S02561_5.25.11_1",6.92270000000001
"909JQCASR_6.1.11_1",5.14166666666666
"911S03354_5.5.09_1",6.55286666666667
"911TJIND2_5.8.08_1",6.96366666666666
"911TJLCC2_4.7.15_1",6.40974444444444
"SCFC1_6.12.08_1",6.0067
"SCSS1_6.17.08_1",6.30333333333333
"SMAD1_11.5.08_1",8.31073333333333
"SMC00135_6.7.10_1",8.74996666666666
"SMC01979_7.14.11_1",5.9074
"SMC02139_7.17.12_1",5.26066666666666
"SMC04204_7.11.12_1",4.7443
"SMC04383_5.19.14_1",6.20643333333333
"SMC06467_6.28.10_1",6.79126666666667
"SMC19809_6.25.13_1",6.6389
