"","Predicted"
"105PS0188_8.26.08_1",6.93083333333333
"105PS0188_8.26.08_2",6.93083333333333
"106FC1183_7.24.14_1",3.86033333333333
"106FC1313_7.23.14_1",6.50896666666666
"106PS0078_8.26.09_1",5.4171
"106PS0173_8.4.11_1",3.99966666666667
"106PS0186_9.26.12_1",2.88666666666667
"109PS0162_7.20.11_1",5.09806666666667
"110ECSLSF_7.26.11_1",4.79016666666667
"110FCA102_7.25.13_1",4.54650476190476
"111CR1012_8.18.14_1",6.06223333333333
"111PS0057_8.18.08_1",4.9448
"113GAR010_6.8.09_1",5.0163
"113GAR010_8.27.12_1",5.0163
"113GAR038_6.8.09_1",5.95753333333333
"113GAR038_9.10.12_1",5.95753333333333
"113GAR046_6.18.12_1",4.30326666666666
"113GAR046_6.8.09_1",4.30326666666666
"113GAR046_9.2.14_1",4.30326666666666
"113GAR061_6.19.12_1",4.45593333333333
"113GAR061_7.1.09_1",4.45593333333333
"113GAR061_9.3.14_1",4.45593333333333
"113GAR061_9.3.14_2",4.45593333333333
"113GAR084_6.28.10_1",4.54396666666666
"113GAR094_7.27.10_1",4.30286666666666
"113GAR094_7.27.10_2",4.30286666666666
"113GAR110_6.18.12_1",5.48646666666666
"113GAR110_6.30.09_1",5.48646666666666
"113GAR110_9.2.14_1",5.48646666666666
"113PS0084_8.18.09_1",5.1341
"113PS0100_8.25.09_1",5.09456666666666
"113PS0132_9.15.10_1",6.00683333333333
"113PS0196_8.1.12_1",5.86546666666666
"114CR0903_8.26.13_1",6.15436666666666
"114CR0903_9.25.13_1",6.15436666666666
"114PS0149_7.10.12_1",4.89086666666666
"114PS0152_7.7.11_1",3.70746666666667
"114PS0152_8.18.11_1",3.70746666666667
"114RR1041_10.10.11_1",5.18243333333333
"114RR1041_10.25.11_1",5.18243333333333
"114RR1041_10.25.11_2",5.18243333333333
"114RR1041_8.2.11_1",5.18243333333333
"114RR1041_9.7.11_1",5.18243333333333
"114RR1310_6.2.11_1",5.1378
"114RR1599_10.10.11_1",5.49793333333333
"114RR1599_10.25.11_1",5.49793333333333
"114RR1599_6.2.11_1",5.49793333333333
"114RR1599_6.27.11_1",5.49793333333333
"114RR1599_8.2.11_1",5.49793333333333
"114RR1599_8.2.11_2",5.49793333333333
"114RR1599_9.7.11_1",5.49793333333333
"114RR2678_10.11.11_1",6.03163333333333
"114RR2678_10.24.11_1",6.03163333333333
"114RR2678_6.29.11_1",6.03163333333333
"114RR2678_8.1.11_1",6.03163333333333
"114RR2678_9.13.11_1",6.03163333333333
"114RR2769_6.1.11_1",6.02476666666666
"114RR2899_10.11.11_1",5.2691
"114RR2899_10.24.11_1",5.2691
"114RR2899_6.1.11_1",5.2691
"114RR2899_6.29.11_1",5.2691
"114RR2899_8.1.11_1",5.2691
"114RR2899_9.13.11_1",5.2691
"202BUT850_6.4.13_1",4.57493333333333
"202PS0134_5.31.11_1",6.4545
"202R00087_5.30.12_1",7.01526666666667
"202R00284_6.15.12_1",8.13063333333333
"202R00908_5.21.13_1",6.32863333333333
"203PS0070_7.19.10_1",4.9325
"203PS0070_9.7.10_1",4.9325
"203R00039_5.14.12_1",5.66173333333334
"204ALP040_4.10.11_1",5.60824444444445
"204ALP040_6.29.11_1",5.60824444444445
"204ALP105_4.10.11_1",8.2932
"204ALP151_4.10.11_1",7.57546666666667
"204ALP151_6.29.11_1",7.57546666666667
"204PS0038_6.19.08_1",6.15447619047619
"204PS0094_7.14.10_1",7.89677777777778
"204PS0102_6.15.11_1",6.01750952380952
"204PS0102_6.15.11_2",6.01750952380952
"204PS0102_8.10.11_1",6.01750952380952
"204PS0118_6.15.11_1",8.03143333333334
"204R00047_6.6.12_1",6.44141904761905
"204R00063_6.4.13_1",6.02560952380952
"204R00068_5.31.12_1",8.37506666666667
"204R00084_5.24.12_1",6.17156666666667
"204R00100_5.30.12_1",7.7564634920635
"204R00180_5.30.12_1",6.20422301587301
"204R00191_5.29.12_1",8.59289682539683
"204R00200_5.31.12_1",7.15979206349206
"204R00232_6.12.12_1",7.88119206349206
"204R00232_6.12.12_2",7.88119206349206
"204R00244_6.12.12_1",7.95409682539683
"204R00303_6.14.12_1",8.13313015873016
"204R00319_6.7.12_1",6.16017619047619
"204R00319_6.7.12_2",6.16017619047619
"204R00327_5.7.13_1",8.28674444444445
"204R00334_5.8.13_1",8.05473015873016
"204R00340_6.11.12_1",6.1509
"204R00356_5.30.12_1",7.68553015873016
"204R00356_6.4.12_1",7.68553015873016
"204R00367_6.12.12_1",6.01840952380952
"204R00383_6.11.12_1",6.65475238095238
"204R00391_6.6.12_1",7.24426666666667
"204R00436_5.20.13_1",6.58541904761905
"204R00447_4.2.13_1",7.98166666666667
"204R00447_4.22.13_1",7.98166666666667
"204R00455_6.13.12_1",5.95816666666667
"204R00473_5.9.13_1",8.40683015873016
"204R00473_5.9.13_2",8.40683015873016
"204R00520_5.28.13_1",8.16402063492064
"204R00583_6.13.12_1",6.64595238095238
"204R00596_5.31.12_1",8.45029682539683
"204R00623_6.3.13_1",6.10694285714286
"204R00639_6.19.12_1",5.95816666666667
"204R00680_5.28.13_1",6.25073492063492
"204R00724_5.21.13_1",5.9148
"204R00807_5.21.13_1",6.54816666666667
"204R00852_5.6.13_1",7.91949047619047
"204R00884_5.20.13_1",8.47052142857143
"204R00967_4.25.13_1",6.3539
"204R01316_5.22.13_1",8.16402063492064
"204R01471_5.22.13_1",8.23217777777778
"205PS0045_6.17.09_1",4.66786666666666
"205PS0045_6.17.09_2",4.66786666666666
"205PS0074_7.14.10_1",7.38473333333333
"205PS0106_6.21.11_1",8.2621
"205PS0109_6.21.11_1",7.22423333333334
"205PS0138_6.1.11_1",7.1414
"205PS0157_6.19.12_1",6.42169047619048
"205PS0170_6.19.12_1",6.49103333333334
"205PS0173_6.20.12_1",7.11073333333333
"205PS0173_6.20.12_2",7.11073333333333
"205PS0202_5.22.13_1",7.14166666666667
"205PS0202_7.17.13_1",7.14166666666667
"205PS0221_5.20.13_1",8.10161666666667
"205R00026_5.14.12_1",4.47666666666666
"205R00035_5.24.12_1",6.29726666666667
"205R00035_5.24.12_2",6.29726666666667
"205R00042_5.21.12_1",7.88119206349206
"205R00067_6.3.12_1",5.68385238095238
"205R00088_6.4.12_1",6.1853
"205R00090_5.23.12_1",7.1322
