"","Predicted"
"102PS0139_8.9.10_1",0.422166666666667
"103FCA168_7.24.13_1",0.000399999999999835
"103PS0217_9.10.13_1",0.000399999999999835
"103RDCBCC_7.21.11_1",0.2805
"105PS0028_8.12.08_1",0.0242
"105PS0028_8.26.08_1",0.0242
"105PS0067_8.24.09_1",0.0521
"105PS0067_8.24.09_2",0.0521
"105PS0067_9.15.09_1",0.0521
"105PS0069_8.18.09_1",0.00209999999999981
"105PS0092_8.11.08_1",0.000399999999999834
"105PS0107_9.14.09_1",0.205233333333333
"105PS0129_8.11.10_1",0.428166666666667
"105PS0129_8.11.10_2",0.428166666666667
"105PS0149_8.29.12_1",0.129833333333333
"105PS0211_8.20.13_1",0.0444333333333333
"105PS0211_9.16.13_1",0.0444333333333333
"105PS0231_8.29.13_1",0.198333333333333
"105PS0276_9.1.09_1",0.510666666666667
"105PS0276_9.22.09_1",0.510666666666667
"105PS0540_8.5.10_1",0.000399999999999835
"105PS1148_9.18.12_1",0.364233333333334
"105PS1404_8.28.13_1",0.3657
"105PS1404_8.28.13_2",0.3657
"106FCA036_7.15.13_1",0.0233
"106HLCACC_9.23.13_1",0.157033333333333
"106PS0022_9.30.08_1",0.185566666666667
"106PS0051_9.16.08_1",0.1103
"106PS0051_9.16.08_2",0.1103
"106PS0106_9.8.09_1",0.00406666666666664
"106PS0106_9.8.09_2",0.00406666666666664
"106PS0122_9.20.10_1",0.0023999999999998
"106PS0142_7.19.10_1",0.184266666666667
"106PS0206_10.3.12_1",0.364433333333333
"106PTCAHC_9.2.08_1",0.2064
"107GWCAPC_9.15.10_1",0.246133333333333
"107RWCBHW_8.3.11_1",0.443033333333333
"107RWCBHW_8.3.11_2",0.443033333333333
"108PS0197_8.16.12_1",0.178
"110PS0114_7.21.10_1",0.0916
"110SMCATH_7.27.11_1",0.0916
"111CE0569_10.11.10_1",0.0634666666666666
"111FCA207_7.23.13_1",0.232166666666667
"111PS0008_9.29.08_1",0.268114285714286
"111PS0008_9.9.08_1",0.268114285714286
"111PS0008_9.9.08_2",0.268114285714286
"111PS0013_8.19.08_1",0.0597666666666666
"111PS0095_8.27.09_1",0.365366666666667
"111PS0095_8.27.09_2",0.365366666666667
"111PS0121_7.20.10_1",0.289566666666667
"111PS0159_7.14.11_1",0.428438095238095
"111PS0169_7.25.11_1",0.123066666666667
"111PS0169_7.25.11_2",0.123066666666667
"111PS0178_8.14.12_1",0.0203
"111PS0237_9.12.13_1",0.0100666666666666
"112PS0157_7.12.11_1",0.122833333333333
"113GAR011_8.22.11_1",0.7285
"113GAR011_9.1.10_1",0.7285
"113GAR015_8.23.11_1",0.575866666666667
"113GAR015_8.31.10_1",0.575866666666667
"113GAR015_9.9.13_1",0.575866666666667
"113GAR023_7.22.14_1",0.728033333333333
