"","Predicted"
"102PS0177_8.28.12_1",0.149333333333333
"103CDCHHR_9.14.10_1",0.000399999999999835
"103STCNSR_8.9.11_1",0.098
"103WER026_8.15.12_1",0.000399999999999838
"103WER029_7.16.14_1",0.000399999999999836
"103WER030_8.10.11_1",0.0518
"105BVCAGC_9.21.10_1",0.0185600804424333
"105CE0329_7.23.14_1",0.0713
"105CLCATC_8.10.10_1",0.0257
"105DLCDCC_10.20.09_1",0.107933333333333
"105FCA116_7.16.13_1",0.00209999999999981
"105FS0416_9.24.13_1",0.000399999999999835
"105FS0425_8.10.11_1",0.169333333333333
"105FS0428_8.3.11_1",0.178390476190476
"105NWC151_6.26.13_1",0.8535
"105PS0043_9.17.08_1",0.0257
"105PS0083_9.8.09_1",0.585066666666667
"105PS0090_8.7.12_1",0.0466333333333333
"105PS0097_7.22.14_1",0.2055
"105PS0154_8.9.11_1",0.0100666666666666
"105PS0195_8.7.12_1",0.112833333333333
"105PS0259_9.17.13_1",0.0526666666666667
"105PS0267_7.21.14_1",0.1477
"105PS0468_9.1.09_1",0.8358
"105PS0540_9.15.10_1",0.000399999999999835
"105PS1492_8.6.14_1",0.348366666666667
"105WE0598_7.24.14_1",0.175733333333333
"105WLC135_6.26.13_1",0.863733333333334
"105WLCABC_8.3.11_1",0.0984
"106FS0040_8.30.11_1",0.160766666666667
"106PS0115_9.21.10_1",0.0275999999999999
"106PS0124_8.16.10_1",0.0614666666666667
"106PS0166_8.2.11_1",0.0111
"106WE0505_7.21.14_1",0.0063999999999998
"106WER011_9.11.13_1",0.243790476190476
"107PS0021_7.14.14_1",0.00609999999999979
"107WER092_8.27.12_1",0.148066666666667
"111BBRBCC_9.23.09_1",0.567566666666666
"111CBCAER_8.8.13_1",0.0282333333333333
"111ERATRC_10.10.12_1",0.481680952380952
"111FS0001_7.5.11_1",0.101114285714286
"111FS0008_7.19.12_1",0.0267333333333333
"111HSCAER_7.26.11_1",0.0680333333333333
"111PS0060_10.7.08_1",0.0373333333333333
"111PS0110_6.9.14_1",0.0302333333333333
"111PS0144_8.18.10_1",0.0737333333333333
"111PS0160_7.25.11_1",0.0656333333333333
"111PS0204_8.17.10_1",0.123947619047619
"111RSCAER_8.8.11_1",0.168233333333333
"111TGCAER_7.24.12_1",0.550766666666667
"111WE0816_6.12.13_1",0.0216333333333333
"111WE1050_6.12.13_1",0.0163333333333333
"111WE1071_7.26.12_1",0.0389666666666667
"111WER003_6.10.14_1",0.0395
"111WER008_7.23.12_1",0.0613666666666667
"111WER159_10.19.09_1",0.3576
"113RG8046_8.19.10_1",0.0365333333333333
"114CE0131_7.31.12_1",0.750833333333333
"114PS0145_6.20.11_1",0.7601
"114WE0614_7.9.12_1",0.627966666666667
"115EBAG01_7.1.10_1",0.0811333333333333
"201AHO350_6.20.12_1",0.144033333333333
"201CHE300_6.18.12_1",0.172266666666667
"201LAG335_7.15.09_1",0.0474333333333333
"201MRS020_9.13.10_1",0.0480333333333333
"202BUT030_6.29.10_1",0.1141
"202BUT040_6.4.14_1",0.0461333333333333
"202BUT050_6.16.09_1",0.152433882783883
"202BUT480_6.25.12_1",0.215367216117216
"202BUT600_6.26.12_1",0.421800549450549
"202DRY010_6.5.13_1",0.1569
"202PES168_6.6.13_1",0.0541666666666667
"202R00024_6.6.12_1",0.6876
"202R00280_5.22.13_1",0.0716481684981685
"204AHOACR_6.2.14_1",0.00373333333333331
"204ALA500_6.10.13_1",0.0509666666666667
"204ARH090_6.2.14_1",0.0427666666666667
"204IND200_5.25.10_1",0.0951666666666667
"204R00189_5.6.13_1",0.0498333333333333
"204SIN300_5.15.12_1",0.0478333333333333
"204VAL400_5.19.14_1",0.00373333333333331
"205AAG375_5.14.14_1",0.0183333333333333
"205AAG400_6.5.12_1",0.0183333333333333
"205COY585_5.28.13_1",0.913566666666667
"205COY610_6.3.10_1",0.949
"205COY615_6.3.14_1",0.947133333333334
"205COY853_5.29.14_1",0.558666666666667
"205COY900_5.16.12_1",0.452966666666667
"205COY930_5.7.13_1",0.805366666666667
"205CYCAHH_6.10.08_1",0.952066666666667
"205CYCBBC_6.28.10_1",0.947133333333334
"205LGA700_5.23.12_1",0.0575333333333333
"205R00021_5.16.12_1",0.0681857142857143
"205R00182_5.7.13_1",0.116266666666667
"205WUN450_6.11.12_1",0.0841
"205WUN550_5.6.13_1",0.0371
"206HCT020_5.29.12_1",0.0861
"206RCCBDC_7.20.10_1",0.0486
"206TUL120_6.13.11_1",0.0284
"207GVC800_5.23.13_1",0.0446
"207SUI800_5.5.14_1",0.2768
"304WDCAH1_6.29.10_1",0.0570666666666666
"305LGCACR_7.16.08_1",1.01153333333333
"305LGCBRC_6.30.10_1",0.149033333333333
"305SSCAUC_6.29.10_1",0.0728434065934066
"305UVCASC_6.29.10_1",0.0728434065934066
"307CE0094_6.12.12_1",0.121366666666667
"307SCCARR_6.21.10_1",0.705633333333334
"308BSU_7.13.10_1",0.2576
"308LILPAL_6.20.12_1",0.1419
"308PWCAH1_6.22.10_1",0.0117
"308SAM_6.23.10_1",0.00299999999999998
"308SANWIL_6.12.12_1",0.0883
"308SBCAH1_6.21.10_1",0.161133333333333
"309ARSARC_6.23.10_1",0.0938195970695971
"309CAW126_5.21.14_1",0.0473
"309NAF_5.24.12_1",0.1058
"309WLCATC_6.22.10_1",0.00299999999999998
"310COO_6.24.10_1",0.515033333333334
"310LPCBPC_6.9.09_1",0.767466666666667
"312DAVDAV_6.7.12_1",1.59966666666667
"312MZCDBC_5.13.14_1",0.392466666666667
"312RYCALR_6.16.10_1",0.179004761904762
"402BA0287_6.9.08_1",0.917700000000001
"402M00005_6.11.15_1",1.33833333333333
"402MTCUNF_6.5.12_1",0.7413
"402PS0048_5.21.08_1",1.15166666666667
"403BA0015_5.19.08_1",0.7607
"403BA0064_6.18.14_1",0.100179365079365
"403BA0140_5.21.08_1",0.685366666666667
"403BA0171_5.19.08_1",0.291066666666667
"403LNCASC_6.15.10_1",0.898338095238095
"403S00875_6.24.10_1",0.8722
"403S01883_6.21.10_1",0.1518
"403S03643_6.24.10_1",0.9121
"403S06315_6.27.12_1",0.733266666666666
"403STC064_6.8.11_1",1.03333333333333
"403STC086_6.21.11_1",1.40706666666667
"403WE0501_5.14.13_1",0.762333333333333
"403WE1027_5.14.14_1",0.0994666666666667
"405BRCAMS_6.7.11_1",0.0144
"405BRCASG_5.7.14_1",0.0895333333333333
"405BRCSGR_5.28.08_1",0.0504
"405SGRAAG_5.28.08_1",0.174733333333333
"405WER318_8.18.09_1",0.00639999999999998
"504DCFRxx_7.27.10_1",0.391133333333333
"504PS0227_8.12.09_1",0.607733333333333
"504WE0527_7.2.13_1",0.5673
"505BMCMCR_8.4.10_1",0.0195
"505LBCAMR_8.7.13_1",0.0233
"505PS0174_9.27.11_1",0.0203333333333333
"506PS0062_9.15.08_1",0.00406666666666664
"507MZCAML_7.17.12_1",0.000399999999999804
"509ACNFPP_9.25.14_1",0.0271333333333333
"509ACSFPP_7.16.08_1",0.0697666666666666
"509ATCINC_7.14.08_1",0.0697666666666666
"509BSCADC_8.31.11_1",0.1041
"509CBCADC_8.24.10_1",0.587466666666667
"509CTCADC_7.10.12_1",0.0581333333333333
"509CWCPLR_7.7.08_1",0.294966666666667
"509FCA054_8.27.13_1",0.553666666666667
"509ICPPCX_9.10.08_1",0.178066666666667
"509MLC145_8.6.13_1",0.000399999999999804
"509PCDTWR_9.3.08_1",0.00406666666666664
"509PMC197_7.2.14_1",0.00406666666666664
"509PS0085_9.7.11_1",0.131966666666667
"509PS0170_7.26.10_1",0.0203333333333333
"509PS0234_8.15.11_1",0.0663
"509PS0334_9.12.12_1",0.5473
"513BTCACC_9.10.08_1",0.7434
"513PS0008_9.1.10_1",0.805833333333334
"513PS0200_7.30.12_1",0.472033333333333
"514BMCARC_9.27.11_1",0.0826666666666667
"514BRUUPX_10.9.08_1",0.4902
"514ICEUPx_8.13.14_1",0.100144444444444
"514LNCASC_8.30.11_1",0.0614666666666667
"514PCASMR_10.29.14_1",0.0295333333333333
"514PS0131_7.28.14_1",0.0762333333333333
"514SBCAMR_8.29.11_1",0.0179333333333333
"514SCCAAR_7.24.08_1",0.0290666666666667
"514SFA222_7.28.14_1",0.163933333333333
"517LCCAYB_8.12.08_1",0.00256666666666645
"517PS0054_7.28.10_1",0.00713333333333328
"517PS0074_9.20.11_1",0.0253
"518CHCANF_7.12.12_1",0.381980952380952
"518CPCRCR_8.20.14_1",0.184533333333333
"518GZCUPx_6.30.14_1",0.00806666666666647
"518KNCAWC_8.15.11_1",0.000399999999999804
"518MLC181_7.15.14_1",0.0725238095238095
"518PS0033_6.29.09_1",0.120366666666667
"518PS0073_8.16.11_1",0.2248
"518PS0093_9.24.12_1",0.6537
"518PS0113_7.9.12_1",0.0547
"518RCNAPC_8.18.14_1",0.0132777777777777
"518SDCAHR_6.12.13_1",0.1133
"518SED086_8.17.11_1",0.00666666666666662
"518SNCABC_9.26.12_1",0.0253
"518WE0521_6.19.13_1",0.0779333333333333
"518WLCBWL_8.5.13_1",0.000399999999999804
"518YLCAFR_8.17.11_1",0.658433333333334
"522CE0027_6.9.14_1",0.2193
"522MFSCRB_9.18.08_1",0.0968333333333333
"523PS0172_8.10.11_1",0.103666666666667
"523TMCATG_10.5.09_1",0.5253
"524PS0342_7.18.12_1",0.700933333333334
"524PS0650_7.17.14_1",0.0551
"526PS0072_8.7.14_1",0.1335
"526PS0076_8.26.08_1",0.00209999999999981
"526PS0396_9.1.09_1",0.589733333333333
"526PS1100_8.21.12_1",0.114964285714286
"526PS1144_8.22.12_1",0.00316666666666661
"526PSCBLK_8.21.12_1",0.503757142857143
"526WER123_8.21.12_1",0.0215777777777777
"526WTCACT_6.24.13_1",0.4807
"527PS1156_8.21.12_1",0.143333333333333
"532CPC238_7.30.14_1",0.118133333333333
"532CRM206_7.10.14_1",0.00149999999999977
"532PTCAER_8.19.13_1",0.0106666666666666
"534ANCACF_8.31.10_1",0.21317380952381
