"","Predicted"
"103KLCMSR_9.14.10_1",0.0518
"105PS0193_8.29.12_1",0.0888
"105PS0660_8.3.10_1",0.8535
"105TMCACC_8.10.10_1",0.1359
"106MNCAHC_10.1.08_1",0.119
"106WE1079_8.8.12_1",0.0127999999999999
"106WER016_10.20.09_1",0.185566666666667
"107LLM101_9.13.10_1",0.00769999999999979
"111BGCAER_6.11.14_1",0.351333333333333
"111FS0007_7.11.11_1",0.205338095238095
"111PAL105_7.13.11_1",0.0902
"202SPE090_6.15.09_1",0.1587
"205AAG075_6.12.13_1",0.0433100732600733
"205COY850_5.21.12_1",0.231559523809524
"205SFC880_6.19.12_1",0.277166666666667
"206BRC020_6.27.12_1",0.4142
"207SUI290_6.4.12_1",0.0786767399267399
"307CMRADC_5.20.14_1",0.4315
"308LSRASC_7.18.11_1",0.170166666666667
"308MWCAH1_6.23.10_1",0.146342857142857
"308PS0156_6.19.12_1",0.1359
"308ROCBBQ_6.21.12_1",0.3904
"309ARCBRC_8.25.08_1",0.3044
"309PS0116_6.16.11_1",0.421966666666667
"312PS0099_6.14.10_1",0.392466666666667
"315CHCALS_6.15.10_1",0.268633333333333
"402BA0095_5.29.08_1",0.801666666666667
"402M00009_6.29.15_1",0.710533333333334
"403S00960_6.2.10_1",0.287419047619048
"403S01536_7.12.11_1",0.546866666666667
"403WE0540_5.14.14_1",0.216133333333333
"403WE0683_5.15.13_1",0.316766666666667
"505PS0110_9.16.10_1",0.0195
"513CCNASC_7.16.14_1",0.6352
"513STCAIV_6.12.14_1",0.377766666666667
"513UNCAKC_9.23.09_1",0.5155
"514SSC190_9.11.14_1",0.0111999999999999
"517FCA046_8.14.13_1",0.00713333333333328
"518BTCASC_6.12.13_1",0.133933333333333
"518FCA075_8.12.13_1",0.121366666666667
"518SPC134_6.18.13_1",0.0273666666666666
"522GSCBSC_9.24.09_1",0.359066666666667
"522PS0504_6.11.13_1",0.360733333333333
"526PNCAMF_6.25.13_1",0.0773
"526PS1420_6.25.13_1",0.246133333333333
"534MLC108_9.14.11_1",-2.40696351738734e-16
"536HLCBFM_6.18.13_1",0.0978333333333333
"537TYCAML_7.16.08_1",0.000399999999999907
"540SED003_8.30.11_1",0.00116666666666658
"552DKC268_6.23.14_1",0.0262666666666666
"552MFCAKR_6.11.08_1",0.249166666666667
"553KRNAYC_6.17.14_1",0.139
"554CLCALK_8.23.11_1",0.0092666666666665
"603DDM005_9.13.11_1",0.00919999999999985
"603FCA145_8.21.13_1",0.178807142857143
"603PS0008_7.30.08_1",0.00039999999999991
"603PS0075_8.15.12_1",0.208133333333333
"603PS0109_7.29.08_1",0.179066666666667
"603PS0557_8.18.10_1",0.112866666666667
"603SPCBWC_7.22.08_1",0.00529999999999981
"631DEP001_8.28.12_1",0.00986666666666661
"631PS0033_8.30.10_1",-2.40696351738734e-16
"632ELD001_9.8.11_1",-2.40918396343659e-16
"634CAT055_10.4.11_1",0.00709999999999992
"634GRF001_10.3.11_1",0.0530333333333333
"634HHCATC_10.4.11_1",0.00169999999999979
"634PS0035_9.1.10_1",0.00789999999999992
"634PS0062_10.12.11_1",0.195188095238095
"634WSN001_10.4.11_1",0.140533333333333
"636SAG001_7.12.10_1",0.2087
"639PS1279_6.11.13_1",0.135266666666667
"641OWC157_7.24.13_1",0.286533333333333
"722NP7IDC_4.16.14_1",0.726187301587301
"801DRC025_6.25.14_1",0.1868
"801S03488_5.7.14_1",0.037
"801WE0674_5.14.13_1",0.1811
"801WE1008_5.14.13_1",0.117566666666667
"801WE1132_8.19.09_1",0.151733333333333
"901ATCAAS_6.5.08_1",0.150519047619048
"901CSCADC_5.26.11_1",0.428666666666667
"901S06969_5.31.12_1",0.893163492063493
"903WE0798_4.8.15_1",0.8774
"905BCC_6.11.14_1",1.11388571428571
"905S02561_5.25.11_1",0.9023
"909JQCASR_6.1.11_1",1.05363333333333
"911S03354_5.5.09_1",1.3826
"911TJIND2_5.8.08_1",1.00503333333333
"911TJLCC2_4.7.15_1",1.10756666666667
"SCFC1_6.12.08_1",0.263533333333333
"SCSS1_6.17.08_1",0.388966666666666
"SMAD1_11.5.08_1",0.89188253968254
"SMC00135_6.7.10_1",0.430766666666667
"SMC01979_7.14.11_1",0.801333333333334
"SMC02139_7.17.12_1",0.0961793650793651
"SMC04204_7.11.12_1",0.089
"SMC04383_5.19.14_1",0.917700000000001
"SMC06467_6.28.10_1",0.54877619047619
"SMC19809_6.25.13_1",0.910933333333334
