"","Predicted"
"105PS0188_8.26.08_1",0.364233333333334
"105PS0188_8.26.08_2",0.364233333333334
"106FC1183_7.24.14_1",0.123066666666667
"106FC1313_7.23.14_1",0.0642
"106PS0078_8.26.09_1",0.184266666666667
"106PS0173_8.4.11_1",0.0201666666666667
"106PS0186_9.26.12_1",0.0203333333333333
"109PS0162_7.20.11_1",0.00249999999999995
"110ECSLSF_7.26.11_1",0.0699333333333333
"110FCA102_7.25.13_1",0.0228333333333333
"111CR1012_8.18.14_1",0.162533333333333
"111PS0057_8.18.08_1",0.0843333333333333
"113GAR010_6.8.09_1",0.251576190476191
"113GAR010_8.27.12_1",0.251576190476191
"113GAR038_6.8.09_1",0.291833333333333
"113GAR038_9.10.12_1",0.291833333333333
"113GAR046_6.18.12_1",0.727133333333333
"113GAR046_6.8.09_1",0.727133333333333
"113GAR046_9.2.14_1",0.727133333333333
"113GAR061_6.19.12_1",0.7285
"113GAR061_7.1.09_1",0.7285
"113GAR061_9.3.14_1",0.7285
"113GAR061_9.3.14_2",0.7285
"113GAR084_6.28.10_1",0.294733333333333
"113GAR094_7.27.10_1",0.5745
"113GAR094_7.27.10_2",0.5745
"113GAR110_6.18.12_1",0.257
"113GAR110_6.30.09_1",0.257
"113GAR110_9.2.14_1",0.257
"113PS0084_8.18.09_1",0.158947619047619
"113PS0100_8.25.09_1",0.3415
"113PS0132_9.15.10_1",0.412780952380952
"113PS0196_8.1.12_1",0.201466666666667
"114CR0903_8.26.13_1",0.748933333333333
"114CR0903_9.25.13_1",0.748933333333333
"114PS0149_7.10.12_1",0.265566666666667
"114PS0152_7.7.11_1",0.0861
"114PS0152_8.18.11_1",0.0861
"114RR1041_10.10.11_1",0.330666666666667
"114RR1041_10.25.11_1",0.330666666666667
"114RR1041_10.25.11_2",0.330666666666667
"114RR1041_8.2.11_1",0.330666666666667
"114RR1041_9.7.11_1",0.330666666666667
"114RR1310_6.2.11_1",0.341366666666667
"114RR1599_10.10.11_1",0.320433333333333
"114RR1599_10.25.11_1",0.320433333333333
"114RR1599_6.2.11_1",0.320433333333333
"114RR1599_6.27.11_1",0.320433333333333
"114RR1599_8.2.11_1",0.320433333333333
"114RR1599_8.2.11_2",0.320433333333333
"114RR1599_9.7.11_1",0.320433333333333
"114RR2678_10.11.11_1",0.625
"114RR2678_10.24.11_1",0.625
"114RR2678_6.29.11_1",0.625
"114RR2678_8.1.11_1",0.625
"114RR2678_9.13.11_1",0.625
"114RR2769_6.1.11_1",0.635
"114RR2899_10.11.11_1",0.674033333333333
"114RR2899_10.24.11_1",0.674033333333333
"114RR2899_6.1.11_1",0.674033333333333
"114RR2899_6.29.11_1",0.674033333333333
"114RR2899_8.1.11_1",0.674033333333333
"114RR2899_9.13.11_1",0.674033333333333
"202BUT850_6.4.13_1",0.1089
"202PS0134_5.31.11_1",0.248233333333333
"202R00087_5.30.12_1",0.163466666666667
"202R00284_6.15.12_1",0.180776190476191
"202R00908_5.21.13_1",0.162666666666667
"203PS0070_7.19.10_1",0.1261
"203PS0070_9.7.10_1",0.1261
"203R00039_5.14.12_1",0.0348666666666667
"204ALP040_4.10.11_1",0.192433333333333
"204ALP040_6.29.11_1",0.192433333333333
"204ALP105_4.10.11_1",0.617833333333334
"204ALP151_4.10.11_1",0.208966666666667
"204ALP151_6.29.11_1",0.208966666666667
"204PS0038_6.19.08_1",0.0477333333333333
"204PS0094_7.14.10_1",0.133466666666667
