"","Predicted"
"102PS0139_8.9.10_1",-7.89368570508486e-17
"103FCA168_7.24.13_1",0.103433333333333
"103PS0217_9.10.13_1",0.103433333333333
"103RDCBCC_7.21.11_1",0.0392
"105PS0028_8.12.08_1",0.2134
"105PS0028_8.26.08_1",0.2134
"105PS0067_8.24.09_1",0.00579999999999997
"105PS0067_8.24.09_2",0.00579999999999997
"105PS0067_9.15.09_1",0.00579999999999997
"105PS0069_8.18.09_1",-7.27196081129478e-17
"105PS0092_8.11.08_1",0.2761
"105PS0107_9.14.09_1",0.2618
"105PS0129_8.11.10_1",0.0454666666666667
"105PS0129_8.11.10_2",0.0454666666666667
"105PS0149_8.29.12_1",0.00299999999999994
"105PS0211_8.20.13_1",0.0040333333333333
"105PS0211_9.16.13_1",0.0040333333333333
"105PS0231_8.29.13_1",0.0490666666666667
"105PS0276_9.1.09_1",0.213933333333333
"105PS0276_9.22.09_1",0.213933333333333
"105PS0540_8.5.10_1",0.123358946608947
"105PS1148_9.18.12_1",0.172866666666667
"105PS1404_8.28.13_1",0.1065
"105PS1404_8.28.13_2",0.1065
"106FCA036_7.15.13_1",0.253933333333333
"106HLCACC_9.23.13_1",-8.02691246803988e-17
"106PS0022_9.30.08_1",0.0214666666666667
"106PS0051_9.16.08_1",0.0401333333333333
"106PS0051_9.16.08_2",0.0401333333333333
"106PS0106_9.8.09_1",0.241666666666667
"106PS0106_9.8.09_2",0.241666666666667
"106PS0122_9.20.10_1",0.0514666666666667
"106PS0142_7.19.10_1",0.1234
"106PS0206_10.3.12_1",0.186866666666667
"106PTCAHC_9.2.08_1",0.163685714285714
"107GWCAPC_9.15.10_1",0.00299999999999994
"107RWCBHW_8.3.11_1",-7.99360577730113e-17
"107RWCBHW_8.3.11_2",-7.99360577730113e-17
"108PS0197_8.16.12_1",-7.80486786311485e-17
"110PS0114_7.21.10_1",0.100866666666667
"110SMCATH_7.27.11_1",0.0955666666666666
"111CE0569_10.11.10_1",0.0618333333333333
"111FCA207_7.23.13_1",0.00546666666666666
"111PS0008_9.29.08_1",0.2282
"111PS0008_9.9.08_1",0.2282
"111PS0008_9.9.08_2",0.2282
"111PS0013_8.19.08_1",0.0567666666666667
"111PS0095_8.27.09_1",0.0558333333333333
"111PS0095_8.27.09_2",0.0558333333333333
"111PS0121_7.20.10_1",0.00189999999999994
"111PS0159_7.14.11_1",0.194333333333333
"111PS0169_7.25.11_1",0.00329999999999995
"111PS0169_7.25.11_2",0.00329999999999995
"111PS0178_8.14.12_1",0.0563666666666667
"111PS0237_9.12.13_1",0.036
"112PS0157_7.12.11_1",0.360509523809524
"113GAR011_8.22.11_1",0.103233333333333
"113GAR011_9.1.10_1",0.103233333333333
"113GAR015_8.23.11_1",0.0478666666666667
"113GAR015_8.31.10_1",0.0478666666666667
"113GAR015_9.9.13_1",0.0478666666666667
"113GAR023_7.22.14_1",0.103233333333333
"113GAR023_8.5.13_1",0.103233333333333
