"","Predicted"
"102PS0177_8.28.12_1",0.0529666666666666
"103CDCHHR_9.14.10_1",0.000399999999999929
"103STCNSR_8.9.11_1",0.00399999999999995
"103WER026_8.15.12_1",0.000399999999999928
"103WER029_7.16.14_1",0.000399999999999928
"103WER030_8.10.11_1",-7.67164110015983e-17
"105BVCAGC_9.21.10_1",0.0645
"105CE0329_7.23.14_1",-7.70494779089859e-17
"105CLCATC_8.10.10_1",-7.90478793533111e-17
"105DLCDCC_10.20.09_1",-7.8381745538536e-17
"105FCA116_7.16.13_1",0.000399999999999925
"105FS0416_9.24.13_1",-7.36077865326479e-17
"105FS0425_8.10.11_1",0.0189333333333333
"105FS0428_8.3.11_1",0.00196666666666659
"105NWC151_6.26.13_1",0.0246
"105PS0043_9.17.08_1",-7.99360577730113e-17
"105PS0083_9.8.09_1",0.00199999999999993
"105PS0090_8.7.12_1",-7.90478793533111e-17
"105PS0097_7.22.14_1",-7.86037901434611e-17
"105PS0154_8.9.11_1",0.505266666666667
"105PS0195_8.7.12_1",0.00396666666666661
"105PS0259_9.17.13_1",0.0309666666666667
"105PS0267_7.21.14_1",0.0207
"105PS0468_9.1.09_1",0.493866666666667
"105PS0540_9.15.10_1",0.123358946608947
"105PS1492_8.6.14_1",0.144533333333333
"105WE0598_7.24.14_1",0.0621333333333333
"105WLC135_6.26.13_1",0.1262
"105WLCABC_8.3.11_1",0.00396666666666664
"106FS0040_8.30.11_1",0.00729999999999997
"106PS0115_9.21.10_1",0.03
"106PS0124_8.16.10_1",0.0365
"106PS0166_8.2.11_1",0.00299999999999994
"106WE0505_7.21.14_1",-7.18314296932476e-17
"106WER011_9.11.13_1",-7.99360577730113e-17
"107PS0021_7.14.14_1",0.000399999999999929
"107WER092_8.27.12_1",0.00299999999999994
"111BBRBCC_9.23.09_1",0.00779999999999997
"111CBCAER_8.8.13_1",0.0175
"111ERATRC_10.10.12_1",0.0387
"111FS0001_7.5.11_1",0.0520666666666667
"111FS0008_7.19.12_1",0.0149333333333333
"111HSCAER_7.26.11_1",0.00369999999999996
"111PS0060_10.7.08_1",-8.37108160567368e-17
"111PS0110_6.9.14_1",0.00693333333333333
"111PS0144_8.18.10_1",0.181466666666667
"111PS0160_7.25.11_1",0.00919999999999999
"111PS0204_8.17.10_1",0.0508666666666666
"111RSCAER_8.8.11_1",0.149866666666667
"111TGCAER_7.24.12_1",0.00389999999999997
"111WE0816_6.12.13_1",0.0127
"111WE1050_6.12.13_1",0.0802428571428571
"111WE1071_7.26.12_1",0.0597666666666666
"111WER003_6.10.14_1",0.00369999999999996
"111WER008_7.23.12_1",0.0257666666666667
"111WER159_10.19.09_1",0.00389999999999997
"113RG8046_8.19.10_1",0.548752380952381
"114CE0131_7.31.12_1",0.0374
"114PS0145_6.20.11_1",0.649666666666667
"114WE0614_7.9.12_1",0.103966666666667
"115EBAG01_7.1.10_1",0.734666666666667
"201AHO350_6.20.12_1",0.291466666666667
"201CHE300_6.18.12_1",0.2096
"201LAG335_7.15.09_1",0.216252380952381
"201MRS020_9.13.10_1",0.122333333333333
"202BUT030_6.29.10_1",0.471228571428571
"202BUT040_6.4.14_1",0.243433333333333
"202BUT050_6.16.09_1",0.125293867243867
"202BUT480_6.25.12_1",0.134417676767677
"202BUT600_6.26.12_1",0.134417676767677
"202DRY010_6.5.13_1",1.51748571428571
"202PES168_6.6.13_1",0.6887
"202R00024_6.6.12_1",0.0976
"202R00280_5.22.13_1",0.66997481962482
"204AHOACR_6.2.14_1",0.113947619047619
"204ALA500_6.10.13_1",0.214333333333333
"204ARH090_6.2.14_1",0.826166666666667
"204IND200_5.25.10_1",0.0518666666666667
"204R00189_5.6.13_1",0.0935666666666667
"204SIN300_5.15.12_1",1.39763333333333
"204VAL400_5.19.14_1",0.0832
"205AAG375_5.14.14_1",0.582033333333333
"205AAG400_6.5.12_1",0.0938
"205COY585_5.28.13_1",0.471133333333333
"205COY610_6.3.10_1",0.2703
"205COY615_6.3.14_1",1.28443333333333
"205COY853_5.29.14_1",0.803866666666667
"205COY900_5.16.12_1",0.4531
"205COY930_5.7.13_1",0.7325
"205CYCAHH_6.10.08_1",0.668066666666666
"205CYCBBC_6.28.10_1",0.271633333333333
"205LGA700_5.23.12_1",0.1151
"205R00021_5.16.12_1",0.420933333333333
"205R00182_5.7.13_1",0.218966666666667
"205WUN450_6.11.12_1",0.102133333333333
"205WUN550_5.6.13_1",0.0696666666666666
"206HCT020_5.29.12_1",0.274985714285714
"206RCCBDC_7.20.10_1",0.0632333333333333
"206TUL120_6.13.11_1",0.137566666666667
"207GVC800_5.23.13_1",0.0744
"207SUI800_5.5.14_1",0.878433333333333
"304WDCAH1_6.29.10_1",0.520714285714286
"305LGCACR_7.16.08_1",1.32056666666667
"305LGCBRC_6.30.10_1",0.188866666666667
"305SSCAUC_6.29.10_1",0.125293867243867
"305UVCASC_6.29.10_1",0.125293867243867
"307CE0094_6.12.12_1",0.0365
"307SCCARR_6.21.10_1",0.668133333333333
"308BSU_7.13.10_1",0.0925666666666667
"308LILPAL_6.20.12_1",0.0322857142857143
"308PWCAH1_6.22.10_1",0.2009
"308SAM_6.23.10_1",0.0397666666666667
"308SANWIL_6.12.12_1",0.0374666666666667
"308SBCAH1_6.21.10_1",0.162333333333333
"309ARSARC_6.23.10_1",0.639293867243867
"309CAW126_5.21.14_1",0.130771428571429
"309NAF_5.24.12_1",0.167633333333333
"309WLCATC_6.22.10_1",0.0539333333333333
"310COO_6.24.10_1",0.5037
"310LPCBPC_6.9.09_1",0.4763
"312DAVDAV_6.7.12_1",1.02586666666667
"312MZCDBC_5.13.14_1",0.694066666666666
"312RYCALR_6.16.10_1",0.438469841269841
"402BA0287_6.9.08_1",1.6785
"402M00005_6.11.15_1",0.837666666666667
"402MTCUNF_6.5.12_1",1.11816666666667
"402PS0048_5.21.08_1",0.7176
"403BA0015_5.19.08_1",0.4554
"403BA0064_6.18.14_1",0.966481962481962
"403BA0140_5.21.08_1",4.33643333333333
"403BA0171_5.19.08_1",1.21446666666667
"403LNCASC_6.15.10_1",0.25922380952381
"403S00875_6.24.10_1",0.230533333333333
"403S01883_6.21.10_1",0.7518
"403S03643_6.24.10_1",1.93733333333333
"403S06315_6.27.12_1",1.87583650793651
"403STC064_6.8.11_1",0.167566666666667
"403STC086_6.21.11_1",1.13653333333333
"403WE0501_5.14.13_1",0.664266666666666
"403WE1027_5.14.14_1",0.3811
"405BRCAMS_6.7.11_1",0.516333333333333
"405BRCASG_5.7.14_1",0.296233333333333
"405BRCSGR_5.28.08_1",0.2402
"405SGRAAG_5.28.08_1",0.669333333333334
"405WER318_8.18.09_1",0.201533333333333
"504DCFRxx_7.27.10_1",0.0548666666666667
"504PS0227_8.12.09_1",0.564966666666667
"504WE0527_7.2.13_1",0.0473666666666667
"505BMCMCR_8.4.10_1",0.0594
"505LBCAMR_8.7.13_1",0.0558333333333333
"505PS0174_9.27.11_1",0.00596666666666664
"506PS0062_9.15.08_1",0.00369999999999996
"507MZCAML_7.17.12_1",0.0720787878787879
"509ACNFPP_9.25.14_1",0.00759999999999999
"509ACSFPP_7.16.08_1",0.00399999999999998
"509ATCINC_7.14.08_1",0.0356
"509BSCADC_8.31.11_1",0.0212
"509CBCADC_8.24.10_1",0.0381333333333333
"509CTCADC_7.10.12_1",0.4876
"509CWCPLR_7.7.08_1",0.0322666666666667
"509FCA054_8.27.13_1",0.00959999999999999
"509ICPPCX_9.10.08_1",0.0201666666666667
"509MLC145_8.6.13_1",0.0597
"509PCDTWR_9.3.08_1",0.00439999999999998
"509PMC197_7.2.14_1",0.00239999999999997
"509PS0085_9.7.11_1",0.0367
"509PS0170_7.26.10_1",0.0170666666666667
"509PS0234_8.15.11_1",0.0582333333333333
"509PS0334_9.12.12_1",0.0406333333333333
"513BTCACC_9.10.08_1",0.768638095238096
