"","Predicted"
"103KLCMSR_9.14.10_1",-7.67164110015983e-17
"105PS0193_8.29.12_1",0.0464666666666667
"105PS0660_8.3.10_1",0.0246
"105TMCACC_8.10.10_1",0.00599999999999996
"106MNCAHC_10.1.08_1",0.1207
"106WE1079_8.8.12_1",0.00199999999999993
"106WER016_10.20.09_1",0.152
"107LLM101_9.13.10_1",0.000399999999999929
"111BGCAER_6.11.14_1",0.117433333333333
"111FS0007_7.11.11_1",0.102933333333333
"111PAL105_7.13.11_1",0.0177333333333333
"202SPE090_6.15.09_1",0.699585714285714
"205AAG075_6.12.13_1",0.4619
"205COY850_5.21.12_1",0.431633333333333
"205SFC880_6.19.12_1",0.720433333333333
"206BRC020_6.27.12_1",0.385066666666667
"207SUI290_6.4.12_1",0.670641486291486
"307CMRADC_5.20.14_1",0.640871428571429
"308LSRASC_7.18.11_1",0.0529666666666667
"308MWCAH1_6.23.10_1",1.01220952380952
"308PS0156_6.19.12_1",0.1711
"308ROCBBQ_6.21.12_1",0.317533333333333
"309ARCBRC_8.25.08_1",0.324333333333333
"309PS0116_6.16.11_1",0.439466666666667
"312PS0099_6.14.10_1",0.696066666666666
"315CHCALS_6.15.10_1",0.384633333333333
"402BA0095_5.29.08_1",1.08406984126984
"402M00009_6.29.15_1",3.17956984126984
"403S00960_6.2.10_1",1.19364761904762
"403S01536_7.12.11_1",1.33983333333333
"403WE0540_5.14.14_1",0.611833333333333
"403WE0683_5.15.13_1",0.489633333333333
"505PS0110_9.16.10_1",0.0691333333333333
"513CCNASC_7.16.14_1",0.610833333333333
"513STCAIV_6.12.14_1",1.0412
"513UNCAKC_9.23.09_1",0.938633333333333
"514SSC190_9.11.14_1",0.00599999999999996
"517FCA046_8.14.13_1",0.0511666666666667
"518BTCASC_6.12.13_1",0.290066666666667
"518FCA075_8.12.13_1",0.0364
"518SPC134_6.18.13_1",0.0619666666666667
"522GSCBSC_9.24.09_1",0.0632333333333333
"522PS0504_6.11.13_1",0.0565666666666667
"526PNCAMF_6.25.13_1",0.170966666666667
"526PS1420_6.25.13_1",0.1085
"534MLC108_9.14.11_1",0.1015
"536HLCBFM_6.18.13_1",0.0829666666666667
"537TYCAML_7.16.08_1",0.00179999999999995
"540SED003_8.30.11_1",0.1095
"552DKC268_6.23.14_1",0.0247
"552MFCAKR_6.11.08_1",0.351466666666667
"553KRNAYC_6.17.14_1",0.0750333333333333
"554CLCALK_8.23.11_1",0.121366666666667
"603DDM005_9.13.11_1",0.0267666666666667
"603FCA145_8.21.13_1",0.0140666666666667
"603PS0008_7.30.08_1",0.0159333333333333
"603PS0075_8.15.12_1",0.160266666666667
"603PS0109_7.29.08_1",0.229333333333333
"603PS0557_8.18.10_1",0.267466666666667
"603SPCBWC_7.22.08_1",0.188
"631DEP001_8.28.12_1",0.0842666666666667
"631PS0033_8.30.10_1",0.0859922799422799
"632ELD001_9.8.11_1",0.330066666666667
"634CAT055_10.4.11_1",0.00119999999999993
"634GRF001_10.3.11_1",0.206366666666667
"634HHCATC_10.4.11_1",0.00649999999999998
"634PS0035_9.1.10_1",0.0169666666666666
"634PS0062_10.12.11_1",-7.36077865326479e-17
"634WSN001_10.4.11_1",0.0182
"636SAG001_7.12.10_1",0.105066666666667
"639PS1279_6.11.13_1",0.405314285714286
"641OWC157_7.24.13_1",0.0582
"722NP7IDC_4.16.14_1",0.737779365079365
"801DRC025_6.25.14_1",0.249766666666667
"801S03488_5.7.14_1",0.0630666666666667
"801WE0674_5.14.13_1",0.230466666666667
"801WE1008_5.14.13_1",0.0537666666666667
"801WE1132_8.19.09_1",0.0389333333333333
"901ATCAAS_6.5.08_1",1.39682857142857
"901CSCADC_5.26.11_1",0.359266666666667
"901S06969_5.31.12_1",1.60607683982684
"903WE0798_4.8.15_1",0.354066666666667
"905BCC_6.11.14_1",1.09832481962482
"905S02561_5.25.11_1",0.435833333333333
"909JQCASR_6.1.11_1",0.713633333333333
"911S03354_5.5.09_1",1.12946666666667
"911TJIND2_5.8.08_1",0.625871428571429
"911TJLCC2_4.7.15_1",0.38985
"SCFC1_6.12.08_1",1.30310779220779
"SCSS1_6.17.08_1",0.495433333333333
"SMAD1_11.5.08_1",1.17104841269841
"SMC00135_6.7.10_1",0.149166666666667
"SMC01979_7.14.11_1",0.686333333333333
"SMC02139_7.17.12_1",0.966481962481962
"SMC04204_7.11.12_1",0.247933333333333
"SMC04383_5.19.14_1",1.86193333333333
"SMC06467_6.28.10_1",0.771
"SMC19809_6.25.13_1",2.27976666666667
