"","Predicted"
"105PS0188_8.26.08_1",0.827133333333333
"105PS0188_8.26.08_2",0.827133333333333
"106FC1183_7.24.14_1",0.0208
"106FC1313_7.23.14_1",0.0572333333333333
"106PS0078_8.26.09_1",0.0464666666666667
"106PS0173_8.4.11_1",0.00359999999999995
"106PS0186_9.26.12_1",0.00559999999999999
"109PS0162_7.20.11_1",0.0457
"110ECSLSF_7.26.11_1",0.0878333333333333
"110FCA102_7.25.13_1",0.0846333333333333
"111CR1012_8.18.14_1",0.1379
"111PS0057_8.18.08_1",0.0364333333333333
"113GAR010_6.8.09_1",0.167566666666667
"113GAR010_8.27.12_1",0.167566666666667
"113GAR038_6.8.09_1",0.225933333333333
"113GAR038_9.10.12_1",0.225933333333333
"113GAR046_6.18.12_1",0.151866666666667
"113GAR046_6.8.09_1",0.151866666666667
"113GAR046_9.2.14_1",0.151866666666667
"113GAR061_6.19.12_1",0.132966666666667
"113GAR061_7.1.09_1",0.132966666666667
"113GAR061_9.3.14_1",0.132966666666667
"113GAR061_9.3.14_2",0.132966666666667
"113GAR084_6.28.10_1",0.0231666666666667
"113GAR094_7.27.10_1",0.124166666666667
"113GAR094_7.27.10_2",0.124166666666667
"113GAR110_6.18.12_1",0.192466666666667
"113GAR110_6.30.09_1",0.192466666666667
"113GAR110_9.2.14_1",0.192466666666667
"113PS0084_8.18.09_1",0.0429333333333333
"113PS0100_8.25.09_1",0.0469333333333333
"113PS0132_9.15.10_1",0.0561
"113PS0196_8.1.12_1",0.00546666666666666
"114CR0903_8.26.13_1",0.4425
"114CR0903_9.25.13_1",0.4425
"114PS0149_7.10.12_1",0.194771428571429
"114PS0152_7.7.11_1",0.584285714285714
"114PS0152_8.18.11_1",0.584285714285714
"114RR1041_10.10.11_1",0.227738095238095
"114RR1041_10.25.11_1",0.227738095238095
"114RR1041_10.25.11_2",0.227738095238095
"114RR1041_8.2.11_1",0.227738095238095
"114RR1041_9.7.11_1",0.227738095238095
"114RR1310_6.2.11_1",0.3171
"114RR1599_10.10.11_1",0.3366
"114RR1599_10.25.11_1",0.3366
"114RR1599_6.2.11_1",0.3366
"114RR1599_6.27.11_1",0.3366
"114RR1599_8.2.11_1",0.3366
"114RR1599_8.2.11_2",0.3366
"114RR1599_9.7.11_1",0.3366
"114RR2678_10.11.11_1",0.227704761904762
"114RR2678_10.24.11_1",0.227704761904762
"114RR2678_6.29.11_1",0.227704761904762
"114RR2678_8.1.11_1",0.227704761904762
"114RR2678_9.13.11_1",0.227704761904762
"114RR2769_6.1.11_1",0.256371428571429
"114RR2899_10.11.11_1",0.255504761904762
"114RR2899_10.24.11_1",0.255504761904762
"114RR2899_6.1.11_1",0.255504761904762
"114RR2899_6.29.11_1",0.255504761904762
"114RR2899_8.1.11_1",0.255504761904762
"114RR2899_9.13.11_1",0.255504761904762
"202BUT850_6.4.13_1",0.217966666666667
"202PS0134_5.31.11_1",0.0723
"202R00087_5.30.12_1",0.434866666666667
"202R00284_6.15.12_1",0.315742857142857
"202R00908_5.21.13_1",0.0852
"203PS0070_7.19.10_1",0.2674
"203PS0070_9.7.10_1",0.2674
"203R00039_5.14.12_1",0.0451333333333333
"204ALP040_4.10.11_1",0.406833333333333
"204ALP040_6.29.11_1",0.406833333333333
"204ALP105_4.10.11_1",0.750266666666667
"204ALP151_4.10.11_1",1.01937445887446
"204ALP151_6.29.11_1",1.01937445887446
"204PS0038_6.19.08_1",0.0846857142857143
"204PS0094_7.14.10_1",1.0858
"204PS0102_6.15.11_1",0.774633333333333
"204PS0102_6.15.11_2",0.774633333333333
"204PS0102_8.10.11_1",0.774633333333333
"204PS0118_6.15.11_1",0.232
"204R00047_6.6.12_1",0.458133333333333
"204R00063_6.4.13_1",0.202533333333333
"204R00068_5.31.12_1",1.02616666666667
"204R00084_5.24.12_1",0.944966666666667
"204R00100_5.30.12_1",1.22066666666667
"204R00180_5.30.12_1",0.333319047619048
"204R00191_5.29.12_1",1.12973333333333
"204R00200_5.31.12_1",0.654566666666667
"204R00232_6.12.12_1",0.138383333333333
"204R00232_6.12.12_2",0.138383333333333
"204R00244_6.12.12_1",0.197316666666667
"204R00303_6.14.12_1",0.604833333333333
"204R00319_6.7.12_1",0.19255
"204R00319_6.7.12_2",0.19255
"204R00327_5.7.13_1",0.634566666666667
"204R00334_5.8.13_1",0.639033333333333
"204R00340_6.11.12_1",0.803066666666666
"204R00356_5.30.12_1",1.08366666666667
"204R00356_6.4.12_1",1.08366666666667
"204R00367_6.12.12_1",0.489896825396826
"204R00383_6.11.12_1",0.390166666666667
"204R00391_6.6.12_1",1.53153333333333
"204R00436_5.20.13_1",0.218
"204R00447_4.2.13_1",0.944533333333333
"204R00447_4.22.13_1",0.944533333333333
"204R00455_6.13.12_1",0.956566666666667
"204R00473_5.9.13_1",0.820466666666667
"204R00473_5.9.13_2",0.820466666666667
"204R00520_5.28.13_1",0.126416666666667
"204R00583_6.13.12_1",1.50523333333333
"204R00596_5.31.12_1",1.08356666666667
"204R00623_6.3.13_1",0.776633333333333
"204R00639_6.19.12_1",0.828166666666667
"204R00680_5.28.13_1",0.3208
"204R00724_5.21.13_1",0.9276
"204R00807_5.21.13_1",0.06925
"204R00852_5.6.13_1",1.11886666666667
"204R00884_5.20.13_1",0.198733333333333
"204R00967_4.25.13_1",0.899411111111111
"204R01316_5.22.13_1",0.517633333333334
"204R01471_5.22.13_1",1.084
"205PS0045_6.17.09_1",0.258366666666667
"205PS0045_6.17.09_2",0.258366666666667
"205PS0074_7.14.10_1",0.3708
"205PS0106_6.21.11_1",0.8471
"205PS0109_6.21.11_1",0.944833333333333
"205PS0138_6.1.11_1",0.700966666666667
"205PS0157_6.19.12_1",0.4007
"205PS0170_6.19.12_1",0.8671
"205PS0173_6.20.12_1",0.264666666666667
"205PS0173_6.20.12_2",0.264666666666667
"205PS0202_5.22.13_1",0.207433333333333
"205PS0202_7.17.13_1",0.207433333333333
"205PS0221_5.20.13_1",0.382866666666667
"205R00026_5.14.12_1",0.191366666666667
"205R00035_5.24.12_1",0.200816666666667
"205R00035_5.24.12_2",0.200816666666667
"205R00042_5.21.12_1",0.397366666666667
"205R00067_6.3.12_1",0.945444444444445
"205R00088_6.4.12_1",0.401266666666667
"205R00090_5.23.12_1",0.981633333333333
"205R00099_5.17.12_1",1.31903333333333
"205R00115_6.5.12_1",0.0984333333333333
"205R00131_6.3.12_1",1.00017777777778
"205R00154_5.22.12_1",0.9467
"205R00168_6.4.12_1",0.188866666666667
"205R00174_4.23.13_1",0.503930158730159
"205R00218_5.23.12_1",0.429233333333333
"205R00227_6.5.12_1",0.207
"205R00234_5.15.12_1",0.660466666666667
"205R00241_5.21.12_1",0.870577777777778
"205R00259_6.14.12_1",0.0727
"205R00282_5.22.12_1",0.282833333333333
"205R00291_6.13.12_1",0.5149
"205R00346_6.14.12_1",0.326333333333333
"205R00346_6.14.12_2",0.326333333333333
