"","Predicted"
"102PS0139_8.9.10_1",1.29944285714286
"103FCA168_7.24.13_1",1.11336031746032
"103PS0217_9.10.13_1",1.11336031746032
"103RDCBCC_7.21.11_1",0.822433333333333
"105PS0028_8.12.08_1",2.0943
"105PS0028_8.26.08_1",2.0943
"105PS0067_8.24.09_1",0.897
"105PS0067_8.24.09_2",0.897
"105PS0067_9.15.09_1",0.897
"105PS0069_8.18.09_1",0.937996825396825
"105PS0092_8.11.08_1",1.26026666666667
"105PS0107_9.14.09_1",1.17588968253968
"105PS0129_8.11.10_1",1.35196666666667
"105PS0129_8.11.10_2",1.35196666666667
"105PS0149_8.29.12_1",0.79737619047619
"105PS0211_8.20.13_1",1.49462857142857
"105PS0211_9.16.13_1",1.49462857142857
"105PS0231_8.29.13_1",1.87313333333333
"105PS0276_9.1.09_1",1.6292
"105PS0276_9.22.09_1",1.6292
"105PS0540_8.5.10_1",2.17518571428571
"105PS1148_9.18.12_1",2.93753333333333
"105PS1404_8.28.13_1",1.1805
"105PS1404_8.28.13_2",1.1805
"106FCA036_7.15.13_1",0.7812
"106HLCACC_9.23.13_1",0.748409523809523
"106PS0022_9.30.08_1",1.09516666666667
"106PS0051_9.16.08_1",1.00803333333333
"106PS0051_9.16.08_2",1.00803333333333
"106PS0106_9.8.09_1",0.501833333333333
"106PS0106_9.8.09_2",0.501833333333333
"106PS0122_9.20.10_1",1.69212857142857
"106PS0142_7.19.10_1",1.738
"106PS0206_10.3.12_1",1.05923333333333
"106PTCAHC_9.2.08_1",3.45130952380952
"107GWCAPC_9.15.10_1",2.09950952380952
"107RWCBHW_8.3.11_1",0.970833333333333
"107RWCBHW_8.3.11_2",0.970833333333333
"108PS0197_8.16.12_1",0.832533333333334
"110PS0114_7.21.10_1",2.7485
"110SMCATH_7.27.11_1",3.01696666666667
"111CE0569_10.11.10_1",3.71593333333334
"111FCA207_7.23.13_1",2.36416666666666
"111PS0008_9.29.08_1",3.0941
"111PS0008_9.9.08_1",3.0941
"111PS0008_9.9.08_2",3.0941
"111PS0013_8.19.08_1",4.18953333333333
"111PS0095_8.27.09_1",2.6346
"111PS0095_8.27.09_2",2.6346
"111PS0121_7.20.10_1",3.55426666666667
"111PS0159_7.14.11_1",1.93936666666667
"111PS0169_7.25.11_1",2.6401
"111PS0169_7.25.11_2",2.6401
"111PS0178_8.14.12_1",2.45652857142857
"111PS0237_9.12.13_1",1.011
"112PS0157_7.12.11_1",0.97445
"113GAR011_8.22.11_1",4.46985238095238
"113GAR011_9.1.10_1",4.46985238095238
