"","Predicted"
"102PS0177_8.28.12_1",0.530766666666667
"103CDCHHR_9.14.10_1",1.16032698412698
"103STCNSR_8.9.11_1",0.315866666666667
"103WER026_8.15.12_1",0.685973015873016
"103WER029_7.16.14_1",1.16032698412698
"103WER030_8.10.11_1",0.363733333333333
"105BVCAGC_9.21.10_1",0.397729914529914
"105CE0329_7.23.14_1",0.0960333333333333
"105CLCATC_8.10.10_1",0.459166666666667
"105DLCDCC_10.20.09_1",1.36476666666667
"105FCA116_7.16.13_1",0.594322222222222
"105FS0416_9.24.13_1",0.847028571428571
"105FS0425_8.10.11_1",0.2929
"105FS0428_8.3.11_1",0.608633333333333
"105NWC151_6.26.13_1",2.16096666666667
"105PS0043_9.17.08_1",2.19056666666667
"105PS0083_9.8.09_1",0.420466666666666
"105PS0090_8.7.12_1",0.0944333333333333
"105PS0097_7.22.14_1",0.846966666666666
"105PS0154_8.9.11_1",0.762566666666667
"105PS0195_8.7.12_1",0.256
"105PS0259_9.17.13_1",0.690533333333334
"105PS0267_7.21.14_1",0.9772
"105PS0468_9.1.09_1",1.62743333333333
"105PS0540_9.15.10_1",2.17518571428571
"105PS1492_8.6.14_1",2.04193333333333
"105WE0598_7.24.14_1",0.5803
"105WLC135_6.26.13_1",2.1286
"105WLCABC_8.3.11_1",2.3435
"106FS0040_8.30.11_1",0.784033333333333
"106PS0115_9.21.10_1",0.746028571428571
"106PS0124_8.16.10_1",0.717977777777778
"106PS0166_8.2.11_1",1.22144285714286
"106WE0505_7.21.14_1",0.9401
"106WER011_9.11.13_1",0.667366666666667
"107PS0021_7.14.14_1",1.16032698412698
"107WER092_8.27.12_1",2.09950952380952
"111BBRBCC_9.23.09_1",1.3427
"111CBCAER_8.8.13_1",0.953423015873016
"111ERATRC_10.10.12_1",1.08535
"111FS0001_7.5.11_1",1.1853
"111FS0008_7.19.12_1",1.53346666666667
"111HSCAER_7.26.11_1",1.89126666666667
"111PS0060_10.7.08_1",2.2366
"111PS0110_6.9.14_1",0.677866666666667
"111PS0144_8.18.10_1",2.03276666666667
"111PS0160_7.25.11_1",1.4897
"111PS0204_8.17.10_1",1.47368333333333
"111RSCAER_8.8.11_1",0.2743
"111TGCAER_7.24.12_1",0.731766666666666
"111WE0816_6.12.13_1",0.528844444444445
"111WE1050_6.12.13_1",0.412356349206349
"111WE1071_7.26.12_1",0.394800793650794
"111WER003_6.10.14_1",0.452733333333333
"111WER008_7.23.12_1",0.584166666666666
